,종목코드,종목명
0,6840,AK홀딩스
1,27410,BGF리테일
2,138930,BNK금융지주
3,1040,CJ
4,79160,CJ CGV
5,120,CJ대한통운
6,97950,CJ제일제당
7,114090,GKL
8,78930,GS
9,6360,GS건설
10,7070,GS리테일
11,1060,JW중외제약
12,96760,JW홀딩스
13,105560,KB금융
14,2380,KCC
15,30200,KT
16,33780,KT&G
17,93050,LF
18,3550,LG
19,34220,LG디스플레이
20,1120,LG상사
21,51900,LG생활건강
22,32640,LG유플러스
23,11070,LG이노텍
24,66570,LG전자
25,108670,LG하우시스
26,51910,LG화학
27,79550,LIG넥스원
28,6260,LS
29,10120,LS산전
30,35420,NAVER
31,5940,NH투자증권
32,10060,OCI
33,5490,POSCO
34,64960,S&T모티브
35,10950,S-Oil
36,34120,SBS
37,34730,SK
38,11790,SKC
39,1740,SK네트웍스
40,96770,SK이노베이션
41,6120,SK케미칼
42,17670,SK텔레콤
43,660,SK하이닉스
44,5610,SPC삼립
45,35250,강원랜드
46,50,경방
47,10130,고려아연
48,2240,고려제강
49,9290,광동제약
50,11780,금호석유
51,73240,금호타이어
52,270,기아차
53,24110,기업은행
54,3920,남양유업
55,25860,남해화학
56,2350,넥센타이어
57,251270,넷마블게임즈
58,6280,녹십자
59,5250,녹십자홀딩스
60,4370,농심
61,19680,대교
62,8060,대덕전자
63,210,대림산업
64,1680,대상
65,47040,대우건설
66,69620,대웅제약
67,6650,대한유화
68,3490,대한항공
69,1230,동국제강
70,990,동부하이텍
71,5830,동부화재
72,26960,동서
73,640,동아쏘시오홀딩스
74,170900,동아에스티
75,7340,동아타이어
76,1520,동양
77,49770,동원F&B
78,14820,동원시스템즈
79,150,두산
80,42670,두산인프라코어
81,34020,두산중공업
82,115390,락앤락
83,23530,롯데쇼핑
84,4000,롯데정밀화학
85,4990,롯데제과
86,5300,롯데칠성
87,11170,롯데케미칼
88,2270,롯데푸드
89,204320,만도
90,8560,메리츠종금증권
91,33920,무학
92,6800,미래에셋대우
93,3850,보령제약
94,3000,부광약품
95,5180,빙그레
96,6400,삼성SDI
97,28260,삼성물산
98,207940,삼성바이오로직스
99,32830,삼성생명
100,18260,삼성에스디에스
101,28050,삼성엔지니어링
102,9150,삼성전기
103,5930,삼성전자
104,10140,삼성중공업
105,16360,삼성증권
106,29780,삼성카드
107,810,삼성화재
108,145990,삼양사
109,70,삼양홀딩스
110,4490,세방전지
111,1430,세아베스틸
112,3030,세아제강
113,29530,신도리코
114,4170,신세계
115,55550,신한지주
116,3410,쌍용양회
117,3620,쌍용차
118,2790,아모레G
119,90430,아모레퍼시픽
120,10780,아이에스동서
121,1780,알루코
122,5850,에스엘
123,12750,에스원
124,78520,에이블씨엔씨
125,36570,엔씨소프트
126,111770,영원무역
127,3520,영진약품
128,670,영풍
129,7310,오뚜기
130,271560,오리온
131,1800,오리온홀딩스
132,30,우리은행
133,14830,유니드
134,100,유한양행
135,214320,이노션
136,139480,이마트
137,7570,일양약품
138,20150,일진머티리얼즈
139,30000,제일기획
140,2620,제일파마홀딩스
141,185750,종근당
142,192820,코스맥스
143,120110,코오롱인더
144,21240,코웨이
145,192400,쿠쿠전자
146,3240,태광산업
147,36580,팜스코
148,28670,팬오션
149,47050,포스코대우
150,103140,풍산
151,86790,하나금융지주
152,80,하이트진로
153,36460,한국가스공사
154,71050,한국금융지주
155,25540,한국단자
156,2960,한국쉘석유
157,15760,한국전력
158,161890,한국콜마
159,161390,한국타이어
160,240,한국타이어월드와이드
161,47810,한국항공우주
162,60980,한라홀딩스
163,8930,한미사이언스
164,128940,한미약품
165,9240,한샘
166,20000,한섬
167,105630,한세실업
168,14680,한솔케미칼
169,4710,한솔테크닉스
170,18880,한온시스템
171,9420,한올바이오파마
172,3300,한일시멘트
173,51600,한전KPS
174,52690,한전기술
175,97230,한진중공업
176,880,한화
177,88350,한화생명
178,9830,한화케미칼
179,12450,한화테크윈
180,720,현대건설
181,5440,현대그린푸드
182,86280,현대글로비스
183,267250,현대로보틱스
184,64350,현대로템
185,79430,현대리바트
186,12330,현대모비스
187,10620,현대미포조선
188,69960,현대백화점
189,12630,현대산업
190,17800,현대엘리베이
191,11210,현대위아
192,4020,현대제철
193,9540,현대중공업
194,5380,현대차
195,1450,현대해상
196,57050,현대홈쇼핑
197,8770,호텔신라
198,4800,효성
199,93370,후성
200,69260,휴켐스
231,3570,S&T중공업
247,7690,국도화학
262,42660,대우조선해양
289,7210,벽산
293,5090,삼광글라스
307,8490,서흥
333,230,일동홀딩스
334,3200,일신방직
339,4700,조광피혁
345,5740,크라운제과
352,140,하이트진로홀딩스
358,104700,한국철강
