,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
153,000070,삼양홀딩스,151500,-7500,-4.7,18848,2902358000,156500,158000,151000,1297487056500,0.09,8564271,485147.0,5.66,154,2016-01-04
2305,000070,삼양홀딩스,148000,-3500,-2.3,26028,3878156000,150000,152000,146500,1267512108000,0.09,8564271,486696.0,5.68,157,2016-01-05
4440,000070,삼양홀딩스,168000,20000,13.5,113342,18434173500,148000,171500,148000,1438797528000,0.1,8564271,507889.0,5.93,143,2016-01-06
6590,000070,삼양홀딩스,164500,-3500,-2.1,35893,5939186000,168500,171500,162000,1408822579500,0.1,8564271,512021.0,5.98,144,2016-01-07
8734,000070,삼양홀딩스,178500,14000,8.5,91424,15739989500,161500,179500,160500,1528722373500,0.11,8564271,506836.0,5.92,139,2016-01-08
10885,000070,삼양홀딩스,171500,-7000,-3.9,58888,10273609500,177500,183000,170000,1468772476500,0.1,8564271,496642.0,5.8,141,2016-01-11
13035,000070,삼양홀딩스,168000,-3500,-2.0,60053,10081572500,171500,175000,164000,1438797528000,0.1,8564271,492476.0,5.75,142,2016-01-12
15183,000070,삼양홀딩스,173500,5500,3.3,33161,5653462000,167000,173500,167000,1485901018500,0.1,8564271,490890.0,5.73,141,2016-01-13
17333,000070,삼양홀딩스,168000,-5500,-3.2,78548,13010495500,170000,175000,160000,1438797528000,0.1,8564271,485308.0,5.67,142,2016-01-14
19482,000070,삼양홀딩스,167000,-1000,-0.6,31265,5247845000,170000,171500,164000,1430233257000,0.1,8564271,483163.0,5.64,142,2016-01-15
21631,000070,삼양홀딩스,171000,4000,2.4,34371,5852161000,166000,172000,165500,1464490341000,0.11,8564271,481111.0,5.62,142,2016-01-18
23779,000070,삼양홀딩스,171500,500,0.3,20673,3498858500,172000,172000,165500,1468772476500,0.1,8564271,477155.0,5.57,141,2016-01-19
25931,000070,삼양홀딩스,163000,-8500,-5.0,48072,7920295000,172000,173000,159500,1395976173000,0.1,8564271,470046.0,5.49,144,2016-01-20
28081,000070,삼양홀딩스,160500,-2500,-1.5,25705,4111445000,161500,164000,155000,1374565495500,0.1,8564271,474346.0,5.54,145,2016-01-21
30228,000070,삼양홀딩스,165500,5000,3.1,22142,3619936500,160000,166000,160000,1417386850500,0.1,8564271,476201.0,5.56,145,2016-01-22
32376,000070,삼양홀딩스,168000,2500,1.5,12708,2119989500,168000,168500,165000,1438797528000,0.1,8564271,476481.0,5.56,145,2016-01-25
34523,000070,삼양홀딩스,165000,-3000,-1.8,9743,1610179500,166000,167500,163500,1413104715000,0.1,8564271,475473.0,5.55,145,2016-01-26
36672,000070,삼양홀딩스,162500,-2500,-1.5,21540,3507631000,167000,167000,160500,1391694037500,0.1,8564271,479430.0,5.6,146,2016-01-27
38821,000070,삼양홀딩스,164500,2000,1.2,24830,4067593500,160500,168000,159000,1408822579500,0.1,8564271,482819.0,5.64,146,2016-01-28
40966,000070,삼양홀딩스,175000,10500,6.4,82522,14376677500,168500,178500,166500,1498747425000,0.11,8564271,485794.0,5.67,141,2016-01-29
43113,000070,삼양홀딩스,183000,8000,4.6,57176,10358749000,178500,184500,175000,1567261593000,0.11,8564271,482914.0,5.64,138,2016-02-01
45262,000070,삼양홀딩스,183000,0,0.0,32653,5961793500,182000,188000,179000,1567261593000,0.11,8564271,484546.0,5.66,137,2016-02-02
47414,000070,삼양홀딩스,177000,-6000,-3.3,28579,5043584000,181500,181500,172000,1515875967000,0.11,8564271,491738.0,5.74,138,2016-02-03
49566,000070,삼양홀딩스,179500,2500,1.4,26774,4776117500,180500,181500,174000,1537286644500,0.11,8564271,487038.0,5.69,138,2016-02-04
51720,000070,삼양홀딩스,178000,-1500,-0.8,16837,2993910500,180000,182000,175000,1524440238000,0.11,8564271,482134.0,5.63,139,2016-02-05
53874,000070,삼양홀딩스,169500,-8500,-4.8,27101,4616622000,172000,175000,168000,1451643934500,0.11,8564271,482158.0,5.63,139,2016-02-11
56036,000070,삼양홀딩스,147500,-22000,-13.0,89640,13589085000,169000,169000,143500,1263229972500,0.09,8564271,475730.0,5.55,147,2016-02-12
58192,000070,삼양홀딩스,151500,4000,2.7,40418,6094004500,153000,154000,148000,1297487056500,0.09,8564271,475633.0,5.55,149,2016-02-15
60346,000070,삼양홀딩스,156500,5000,3.3,23909,3736508500,153000,158500,153000,1340308411500,0.1,8564271,473706.0,5.53,148,2016-02-16
62500,000070,삼양홀딩스,154500,-2000,-1.3,33336,5132773500,155000,158000,149500,1323179869500,0.1,8564271,470639.0,5.5,147,2016-02-17
64653,000070,삼양홀딩스,159500,5000,3.2,24450,3896220000,157500,161500,155500,1366001224500,0.1,8564271,466141.0,5.44,145,2016-02-18
66811,000070,삼양홀딩스,158000,-1500,-0.9,15753,2495915500,160500,160500,156500,1353154818000,0.1,8564271,467095.0,5.45,148,2016-02-19
68968,000070,삼양홀딩스,158500,500,0.3,16513,2624014500,157500,161000,156500,1357436953500,0.1,8564271,468755.0,5.47,150,2016-02-22
71119,000070,삼양홀딩스,159000,500,0.3,31121,4994016000,163000,164000,158000,1361719089000,0.1,8564271,467326.0,5.46,146,2016-02-23
73271,000070,삼양홀딩스,171500,12500,7.9,69780,11674600500,158500,171500,158500,1468772476500,0.1,8564271,495828.0,5.79,144,2016-02-24
75424,000070,삼양홀딩스,172000,500,0.3,38116,6588600500,170000,176000,169500,1473054612000,0.1,8564271,497573.0,5.81,142,2016-02-25
