,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
435,000140,하이트진로홀딩스,11950,-250,-2.0,18021,216859900,12300,12350,11850,277320841750,0.02,23206765,1392476.0,6.0,436,2015-01-02
2479,000140,하이트진로홀딩스,11800,-150,-1.3,24129,282682500,11850,11900,11550,273839827000,0.02,23206765,1405746.0,6.06,445,2015-01-05
4513,000140,하이트진로홀딩스,11750,-50,-0.4,25693,300036250,11700,11800,11500,272679488750,0.02,23206765,1408580.0,6.07,444,2015-01-06
6552,000140,하이트진로홀딩스,11700,-50,-0.4,35239,413196100,11600,12100,11550,271519150500,0.02,23206765,1404691.0,6.05,448,2015-01-07
8581,000140,하이트진로홀딩스,11900,200,1.7,13708,162382950,11850,11900,11700,276160503500,0.02,23206765,1403520.0,6.05,443,2015-01-08
10614,000140,하이트진로홀딩스,12000,100,0.8,18398,219445750,11850,12050,11800,278481180000,0.02,23206765,1405234.0,6.06,443,2015-01-09
12656,000140,하이트진로홀딩스,11900,-100,-0.8,17645,209516150,12000,12000,11800,276160503500,0.02,23206765,1407162.0,6.06,452,2015-01-12
14689,000140,하이트진로홀딩스,11700,-200,-1.7,38020,444469650,11850,11850,11550,271519150500,0.02,23206765,1409843.0,6.08,452,2015-01-13
16726,000140,하이트진로홀딩스,11550,-150,-1.3,37389,432667100,11750,11800,11500,268038135750,0.02,23206765,1414562.0,6.1,457,2015-01-14
18758,000140,하이트진로홀딩스,11600,50,0.4,21701,250654950,11450,11700,11450,269198474000,0.02,23206765,1419598.0,6.12,457,2015-01-15
20794,000140,하이트진로홀딩스,11450,-150,-1.3,26433,303271350,11600,11650,11350,265717459250,0.02,23206765,1422119.0,6.13,460,2015-01-16
22816,000140,하이트진로홀딩스,11650,200,1.8,15154,175310900,11500,11700,11450,270358812250,0.02,23206765,1422751.0,6.13,452,2015-01-19
24843,000140,하이트진로홀딩스,11850,200,1.7,17946,211681550,11700,11850,11650,275000165250,0.02,23206765,1422547.0,6.13,449,2015-01-20
26874,000140,하이트진로홀딩스,11750,-100,-0.8,26369,310527100,11850,11950,11700,272679488750,0.02,23206765,1424788.0,6.14,452,2015-01-21
