,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
131,000240,한국타이어월드와이드,17350,-150,-0.9,85886,1487420900,17400,17500,17150,1613900001550,0.11,93020173,5515983.0,5.93,132,2016-01-04
2280,000240,한국타이어월드와이드,17700,350,2.0,165440,2901700250,17300,17850,17000,1646457062100,0.12,93020173,5473853.0,5.88,132,2016-01-05
4430,000240,한국타이어월드와이드,17400,-300,-1.7,66554,1166223700,17650,17900,17200,1618551010200,0.11,93020173,5473336.0,5.88,133,2016-01-06
6579,000240,한국타이어월드와이드,17500,100,0.6,56360,981791400,17450,17700,17100,1627853027500,0.12,93020173,5454407.0,5.86,133,2016-01-07
8728,000240,한국타이어월드와이드,17350,-150,-0.9,87538,1524150050,17500,17600,17200,1613900001550,0.11,93020173,5429024.0,5.84,133,2016-01-08
10876,000240,한국타이어월드와이드,17100,-250,-1.4,75319,1289601550,17100,17500,17000,1590644958300,0.11,93020173,5398593.0,5.8,132,2016-01-11
13028,000240,한국타이어월드와이드,16800,-300,-1.8,92277,1566694800,17150,17300,16800,1562738906400,0.11,93020173,5337264.0,5.74,135,2016-01-12
15177,000240,한국타이어월드와이드,17000,200,1.2,99392,1685180600,16900,17150,16800,1581342941000,0.11,93020173,5304614.0,5.7,135,2016-01-13
17326,000240,한국타이어월드와이드,17000,0,0.0,57839,987373500,16950,17300,16850,1581342941000,0.11,93020173,5276582.0,5.67,135,2016-01-14
19466,000240,한국타이어월드와이드,17400,400,2.4,97421,1695804100,17250,17600,17150,1618551010200,0.12,93020173,5277554.0,5.67,126,2016-01-15
21612,000240,한국타이어월드와이드,17600,200,1.2,89645,1581413900,17450,17800,17300,1637155044800,0.12,93020173,5255670.0,5.65,123,2016-01-18
23763,000240,한국타이어월드와이드,17650,50,0.3,77660,1356841500,17750,17750,17200,1641806053450,0.12,93020173,5238764.0,5.63,125,2016-01-19
25912,000240,한국타이어월드와이드,17200,-450,-2.6,95012,1628176750,17750,17750,16700,1599946975600,0.12,93020173,5236528.0,5.63,125,2016-01-20
28062,000240,한국타이어월드와이드,17350,150,0.9,66815,1161855650,17350,17600,17100,1613900001550,0.12,93020173,5268217.0,5.66,126,2016-01-21
30211,000240,한국타이어월드와이드,17350,0,0.0,64672,1118698700,17550,17650,17100,1613900001550,0.12,93020173,5234404.0,5.63,128,2016-01-22
32360,000240,한국타이어월드와이드,17250,-100,-0.6,88780,1542618200,17250,17650,17150,1604597984250,0.11,93020173,5232755.0,5.63,129,2016-01-25
34506,000240,한국타이어월드와이드,17350,100,0.6,53704,927955500,17250,17450,16950,1613900001550,0.12,93020173,5233922.0,5.63,128,2016-01-26
36656,000240,한국타이어월드와이드,17200,-150,-0.9,93851,1619216300,17450,17500,17050,1599946975600,0.11,93020173,5228078.0,5.62,130,2016-01-27
38804,000240,한국타이어월드와이드,17550,350,2.0,147452,2585932700,17250,17700,17100,1632504036150,0.12,93020173,5201149.0,5.59,129,2016-01-28
40955,000240,한국타이어월드와이드,17750,200,1.1,92175,1627905750,17550,17800,17500,1651108070750,0.12,93020173,5217237.0,5.61,130,2016-01-29
43106,000240,한국타이어월드와이드,17500,-250,-1.4,119581,2110394900,17650,17850,17400,1627853027500,0.11,93020173,5196905.0,5.59,131,2016-02-01
45256,000240,한국타이어월드와이드,17450,-50,-0.3,88129,1544746100,17400,17700,17400,1623202018850,0.12,93020173,5209654.0,5.6,131,2016-02-02
47402,000240,한국타이어월드와이드,17800,350,2.0,223162,3949925400,17400,18000,17300,1655759079400,0.12,93020173,5173156.0,5.56,126,2016-02-03
49557,000240,한국타이어월드와이드,17800,0,0.0,99816,1766978750,18050,18050,17600,1655759079400,0.12,93020173,5166767.0,5.55,129,2016-02-04
51709,000240,한국타이어월드와이드,18150,350,2.0,247451,4479100150,18000,18450,17850,1688316139950,0.12,93020173,5132461.0,5.52,128,2016-02-05
53862,000240,한국타이어월드와이드,18100,-50,-0.3,142367,2578412150,18000,18250,17800,1683665131300,0.12,93020173,5115134.0,5.5,127,2016-02-11
56010,000240,한국타이어월드와이드,18100,0,0.0,168249,3053245650,17900,18350,17900,1683665131300,0.13,93020173,5114208.0,5.5,121,2016-02-12
58167,000240,한국타이어월드와이드,18550,450,2.5,140054,2600812900,18250,18850,18150,1725524209150,0.13,93020173,5139602.0,5.53,124,2016-02-15
60321,000240,한국타이어월드와이드,18800,250,1.4,147164,2735848850,18750,18950,18300,1748779252400,0.13,93020173,5146884.0,5.53,123,2016-02-16
62473,000240,한국타이어월드와이드,19250,450,2.4,248286,4786605000,18750,19500,18700,1790638330250,0.13,93020173,5170546.0,5.56,120,2016-02-17
64630,000240,한국타이어월드와이드,19350,100,0.5,138329,2640726350,19450,19500,18750,1799940347550,0.13,93020173,5153395.0,5.54,122,2016-02-18
66785,000240,한국타이어월드와이드,19450,100,0.5,175262,3413833300,19300,19700,19150,1809242364850,0.13,93020173,5158807.0,5.55,122,2016-02-19
68939,000240,한국타이어월드와이드,19600,150,0.8,103082,2016276500,19350,19750,19350,1823195390800,0.13,93020173,5161830.0,5.55,121,2016-02-22
71093,000240,한국타이어월드와이드,19950,350,1.8,194467,3857763050,19450,20200,19350,1855752451350,0.13,93020173,5162383.0,5.55,120,2016-02-23
73247,000240,한국타이어월드와이드,20050,100,0.5,89347,1783385700,19800,20100,19800,1865054468650,0.13,93020173,5173658.0,5.56,120,2016-02-24
75399,000240,한국타이어월드와이드,20200,150,0.8,88932,1773660700,20200,20250,19650,1879007494600,0.13,93020173,5188625.0,5.58,117,2016-02-25
