,account_nm,thstrm_amount
0,유동자산,9760030000000.0
1,현금및현금성자산,1175719000000.0
2,단기금융상품,3615554000000.0
3,매출채권,2628448000000.0
4,기타수취채권,61613000000.0
5,재고자산,1923376000000.0
6,당기법인세자산,1394000000.0
7,매각예정자산,
8,기타금융자산,
9,기타유동자산,353926000000.0
10,비유동자산,19917876000000.0
11,관계기업 및 공동기업투자,122609000000.0
12,매도가능금융자산,131354000000.0
13,기타수취채권,62919000000.0
14,기타금융자산,430000000.0
15,유형자산,16966252000000.0
16,무형자산,1704896000000.0
17,투자부동산,2679000000.0
18,이연법인세자산,361204000000.0
19,기타비유동자산,565533000000.0
20,자산총계,29677906000000.0
21,유동부채,4840698000000.0
22,매입채무,791373000000.0
23,미지급금,1337803000000.0
24,기타지급채무,1001171000000.0
25,차입금,1013372000000.0
26,기타금융부채,
27,유동충당부채,25276000000.0
28,당기법인세부채,627260000000.0
29,기타유동부채,44443000000.0
30,비유동부채,3449505000000.0
31,기타지급채무,89891000000.0
32,차입금,2805223000000.0
33,기타금융부채,683000000.0
34,확정급여부채,484977000000.0
35,이연법인세부채,7582000000.0
36,기타비유동부채,61149000000.0
37,부채총계,8290203000000.0
38,지배기업의 소유주에게 귀속되는 자본,21386863000000.0
39,자본금,3657652000000.0
40,자본잉여금,4143736000000.0
41,기타자본,-771913000000.0
42,기타포괄손익누계액,-1600000000.0
43,이익잉여금(결손금),14358988000000.0
44,비지배지분,840000000.0
45,자본총계,21387703000000.0
46,자본과부채총계,29677906000000.0
47,매출액,18797998000000.0
48,매출원가,10515353000000.0
49,매출총이익,8282645000000.0
50,판매비와경상개발비,2946545000000.0
51,영업이익(손실),5336100000000.0
52,금융수익,846752000000.0
53,금융비용,829913000000.0
54,지분법 손익,24642000000.0
55,기타영업외수익,40479000000.0
56,기타영업외비용,148939000000.0
57,법인세비용차감전순이익(손실),5269121000000.0
58,법인세비용,945526000000.0
59,당기순이익(손실),4323595000000.0
60,기타포괄손익,18095000000.0
61,당기손익으로 재분류되지 않는 세후기타포괄손익,-21871000000.0
62,확정급여제도의 재측정요소,-21871000000.0
63,당기손익으로 재분류되는 세후기타포괄손익,33479000000.0
64,매도가능금융자산평가손익,
65,해외사업장환산외환차이,33479000000.0
66,관계기업의 기타포괄손익에 대한 지분,6487000000.0
67,총포괄손익 소계,4341690000000.0
68,지배기업의 소유지분,4322356000000.0
69,비지배지분,1239000000.0
70,지배기업의 소유지분,4340700000000.0
71,비지배지분,990000000.0
72,기본주당이익(원),6002.0
73,희석주당이익(원),6002.0
74,영업활동현금흐름,9319520000000.0
75,영업으로부터 창출된 현금흐름,10357267000000.0
76,이자수취,51610000000.0
77,이자지급,124304000000.0
78,배당금수취,17045000000.0
79,법인세납부(환급),982098000000.0
80,투자활동현금흐름,-7125530000000.0
81,단기금융상품의 순증감,39533000000.0
82,기타수취채권의 감소,10692000000.0
83,기타수취채권의 증가,14134000000.0
84,매도가능금융자산의 처분,1319000000.0
85,매도가능금융자산의 취득,5359000000.0
86,기타금융자산의 감소,
87,기타금융자산의 증가,
88,파생상품거래로 인한 현금유입,1672000000.0
89,파생상품거래로 인한 현금유출,2088000000.0
90,유형자산의 처분,220097000000.0
91,유형자산의 취득,6774625000000.0
92,무형자산의 처분,7963000000.0
93,무형자산의 취득,623743000000.0
94,매각예정자산의 처분,22630000000.0
95,정부보조금수령,406000000.0
96,사업결합으로 인한 현금유출,
97,종속기업 처분으로 인한 현금유출,
98,관계기업투자의 취득,9893000000.0
99,재무활동현금흐름,-1462257000000.0
100,차입금의 증가,3933056000000.0
101,차입금의 상환,4405023000000.0
102,자기주식의 취득,771889000000.0
103,배당금의 지급,218401000000.0
104,현금및현금성자산에 대한 환율변동효과,7225000000.0
105,현금및현금성자산의 순증가(감소),738958000000.0
106,기초현금및현금성자산,436731000000.0
107,기말현금및현금성자산,1175719000000.0
108,기초자본,18036303000000.0
109,기초자본,-150000000.0
110,기초자본,18036453000000.0
111,기초자본,-24000000.0
112,기초자본,-41815000000.0
113,기초자본,10276904000000.0
114,기초자본,3657652000000.0
115,기초자본,4143736000000.0
116,당기순이익(손실),4323595000000.0
117,당기순이익(손실),1239000000.0
118,당기순이익(손실),4322356000000.0
119,당기순이익(손실),4322356000000.0
120,매도가능금융자산평가손익,
121,매도가능금융자산평가손익,
122,매도가능금융자산평가손익,
123,확정급여제도의 재측정요소,-21871000000.0
124,확정급여제도의 재측정요소,-21871000000.0
125,확정급여제도의 재측정요소,-21871000000.0
126,관계기업의 기타포괄손익에 대한 지분,6487000000.0
127,관계기업의 기타포괄손익에 대한 지분,6487000000.0
128,관계기업의 기타포괄손익에 대한 지분,6487000000.0
129,해외사업환산손익,33479000000.0
130,해외사업환산손익,-249000000.0
131,해외사업환산손익,33728000000.0
132,해외사업환산손익,33728000000.0
133,총포괄손익,4341690000000.0
134,총포괄손익,990000000.0
135,총포괄손익,4340700000000.0
136,총포괄손익,40215000000.0
137,총포괄손익,4300485000000.0
138,배당금의 지급,-218401000000.0
139,배당금의 지급,-218401000000.0
140,배당금의 지급,-218401000000.0
141,종속기업 취득을 위한 신주교부,
142,종속기업 취득을 위한 신주교부,
143,종속기업 취득을 위한 신주교부,
144,종속기업 취득을 위한 신주교부,
145,전환사채의 전환,
146,전환사채의 전환,
147,전환사채의 전환,
148,전환사채의 전환,
149,자기주식 취득,-771889000000.0
150,자기주식 취득,-771889000000.0
151,자기주식 취득,-771889000000.0
