,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
8,000660,SK하이닉스,30150,-600,-2.0,1878039,56961584500,30550,30750,30150,21949271304750,1.55,728002365,343990898.0,47.25,9,2016-01-04
2157,000660,SK하이닉스,30600,450,1.5,2482905,76504141850,30500,31200,30350,22276872369000,1.56,728002365,343979879.0,47.25,9,2016-01-05
4306,000660,SK하이닉스,30750,150,0.5,2461593,75285219350,30600,30900,30300,22386072723750,1.57,728002365,344481704.0,47.32,9,2016-01-06
6454,000660,SK하이닉스,30200,-550,-1.8,2424880,73591767700,30400,30750,30200,21985671423000,1.56,728002365,344489872.0,47.32,8,2016-01-07
8604,000660,SK하이닉스,29700,-500,-1.7,3967121,118219096300,29800,30100,29550,21621670240500,1.52,728002365,343812644.0,47.23,9,2016-01-08
10754,000660,SK하이닉스,28650,-1050,-3.5,5358223,154605955100,29400,29500,28600,20857267757250,1.49,728002365,342380472.0,47.03,10,2016-01-11
12904,000660,SK하이닉스,27800,-850,-3.0,4418384,124222732200,28600,28900,27700,20238465747000,1.45,728002365,341708970.0,46.94,11,2016-01-12
15053,000660,SK하이닉스,28100,300,1.1,3481523,98276647850,28100,28450,28000,20456866456500,1.44,728002365,341459828.0,46.9,11,2016-01-13
17203,000660,SK하이닉스,27900,-200,-0.7,3957935,109173985485,27300,27900,27200,20311265983500,1.44,728002365,341473182.0,46.91,12,2016-01-14
19352,000660,SK하이닉스,26800,-1100,-3.9,5431851,148323506000,27950,28300,26800,19510463382000,1.4,728002365,340351567.0,46.75,12,2016-01-15
21502,000660,SK하이닉스,26700,-100,-0.4,3658921,96816650400,25900,27000,25800,19437663145500,1.39,728002365,340249588.0,46.74,13,2016-01-18
23647,000660,SK하이닉스,28300,1600,6.0,4291742,119177305250,26700,28300,26700,20602466929500,1.47,728002365,340839825.0,46.82,9,2016-01-19
25798,000660,SK하이닉스,26800,-1500,-5.3,4186899,113619188000,28050,28100,26750,19510463382000,1.42,728002365,340025938.0,46.71,11,2016-01-20
27947,000660,SK하이닉스,26600,-200,-0.8,2840628,76359516200,26600,27250,26600,19364862909000,1.42,728002365,339788041.0,46.67,11,2016-01-21
30095,000660,SK하이닉스,27150,550,2.1,2361216,64402991050,27200,27600,27000,19765264209750,1.42,728002365,339898189.0,46.69,12,2016-01-22
32240,000660,SK하이닉스,28000,850,3.1,2977310,82864404800,27550,28200,27300,20384066220000,1.45,728002365,340134759.0,46.72,9,2016-01-25
34387,000660,SK하이닉스,27850,-150,-0.5,5351814,151248828650,28000,29100,27750,20274865865250,1.46,728002365,340738273.0,46.8,9,2016-01-26
36535,000660,SK하이닉스,27650,-200,-0.7,3205822,88746694600,28100,28350,27250,20129265392250,1.43,728002365,340405994.0,46.76,9,2016-01-27
38686,000660,SK하이닉스,27650,0,0.0,3035447,82674230025,27450,27750,26850,20129265392250,1.42,728002365,340427075.0,46.76,11,2016-01-28
40835,000660,SK하이닉스,27300,-350,-1.3,2898720,78735926850,27250,27350,26950,19874464564500,1.41,728002365,339970626.0,46.7,10,2016-01-29
42984,000660,SK하이닉스,28400,1100,4.0,4767927,134510309700,28100,28650,27700,20675267166000,1.45,728002365,340311126.0,46.75,9,2016-02-01
45134,000660,SK하이닉스,28450,50,0.2,2865209,81503420000,28450,28800,28150,20711667284250,1.47,728002365,340400844.0,46.76,9,2016-02-02
47285,000660,SK하이닉스,27450,-1000,-3.5,2705269,74209313650,27600,27850,27200,19983664919250,1.43,728002365,339704209.0,46.66,9,2016-02-03
49437,000660,SK하이닉스,28100,650,2.4,2459305,68467136950,27700,28150,27600,20456866456500,1.44,728002365,339868969.0,46.69,9,2016-02-04
51590,000660,SK하이닉스,28100,0,0.0,1484771,41802265750,28100,28350,27900,20456866456500,1.44,728002365,340378693.0,46.76,9,2016-02-05
53744,000660,SK하이닉스,27150,-950,-3.4,2468082,67038189150,27000,27400,26950,19765264209750,1.44,728002365,340267885.0,46.74,9,2016-02-11
