,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
72,000720,현대건설,27650,-900,-3.2,426583,11984323150,28350,28750,27650,3078986902250,0.22,111355765,27401315.0,24.61,73,2016-01-04
2222,000720,현대건설,28100,450,1.6,439012,12258294550,27400,28200,27400,3129096996500,0.22,111355765,27399468.0,24.61,74,2016-01-05
4373,000720,현대건설,27350,-750,-2.7,659779,18100172300,28050,28350,27150,3045580172750,0.21,111355765,27295260.0,24.51,76,2016-01-06
6520,000720,현대건설,27650,300,1.1,643200,17814046270,27450,28100,27250,3078986902250,0.22,111355765,27206173.0,24.43,74,2016-01-07
8669,000720,현대건설,28100,450,1.6,623087,17146432050,27350,28200,27000,3129096996500,0.22,111355765,27001442.0,24.25,74,2016-01-08
10816,000720,현대건설,28800,700,2.5,788786,22625722000,27700,29450,27650,3207046032000,0.23,111355765,26869554.0,24.13,72,2016-01-11
12965,000720,현대건설,28950,150,0.5,681261,19696624050,29150,29350,28450,3223749396750,0.23,111355765,26710438.0,23.99,72,2016-01-12
15111,000720,현대건설,31950,3000,10.4,3051710,96387354350,29300,32350,29050,3557816691750,0.25,111355765,26748972.0,24.02,69,2016-01-13
17260,000720,현대건설,32000,50,0.2,1174341,37279006250,31400,32200,31150,3563384480000,0.25,111355765,26507350.0,23.8,69,2016-01-14
19409,000720,현대건설,30900,-1100,-3.4,1179749,37386056550,32800,33150,30850,3440893138500,0.25,111355765,26216372.0,23.54,69,2016-01-15
21558,000720,현대건설,31600,700,2.3,1882211,59836484350,32450,33300,30950,3518842174000,0.25,111355765,25916598.0,23.27,69,2016-01-18
23709,000720,현대건설,30900,-700,-2.2,640492,19879826100,31700,31700,30550,3440893138500,0.25,111355765,25817463.0,23.18,71,2016-01-19
25859,000720,현대건설,29250,-1650,-5.3,1078268,31774319750,31100,31250,28450,3257156126250,0.24,111355765,25809128.0,23.18,72,2016-01-20
28007,000720,현대건설,29700,450,1.5,870135,25906144350,29000,30450,28750,3307266220500,0.24,111355765,25819274.0,23.19,71,2016-01-21
30152,000720,현대건설,31250,1550,5.2,1081105,33322966150,30300,31300,30250,3479867656250,0.25,111355765,25703418.0,23.08,69,2016-01-22
32300,000720,현대건설,32550,1300,4.2,1240160,40196193650,31900,32950,31300,3624630150750,0.26,111355765,25625289.0,23.01,69,2016-01-25
34448,000720,현대건설,32500,-50,-0.2,616228,19967061750,32000,32900,31850,3619062362500,0.26,111355765,25524488.0,22.92,70,2016-01-26
