,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
16,000810,삼성화재,285000,2500,0.9,47931,13634494500,282500,287000,279500,13501828545000,1.0,47374837,24661544.0,52.06,17,2015-01-02
2050,000810,삼성화재,286000,1000,0.4,59099,16784993000,282000,287500,281500,13549203382000,1.01,47374837,24677706.0,52.09,16,2015-01-05
4084,000810,삼성화재,290500,4500,1.6,137022,39974529360,286000,296000,284500,13762390148500,1.04,47374837,24692161.0,52.12,15,2015-01-06
6119,000810,삼성화재,296500,6000,2.1,111059,32930019000,295500,301500,291000,14046639170500,1.06,47374837,24709068.0,52.16,15,2015-01-07
8153,000810,삼성화재,300500,4000,1.4,109707,32863976000,300500,302500,296500,14236138518500,1.07,47374837,24726925.0,52.19,15,2015-01-08
10187,000810,삼성화재,297000,-3500,-1.2,44747,13352005500,303000,303500,296500,14070326589000,1.04,47374837,24736707.0,52.21,16,2015-01-09
12219,000810,삼성화재,292000,-5000,-1.7,62072,18115690500,295500,298000,290500,13833452404000,1.03,47374837,24748831.0,52.24,15,2015-01-12
14252,000810,삼성화재,295000,3000,1.0,70665,20892924500,291000,298500,291000,13975576915000,1.04,47374837,24761590.0,52.27,15,2015-01-13
16285,000810,삼성화재,297000,2000,0.7,85178,25267178000,295000,298500,292000,14070326589000,1.05,47374837,24761174.0,52.27,16,2015-01-14
18316,000810,삼성화재,298500,1500,0.5,76352,22706788500,297000,301500,295000,14141388844500,1.05,47374837,24769994.0,52.29,15,2015-01-15
20351,000810,삼성화재,286000,-12500,-4.2,59012,16897753500,295000,296500,283500,13549203382000,1.02,47374837,24772352.0,52.29,17,2015-01-16
22381,000810,삼성화재,283000,-3000,-1.0,37373,10611659500,284500,290000,282000,13407078871000,1.0,47374837,24767627.0,52.28,17,2015-01-19
24411,000810,삼성화재,279000,-4000,-1.4,73971,20882701500,285500,286000,278500,13217579523000,0.98,47374837,24770670.0,52.29,17,2015-01-20
26439,000810,삼성화재,289500,10500,3.8,88604,25418532000,277500,291000,277500,13715015311500,1.01,47374837,24780329.0,52.31,17,2015-01-21
28466,000810,삼성화재,290000,500,0.2,52600,15205071500,287500,291000,286000,13738702730000,1.02,47374837,24782395.0,52.31,17,2015-01-22
30493,000810,삼성화재,293000,3000,1.0,39022,11396213500,288000,293500,288000,13880827241000,1.02,47374837,24781521.0,52.31,17,2015-01-23
32520,000810,삼성화재,299000,6000,2.0,59416,17710699250,295500,304500,293000,14165076263000,1.04,47374837,24792148.0,52.33,17,2015-01-26
34547,000810,삼성화재,310500,11500,3.8,119093,36422858000,301000,310500,300000,14709886888500,1.07,47374837,24806795.0,52.36,16,2015-01-27
36574,000810,삼성화재,316500,6000,1.9,131668,41117766500,307000,321500,305000,14994135910500,1.09,47374837,24805729.0,52.36,16,2015-01-28
38601,000810,삼성화재,317500,1000,0.3,107808,34289571500,313000,324500,308500,15041510747500,1.1,47374837,24800527.0,52.35,16,2015-01-29
40629,000810,삼성화재,295000,-22500,-7.1,169918,51046201500,312000,313000,295000,13975576915000,1.02,47374837,24799921.0,52.35,17,2015-01-30
42656,000810,삼성화재,299000,4000,1.4,58453,17348913500,293000,299500,290000,14165076263000,1.03,47374837,24804141.0,52.36,17,2015-02-02
44683,000810,삼성화재,294500,-4500,-1.5,47430,14000000000,297500,301000,292000,13951889496500,1.02,47374837,24806025.0,52.36,17,2015-02-03
46711,000810,삼성화재,296500,2000,0.7,59272,17638669500,294500,299500,294000,14046639170500,1.02,47374837,24809892.0,52.37,18,2015-02-04
48737,000810,삼성화재,296000,-500,-0.2,57367,16986196842,296500,300000,292500,14022951752000,1.02,47374837,24815570.0,52.38,17,2015-02-05
50766,000810,삼성화재,293000,-3000,-1.0,69503,20282469612,293500,296000,289500,13880827241000,1.01,47374837,24820761.0,52.39,18,2015-02-06
52795,000810,삼성화재,290000,-3000,-1.0,39175,11414514000,292500,294500,290000,13738702730000,1.0,47374837,24821582.0,52.39,18,2015-02-09
54824,000810,삼성화재,288000,-2000,-0.7,38134,10984249500,289500,291500,286500,13643953056000,1.0,47374837,24800798.0,52.35,18,2015-02-10
56852,000810,삼성화재,293500,5500,1.9,32665,9542104500,286500,294500,286500,13904514659500,1.01,47374837,24802457.0,52.35,18,2015-02-11
58881,000810,삼성화재,292000,-1500,-0.5,46741,13578068500,291000,293000,287000,13833452404000,1.01,47374837,24792620.0,52.33,18,2015-02-12
60910,000810,삼성화재,285000,-7000,-2.4,65619,18717660432,290500,292000,282500,13501828545000,0.98,47374837,24783026.0,52.31,18,2015-02-13
62939,000810,삼성화재,292500,7500,2.6,50525,14651505500,282500,294500,282500,13857139822500,1.0,47374837,24791632.0,52.33,18,2015-02-16
64969,000810,삼성화재,261500,-31000,-10.6,267558,70968812000,281000,282500,261500,12388519875500,0.89,47374837,24670305.0,52.07,19,2015-02-17
66996,000810,삼성화재,259000,-2500,-1.0,227678,59235555903,262500,264500,258000,12270082783000,0.88,47374837,24613592.0,51.95,18,2015-02-23
69025,000810,삼성화재,256500,-2500,-1.0,270999,69673828516,258500,259500,254000,12151645690500,0.87,47374837,24520804.0,51.76,19,2015-02-24
71051,000810,삼성화재,256500,0,0.0,395455,101588931918,256500,259000,254000,12151645690500,0.86,47374837,24315182.0,51.33,19,2015-02-25
73077,000810,삼성화재,252500,-4000,-1.6,398474,100537426500,254000,254000,250000,11962146342500,0.85,47374837,24223462.0,51.13,19,2015-02-26
75103,000810,삼성화재,255000,2500,1.0,466434,119000665000,256000,257000,253500,12080583435000,0.86,47374837,24126517.0,50.93,19,2015-02-27
77129,000810,삼성화재,246500,-8500,-3.3,325781,80763939500,254000,255000,244000,11677897320500,0.83,47374837,24014999.0,50.69,19,2015-03-02
