,account_nm,thstrm_amount
0,유동자산,337757265953.0
1,현금및현금성자산,108132860776.0
2,단기금융자산,4616429456.0
3,매출채권,92048491883.0
4,기타수취채권,42780629813.0
5,기타유동금융자산,
6,재고자산,83459568037.0
7,기타유동자산,6501925282.0
8,당기법인세자산,217360706.0
9,비유동자산,646886445788.0
10,장기금융자산,84036513.0
11,장기기타수취채권,8439717389.0
12,매도가능금융자산,11919371557.0
13,관계기업에 대한 투자자산,59100487540.0
14,유형자산,533140340401.0
15,무형자산,34197267491.0
16,기타비유동자산,5224897.0
17,자산총계,984643711741.0
18,유동부채,244044784854.0
19,매입채무,44271639860.0
20,단기차입금,125925929684.0
21,기타지급채무,51736650467.0
22,기타금융부채,15337995831.0
23,기타유동부채,4463917068.0
24,충당부채,2308651944.0
25,비유동부채,486541435802.0
26,장기차입금,399748737358.0
27,장기기타지급채무,3657721258.0
28,확정급여부채,63192668525.0
29,이연법인세부채,19403401674.0
30,비유동충당부채,538906987.0
31,부채총계,730586220656.0
32,지배기업의 소유주에게 귀속되는 자본,254057491085.0
33,납입자본,349884111294.0
34,자본금,222555835000.0
35,주식발행초과금,127328276294.0
36,기타자본구성요소,-70437842418.0
37,결손금,-25388777791.0
38,비지배지분,0.0
39,자본총계,254057491085.0
40,자본과부채총계,984643711741.0
41,매출액,666594986583.0
42,제품매출액,646489914896.0
43,기타매출액,20105071687.0
44,매출원가,436915515281.0
45,제품매출원가,436915515281.0
46,매출총이익,229679471302.0
47,판매비와관리비,104710656427.0
48,급여,21306745582.0
49,퇴직급여,2585947128.0
50,복리후생비,3583290672.0
51,여비교통비,710039346.0
52,통신비,244038604.0
53,전력비,1291633.0
54,세금과공과,1337937879.0
55,지급임차료,2061337691.0
56,감가상각비,974593834.0
57,수선비,58824110.0
58,보험료,145669609.0
59,소모품비,258683142.0
60,도서인쇄비,319138660.0
61,차량유지비,199258168.0
62,교육훈련비,673690973.0
63,지급수수료,6046930657.0
64,업무추진비,1113209953.0
65,광고선전비,307820712.0
66,운반보관료,912889493.0
67,해외지사비,1391931430.0
68,판매보증비,543835772.0
69,경상개발비,49406178834.0
70,대손상각비,-401999208.0
71,회의비,14619349.0
72,무형자산상각비,10914752404.0
73,영업이익(손실),124968814875.0
74,기타영업외수익,86726148287.0
75,배당금수익,1063150.0
76,수입임대료,39100000.0
77,외환차익,9686994087.0
78,외화환산이익,547935567.0
79,대손충당금환입,0.0
80,통화선도거래이익,42000000.0
81,통화선도평가이익,0.0
82,재고자산처분이익,36456974.0
83,매도가능증권처분이익,0.0
84,유형자산처분이익,12763327221.0
85,무형자산처분이익,1118127501.0
86,채무조정이익,61090126560.0
87,잡이익,1401017227.0
88,기타영업외비용,27215753854.0
89,외환차손,6777897680.0
90,외화환산손실,1081061690.0
91,통화선도거래손실,0.0
92,통화선도평가손실,0.0
93,매도가능증권처분손실,0.0
94,매도가능증권손상차손,0.0
95,유형자산처분손실,489346352.0
96,무형자산감액손실,14521127209.0
97,기타의 대손상각비,1160683500.0
98,기부금,3000000.0
99,우발충당부채전입액,2011083053.0
100,무형자산처분손실,0.0
101,무형자산폐기손실,0.0
102,잡손실,1171554370.0
103,지분법이익,2963231792.0
104,지분법손실,9862541230.0
105,종속기업투자처분손실,0.0
106,관계기업투자처분손실,551271520.0
107,관계기업투자처분이익,0.0
108,관계기업투자손상차손,1976196020.0
109,관계기업투자손상차손환입,2240868831.0
110,금융수익,2856827423.0
111,이자수익,1336143677.0
112,외환차익,1096680583.0
113,외화환산이익,424003163.0
114,파생상품평가이익,0.0
115,파생상품거래이익,0.0
116,금융원가,64326000249.0
117,이자비용,50040103705.0
118,외환차손,1644198580.0
119,외화환산손실,6768961252.0
120,파생상품평가손실,2350075199.0
121,채무상환손실,3522661513.0
122,법인세비용차감전순이익(손실),115824128335.0
123,법인세비용,-10909224069.0
124,계속영업이익(손실),126733352404.0
125,당기순이익(손실),126733352404.0
126,지배기업의 소유지분,126733352404.0
127,계속사업이익,126733352404.0
128,기본주당이익,3112.0
129,희석주당이익,2867.0
130,당기순이익(손실),126733352404.0
131,기타포괄손익,-11509764318.0
132,후속적으로 당기손익으로 재분류되지 않는 항목,-6969660132.0
133,관계기업의 이익잉여금변동,-2729362833.0
134,보험수리적손익,-4240297299.0
135,후속적으로 당기손익으로 재분류될 수 있는 항목,-4540104186.0
136,매도가능증권 처분,0.0
137,매도가능증권 평가,198150232.0
138,해외사업환산손익,102422876.0
139,관계기업의 기타자본구성요소,-4840677294.0
140,총포괄손익,115223588086.0
141,지배기업의 소유지분,115223588086.0
142,비지배지분,0.0
143,영업활동현금흐름,152722221358.0
144,영업활동으로부터 창출된 현금흐름,198371295901.0
145,이자수취,1146386192.0
146,이자지급,46796523885.0
147,배당금수취,1063150.0
148,법인세납부,0.0
149,법인세환급,0.0
150,투자활동현금흐름,-12209258351.0
151,단기금융자산의 증가,13861529429.0
152,단기금융자산의 감소,12931352592.0
153,단기대여금의 감소,400000000.0
154,매도가능증권의 처분,274000000.0
155,종속기업및관계기업투자의 처분,
156,종속기업및관계기업투자의 취득,2471321020.0
157,유형자산의 처분,93780315701.0
