,account_nm,thstrm_amount
0,유동자산,6943581894000
1,현금및현금성자산,1195080774000
2,단기금융상품,615418191000
3,단기대여금,51141544000
4,매출채권,2655668392000
5,기타유동금융자산,317407463000
6,선급금,350654221000
7,재고자산,1495391511000
8,생물자산,28537526000
9,기타유동자산,234282272000
10,매각예정자산,6623190000
11,비유동자산,16611938422000
12,매도가능금융자산,605950246000
13,지분법적용 투자지분,870068511000
14,유형자산,9475638230000
15,무형자산,4249566250000
16,투자부동산,269048117000
17,기타비유동금융자산,535095029000
18,이연법인세자산,261630827000
19,기타비유동자산,344941212000
20,자산총계,23562143506000
21,유동부채,7684516234000
22,매입채무,1398350609000
23,단기차입금,2050571122000
24,유동성장기사채및차입금,1983808940000
25,미지급금,920760216000
26,기타유동금융부채,573667572000
27,미지급법인세,103595513000
28,유동충당부채,9805457000
29,기타유동부채,643956805000
30,매각예정부채,0
31,비유동부채,6014171244000
32,장기차입금,1420790955000
33,사채,3160813089000
34,예수보증금,186005785000
35,기타비유동금융부채,42243037000
36,확정급여부채,260141892000
37,이연법인세부채,757780769000
38,비유동충당부채,17897004000
39,기타비유동부채,168498713000
40,부채총계,13698687478000
41,납입자본,1146597551000
42,자본금,157698560000
43,주식발행초과금,988898991000
44,기타자본항목,-70136021000
45,이익잉여금(결손금),2524739630000
46,비지배지분,6262254868000
47,자본총계,9863456028000
48,자본과부채총계,23562143506000
49,영업수익,21166707211000
50,재화의 판매로 인한 수익(매출액),11865683805000
51,용역의 제공으로 인한 수익(매출액),7656960588000
52,건설계약으로 인한 수익(매출액),303715541000
53,임대료수익(매출액),73900155000
54,기타수익(매출액),1266447122000
55,매출원가,14473552196000
56,매출총이익,6693155015000
57,판매비와관리비,5467824749000
58,영업이익(손실),1225330266000
59,금융수익,290447843000
60,금융원가,605700120000
61,공동지배회사 및 관계회사에 대한 지분법손익,163322606000
62,기타이익,113092802000
63,기타손실,451603036000
64,법인세비용차감전순이익(손실),734890361000
65,법인세비용(수익),183774814000
66,계속영업이익(손실),551115547000
67,당기순이익(손실),551115547000
68,지배기업의 소유주에게 귀속되는 당기순이익(손실),205792550000
69,비지배지분에 귀속되는 당기순이익(손실),345322997000
70,기본주당이익(손실),7242
