,account_nm,thstrm_amount
0,유동자산,216369310406.0
1,현금및현금성자산,77413316151.0
2,단기금융상품,20000696698.0
3,당기손익인식금융자산,1058006610.0
4,매출채권,52894857868.0
5,미수금,2592787032.0
6,단기대여금,50000000.0
7,보증금,140250000.0
8,선급금,5102955704.0
9,선급비용,128577104.0
10,부가세대급금,
11,미수수익,107172424.0
12,매도가능금융자산,
13,재고자산,56880690815.0
14,비유동자산,284636428586.0
15,장기금융상품,286000000.0
16,매도가능금융자산,37179932443.0
17,지분법적용 투자지분,150117253133.0
18,보증금,3847322449.0
19,유형자산,83512632762.0
20,영업권 이외의 무형자산,4805764932.0
21,이연법인세자산,4887522867.0
22,순확정급여자산,
23,자산총계,501005738992.0
24,유동부채,97623241000.0
25,매입채무,27029332146.0
26,미지급금,11639114157.0
27,단기차입금,44251155315.0
28,예수금,540203059.0
29,부가세예수금,294059620.0
30,미지급비용,467555081.0
31,유동충당부채,402682640.0
32,당기법인세부채,12543374388.0
33,기타유동부채,455764594.0
34,비유동부채,22141006860.0
35,장기차입금,5000000000.0
36,장기미지급금,189731335.0
37,보증금,90015200.0
38,퇴직급여채무,4144643461.0
39,비유동충당부채,
40,비지배지분부채,12716616864.0
41,부채총계,119764247860.0
42,지배기업의 소유주에게 귀속되는 자본,292855064341.0
43,자본금,11194415000.0
44,기타불입자본,120556372797.0
45,기타자본구성요소,15459179489.0
46,이익잉여금,145645097055.0
47,비지배지분,88386426791.0
48,자본총계,381241491132.0
49,자본과부채총계,501005738992.0
50,수익(매출액),221832028453.0
51,영업비용(매출원가),151666031582.0
52,매출총이익,70165996871.0
53,판매비와관리비,41983910949.0
54,영업이익(손실),28182085922.0
55,금융수익,1364839361.0
56,금융비용,8644393058.0
57,관계기업투자이익,258643192.0
58,관계기업투자손실,
59,관계기업투자처분손실,
60,기타영업외수익,17412754634.0
61,기타영업외비용,5603782744.0
62,분배예정자산처분이익,
63,법인세비용차감전순이익(손실),32970147307.0
64,법인세비용,2412565165.0
65,계속영업이익(손실),30557582142.0
66,중단영업이익(손실),
67,당기순이익(손실),30557582142.0
68,지배기업의 소유주,15207835358.0
69,비지배지분,15349746784.0
70,계속영업과 중단영업  기본 및 희석주당순이익,3914.0
71,계속영업 기본 및 희석주당이익,3914.0
72,중단영업 기본 및 희석주당손실,
73,당기순이익(손실),30557582142.0
74,기타포괄손익,4805089349.0
75,후속적으로 당기손익으로 재분류되지 않는 항목,-699376764.0
76,확정급여제도 재측정손익,-629029569.0
77,지분법이익잉여금변동,-208733700.0
78,당기손익으로 재분류되지 않는 항목의 법인세,138386505.0
79,후속적으로 당기손익으로 재분류될 수 있는 항목,5504466113.0
80,매도가능금융자산 평가손익,7426407134.0
81,지분법자본변동,119137514.0
82,당기손익으로 재분류될 수 있는 항목의 법인세,-2041078535.0
83,총포괄이익,35362671491.0
84,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",20594706779.0
85,"포괄손익, 비지배지분",14767964712.0
86,영업활동으로 인한 현금흐름,8228337616.0
87,영업으로부터 창출된 현금,28231635608.0
88,당기순이익,30557582142.0
89,조정,8051059813.0
90,순운전자본의 변동,-10377006347.0
91,이자의수취,1154564980.0
92,이자의지급,1132059009.0
93,배당금의수취,600153600.0
94,법인세의납부,20625957563.0
95,투자활동현금흐름,-49840647250.0
96,투자활동으로 인한 현금유입액,17053473291.0
97,단기금융상품의 감소,740000000.0
98,장기금융상품의 감소,
99,지분법적용투자주식의감소,213467615.0
100,당기손익인식금융자산의 처분,2130453185.0
101,매도가능금융자산의 처분,13933441192.0
102,유형자산의 처분,36111299.0
103,무형자산의 처분,
104,투자활동으로 인한 현금유출액,-66894120541.0
105,단기금융상품의 증가,4003007308.0
106,장기금융상품의 증가,312000000.0
107,단기대여금의 증가,50000000.0
108,당기손익인식금융자산의 취득,2080784430.0
109,매도가능금융자산의 취득,2407501662.0
110,유형자산의 취득,28517775733.0
111,무형자산의 취득,590160631.0
112,지분법적용투자주식의취득,26839838960.0
113,종속기업의 순취득,2093051817.0
114,연결범위 변동으로 인한 감소,
115,재무활동현금흐름,86186795238.0
116,재무활동으로 인한 현금유입액,261422024510.0
117,단기차입금의 증가,154381438209.0
118,장기차입금의 증가,
119,종속기업투자주식의 처분,70964634801.0
120,종속기업의 유상증자,36075951500.0
121,재무활동으로 인한 현금유출액,-175235229272.0
122,단기차입금의 상황,160176702340.0
123,유동성장기부채의 상환,5000000000.0
124,배당금의 지급,4987936300.0
125,비지배지분부채의 상환,3300000000.0
126,자기주식의 취득,
127,유상감자,1620000000.0
128,인적분할로 인한 감소,
129,신주발행비 지급,150590632.0
130,현금및현금성자산의순증가(감소),44574485604.0
131,기초현금및현금성자산,32618048430.0
132,외화표시 현금및현금성자산의 환율변동효과,220782117.0
133,기말의현금,77413316151.0
134,기초자본,188465104207.0
135,기초자본,30462856640.0
136,기초자본,158002247567.0
137,기초자본,6040977502.0
138,기초자본,
139,기초자본,2700990893.0
140,기초자본,-5762388391.0
141,기초자본,9102375000.0
142,기초자본,9862049927.0
143,기초자본,9709108347.0
144,기초자본,152941580.0
145,기초자본,132996845138.0
146,기초자본,9102375000.0
147,배당금의 지급,-4987936300.0
148,배당금의 지급,-2638611000.0
149,배당금의 지급,-2349325300.0
150,배당금의 지급,-2349325300.0
151,감자차손 보전,
152,감자차손 보전,
153,감자차손 보전,
154,자본준비금 이입,
155,자본준비금 이입,
156,자본준비금 이입,
157,자본준비금 이입,
158,당기순이익,30557582142.0
159,당기순이익,15349746784.0
160,당기순이익,15207835358.0
161,당기순이익,15207835358.0
162,매도가능금융자산평가손익,5512580301.0
163,매도가능금융자산평가손익,-289887075.0
164,매도가능금융자산평가손익,5802467376.0
165,매도가능금융자산평가손익,5802467376.0
166,매도가능금융자산평가손익,5802467376.0
167,지분법자본변동,-8114188.0
168,지분법자본변동,197223626.0
169,지분법자본변동,-205337814.0
170,지분법자본변동,-205337814.0
171,지분법자본변동,-205337814.0
172,지분법이익잉여금변동,-208733700.0
173,지분법이익잉여금변동,-208733700.0
174,지분법이익잉여금변동,-208733700.0
175,확정급여제도 재측정요소,-490643064.0
176,확정급여제도 재측정요소,-489118623.0
177,확정급여제도 재측정요소,-1524441.0
178,확정급여제도 재측정요소,-1524441.0
179,종속회사의 유상증자,66794689368.0
180,종속회사의 유상증자,
181,종속회사의 유상증자,66794689368.0
182,종속회사의 유상증자,64702649368.0
183,종속회사의 유상증자,
184,종속회사의 유상증자,64702649368.0
185,종속회사의 유상증자,2092040000.0
186,종속회사의 지배권 상실,
187,종속회사의 지배권 상실,
188,종속회사의 지배권 상실,
189,종속회사의 지배권 상실,
190,종속회사의 지배권 상실,
191,자기주식의 취득,
192,자기주식의 취득,
193,자기주식의 취득,
194,자기주식의 취득,
195,인적분할로 인한 변동,
196,인적분할로 인한 변동,
197,인적분할로 인한 변동,
198,인적분할로 인한 변동,
199,인적분할로 인한 변동,
200,인적분할로 인한 변동,
201,인적분할로 인한 변동,
202,인적분할로 인한 변동,
203,인적분할로 인한 변동,
204,인적분할로 인한 변동,
205,종속기업의 지분률 변동,92390837450.0
206,종속기업의 지분률 변동,42578091523.0
207,종속기업의 지분률 변동,49812745927.0
208,종속기업의 지분률 변동,49812745927.0
209,종속기업의 지분률 변동,49812745927.0
210,종속기업의 편입,3216124916.0
211,종속기업의 편입,3216124916.0
212,기타,
213,기타,
214,기타,
215,기타,
216,기타,
217,총포괄손익,35362671491.0
218,총포괄손익,14767964712.0
219,총포괄손익,20594706779.0
220,총포괄손익,5597129562.0
221,총포괄손익,5802467376.0
222,총포괄손익,-205337814.0
223,총포괄손익,14997577217.0
224,기말자본,381241491132.0
225,기말자본,88386426791.0
226,기말자본,292855064341.0
227,기말자본,120556372797.0
228,기말자본,52513736820.0
229,기말자본,-5762388391.0
230,기말자본,73805024368.0
231,기말자본,15459179489.0
232,기말자본,15511575723.0
233,기말자본,-52396234.0
234,기말자본,145645097055.0
235,기말자본,11194415000.0
