,account_nm,thstrm_amount
0,비유동자산,2037158149494.0
1,유형자산,1757468057123.0
2,무형자산,28916887636.0
3,투자부동산,21938241793.0
4,영업권,24058250370.0
5,관계기업투자,17318067162.0
6,기타비유동금융자산,115563008493.0
7,매도가능금융자산,8879701083.0
8,만기보유금융자산,
9,장기금융예치금,106683307410.0
10,장기매출채권 및 기타채권,2731995338.0
11,이연법인세자산,6090098961.0
12,기타비유동자산,63073542618.0
13,유동자산,939740690203.0
14,재고자산,188124039221.0
15,기타유동금융자산,20558406.0
16,유동매도가능금융자산,20558406.0
17,만기보유금융자산,
18,매출채권 및 기타채권,171346030539.0
19,단기금융예치금,257868921911.0
20,현금및현금성자산,252770602276.0
21,기타유동자산,69610537850.0
22,매각예정비유동자산,21939953226.0
23,자산총계,2998838792923.0
24,납입자본,96771505380.0
25,자본금,29880455000.0
26,보통주자본금,29880455000.0
27,주식발행초과금,66891050380.0
28,기타자본구성요소,-47887499206.0
29,자기주식,32423770684.0
30,기타자본,-15463728522.0
31,이익잉여금(결손금),1329826808209.0
32,적립금,642269682291.0
33,이익잉여금,687557125918.0
34,지배기업의 소유주에게 귀속되는 자본,1378710814383.0
35,비지배지분,147465124234.0
36,자본총계,1526175938617.0
37,비유동부채,730392277014.0
38,장기차입금,653190778643.0
39,장기매입채무 및 기타채무,1199994815.0
40,순확정급여부채,3798499734.0
41,이연법인세부채,71329544965.0
42,기타비유동부채,873458857.0
43,유동부채,735268871114.0
44,유동성장기차입금,176578756039.0
45,단기차입금,177187106493.0
46,매입채무 및 기타채무,297038662113.0
47,파생상품부채,
48,미지급법인세,23732590471.0
49,기타유동부채,60731755998.0
50,매각예정비유동자산과 직접 관련된 부채,7001706178.0
51,부채총계,1472662854306.0
52,자본과부채총계,2998838792923.0
53,매출액,2382377301315.0
54,매출원가,1267654383680.0
55,매출총이익,1114722917635.0
56,판매비,681733742060.0
57,관리비,133668927767.0
58,영업이익,299320247808.0
59,순기타수익(비용),-7211344380.0
60,순금융비용(원가),-39985672444.0
61,관계기업에 대한 지분법이익(손실),-326939610.0
62,법인세비용차감전순이익,251796291374.0
63,법인세비용,75253095689.0
64,계속영업이익(손실),176543195685.0
65,중단영업이익(손실),564401532.0
66,당기순이익(손실),177107597217.0
67,법인세비용차감후기타포괄손익,556699685.0
68,당기손익으로 재분류되는 세후기타포괄손익,1794073689.0
69,매도가능금융자산평가이익(손실),110894006.0
70,해외사업장외환환산차이,2294495823.0
71,관계기업 기타포괄손익 중 지분해당액,-633073779.0
72,관련 법인세효과,21757639.0
73,당기손익으로 재분류되지 않는 세후기타포괄손익,-1237374004.0
74,"법인세비용차감전기타포괄손익, 확정급여제도의 재측정손익",-1622724570.0
75,관련 법인세효과,385350566.0
76,총포괄이익,177664296902.0
77,지배기업 소유주지분,162318225631.0
78,계속영업당기순이익,162197220881.0
79,중단영업당기순이익,121004750.0
80,비지배지분,14789371586.0
81,계속영업당기순이익,14345974804.0
82,중단영업당기순이익,443396782.0
83,지배기업 소유주지분,162242164056.0
84,비지배지분,15422132846.0
85,기본주당이익,30891.0
86,중단영업 기본주당이익,23.0
87,희석주당이익,30883.0
88,중단영업 희석주당이익,23.0
89,영업활동현금흐름,482078532918.0
90,당기순이익,176543195685.0
91,중단영업당기순손실,564401532.0
92,당기순이익조정을 위한 가감,380996446049.0
93,퇴직급여원가,12392388981.0
94,유형자산감가상각비,104154615711.0
95,투자부동산감가상각비,223853640.0
96,무형자산상각비,77894007038.0
97,유형자산손상차손,9160437457.0
98,무형자산손상차손,2297896610.0
99,매출채권손상차손,3868222977.0
100,매각예정자산손상차손,
101,유형자산처분손실,5498168252.0
102,무형자산처분손실,130983225.0
103,투자자산처분손실,2666380327.0
104,매도가능금융자산손상차손,1000371897.0
105,매도가능금융자산처분손실,
106,관계기업투자손상차손,774596751.0
107,기타채권손상차손,132774106.0
108,파생상품평가손실,
109,소송충당부채전입,1621513242.0
110,외화환산손실,20524596547.0
111,이자비용,29888968603.0
112,기타현금유출이없는비용,603451144.0
113,법인세비용,80739668760.0
114,관계기업 순손익에 대한 지분감소(증가),326939610.0
115,유형자산처분이익,2990753753.0
116,대손충당금환입,2253953397.0
117,매도가능금융자산처분이익,-28299863.0
118,외화환산이익,3538657274.0
119,파생상품평가이익,-3301920.0
120,염가매수차익,
121,이자수익,-12119593698.0
122,배당금수익,-497350.0
123,기타현금의유입이없는수익,-813806313.0
124,매출채권 및 기타채권의 증감,-31873759047.0
125,재고자산의 감소(증가),31007915583.0
126,단기금융예치금의 증감,85899238025.0
127,기타유동자산의 감소(증가),3462274116.0
128,기타비유동비금융자산의 감소(증가),7496930900.0
129,매입채무 및 기타채무의 감소(증가),-53309955304.0
130,순확정급여부채의 증감,16539827409.0
131,기타유동부채의 증가(감소),24482785793.0
132,기타비유동부채의 증가(감소),-1780127918.0
133,이자의 수취,11642848296.0
134,배당금의수취,497350.0
135,이자의 지급,24842269137.0
136,법인세의 납부,62826586857.0
137,투자활동현금흐름,-302165059036.0
138,만기보유금융자산의 회수,257565000.0
139,매도가능금융자산의 처분,3559733196.0
140,관계기업투자주식의 처분,
141,유형자산의 처분,6878713136.0
142,무형자산의 처분,401913162.0
143,임차보증금의 감소,5524366173.0
144,단기대여금의 회수,2789679599.0
145,매각예정자산/부채의 처분,2714575289.0
146,기타투자활동으로 인한 현금유입액,1608101648.0
147,만기보유금융자산의 취득,51045000.0
148,매도가능금융자산의 취득,24925000.0
149,종속기업투자주식의 취득,
150,관계기업투자주식의취득,
151,유형자산의 취득,134956817877.0
152,무형자산의 취득,5440812689.0
153,임차보증금의증가,-5825893505.0
154,장기대여금의 증가,
155,단기대여금의 증가,4989360894.0
156,사업결합으로 인한 현금의 감소,-3522104033.0
157,기타투자활동으로 인한 현금유출액,-2230021726.0
158,금융기관예치금의 감소,568897559324.0
159,금융기관예치금의 증가,737756284839.0
160,재무활동현금흐름,-143871528488.0
161,주식선택권의 행사로 인한 증자,193723380.0
162,임대보증금의 증가,4805316800.0
163,단기차입금의 증가,239198263399.0
164,장기차입금의 증가,101565896749.0
165,사채의 증가,69825600000.0
166,기타재무활동으로인한현금유입(유출),
167,임대보증금의 감소,-4537247732.0
168,단기차입금의 상환,353127951432.0
169,유동성장기차입금의 상환,-76097560019.0
170,유동성사채의 상환,-40000000000.0
171,장기차입금의 상환,31941837986.0
172,배당금지급,36324216000.0
173,비지배지분의 취득,-17293323659.0
174,기타재무활동으로 인한 현금유출액,-138191988.0
175,환율변동효과 반영전 현금및현금성자산의 순증가(감소),36041945394.0
176,외화표시 현금및현금성자산의 환율변동효과,1339674016.0
177,외화표시 현금및현금성자산의 환율변동효과,1339674016.0
178,현금및현금성자산의순증가(감소),37381619410.0
179,기초현금및현금성자산,216473622886.0
180,기말현금및현금성자산,253855242296.0
181,처분집단으로 분류된 현금및현금성자산,-1084640020.0
182,분기말 재무상태표상 현금및현금성자산,252770602276.0
183,기초자본,1402522480560.0
184,기초자본,155398152814.0
185,기초자본,1247124327746.0
186,기초자본,-17111252993.0
187,기초자본,548109187256.0
188,기초자본,-32566543881.0
189,기초자본,29874845000.0
190,기초자본,652201557919.0
191,기초자본,66616534445.0
192,당기순이익(손실),177107597217.0
193,당기순이익(손실),14789371586.0
194,당기순이익(손실),162318225631.0
195,당기순이익(손실),162318225631.0
196,매도가능금융자산평가이익(손실),84917187.0
197,매도가능금융자산평가이익(손실),
198,매도가능금융자산평가이익(손실),84917187.0
199,매도가능금융자산평가이익(손실),84917187.0
200,매도가능금융자산의 재분류조정,0.0
201,해외사업장외화환산차이,2262139774.0
202,해외사업장외화환산차이,931414687.0
203,해외사업장외화환산차이,1330725087.0
204,해외사업장외화환산차이,1330725087.0
205,관계기업의기타포괄손익에대한 지분,-552983272.0
206,관계기업의기타포괄손익에대한 지분,-269026020.0
207,관계기업의기타포괄손익에대한 지분,-283957252.0
208,관계기업의기타포괄손익에대한 지분,-283957252.0
209,"법인세비용차감전기타포괄손익, 확정급여제도의 재측정손익",-1237374004.0
210,"법인세비용차감전기타포괄손익, 확정급여제도의 재측정손익",-29627407.0
211,"법인세비용차감전기타포괄손익, 확정급여제도의 재측정손익",-1207746597.0
212,"법인세비용차감전기타포괄손익, 확정급여제도의 재측정손익",-1207746597.0
213,총포괄이익,177664296902.0
214,총포괄이익,15422132846.0
215,총포괄이익,162242164056.0
216,총포괄이익,1131685022.0
217,총포괄이익,161110479034.0
218,자본에 직접 반영된 소유주와의 거래 등,-54010838845.0
219,자본에 직접 반영된 소유주와의 거래 등,-23355161426.0
220,자본에 직접 반영된 소유주와의 거래 등,-30655677419.0
221,자본에 직접 반영된 소유주와의 거래 등,515839449.0
222,자본에 직접 반영된 소유주와의 거래 등,-21662540372.0
223,자본에 직접 반영된 소유주와의 거래 등,142773197.0
224,자본에 직접 반영된 소유주와의 거래 등,5610000.0
225,자본에 직접 반영된 소유주와의 거래 등,-9931875628.0
226,자본에 직접 반영된 소유주와의 거래 등,274515935.0
227,연차배당,-36417822000.0
228,연차배당,-4823406000.0
229,연차배당,-31594416000.0
230,연차배당,-31594416000.0
231,주식선택권행사,193723380.0
232,주식선택권행사,193723380.0
233,주식선택권행사,-86402555.0
234,주식선택권행사,5610000.0
235,주식선택권행사,274515935.0
236,주식할인발행차금,0.0
237,주식할인발행차금,
238,주식할인발행차금,
239,비지배지분의 취득,-17808413054.0
240,비지배지분의 취득,-18553428255.0
241,비지배지분의 취득,745015201.0
242,비지배지분의 취득,602242004.0
243,비지배지분의 취득,142773197.0
244,임의적립금이입,0.0
245,임의적립금이입,22666666666.0
246,임의적립금이입,-22666666666.0
247,법정적립금전입,0.0
248,법정적립금전입,-12734791038.0
249,법정적립금전입,12734791038.0
250,임의적립금전입,0.0
251,임의적립금전입,
252,임의적립금전입,
