,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
43,001800,오리온,1000000,-15000,-1.5,6585,6541194000,994000,1003000,986000,5974969000000,0.44,5974969,2587327.0,43.3,44,2015-01-02
2078,001800,오리온,1010000,10000,1.0,8194,8176130000,984000,1019000,984000,6034718690000,0.45,5974969,2589816.0,43.34,44,2015-01-05
4113,001800,오리온,984000,-26000,-2.6,8836,8766287000,999000,1017000,978000,5879369496000,0.45,5974969,2588172.0,43.32,44,2015-01-06
6148,001800,오리온,980000,-4000,-0.4,11091,10845298590,984000,992000,952000,5855469620000,0.44,5974969,2585350.0,43.27,44,2015-01-07
8182,001800,오리온,970000,-10000,-1.0,13320,12961665000,971000,983000,961000,5795719930000,0.43,5974969,2584591.0,43.26,44,2015-01-08
10215,001800,오리온,975000,5000,0.5,12549,12232351000,971000,980000,966000,5825594775000,0.43,5974969,2582500.0,43.22,44,2015-01-09
12249,001800,오리온,975000,0,0.0,10673,10403562000,963000,977000,963000,5825594775000,0.43,5974969,2580209.0,43.18,45,2015-01-12
14282,001800,오리온,989000,14000,1.4,35272,34511344000,987000,991000,976000,5909244341000,0.44,5974969,2576600.0,43.12,45,2015-01-13
16313,001800,오리온,994000,5000,0.5,8353,8323229000,992000,1003000,981000,5939119186000,0.44,5974969,2574108.0,43.08,44,2015-01-14
18345,001800,오리온,1003000,9000,0.9,7926,7929657000,985000,1009000,985000,5992893907000,0.45,5974969,2571255.0,43.03,44,2015-01-15
20379,001800,오리온,997000,-6000,-0.6,5943,5935342000,991000,1012000,989000,5957044093000,0.45,5974969,2569424.0,43.0,45,2015-01-16
22410,001800,오리온,997000,0,0.0,5114,5118589000,996000,1013000,995000,5957044093000,0.45,5974969,2568522.0,42.99,46,2015-01-19
24439,001800,오리온,1018000,21000,2.1,12722,12927415000,1018000,1024000,999000,6082518442000,0.45,5974969,2570207.0,43.02,45,2015-01-20
26465,001800,오리온,1052000,34000,3.3,11598,12102801000,1010000,1052000,1010000,6285667388000,0.46,5974969,2574413.0,43.09,43,2015-01-21
28493,001800,오리온,1055000,3000,0.3,11358,11767369000,1052000,1055000,1022000,6303592295000,0.47,5974969,2577521.0,43.14,44,2015-01-22
30520,001800,오리온,1052000,-3000,-0.3,9877,10466601000,1060000,1074000,1040000,6285667388000,0.46,5974969,2574793.0,43.09,44,2015-01-23
32546,001800,오리온,1059000,7000,0.7,6595,6991638740,1067000,1069000,1054000,6327492171000,0.46,5974969,2573155.0,43.07,43,2015-01-26
34575,001800,오리온,1075000,16000,1.5,10188,10906707000,1060000,1083000,1059000,6423091675000,0.47,5974969,2574930.0,43.1,44,2015-01-27
36602,001800,오리온,1034000,-41000,-3.8,31663,32750115000,1052000,1053000,984000,6178117946000,0.45,5974969,2566419.0,42.95,44,2015-01-28
38629,001800,오리온,1040000,6000,0.6,10590,11019492000,1034000,1047000,1029000,6213967760000,0.45,5974969,2567665.0,42.97,44,2015-01-29
40656,001800,오리온,1050000,10000,1.0,13184,13886590000,1053000,1073000,1038000,6273717450000,0.46,5974969,2569569.0,43.01,44,2015-01-30
42683,001800,오리온,1048000,-2000,-0.2,5550,5791734000,1041000,1056000,1031000,6261767512000,0.46,5974969,2571313.0,43.03,44,2015-02-02
44710,001800,오리온,1046000,-2000,-0.2,6939,7264027000,1055000,1061000,1034000,6249817574000,0.45,5974969,2570329.0,43.02,44,2015-02-03
46737,001800,오리온,1061000,15000,1.4,6913,7330790000,1043000,1068000,1035000,6339442109000,0.46,5974969,2573239.0,43.07,44,2015-02-04
48763,001800,오리온,1048000,-13000,-1.2,9875,10295830000,1053000,1062000,1036000,6261767512000,0.45,5974969,2571040.0,43.03,43,2015-02-05
50791,001800,오리온,1047000,-1000,-0.1,11049,11521440844,1034000,1049000,1034000,6255792543000,0.45,5974969,2569437.0,43.0,43,2015-02-06
52822,001800,오리온,1035000,-12000,-1.2,10028,10391849000,1043000,1056000,1028000,6184092915000,0.45,5974969,2569989.0,43.01,45,2015-02-09
54852,001800,오리온,1005000,-30000,-2.9,16527,16614817370,1031000,1045000,992000,6004843845000,0.44,5974969,2567529.0,42.97,46,2015-02-10
56881,001800,오리온,984000,-21000,-2.1,16851,16735028000,1015000,1023000,983000,5879369496000,0.43,5974969,2566441.0,42.95,47,2015-02-11
58907,001800,오리온,1015000,31000,3.2,9285,9339461000,985000,1020000,985000,6064593535000,0.44,5974969,2569275.0,43.0,44,2015-02-12
60936,001800,오리온,1029000,14000,1.4,9604,9803999664,1002000,1032000,1001000,6148243101000,0.44,5974969,2570406.0,43.02,44,2015-02-13
62967,001800,오리온,1007000,-22000,-2.1,8293,8481628622,1019000,1034000,1006000,6016793783000,0.44,5974969,2570501.0,43.02,46,2015-02-16
64995,001800,오리온,1019000,12000,1.2,4667,4740478000,1009000,1025000,1001000,6088493411000,0.44,5974969,2570304.0,43.02,45,2015-02-17
67024,001800,오리온,1027000,8000,0.8,6452,6637072000,1013000,1037000,1008000,6136293163000,0.44,5974969,2569124.0,43.0,46,2015-02-23
69053,001800,오리온,1006000,-21000,-2.0,7376,7437969000,1015000,1030000,1005000,6010818814000,0.43,5974969,2567967.0,42.98,47,2015-02-24
71081,001800,오리온,980000,-26000,-2.6,18795,18435748648,1011000,1011000,977000,5855469620000,0.42,5974969,2565474.0,42.94,49,2015-02-25
73107,001800,오리온,934000,-46000,-4.7,27558,25901098000,980000,985000,928000,5580621046000,0.4,5974969,2563341.0,42.9,49,2015-02-26
75133,001800,오리온,964000,30000,3.2,21355,20532977648,930000,975000,929000,5759870116000,0.41,5974969,2569409.0,43.0,49,2015-02-27
77160,001800,오리온,970000,6000,0.6,8009,7718480000,957000,972000,945000,5795719930000,0.41,5974969,2571609.0,43.04,50,2015-03-02
79185,001800,오리온,971000,1000,0.1,13474,13002727000,954000,978000,935000,5801694899000,0.41,5974969,2573231.0,43.07,50,2015-03-03
81210,001800,오리온,977000,6000,0.6,7154,6955708050,955000,980000,955000,5837544713000,0.41,5974969,2579024.0,43.16,50,2015-03-04
83235,001800,오리온,983000,6000,0.6,12055,11847986000,966000,987000,966000,5873394527000,0.42,5974969,2583730.0,43.24,50,2015-03-05
85260,001800,오리온,984000,1000,0.1,8038,7901060000,984000,988000,977000,5879369496000,0.41,5974969,2587135.0,43.3,50,2015-03-06
87285,001800,오리온,950000,-34000,-3.5,6239,5988881000,972000,978000,950000,5676220550000,0.4,5974969,2588755.0,43.33,50,2015-03-09
89309,001800,오리온,948000,-2000,-0.2,8090,7651151000,951000,964000,937000,5664270612000,0.4,5974969,2589729.0,43.34,49,2015-03-10
91336,001800,오리온,924000,-24000,-2.5,14166,13139893000,938000,948000,921000,5520871356000,0.39,5974969,2587465.0,43.31,51,2015-03-11
93360,001800,오리온,935000,11000,1.2,13144,12389125000,923000,951000,922000,5586596015000,0.4,5974969,2586052.0,43.28,50,2015-03-12
95384,001800,오리온,977000,42000,4.5,17688,17244260000,950000,980000,950000,5837544713000,0.41,5974969,2586737.0,43.29,49,2015-03-13
97405,001800,오리온,995000,18000,1.8,17600,17557808000,984000,1005000,977000,5945094155000,0.42,5974969,2591646.0,43.38,48,2015-03-16
99426,001800,오리온,1032000,37000,3.7,18913,19333585000,995000,1034000,995000,6166168008000,0.43,5974969,2600307.0,43.52,47,2015-03-17
101447,001800,오리온,1062000,30000,2.9,12249,12951845000,1046000,1065000,1021000,6345417078000,0.44,5974969,2602849.0,43.56,47,2015-03-18
103468,001800,오리온,1076000,14000,1.3,12945,13930230000,1062000,1092000,1058000,6429066644000,0.45,5974969,2605444.0,43.61,47,2015-03-19
105490,001800,오리온,1072000,-4000,-0.4,13414,14538272000,1067000,1102000,1065000,6405166768000,0.44,5974969,2610183.0,43.69,47,2015-03-20
107511,001800,오리온,1104000,32000,3.0,10085,11076149000,1073000,1113000,1060000,6596365776000,0.46,5974969,2613382.0,43.74,46,2015-03-23
109532,001800,오리온,1097000,-7000,-0.6,16941,18272890000,1103000,1103000,1063000,6554540993000,0.45,5974969,2616293.0,43.79,45,2015-03-24
111554,001800,오리온,1101000,4000,0.4,7702,8450129000,1085000,1107000,1084000,6578440869000,0.45,5974969,2618790.0,43.83,45,2015-03-25
113576,001800,오리온,1117000,16000,1.4,12944,14454843000,1112000,1133000,1108000,6674040373000,0.47,5974969,2622067.0,43.88,44,2015-03-26
115598,001800,오리온,1133000,16000,1.4,9661,10938795000,1113000,1139000,1112000,6769639877000,0.47,5974969,2618004.0,43.82,43,2015-03-27
117623,001800,오리온,1140000,7000,0.6,6789,7686874000,1131000,1141000,1122000,6811464660000,0.47,5974969,2618287.0,43.82,44,2015-03-30
119647,001800,오리온,1158000,18000,1.6,10360,11883303000,1131000,1159000,1122000,6919014102000,0.48,5974969,2616938.0,43.8,43,2015-03-31
121670,001800,오리온,1205000,47000,4.1,12075,14460786000,1169000,1219000,1159000,7199837645000,0.5,5974969,2614885.0,43.76,40,2015-04-01
123699,001800,오리온,1198000,-7000,-0.6,19484,23367160000,1210000,1222000,1176000,7158012862000,0.5,5974969,2610483.0,43.69,43,2015-04-02
125724,001800,오리온,1243000,45000,3.8,8740,10645207000,1191000,1243000,1184000,7426886467000,0.51,5974969,2609830.0,43.68,42,2015-04-03
127754,001800,오리온,1205000,-38000,-3.1,13040,15688754000,1250000,1250000,1191000,7199837645000,0.49,5974969,2606813.0,43.63,43,2015-04-06
129783,001800,오리온,1200000,-5000,-0.4,12117,14503498000,1205000,1205000,1187000,7169962800000,0.49,5974969,2599807.0,43.51,43,2015-04-07
131811,001800,오리온,1211000,11000,0.9,33539,40433457000,1190000,1234000,1187000,7235687459000,0.49,5974969,2596549.0,43.46,42,2015-04-08
133840,001800,오리온,1210000,-1000,-0.1,13889,16674245000,1203000,1217000,1193000,7229712490000,0.49,5974969,2599725.0,43.51,42,2015-04-09
135870,001800,오리온,1224000,14000,1.2,11593,14210837000,1204000,1235000,1200000,7313362056000,0.49,5974969,2597184.0,43.47,43,2015-04-10
137899,001800,오리온,1240000,16000,1.3,9970,12315381000,1213000,1240000,1211000,7408961560000,0.49,5974969,2593960.0,43.41,43,2015-04-13
139928,001800,오리온,1215000,-25000,-2.0,23712,28780913000,1229000,1242000,1207000,7259587335000,0.48,5974969,2592364.0,43.39,44,2015-04-14
141955,001800,오리온,1236000,21000,1.7,19719,24696702000,1205000,1279000,1205000,7385061684000,0.49,5974969,2595957.0,43.45,43,2015-04-15
143976,001800,오리온,1262000,26000,2.1,11489,14471539000,1224000,1296000,1224000,7540410878000,0.49,5974969,2597270.0,43.47,42,2015-04-16
145997,001800,오리온,1308000,46000,3.6,11159,14357039000,1261000,1308000,1245000,7815259452000,0.51,5974969,2597780.0,43.48,41,2015-04-17
148019,001800,오리온,1316000,8000,0.6,10230,13264603000,1337000,1337000,1275000,7863059204000,0.51,5974969,2597128.0,43.47,41,2015-04-20
150042,001800,오리온,1299000,-17000,-1.3,17096,22132210672,1316000,1316000,1283000,7761484731000,0.51,5974969,2597419.0,43.47,41,2015-04-21
152064,001800,오리온,1308000,9000,0.7,17368,22656530000,1290000,1315000,1290000,7815259452000,0.51,5974969,2600088.0,43.52,40,2015-04-22
154089,001800,오리온,1300000,-8000,-0.6,11229,14587702000,1294000,1316000,1294000,7767459700000,0.5,5974969,2597442.0,43.47,41,2015-04-23
156113,001800,오리온,1300000,0,0.0,13798,17831891800,1286000,1314000,1283000,7767459700000,0.51,5974969,2601276.0,43.54,42,2015-04-24
158136,001800,오리온,1285000,-15000,-1.2,9518,12232436000,1300000,1301000,1280000,7677835165000,0.5,5974969,2602606.0,43.56,42,2015-04-27
160159,001800,오리온,1280000,-5000,-0.4,8930,11419780000,1299000,1299000,1270000,7647960320000,0.5,5974969,2602237.0,43.55,42,2015-04-28
162184,001800,오리온,1260000,-20000,-1.6,8459,10657938000,1285000,1292000,1249000,7528957380000,0.49,5975363,2604439.0,43.59,42,2015-04-29
164211,001800,오리온,1253000,-7000,-0.6,8981,11252248000,1244000,1274000,1244000,7487129839000,0.49,5975363,2603407.0,43.57,42,2015-04-30
166236,001800,오리온,1269000,16000,1.3,4319,5481608000,1269000,1275000,1258000,7582735647000,0.5,5975363,2603429.0,43.57,42,2015-05-04
168261,001800,오리온,1282000,13000,1.0,9404,12022249000,1282000,1284000,1263000,7660415366000,0.51,5975363,2604259.0,43.58,42,2015-05-06
170287,001800,오리온,1258000,-24000,-1.9,8607,10843896000,1270000,1279000,1254000,7517006654000,0.51,5975363,2607211.0,43.63,42,2015-05-07
172313,001800,오리온,1268000,10000,0.8,12414,15744998000,1255000,1292000,1248000,7576760284000,0.51,5975363,2608509.0,43.65,42,2015-05-08
174340,001800,오리온,1300000,32000,2.5,7387,9564748000,1280000,1303000,1265000,7767971900000,0.52,5975363,2609136.0,43.66,42,2015-05-11
176363,001800,오리온,1345000,45000,3.5,14205,18993404000,1318000,1359000,1299000,8036863235000,0.54,5975363,2611378.0,43.7,38,2015-05-12
178394,001800,오리온,1306000,-39000,-2.9,11159,14625115000,1345000,1346000,1296000,7803824078000,0.52,5975363,2608695.0,43.66,42,2015-05-13
180419,001800,오리온,1340000,34000,2.6,8323,11005608000,1290000,1341000,1289000,8006986420000,0.53,5975363,2610097.0,43.68,40,2015-05-14
182447,001800,오리온,1310000,-30000,-2.2,8736,11505053000,1340000,1354000,1291000,7827725530000,0.52,5975363,2610217.0,43.68,41,2015-05-15
184474,001800,오리온,1311000,1000,0.1,14842,19448849000,1336000,1344000,1291000,7833700893000,0.52,5975363,2606915.0,43.63,41,2015-05-18
186503,001800,오리온,1317000,6000,0.5,17575,23280032000,1320000,1335000,1308000,7869553071000,0.52,5975363,2606250.0,43.62,41,2015-05-19
188528,001800,오리온,1374000,57000,4.3,33089,44885452000,1317000,1385000,1317000,8210148762000,0.54,5975363,2590998.0,43.36,38,2015-05-20
190555,001800,오리온,1350000,-24000,-1.8,14861,20189364000,1358000,1380000,1348000,8066740050000,0.53,5975363,2585225.0,43.26,38,2015-05-21
192584,001800,오리온,1332000,-18000,-1.3,22073,29531151000,1375000,1378000,1328000,7959183516000,0.52,5975363,2586931.0,43.29,40,2015-05-22
194614,001800,오리온,1295000,-37000,-2.8,16459,21432673000,1317000,1330000,1293000,7738095085000,0.51,5975363,2587686.0,43.31,42,2015-05-26
196642,001800,오리온,1271000,-24000,-1.8,24651,30815634000,1280000,1296000,1224000,7594686373000,0.5,5975363,2590679.0,43.36,42,2015-05-27
198669,001800,오리온,1277000,6000,0.5,15750,20113146000,1255000,1285000,1255000,7630538551000,0.51,5975363,2588257.0,43.32,41,2015-05-28
200698,001800,오리온,1250000,-27000,-2.1,16643,20974702000,1254000,1284000,1250000,7469203750000,0.49,5975363,2589713.0,43.34,41,2015-05-29
202727,001800,오리온,1280000,30000,2.4,11677,14830850000,1257000,1282000,1234000,7648464640000,0.51,5975363,2588914.0,43.33,40,2015-06-01
204758,001800,오리온,1258000,-22000,-1.7,11682,14717648000,1280000,1297000,1241000,7517006654000,0.51,5975363,2587327.0,43.3,41,2015-06-02
206787,001800,오리온,1259000,1000,0.1,11224,14126822000,1280000,1280000,1246000,7522982017000,0.51,5975363,2586911.0,43.29,40,2015-06-03
208817,001800,오리온,1250000,-9000,-0.7,8030,10025900000,1231000,1264000,1230000,7469203750000,0.5,5975363,2586393.0,43.28,40,2015-06-04
210847,001800,오리온,1231000,-19000,-1.5,13899,16925331000,1231000,1250000,1195000,7355671853000,0.5,5975363,2584391.0,43.25,40,2015-06-05
212877,001800,오리온,1239000,8000,0.6,12642,15405774620,1217000,1246000,1196000,7403474757000,0.5,5975363,2585538.0,43.27,40,2015-06-08
214909,001800,오리온,1219000,-20000,-1.6,11641,14174614130,1240000,1246000,1208000,7283967497000,0.49,5975363,2585159.0,43.26,42,2015-06-09
216939,001800,오리온,1202000,-17000,-1.4,12937,15620098000,1219000,1240000,1197000,7182386326000,0.49,5975363,2586032.0,43.28,42,2015-06-10
218973,001800,오리온,1158000,-44000,-3.7,24248,28275214716,1192000,1202000,1157000,6919470354000,0.47,5975363,2587310.0,43.3,45,2015-06-11
221003,001800,오리온,1145000,-13000,-1.1,21214,24391085000,1167000,1176000,1137000,6841790635000,0.46,5975363,2591480.0,43.37,44,2015-06-12
223039,001800,오리온,1095000,-50000,-4.4,37409,40873242000,1138000,1138000,1076000,6543022485000,0.45,5975363,2588628.0,43.32,47,2015-06-15
225067,001800,오리온,1170000,75000,6.8,35164,40516472500,1112000,1185000,1091000,6991174710000,0.48,5975363,2582127.0,43.21,42,2015-06-16
227102,001800,오리온,1152000,-18000,-1.5,14244,16425309000,1156000,1171000,1125000,6883618176000,0.47,5975363,2575309.0,43.1,43,2015-06-17
229138,001800,오리온,1191000,39000,3.4,18322,21615327000,1168000,1197000,1149000,7116657333000,0.48,5975363,2565378.0,42.93,43,2015-06-18
231175,001800,오리온,1190000,-1000,-0.1,13796,16404181390,1184000,1201000,1173000,7110681970000,0.48,5975363,2562248.0,42.88,42,2015-06-19
233215,001800,오리온,1150000,-40000,-3.4,11349,13085218000,1174000,1188000,1140000,6871667450000,0.46,5975363,2559762.0,42.84,44,2015-06-22
235257,001800,오리온,1125000,-25000,-2.2,15870,17960103000,1134000,1150000,1125000,6722283375000,0.45,5975363,2557166.0,42.8,46,2015-06-23
237295,001800,오리온,1161000,36000,3.2,19349,22495099000,1136000,1175000,1135000,6937396443000,0.46,5975363,2553214.0,42.73,44,2015-06-24
239337,001800,오리온,1176000,15000,1.3,13678,16080740000,1176000,1190000,1158000,7027026888000,0.47,5975363,2549842.0,42.67,45,2015-06-25
241384,001800,오리온,1084000,-92000,-7.8,46084,50659773000,1167000,1167000,1077000,6477293492000,0.43,5975363,2533958.0,42.41,50,2015-06-26
243429,001800,오리온,1047000,-37000,-3.4,42896,44973131000,1070000,1074000,1035000,6256205061000,0.42,5975363,2512143.0,42.04,50,2015-06-29
245479,001800,오리온,1048000,1000,0.1,45223,46458793000,1038000,1053000,1011000,6262180424000,0.42,5975363,2489952.0,41.67,51,2015-06-30
247533,001800,오리온,1019000,-29000,-2.8,33282,34089755000,1032000,1045000,1013000,6088894897000,0.4,5975363,2476960.0,41.45,51,2015-07-01
249586,001800,오리온,1077000,58000,5.7,69805,76513237000,1100000,1117000,1061000,6435465951000,0.42,5975363,2453609.0,41.06,51,2015-07-02
251637,001800,오리온,1109000,32000,3.0,50829,56104294000,1100000,1117000,1085000,6626677567000,0.43,5975363,2429352.0,40.66,49,2015-07-03
253690,001800,오리온,1117000,8000,0.7,44911,51561375000,1105000,1186000,1102000,6674480471000,0.45,5975363,2413907.0,40.4,49,2015-07-06
255742,001800,오리온,1168000,51000,4.6,35549,41302021000,1168000,1181000,1135000,6979223984000,0.47,5975363,2409045.0,40.32,47,2015-07-07
