,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
200,002270,롯데푸드,578000,-2000,-0.3,5719,3278376000,576000,583000,568000,791534008000,0.06,1369436,115638.0,8.44,201,2015-01-02
2234,002270,롯데푸드,584000,6000,1.0,6271,3591236000,573000,587000,563000,799750624000,0.06,1369436,115698.0,8.45,200,2015-01-05
4273,002270,롯데푸드,559000,-25000,-4.3,9625,5450613000,575000,585000,557000,765514724000,0.06,1369436,115318.0,8.42,204,2015-01-06
6303,002270,롯데푸드,585000,26000,4.6,6084,3519998000,558000,590000,555000,801120060000,0.06,1369436,114893.0,8.39,199,2015-01-07
8340,002270,롯데푸드,565000,-20000,-3.4,5889,3324899000,583000,583000,543000,773731340000,0.06,1369436,113510.0,8.29,202,2015-01-08
10373,002270,롯데푸드,567000,2000,0.4,4190,2368080000,564000,573000,558000,776470212000,0.06,1369436,113341.0,8.28,202,2015-01-09
12405,002270,롯데푸드,580000,13000,2.3,2392,1376682000,561000,581000,561000,794272880000,0.06,1369436,112813.0,8.24,201,2015-01-12
14439,002270,롯데푸드,580000,0,0.0,3245,1891709000,580000,591000,575000,794272880000,0.06,1369436,112112.0,8.19,202,2015-01-13
16465,002270,롯데푸드,606000,26000,4.5,5826,3505347000,580000,613000,580000,829878216000,0.06,1369436,111120.0,8.11,196,2015-01-14
18495,002270,롯데푸드,625000,19000,3.1,5242,3247592000,601000,627000,600000,855897500000,0.06,1369436,109640.0,8.01,194,2015-01-15
20528,002270,롯데푸드,627000,2000,0.3,4219,2630357000,625000,629000,613000,858636372000,0.06,1369436,108183.0,7.9,194,2015-01-16
22558,002270,롯데푸드,620000,-7000,-1.1,3846,2393376000,620000,627000,616000,849050320000,0.06,1369436,107099.0,7.82,194,2015-01-19
24587,002270,롯데푸드,632000,12000,1.9,3727,2350739000,624000,638000,620000,865483552000,0.06,1369436,106911.0,7.81,193,2015-01-20
26616,002270,롯데푸드,622000,-10000,-1.6,3545,2216679000,638000,639000,614000,851789192000,0.06,1369436,107743.0,7.87,194,2015-01-21
28641,002270,롯데푸드,635000,13000,2.1,4012,2539543000,623000,639000,614000,869591860000,0.06,1369436,107419.0,7.84,192,2015-01-22
30669,002270,롯데푸드,636000,1000,0.2,2456,1563839000,625000,644000,625000,870961296000,0.06,1369436,106747.0,7.79,193,2015-01-23
32695,002270,롯데푸드,637000,1000,0.2,1349,852528000,636000,643000,626000,872330732000,0.06,1369436,106237.0,7.76,192,2015-01-26
34724,002270,롯데푸드,639000,2000,0.3,2661,1698905000,635000,644000,631000,875069604000,0.06,1369436,106085.0,7.75,193,2015-01-27
36750,002270,롯데푸드,650000,11000,1.7,3453,2226864000,643000,653000,632000,890133400000,0.06,1369436,105845.0,7.73,192,2015-01-28
38784,002270,롯데푸드,611000,-39000,-6.0,27668,16821384000,637000,637000,591000,836725396000,0.06,1369436,106649.0,7.79,199,2015-01-29
40808,002270,롯데푸드,621000,10000,1.6,7346,4535146000,608000,623000,600000,850419756000,0.06,1369436,107986.0,7.89,196,2015-01-30
42835,002270,롯데푸드,620000,-1000,-0.2,3283,2027488000,615000,624000,612000,849050320000,0.06,1369436,108511.0,7.92,196,2015-02-02
44862,002270,롯데푸드,630000,10000,1.6,3886,2424613000,610000,631000,610000,862744680000,0.06,1369436,109655.0,8.01,196,2015-02-03
46888,002270,롯데푸드,628000,-2000,-0.3,5857,3651778000,621000,633000,619000,860005808000,0.06,1369436,111964.0,8.18,195,2015-02-04
48918,002270,롯데푸드,624000,-4000,-0.6,2108,1314049000,625000,633000,620000,854528064000,0.06,1369436,112188.0,8.19,198,2015-02-05
50943,002270,롯데푸드,635000,11000,1.8,3781,2398258000,619000,640000,619000,869591860000,0.06,1369436,111778.0,8.16,195,2015-02-06
52973,002270,롯데푸드,630000,-5000,-0.8,6799,4232987000,635000,640000,605000,862744680000,0.06,1369436,112165.0,8.19,196,2015-02-09
55003,002270,롯데푸드,619000,-11000,-1.8,4516,2806054000,622000,630000,613000,847680884000,0.06,1369436,110357.0,8.06,197,2015-02-10
57028,002270,롯데푸드,638000,19000,3.1,2604,1650708000,624000,639000,624000,873700168000,0.06,1369436,110621.0,8.08,194,2015-02-11
59057,002270,롯데푸드,641000,3000,0.5,4271,2716396000,644000,647000,627000,877808476000,0.06,1369436,110411.0,8.06,194,2015-02-12
61086,002270,롯데푸드,643000,2000,0.3,3578,2290550000,636000,645000,635000,880547348000,0.06,1369436,110088.0,8.04,194,2015-02-13
63114,002270,롯데푸드,661000,18000,2.8,3161,2081402000,648000,666000,643000,905197196000,0.07,1369436,109804.0,8.02,193,2015-02-16
65143,002270,롯데푸드,661000,0,0.0,2253,1488503000,670000,670000,650000,905197196000,0.07,1369436,108928.0,7.95,193,2015-02-17
67172,002270,롯데푸드,654000,-7000,-1.1,2861,1878212000,676000,676000,646000,895611144000,0.06,1369436,108734.0,7.94,194,2015-02-23
69201,002270,롯데푸드,645000,-9000,-1.4,3214,2075093000,647000,663000,642000,883286220000,0.06,1369436,109927.0,8.03,195,2015-02-24
71224,002270,롯데푸드,665000,20000,3.1,4557,3006501000,649000,670000,645000,910674940000,0.06,1369436,109932.0,8.03,192,2015-02-25
73253,002270,롯데푸드,640000,-25000,-3.8,6537,4221326000,665000,670000,640000,876439040000,0.06,1369436,109219.0,7.98,195,2015-02-26
75281,002270,롯데푸드,636000,-4000,-0.6,5556,3500114000,636000,645000,619000,870961296000,0.06,1369436,110099.0,8.04,197,2015-02-27
77311,002270,롯데푸드,619000,-17000,-2.7,4419,2742747000,629000,637000,615000,847680884000,0.06,1369436,110286.0,8.05,201,2015-03-02
79332,002270,롯데푸드,625000,6000,1.0,4774,2999240000,617000,637000,614000,855897500000,0.06,1369436,110813.0,8.09,197,2015-03-03
81354,002270,롯데푸드,636000,11000,1.8,3408,2153335000,625000,639000,621000,870961296000,0.06,1369436,110404.0,8.06,194,2015-03-04
83379,002270,롯데푸드,650000,14000,2.2,3283,2116429000,628000,652000,628000,890133400000,0.06,1369436,109843.0,8.02,194,2015-03-05
85405,002270,롯데푸드,643000,-7000,-1.1,2541,1636337000,650000,656000,640000,880547348000,0.06,1369436,109755.0,8.01,195,2015-03-06
