,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
155,002350,넥센타이어,12650,-100,-0.8,143698,1819838800,12700,12750,12600,1219660844050,0.09,96415877,7012980.0,7.27,156,2015-01-02
2186,002350,넥센타이어,13100,450,3.6,366041,4716843150,12600,13100,12500,1263047988700,0.09,96415877,7160080.0,7.43,152,2015-01-05
4223,002350,넥센타이어,12750,-350,-2.7,228274,2912439200,12900,13100,12650,1229302431750,0.09,96415877,7088506.0,7.35,154,2015-01-06
6258,002350,넥센타이어,12700,-50,-0.4,144976,1844664000,12750,12800,12650,1224481637900,0.09,96415877,6981229.0,7.24,154,2015-01-07
8291,002350,넥센타이어,12800,100,0.8,114142,1459361400,12700,12850,12700,1234123225600,0.09,96415877,6960654.0,7.22,153,2015-01-08
10325,002350,넥센타이어,12750,-50,-0.4,303749,3867070350,12850,12900,12600,1229302431750,0.09,96415877,6968369.0,7.23,154,2015-01-09
12352,002350,넥센타이어,13350,600,4.7,599626,7933600400,12900,13400,12900,1287151957950,0.1,96415877,6985285.0,7.24,148,2015-01-12
14382,002350,넥센타이어,13500,150,1.1,355677,4760418200,13300,13500,13100,1301614339500,0.1,96415877,7146379.0,7.41,145,2015-01-13
16411,002350,넥센타이어,13750,250,1.8,377082,5192751150,13600,13950,13550,1325718308750,0.1,96415877,7148800.0,7.41,142,2015-01-14
18442,002350,넥센타이어,13900,150,1.1,168709,2324766950,13700,13950,13600,1340180690300,0.1,96415877,7220379.0,7.49,141,2015-01-15
20475,002350,넥센타이어,13900,0,0.0,262430,3630616750,13700,13950,13650,1340180690300,0.1,96415877,7232399.0,7.5,141,2015-01-16
22505,002350,넥센타이어,14000,100,0.7,221813,3099176100,14000,14050,13850,1349822278000,0.1,96415877,7250676.0,7.52,141,2015-01-19
24536,002350,넥센타이어,13800,-200,-1.4,161817,2228128550,14000,14000,13600,1330539102600,0.1,96415877,7166075.0,7.43,142,2015-01-20
26565,002350,넥센타이어,13450,-350,-2.5,203464,2772185150,13700,13800,13450,1296793545650,0.1,96415877,7178737.0,7.45,143,2015-01-21
28587,002350,넥센타이어,14400,950,7.1,1377601,19731482350,13700,14750,13700,1388388628800,0.1,96415877,7314147.0,7.59,138,2015-01-22
30613,002350,넥센타이어,14350,-50,-0.4,520194,7520074300,14400,14600,14250,1383567834950,0.1,96415877,7353139.0,7.63,137,2015-01-23
32643,002350,넥센타이어,14000,-350,-2.4,340508,4774668200,14200,14350,13800,1349822278000,0.1,96415877,7321897.0,7.59,140,2015-01-26
34670,002350,넥센타이어,14100,100,0.7,257397,3594261750,14050,14150,13800,1359463865700,0.1,96415877,7325734.0,7.6,139,2015-01-27
36692,002350,넥센타이어,15200,1100,7.8,1265110,18673444450,14200,15350,14050,1465521330400,0.11,96415877,7294614.0,7.57,134,2015-01-28
38717,002350,넥센타이어,15550,350,2.3,1287306,19699997800,15000,15600,14900,1499266887350,0.11,96415877,7851571.0,8.14,132,2015-01-29
40746,002350,넥센타이어,15600,50,0.3,550156,8553904800,15550,15700,15350,1504087681200,0.11,96415877,8048717.0,8.35,134,2015-01-30
42774,002350,넥센타이어,15550,-50,-0.3,333565,5158319050,15550,15600,15300,1499266887350,0.11,96415877,8129337.0,8.43,135,2015-02-02
44801,002350,넥센타이어,15600,50,0.3,726718,11107069050,15700,15800,14950,1504087681200,0.11,96415877,8285188.0,8.59,135,2015-02-03
46830,002350,넥센타이어,15450,-150,-1.0,393460,6102969100,15700,15700,15350,1489625299650,0.11,96415877,8304456.0,8.61,137,2015-02-04
48856,002350,넥센타이어,15550,100,0.6,362143,5648637800,15400,15700,15400,1499266887350,0.11,96415877,8355459.0,8.67,136,2015-02-05
50888,002350,넥센타이어,15300,-250,-1.6,230100,3525550050,15600,15700,15150,1475162918100,0.11,96415877,8437400.0,8.75,140,2015-02-06
52917,002350,넥센타이어,15200,-100,-0.6,211123,3207679400,15200,15350,15050,1465521330400,0.11,96415877,8493712.0,8.81,140,2015-02-09
54947,002350,넥센타이어,15250,50,0.3,171250,2606301050,15050,15400,14950,1470342124250,0.11,96415877,8499133.0,8.82,141,2015-02-10
56977,002350,넥센타이어,15250,0,0.0,113391,1732716500,15200,15400,15150,1470342124250,0.11,96415877,8526555.0,8.84,143,2015-02-11
59006,002350,넥센타이어,15150,-100,-0.7,97951,1483365250,15350,15400,15050,1460700536550,0.11,96415877,8536869.0,8.85,143,2015-02-12
61035,002350,넥센타이어,15100,-50,-0.3,149791,2281132350,15150,15400,15100,1455879742700,0.11,96415877,8576231.0,8.9,143,2015-02-13
63065,002350,넥센타이어,14600,-500,-3.3,352113,5176328250,15100,15200,14450,1407671804200,0.1,96415877,8656257.0,8.98,144,2015-02-16
65092,002350,넥센타이어,15250,650,4.4,794672,12117324950,15050,15500,14950,1470342124250,0.11,96415877,8760587.0,9.09,142,2015-02-17
67120,002350,넥센타이어,15100,-150,-1.0,291820,4446043950,15250,15350,15050,1455879742700,0.1,96415877,8750564.0,9.08,142,2015-02-23
69143,002350,넥센타이어,15650,550,3.6,339041,5245913750,15100,15700,15100,1508908475050,0.11,96415877,8823331.0,9.15,137,2015-02-24
71173,002350,넥센타이어,15400,-250,-1.6,193202,2994776750,15700,15700,15400,1484804505800,0.11,96415877,8830433.0,9.16,141,2015-02-25
73203,002350,넥센타이어,15200,-200,-1.3,149994,2307090650,15550,15550,15200,1465521330400,0.1,96415877,8841053.0,9.17,145,2015-02-26
75225,002350,넥센타이어,15350,150,1.0,121920,1873231550,15300,15500,15200,1479983711950,0.11,96415877,8840640.0,9.17,141,2015-02-27
77252,002350,넥센타이어,15150,-200,-1.3,108509,1648750150,15350,15400,15100,1460700536550,0.1,96415877,8836991.0,9.17,142,2015-03-02
79278,002350,넥센타이어,15400,250,1.6,304406,4656772300,15150,15450,15000,1484804505800,0.1,96415877,8825633.0,9.15,143,2015-03-03
81304,002350,넥센타이어,15450,50,0.3,267819,4126105050,15400,15550,15300,1489625299650,0.11,96415877,8917928.0,9.25,144,2015-03-04
