,account_nm,thstrm_amount
0,Ⅰ.유동자산,425095623545
1,현금및현금성자산,176089120937
2,단기금융상품,0
3,단기금융자산,7750000
4,매출채권 및 기타채권,92579367030
5,재고자산,121438153145
6,기타유동자산,34981232433
7,Ⅱ.비유동자산,496567056775
8,장기금융상품,96200000
9,장기금융자산,8373281711
10,장기매출채권및 기타채권,576335090
11,관계기업투자,4618111259
12,유형자산,419185971584
13,무형자산,21112667470
14,투자부동산,42209494443
15,기타비유동자산,394995218
16,자산총계,921662680320
17,Ⅰ.유동부채,152652311540
18,매입채무 및 기타채무,74910634188
19,단기차입금,6600000000
20,미지급법인세,5311136582
21,유동성장기부채,251293235
22,기타유동부채,65579247535
23,Ⅱ.비유동부채,91417498948
24,장기매입채무및기타채무,4493725789
25,장기차입금,241477296
26,확정급여부채,31360386102
27,이연법인세부채,46089126507
28,장기충당부채,9232783254
29,부채총계,244069810488
30,Ⅰ.소유주지분,677592869832
31,자본금,83683597500
32,기타자본항목,-11883221284
33,자본잉여금,21611121056
34,기타자본항목,-27685001254
35,기타포괄손익누계액,-5809341086
36,이익잉여금,605792493616
37,Ⅱ.비지배지분,0
38,자본총계,677592869832
39,부채와 자본총계,921662680320
40,매출액,504444993403
41,매출원가,442500511897
42,매출총이익,61944481506
43,판매비와관리비,23473084016
44,영업이익(손실),38471397490
45,기타수익,4108139963
46,기타비용,4978626530
47,금융수익,4919782567
48,금융비용,1868687840
49,관계기업투자손익,-432910736
50,법인세비용차감전순이익(손실),40219094914
51,법인세비용(수익),7595967822
52,계속영업순이익,32623127092
53,세후중단영업순이익,0
54,당기순이익,32623127092
55,소유주지분,32623127092
56,계속영업순이익,32623127092
57,중단영업순이익,0
58,비지배지분,0
59,중단영업순이익,0
60,기타포괄손익,-6293687789
61,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,-619121461
62,확정급여제도의 재측정요소,-619121461
63,후속적으로 당기손익으로 재분류되는 기타포괄손익,-5674566328
64,매도가능금융자산평가손익,-6255665619
65,해외사업환산손익,283377719
66,지분법자본변동,297721572
67,부의지분법자본변동,0
68,총포괄이익(손실),26329439303
69,소유주지분,26329439303
70,비지배지분,0
71,계속영업이익,1077
72,중단영업손익,0
73,계속영업이익,1077
74,중단영업손익,0
75,영업활동으로인한현금흐름,49034554690
76,영업에서 창출된 현금흐름,50823946506
77,이자수취액,2241121403
78,이자지급액,302303848
79,배당금수취액,20000000
80,법인세납부액,3748209371
81,중단영업영업활동으로 인한 순현금흐름,0
82,투자활동으로인한현금흐름,-6324711091
83,단기금융상품의 감소,0
84,매도가능금융자산의 처분,5450255338
85,만기보유금융자산의 감소,11020000
86,장기대여금의 감소,1132000
87,장기금융상품의 감소,0
88,보증금의 회수,460306156
89,기계장치의 처분,3000000
90,차량운반구의 처분,6777278
91,기타유형자산의 처분,3573200
92,개발비의 감소,4004198288
93,정부보조금의 수령,715105339
94,회원권의반납,165000000
95,투자부동산의 처분,185000000
96,단기금융상품의 증가,0
97,매도가능금융자산의 취득,3482715480
98,만기보유금융자산의 증가,3760000
99,장기대여금의 증가,0
100,장기금융상품의 취득,60000000
101,관계기업 투자의 취득,0
102,보증금의 증가,146520000
103,건물의 취득,771635540
104,구축물의 취득,842259000
105,기계장치의 취득,7239642986
106,차량운반구의 취득,100285590
107,기타유형자산의 취득,3535469764
108,건설중인자산의 취득,0
109,미착기계의 증가,0
110,개발비의 증가,841820330
111,소프트웨어의 취득,252720000
112,투자부동산의 취득,53250000
113,종속기업에대한지배력상실로인한순현금유출,0
114,중단영업투자활동으로 인한 순현금흐름,0
115,재무활동으로인한현금흐름,-3577565062
116,단기차입금의차입,1171806164
117,임대보증금의 증가,711380000
118,주식선택권행사,0
119,종속기업투자의 취득,0
120,단기차입금의 상환,1655806164
121,유동성장기차입금의 상환,243609962
122,장기차입금의 상환,54018000
123,리스료의 지급,0
124,임대보증금의감소,479605000
125,자기주식의 취득,0
126,배당금의 지급,3027712100
127,종속기업 자기주식의 취득,0
128,중단영업 재무활동으로 인한 순현금흐름,0
129,현금및현금성자산의 증감,39132278537
130,기초현금및현금성자산,136939785759
131,환율변동으로인한차이,17056641
132,기말현금및현금성자산,176089120937
133,기초자본,654291142629
134,기초자본,-27685001254
135,기초자본,-134774758
136,기초자본,0
137,기초자본,576816200085
138,기초자본,83683597500
139,기초자본,21611121056
140,당기순이익,32623127092
141,당기순이익,0
142,당기순이익,0
143,당기순이익,0
144,당기순이익,32623127092
145,당기순이익,0
146,당기순이익,0
147,매도가능금융자산평가손익,-6255665619
148,매도가능금융자산평가손익,0
149,매도가능금융자산평가손익,-6255665619
150,매도가능금융자산평가손익,0
151,매도가능금융자산평가손익,0
152,매도가능금융자산평가손익,0
153,매도가능금융자산평가손익,0
154,확정급여제도의 재측정요소,-619121461
155,확정급여제도의 재측정요소,0
156,확정급여제도의 재측정요소,0
157,확정급여제도의 재측정요소,0
158,확정급여제도의 재측정요소,-619121461
159,확정급여제도의 재측정요소,0
160,확정급여제도의 재측정요소,0
161,해외사업환산손익,283377719
162,해외사업환산손익,0
163,해외사업환산손익,283377719
164,해외사업환산손익,0
165,해외사업환산손익,0
166,해외사업환산손익,0
167,해외사업환산손익,0
168,부의지분법자본변동,0
169,부의지분법자본변동,0
170,부의지분법자본변동,0
171,부의지분법자본변동,0
172,부의지분법자본변동,0
173,부의지분법자본변동,0
174,부의지분법자본변동,0
175,지분법자본변동,297721572
176,지분법자본변동,0
177,지분법자본변동,297721572
