,account_nm,thstrm_amount
0,유동자산,613893131704.0
1,현금및현금성자산,197881903860.0
2,매출채권,150989625643.0
3,미수금,6452810073.0
4,기타수취채권,2620029945.0
5,파생상품자산,1707694762.0
6,재고자산,247673244137.0
7,기타자산,6567823284.0
8,비유동자산,1425304581581.0
9,장기금융상품,6000000.0
10,기타장기수취채권,39728011612.0
11,매도가능금융자산,560000000.0
12,유형자산,1187844822582.0
13,무형자산,186944584522.0
14,이연법인세자산,
15,공동기업투자,9868177766.0
16,기타비유동자산,352985099.0
17,자산총계,2039197713285.0
18,유동부채,878769617825.0
19,매입채무,432432182499.0
20,미지급금,172897876291.0
21,단기차입금,153224546132.0
22,파생상품부채,24073997.0
23,유동성사채,
24,기타지급채무,32484210527.0
25,제품보증충당부채,56861221537.0
26,유동성기타장기종업원급여부채,1960778250.0
27,기타부채,28884728592.0
28,비유동부채,443372917928.0
29,장기차입금,37500000000.0
30,장기미지급금,12612613877.0
31,순확정급여부채,292005725485.0
32,기타장기종업원급여부채,14321821345.0
33,장기제품보증충당부채,86932757221.0
34,부채총계,1322142535753.0
35,지배기업 소유주지분,717055177532.0
36,자본금,686100480000.0
37,기타불입자본,131678359632.0
38,기타자본구성요소,1570930453.0
39,이익잉여금(결손금),-102294592553.0
40,자본총계,717055177532.0
41,부채와 자본총계,2039197713285.0
42,매출액,3390065197470.0
43,제품매출액,3014054040132.0
44,상품매출액,350581563776.0
45,기타매출액,25953387219.0
46,매출할인,-523793657.0
47,매출원가,2868750169376.0
48,제품매출원가,2652038473285.0
49,상품매출원가,193322215415.0
50,기타매출원가,23389480676.0
51,매출총이익,521315028094.0
52,판매비와관리비,557126822189.0
53,판매비,382646861772.0
54,관리비,174479960417.0
55,영업이익(손실),-35811794095.0
56,영업외수익,31870877893.0
57,영업외비용,29824782882.0
58,금융수익,17402501531.0
59,금융비용,45215209014.0
60,공동기업투자관련손실,-331822234.0
61,법인세비용차감전순이익(손실),-61910228801.0
62,법인세비용,31945075.0
63,당기순이익(손실),-61942173876.0
64,지배기업 소유주지분,-61942173876.0
65,기타포괄이익(손실),-681571857.0
66,1. 후속적으로 당기손익으로 재분류 되지 않는 항목,-15317733274.0
67,(1) 순확정급여부채의재측정요소,-15317733274.0
68,2. 후속적으로 당기손익으로 재분류 될 수 있는 항목,14636161417.0
69,(1) 파생상품평가이익(손실),14394640000.0
70,(2) 해외사업환산이익(손실),241521417.0
71,당기총포괄이익(손실),-62623745733.0
72,지배기업 소유주지분,-62623745733.0
73,기본 및 희석주당순이익(손실),-452.0
74,영업활동으로 인한 현금흐름,201547228533.0
75,영업으로부터 창출된 현금,201798160082.0
76,당기순이익(손실),-61942173876.0
77,조정,217574021485.0
78,순운전자본의 변동,46166312473.0
79,이자의 수취,3281173895.0
80,이자의 지급,3532372711.0
81,배당금수입액,11000000.0
82,법인세부담액,10732733.0
83,투자활동으로 인한 현금흐름,-227994580003.0
84,투자활동으로 인한 현금유입액,8668107055.0
85,기타수취채권의 감소,7836121065.0
86,유형자산의 처분,718827343.0
87,무형자산의 처분,
88,기타자산의 감소,113158647.0
89,투자활동으로 인한 현금유출액,236662687058.0
90,기타수취채권의 증가,8493404205.0
91,유형자산의 취득,151095940246.0
92,무형자산의 취득,66873342607.0
93,공동기업투자주식의 취득,10200000000.0
94,재무활동으로 인한 현금흐름,67528400147.0
95,재무활동으로 인한 현금유입액,72528400147.0
96,차입금의 증가,70163042023.0
97,유상증자,
98,정부보조금의 수령,70400784.0
99,자기주식의 처분,2294957340.0
100,재무활동으로 인한 현금유출액,5000000000.0
101,주식발행비용,
102,차입금의상환,5000000000.0
103,외화표시 현금및현금성자산의 환율변동효과,35548064.0
104,현금의 증가(감소),41116596741.0
105,기초의 현금,156765307119.0
106,기말의 현금,197881903860.0
107,기초자본,777383965925.0
108,기초자본,129383402292.0
109,기초자본,118189001064.0
110,기초자본,
111,기초자본,-1189820000.0
112,기초자본,11452712819.0
113,기초자본,931508409.0
114,기초자본,-13065230964.0
115,기초자본,-25034685403.0
116,기초자본,686100480000.0
117,당기순이익(손실),-61942173876.0
118,당기순이익(손실),-61942173876.0
119,순확정급여부채의 재측정요소,-15317733274.0
120,순확정급여부채의 재측정요소,-15317733274.0
121,유상증자,
122,유상증자,
123,유상증자,
124,유상증자,
125,주식발행비용,
126,주식발행비용,
127,주식발행비용,
128,자기주식의 취득,
129,자기주식의 취득,
130,자기주식의 취득,
131,자기주식의 처분,2294957340.0
132,자기주식의 처분,2294957340.0
133,자기주식의 처분,1189820000.0
134,자기주식의 처분,1105137340.0
135,파생상품평가이익(손실),14394640000.0
136,파생상품평가이익(손실),14394640000.0
137,해외사업환산이익(손실),241521417.0
138,해외사업환산이익(손실),
139,해외사업환산이익(손실),
140,해외사업환산이익(손실),241521417.0
141,기타,
142,기타,
143,기타,
144,기타,
145,기말자본,717055177532.0
146,기말자본,131678359632.0
147,기말자본,118189001064.0
148,기말자본,
149,기말자본,
150,기말자본,1105137340.0
151,기말자본,11452712819.0
152,기말자본,931508409.0
153,기말자본,-10568960272.0
154,기말자본,-102294592553.0
155,기말자본,686100480000.0
