,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
388,004710,한솔테크닉스,14900,400,2.8,289701,4307449500,14400,15100,14300,313714389300,0.02,21054657,855153.0,4.06,389,2015-01-02
2425,004710,한솔테크닉스,14950,50,0.3,188964,2819949650,14900,15250,14650,314767122150,0.02,21054657,849375.0,4.03,391,2015-01-05
4469,004710,한솔테크닉스,14600,-350,-2.3,214180,3139724950,14700,15000,14450,307397992200,0.02,21054657,891800.0,4.24,400,2015-01-06
6506,004710,한솔테크닉스,14500,-100,-0.7,136181,1971951100,14500,14650,14300,305292526500,0.02,21054657,911858.0,4.33,402,2015-01-07
8538,004710,한솔테크닉스,14650,150,1.0,167810,2462066200,14500,14950,14450,308450725050,0.02,21054657,934167.0,4.44,400,2015-01-08
10575,004710,한솔테크닉스,14500,-150,-1.0,203682,2965651800,14750,14800,14400,305292526500,0.02,21054657,945478.0,4.49,404,2015-01-09
12610,004710,한솔테크닉스,14450,-50,-0.3,204926,2985824000,14350,14800,14350,304239793650,0.02,21054657,976711.0,4.64,406,2015-01-12
14643,004710,한솔테크닉스,14450,0,0.0,202629,2934474250,14450,14650,14250,304239793650,0.02,21054657,1044623.0,4.96,406,2015-01-13
16680,004710,한솔테크닉스,14350,-100,-0.7,104841,1510046600,14600,14600,14300,302134327950,0.02,21054657,1046515.0,4.97,411,2015-01-14
18685,004710,한솔테크닉스,15500,1150,8.0,600438,9071419950,14300,15500,14300,326347183500,0.02,21054657,1116117.0,5.3,384,2015-01-15
20706,004710,한솔테크닉스,16000,500,3.2,794159,12640977200,15500,16350,15300,336874512000,0.03,21054657,1111536.0,5.28,372,2015-01-16
22740,004710,한솔테크닉스,15950,-50,-0.3,262936,4187682400,16150,16200,15650,335821779150,0.03,21054657,1035671.0,4.92,376,2015-01-19
24779,004710,한솔테크닉스,15600,-350,-2.2,265211,4188204250,15900,16200,15550,328452649200,0.02,21054657,1010166.0,4.8,385,2015-01-20
26815,004710,한솔테크닉스,15350,-250,-1.6,535236,8250674400,15600,15950,15100,323188984950,0.02,21054657,915961.0,4.35,393,2015-01-21
28846,004710,한솔테크닉스,15050,-300,-2.0,429291,6527675200,15300,15650,14900,316872587850,0.02,21054657,838786.0,3.98,397,2015-01-22
30880,004710,한솔테크닉스,15000,-50,-0.3,279144,4196947600,15150,15250,14850,315819855000,0.02,21054657,830823.0,3.95,404,2015-01-23
32895,004710,한솔테크닉스,15300,300,2.0,252535,3874348750,15200,15550,15100,322136252100,0.02,21054657,856279.0,4.07,392,2015-01-26
34956,004710,한솔테크닉스,13850,-1450,-9.5,660791,9573226800,15450,15450,13850,291606999450,0.02,21054657,852037.0,4.05,425,2015-01-27
36989,004710,한솔테크닉스,13850,0,0.0,320808,4472671800,13850,14200,13750,291606999450,0.02,21054657,864975.0,4.11,431,2015-01-28
39016,004710,한솔테크닉스,13800,-50,-0.4,272833,3768333450,14000,14100,13450,290554266600,0.02,21054657,844691.0,4.01,431,2015-01-29
41048,004710,한솔테크닉스,13700,-100,-0.7,258040,3558702750,13900,14150,13600,288448800900,0.02,21054657,806489.0,3.83,436,2015-01-30
43090,004710,한솔테크닉스,13300,-400,-2.9,378392,5065222650,13650,13900,13000,280026938100,0.02,21054657,754406.0,3.58,451,2015-02-02
45101,004710,한솔테크닉스,13750,450,3.4,279518,3760109350,13350,13750,13150,289501533750,0.02,21054657,724475.0,3.44,435,2015-02-03
47120,004710,한솔테크닉스,14350,600,4.4,550855,7761609650,13950,14350,13850,302134327950,0.02,21054657,652340.0,3.1,427,2015-02-04
49149,004710,한솔테크닉스,14150,-200,-1.4,278043,3920215500,14400,14400,13950,297923396550,0.02,21054657,598714.0,2.84,429,2015-02-05
51178,004710,한솔테크닉스,14150,0,0.0,223128,3132659950,14200,14250,13950,297923396550,0.02,21054657,632422.0,3.0,430,2015-02-06
53206,004710,한솔테크닉스,14050,-100,-0.7,216726,3066078800,14250,14350,13950,295817930850,0.02,21054657,615922.0,2.93,429,2015-02-09
55229,004710,한솔테크닉스,14350,300,2.1,217157,3100938200,14000,14450,14000,302134327950,0.02,21054657,582489.0,2.77,423,2015-02-10
57250,004710,한솔테크닉스,14750,400,2.8,338591,4932831900,14350,14850,14300,310556190750,0.02,21054657,593753.0,2.82,416,2015-02-11
59280,004710,한솔테크닉스,14800,50,0.3,198221,2907265200,14850,14850,14500,311608923600,0.02,21054657,593195.0,2.82,417,2015-02-12
61320,004710,한솔테크닉스,14400,-400,-2.7,148103,2155130350,14900,14900,14400,303187060800,0.02,21054657,588342.0,2.79,428,2015-02-13
63362,004710,한솔테크닉스,13950,-450,-3.1,203375,2888917850,14300,14550,13950,293712465150,0.02,21054657,599384.0,2.85,441,2015-02-16
65387,004710,한솔테크닉스,14000,50,0.4,113365,1573761050,13950,14000,13750,294765198000,0.02,21054657,621650.0,2.95,437,2015-02-17
67428,004710,한솔테크닉스,13700,-300,-2.1,293243,3998419850,13900,14100,13450,288448800900,0.02,21054657,616662.0,2.93,450,2015-02-23
69445,004710,한솔테크닉스,14200,500,3.6,288400,4055053600,13800,14350,13600,298976129400,0.02,21054657,619470.0,2.94,439,2015-02-24
71480,004710,한솔테크닉스,13950,-250,-1.8,192990,2704694950,14150,14300,13900,293712465150,0.02,21054657,592387.0,2.81,448,2015-02-25
73493,004710,한솔테크닉스,14450,500,3.6,247933,3515678100,14050,14450,13800,304239793650,0.02,21054657,597991.0,2.84,435,2015-02-26
75515,004710,한솔테크닉스,14850,400,2.8,359651,5271333100,14350,15000,14300,312661656450,0.02,21054657,617589.0,2.93,431,2015-02-27
77543,004710,한솔테크닉스,14800,-50,-0.3,263378,3926224450,14900,15050,14750,311608923600,0.02,21054657,619780.0,2.94,433,2015-03-02
79574,004710,한솔테크닉스,14500,-300,-2.0,213880,3120574250,14850,14950,14400,305292526500,0.02,21054657,627234.0,2.98,439,2015-03-03
81609,004710,한솔테크닉스,14200,-300,-2.1,278397,3999473150,14500,14650,14150,298976129400,0.02,21054657,640386.0,3.04,449,2015-03-04
83631,004710,한솔테크닉스,14350,150,1.1,171251,2425025300,14100,14350,14000,302134327950,0.02,21054657,641674.0,3.05,446,2015-03-05
85628,004710,한솔테크닉스,15550,1200,8.4,1158149,17688144150,14450,15750,14400,327399916350,0.02,21054657,704193.0,3.34,418,2015-03-06
87642,004710,한솔테크닉스,15600,50,0.3,687629,10674439050,15450,15750,15250,328452649200,0.02,21054657,712464.0,3.38,407,2015-03-09
