,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
1,005380,현대차,169000,0,0.0,458014,77441258500,169000,170500,167000,37226724951000,2.77,220276479,96069163.0,43.61,2,2015-01-02
2036,005380,현대차,168000,-1000,-0.6,454073,76211663500,171000,171000,166000,37006448472000,2.76,220276479,96216185.0,43.68,2,2015-01-05
4071,005380,현대차,164500,-3500,-2.1,635059,104856982500,166500,167000,164000,36235480795500,2.75,220276479,96147766.0,43.65,2,2015-01-06
6106,005380,현대차,170000,5500,3.3,511006,86384012000,163000,171500,163000,37447001430000,2.83,220276479,96223449.0,43.68,2,2015-01-07
8140,005380,현대차,178000,8000,4.7,902742,158423821252,172500,178000,171000,39209213262000,2.93,220276479,96517367.0,43.82,2,2015-01-08
10173,005380,현대차,180000,2000,1.1,717579,129654383500,180000,182500,177500,39649766220000,2.94,220276479,96685583.0,43.89,2,2015-01-09
12206,005380,현대차,177500,-2500,-1.4,684147,121579685000,178000,179500,175500,39099075022500,2.9,220276479,96710622.0,43.9,2,2015-01-12
14239,005380,현대차,179500,2000,1.1,713861,128536882500,181500,181500,178000,39539627980500,2.94,220276479,96777147.0,43.93,2,2015-01-13
16271,005380,현대차,177500,-2000,-1.1,392613,70138148500,181000,182500,176500,39099075022500,2.91,220276479,96860839.0,43.97,2,2015-01-14
18303,005380,현대차,174500,-3000,-1.7,378944,66215887992,178000,178000,173500,38438245585500,2.85,220276479,96889733.0,43.99,2,2015-01-15
20336,005380,현대차,171000,-3500,-2.0,584513,99874820000,172000,174000,169000,37667277909000,2.83,220276479,96816377.0,43.95,2,2015-01-16
22366,005380,현대차,172500,1500,0.9,317800,54798378500,172500,173500,171000,37997692627500,2.84,220276479,96841551.0,43.96,2,2015-01-19
24396,005380,현대차,173500,1000,0.6,230296,39850569500,173000,174500,172000,38217969106500,2.83,220276479,96820420.0,43.95,2,2015-01-20
26424,005380,현대차,171500,-2000,-1.2,487848,83558547071,172500,176000,168500,37777416148500,2.79,220276479,96848857.0,43.97,2,2015-01-21
28451,005380,현대차,168000,-3500,-2.0,934624,157946184000,171500,174000,164500,37006448472000,2.74,220276479,96922912.0,44.0,2,2015-01-22
30478,005380,현대차,168000,0,0.0,808652,137137777858,170500,171000,167000,37006448472000,2.71,220276479,96938722.0,44.01,2,2015-01-23
32505,005380,현대차,164500,-3500,-2.1,1025813,168950184500,165500,166500,163500,36235480795500,2.66,220276479,96646646.0,43.88,2,2015-01-26
34533,005380,현대차,164000,-500,-0.3,807357,132006433500,166000,166000,161000,36125342556000,2.63,220276479,96600894.0,43.85,2,2015-01-27
36560,005380,현대차,165500,1500,0.9,575233,94682950500,164500,166000,163000,36455757274500,2.64,220276479,96611401.0,43.86,2,2015-01-28
38587,005380,현대차,167000,1500,0.9,415472,69372868582,165500,168500,164500,36786171993000,2.68,220276479,96609373.0,43.86,2,2015-01-29
40614,005380,현대차,169500,2500,1.5,708694,120277005000,168500,171000,167000,37336863190500,2.72,220276479,96798735.0,43.94,2,2015-01-30
42641,005380,현대차,171000,1500,0.9,434084,73801066500,170000,171000,168500,37667277909000,2.74,220276479,96867859.0,43.98,2,2015-02-02
44668,005380,현대차,166000,-5000,-2.9,704421,117397763000,169000,169500,165500,36565895514000,2.66,220276479,96977356.0,44.03,2,2015-02-03
46695,005380,현대차,166500,500,0.3,827022,137630614000,166500,168000,165500,36676033753500,2.65,220276479,97058035.0,44.06,2,2015-02-04
