,account_nm,thstrm_amount
0,비유동자산,781724550691.0
1,유형자산,399059638164.0
2,투자부동산,20373047014.0
3,무형자산,21013567101.0
4,기타비유동채권,2735710371.0
5,관계기업투자,308855757736.0
6,이연법인세자산,2438097676.0
7,비유동금융자산,27248732629.0
8,유동자산,766545100844.0
9,재고자산,137862682838.0
10,매출채권 및 기타유동채권,263954552368.0
11,단기금융자산,140545618139.0
12,기타유동자산,89502165537.0
13,당기법인세자산,1335520784.0
14,현금및현금성자산,133344561178.0
15,자산총계,1548269651535.0
16,지배기업 소유주지분,800349782967.0
17,자본금,16932545000.0
18,자본잉여금,143886416428.0
19,기타포괄손익누계액,1387061412.0
20,이익잉여금,638143760127.0
21,비지배지분,11346152361.0
22,자본총계,811695935328.0
23,비유동부채,180200126693.0
24,비유동충당부채,1627294667.0
25,기타비유동부채,3274703883.0
26,장기차입금,51386030634.0
27,확정급여부채,21165511993.0
28,이연법인세부채,102746585516.0
29,유동부채,556373589514.0
30,유동충당부채,8453379100.0
31,매입채무 및 기타채무,245105849977.0
32,단기금융부채,223129585355.0
33,기타유동부채,70794535361.0
34,당기법인세부채,8890239721.0
35,부채총계,736573716207.0
36,자본과부채총계,1548269651535.0
37,매출액,1395133198527.0
38,매출원가,1219126437802.0
39,매출총이익,176006760725.0
40,판매비와관리비,112728454846.0
41,영업이익(손실),63278305879.0
42,영업외손익,46931084272.0
43,관계기업투자손익,39682784339.0
44,금융수익,5599717391.0
45,기타수익,28962301592.0
46,금융비용,-6843014753.0
47,기타비용,-20470704297.0
48,법인세비용차감전순이익(손실),110209390151.0
49,법인세비용,41349583259.0
50,당기순이익(손실),68859806892.0
51,지배기업의 소유주에게 귀속되는 당기순이익(손실),66616764003.0
52,비지배지분에 귀속되는 당기순이익(손실),2243042889.0
53,기본및희석주당손익,1967.0
54,당기순이익(손실),68859806892.0
55,기타포괄손익,1524436935.0
56,관계기업자본변동,-235129689.0
57,해외사업장환산외환차이,3327983045.0
58,매도가능금융자산평가손익,-1156984212.0
59,법인세효과,-468480333.0
60,법인세효과 차감후 금액,1467388811.0
61,확정급여제도의 재측정요소,-89720537.0
62,관계기업이익잉여금변동,-8827423.0
63,해외사업장환산외환차이,131747478.0
64,법인세효과,23848606.0
65,법인세효과 차감후 금액,57048124.0
66,총포괄손익,70384243827.0
67,지배기업 소유주지분,68009453460.0
68,비지배지분,2374790367.0
69,영업활동현금흐름,154422373174.0
70,당기순이익(손실),68859806892.0
71,비현금 조정,78827522109.0
72,법인세비용,41349583259.0
73,이자수익,4654773447.0
74,배당금수익,-390380969.0
75,이자비용,5521984313.0
76,관계기업투자손익,-39682784339.0
77,퇴직급여,9647287395.0
78,기타장기종업원비용,-281988296.0
79,감가상각비,54300661052.0
80,투자부동산감가상각비,448311543.0
81,무형자산상각비,3289474227.0
82,외화환산이익,1073313856.0
83,외화환산손실,541329730.0
84,파생상품평가손익,783800127.0
85,대손상각비,409014844.0
86,유형자산처분이익,1643280557.0
87,유형자산처분손실,278582053.0
88,매각예정자산처분이익,
89,무형자산처분손실,25000.0
90,무형자산손상차손,
91,재고자산평가손실,431483221.0
92,금융자산평가손실,218725018.0
93,매도가능금융자산처분이익,-396000000.0
94,매도가능금융자산처분손실,
95,보증수리비,10916545523.0
96,투자자산처분이익,827889155.0
97,잡이익,-358874577.0
98,운전자본 조정,-5428434317.0
99,매출채권,28962075298.0
100,기타유동채권,-4144199256.0
101,기타유동자산,-24760954468.0
102,재고자산,4247682067.0
103,매입채무,-26983017173.0
104,기타채무,5793039735.0
105,기타유동부채,26054654343.0
106,충당부채,-2760410673.0
107,기타비유동부채,
108,확정급여부채,-11837304190.0
109,이자수취,5364034244.0
110,배당금수취,35345982133.0
111,이자지급,5521984313.0
112,법인세납부(환급),23024553574.0
113,투자활동현금흐름,-149040787238.0
114,유형자산의 취득,127594383604.0
115,유형자산의 처분,4975315123.0
116,투자부동산의 취득,8950000.0
117,매각예정자산의 처분,
118,무형자산의 취득,5196386599.0
119,무형자산의 처분,
120,기타비유동채권의 증가,-800256093.0
121,기타비유동채권의 감소,994100000.0
122,종속기업 및 관계기업주식의 처분,1260018000.0
123,종속기업 및 관계기업주식의 취득,
124,비유동금융자산의 증가,-14870368577.0
125,비유동금융자산의 감소,762500000.0
126,단기금융자산의 증가,-9849723488.0
127,단기금융자산의 감소,1287348000.0
128,재무활동현금흐름,50642239176.0
129,차입금의 차입,57547725778.0
130,차입금의 상환,
131,예수보증금의 감소,
132,국고보조금의 수령,150000000.0
133,국고보조금의 사용,-213418271.0
