,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
245,005850,에스엘,17200,-200,-1.2,49720,854915850,17200,17300,17050,582479548000,0.04,33865090,5555600.0,16.41,246,2015-01-02
2278,005850,에스엘,17650,450,2.6,104952,1823513550,17150,17700,17050,597718838500,0.04,33865090,5550631.0,16.39,244,2015-01-05
4314,005850,에스엘,17400,-250,-1.4,89331,1536328200,17400,17550,16750,589252566000,0.04,33865090,5539005.0,16.36,245,2015-01-06
6349,005850,에스엘,17300,-100,-0.6,60078,1039224550,17400,17450,17150,585866057000,0.04,33865090,5544270.0,16.37,245,2015-01-07
8384,005850,에스엘,17350,50,0.3,61405,1061763550,17300,17450,17150,587559311500,0.04,33865090,5554325.0,16.4,246,2015-01-08
10413,005850,에스엘,18050,700,4.0,133740,2397496800,17500,18300,17350,611264874500,0.05,33865090,5569084.0,16.44,242,2015-01-09
12449,005850,에스엘,17800,-250,-1.4,38964,699444750,18100,18350,17800,602798602000,0.04,33865090,5573840.0,16.46,245,2015-01-12
14481,005850,에스엘,17900,100,0.6,47629,853151100,18000,18200,17700,606185111000,0.05,33865090,5587314.0,16.5,244,2015-01-13
16509,005850,에스엘,18200,300,1.7,35512,642336600,17900,18250,17900,616344638000,0.05,33865090,5586488.0,16.5,240,2015-01-14
18540,005850,에스엘,18350,150,0.8,32090,583889700,18200,18350,18000,621424401500,0.05,33865090,5595807.0,16.52,239,2015-01-15
20574,005850,에스엘,18350,0,0.0,39355,719677300,18300,18450,18000,621424401500,0.05,33865090,5595091.0,16.52,240,2015-01-16
22605,005850,에스엘,18500,150,0.8,41875,771881450,18300,18700,18000,626504165000,0.05,33865090,5592198.0,16.51,241,2015-01-19
24636,005850,에스엘,18250,-250,-1.4,39590,730989700,18500,18800,18150,618037892500,0.05,33865090,5589940.0,16.51,242,2015-01-20
26670,005850,에스엘,17600,-650,-3.6,51946,928685700,18050,18400,17600,596025584000,0.04,33865090,5593850.0,16.52,248,2015-01-21
