,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
143,006360,GS건설,19150,-600,-3.0,312584,6071267950,19750,19800,19100,1359650000000,0.1,71000000,8678756.0,12.22,144,2016-01-04
2292,006360,GS건설,19650,500,2.6,280910,5491764700,19000,19850,19000,1395150000000,0.1,71000000,8841066.0,12.45,144,2016-01-05
4446,006360,GS건설,19550,-100,-0.5,254572,4957645250,19650,19900,19250,1388050000000,0.1,71000000,8689218.0,12.24,149,2016-01-06
6595,006360,GS건설,19100,-450,-2.3,366792,7051878250,19300,19800,19000,1356100000000,0.1,71000000,8627026.0,12.15,149,2016-01-07
8743,006360,GS건설,18950,-150,-0.8,466444,8770481800,18700,19100,18650,1345450000000,0.09,71000000,8435320.0,11.88,148,2016-01-08
10884,006360,GS건설,20800,1850,9.8,1066042,21509931200,18750,21100,18700,1476800000000,0.11,71000000,8520544.0,12.0,140,2016-01-11
13033,006360,GS건설,20800,0,0.0,853388,17777977500,21250,21550,20150,1476800000000,0.11,71000000,8398966.0,11.83,140,2016-01-12
15171,006360,GS건설,23600,2800,13.5,2983365,69338090900,21200,24150,21150,1675600000000,0.12,71000000,8679292.0,12.22,129,2016-01-13
17316,006360,GS건설,23800,200,0.8,1419514,33365644450,23000,24450,22800,1689800000000,0.12,71000000,8539334.0,12.03,125,2016-01-14
19465,006360,GS건설,22850,-950,-4.0,874100,20560526100,24400,24400,22800,1622350000000,0.12,71000000,8416626.0,11.85,125,2016-01-15
21616,006360,GS건설,22800,-50,-0.2,1487667,34621275650,23900,24700,22550,1618800000000,0.12,71000000,7972396.0,11.23,127,2016-01-18
23766,006360,GS건설,22450,-350,-1.5,663814,14914566950,22950,23050,21950,1593950000000,0.11,71000000,8069953.0,11.37,128,2016-01-19
25917,006360,GS건설,21700,-750,-3.3,979058,21057969050,22450,22650,20900,1540700000000,0.11,71000000,8054166.0,11.34,130,2016-01-20
28067,006360,GS건설,21750,50,0.2,874186,19197310700,21700,22450,21250,1544250000000,0.11,71000000,7957433.0,11.21,131,2016-01-21
30212,006360,GS건설,22700,950,4.4,911573,20314087000,22200,22850,21600,1611700000000,0.12,71000000,7817689.0,11.01,129,2016-01-22
32357,006360,GS건설,23450,750,3.3,987522,23317986100,23100,24150,22700,1664950000000,0.12,71000000,7795399.0,10.98,126,2016-01-25
34505,006360,GS건설,23050,-400,-1.7,577032,13319278150,23100,23600,22650,1636550000000,0.12,71000000,7773219.0,10.95,127,2016-01-26
36643,006360,GS건설,25400,2350,10.2,2929374,72976998600,23800,25600,23700,1803400000000,0.13,71000000,8736960.0,12.31,117,2016-01-27
38792,006360,GS건설,25800,400,1.6,1731528,44596638100,26050,26450,24800,1831800000000,0.13,71000000,8652743.0,12.19,117,2016-01-28
40944,006360,GS건설,25300,-500,-1.9,1245885,31798883350,25900,26200,25050,1796300000000,0.13,71000000,8764035.0,12.34,119,2016-01-29
43094,006360,GS건설,25700,400,1.6,838144,21297724350,25750,25800,25000,1824700000000,0.13,71000000,8911769.0,12.55,119,2016-02-01
45245,006360,GS건설,25200,-500,-2.0,762808,19187827500,25600,25600,24700,1789200000000,0.13,71000000,9009508.0,12.69,120,2016-02-02
47393,006360,GS건설,25550,350,1.4,741800,18621958600,24600,25800,24350,1814050000000,0.13,71000000,9136828.0,12.87,117,2016-02-03
