,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
31,006400,삼성SDI,112500,-1500,-1.3,386573,44584347000,115500,118000,112500,7736009625000,0.54,68764530,19741661.0,28.71,32,2016-01-04
2180,006400,삼성SDI,115000,2500,2.2,254419,29237793500,112000,116000,111500,7907920950000,0.55,68764530,19778869.0,28.76,32,2016-01-05
4331,006400,삼성SDI,114500,-500,-0.4,242253,27787303000,116500,117000,113500,7873538685000,0.55,68764530,19786371.0,28.77,34,2016-01-06
6480,006400,삼성SDI,111000,-3500,-3.1,269779,30205407500,114000,114500,111000,7632862830000,0.54,68764530,19758934.0,28.73,34,2016-01-07
8629,006400,삼성SDI,113000,2000,1.8,281532,31096320000,107500,113000,107000,7770391890000,0.55,68764530,19783893.0,28.77,34,2016-01-08
10777,006400,삼성SDI,111500,-1500,-1.3,145758,16291370500,111500,113000,111000,7667245095000,0.55,68764530,19777939.0,28.76,33,2016-01-11
12926,006400,삼성SDI,109000,-2500,-2.2,263906,29069890000,112500,114000,108500,7495333770000,0.54,68764530,19780149.0,28.77,33,2016-01-12
15077,006400,삼성SDI,109500,500,0.5,285513,31389913500,110500,111000,109000,7529716035000,0.53,68764530,19776264.0,28.76,35,2016-01-13
17225,006400,삼성SDI,109500,0,0.0,307122,33359547000,108000,110500,106500,7529716035000,0.53,68764530,19806018.0,28.8,34,2016-01-14
19374,006400,삼성SDI,109500,0,0.0,233116,25731780000,112500,113000,108500,7529716035000,0.54,68764530,19761290.0,28.74,34,2016-01-15
21524,006400,삼성SDI,107500,-2000,-1.8,195551,21040747000,108500,109000,107000,7392186975000,0.53,68764530,19716957.0,28.67,35,2016-01-18
23677,006400,삼성SDI,99900,-7600,-7.1,840232,85193644600,107000,107000,99600,6869576547000,0.49,68764530,19656653.0,28.59,39,2016-01-19
25824,006400,삼성SDI,100500,600,0.6,401765,40403068300,100000,102000,99000,6910835265000,0.5,68764530,19781754.0,28.77,37,2016-01-20
27974,006400,삼성SDI,100500,0,0.0,215519,21697886300,101000,101500,99700,6910835265000,0.51,68764530,19788588.0,28.78,38,2016-01-21
30121,006400,삼성SDI,102000,1500,1.5,336492,34342232500,101000,104000,101000,7013982060000,0.5,68764530,19834318.0,28.84,38,2016-01-22
32269,006400,삼성SDI,102500,500,0.5,332839,34244381000,104500,104500,101500,7048364325000,0.5,68764530,19829874.0,28.84,38,2016-01-25
34424,006400,삼성SDI,87400,-15100,-14.7,2657705,241752282700,99300,99500,87300,6010019922000,0.43,68764530,19300754.0,28.07,46,2016-01-26
36571,006400,삼성SDI,89100,1700,2.0,1219211,108731883422,88100,90500,88100,6126919623000,0.44,68764530,19538299.0,28.41,45,2016-01-27
38721,006400,삼성SDI,90300,1200,1.4,533381,47961784786,89100,90500,88500,6209437059000,0.44,68764530,19582778.0,28.48,46,2016-01-28
