,account_nm,thstrm_amount
0,비유동자산,285038671043.0
1,유형자산,246327338474.0
2,무형자산,2076372629.0
3,장기매출채권 및 기타채권,1031557554.0
4,공동기업투자주식,4147129437.0
5,기타투자자산,31456272949.0
6,기타비유동자산,
7,유동자산,396244634499.0
8,재고자산,93990333325.0
9,매출채권 및 기타채권,195228704116.0
10,기타투자자산,66653057692.0
11,기타유동자산,8625209066.0
12,현금및현금성자산,31747330300.0
13,자산총계,681283305542.0
14,지배기업소유지분,421238227371.0
15,자본금,29053080000.0
16,자본잉여금,46225796228.0
17,기타포괄손익누계액,2825803530.0
18,이익잉여금,343133547613.0
19,비지배지분,9476789016.0
20,자본총계,430715016387.0
21,비유동부채,41434084970.0
22,장기차입금,11860149872.0
23,사채,
24,이연법인세부채,29573935098.0
25,유동부채,209134204185.0
26,단기차입금,54315240162.0
27,유동성사채,14990996691.0
28,유동성장기부채,23489177785.0
29,유동파생상품부채,1156942.0
30,매입채무 및 기타채무,100050064525.0
31,당기법인세부채,13297262230.0
32,기타유동부채,2990305850.0
33,부채총계,250568289155.0
34,부채와자본총계,681283305542.0
35,매출액,1011877773027.0
36,매출원가,873281852579.0
37,매출총이익,138595920448.0
38,판매비와관리비,60626769483.0
39,영업이익,77969150965.0
40,기타수익,909720175.0
41,기타비용,444119215.0
42,지분법이익,
43,지분법손실,206313142.0
44,금융수익,8068059634.0
45,금융비용,12089586212.0
46,법인세비용차감전순이익,74206912205.0
47,법인세비용,17891871766.0
48,당기순이익,56315040439.0
49,기타포괄손익,1279125291.0
50,후속적으로 당기손익으로 재분류 될 수 있는 항목,1279125291.0
51,해외사업환산손익,1223319134.0
52,지분법자본변동,
53,매도가능증권평가손익,-5183680.0
54,파생상품평가손익,60989837.0
55,총포괄이익,57594165730.0
56,지배기업소유지분,55888086271.0
57,비지배지분,426954168.0
58,지배기업소유지분,57012086514.0
59,비지배지분,582079216.0
60,기본및 희석 주당순이익,9618.0
61,영업활동으로 인한 현금흐름,67352563174.0
62,당기순이익,56315040439.0
63,당기순이익조정을 위한 가감,16253137533.0
64,퇴직급여,2190529170.0
65,대손상각비,-285703292.0
66,감가상각비,13893793832.0
67,무형자산상각비,21710045.0
68,외화환산손실,2881905072.0
69,매도가능금융자산처분손실,
70,지분법 손실,206313142.0
71,무형자산손상차손,18666667.0
72,유형자산처분손실,46769209.0
73,무형자산처분손실,
74,이자비용,2748064690.0
75,법인세비용,17891871766.0
76,외화환산이익,1073434873.0
77,매도가능증권처분이익,
78,지분법이익,
79,유형자산처분이익,10469519.0
80,무형자산처분이익,1666667.0
81,이자수익,2614185707.0
82,배당금수익,68000000.0
83,매출채권의 감소(증가),3127627173.0
84,미수금의 감소(증가),792911023.0
85,선급금의 감소(증가),249526858.0
86,선급비용의 감소(증가),149917584.0
87,선급부가세의감소(증가),1032039785.0
88,당기법인세자산의 감소(증가),
89,재고자산의 감소(증가),8770293802.0
90,장기선급비용의 감소(증가),4201428.0
91,매입채무의 증가(감소),-23378934303.0
92,미지급금의 증가(감소),-10274548088.0
93,배출부채의 증가(감소),115138734.0
94,선수금의 증가(감소),534308268.0
95,예수금의 증가(감소),766751841.0
96,미지급비용의 증가(감소),572822783.0
97,퇴직금의 지급,2055082890.0
98,이자의 수취,2700460961.0
99,이자의 지급,3258135073.0
100,배당금의 수령,68000000.0
101,법인세환급(납부),4725940686.0
102,투자활동으로 인한 현금흐름,-18290519255.0
103,투자활동으로인한 현금유입액,83613745647.0
104,단기금융상품의감소,82320010761.0
105,매도가능금융자산의감소,
106,만기보유금융자산의감소,32740955.0
