,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
425,007810,코리아써키트,12000,0,0.0,392538,4692508450,12000,12150,11700,283449012000,0.02,23620751,586863.0,2.48,426,2015-01-02
2466,007810,코리아써키트,11900,-100,-0.8,1181820,14612522750,12100,13050,11800,281086936900,0.02,23620751,618208.0,2.62,432,2015-01-05
4483,007810,코리아써키트,12550,650,5.5,910496,11341702400,12250,12850,12050,296440425050,0.02,23620751,688786.0,2.92,414,2015-01-06
6525,007810,코리아써키트,12400,-150,-1.2,604296,7310958650,12550,12600,11650,292897312400,0.02,23620751,661012.0,2.8,421,2015-01-07
8563,007810,코리아써키트,12150,-250,-2.0,313165,3833135650,12400,12500,12050,286992124650,0.02,23620751,663086.0,2.81,425,2015-01-08
10610,007810,코리아써키트,11850,-300,-2.5,355893,4315275900,12200,12500,11850,279905899350,0.02,23620751,732264.0,3.1,439,2015-01-09
12620,007810,코리아써키트,12650,800,6.8,766286,9470262700,11950,12750,11750,298802500150,0.02,23620751,802207.0,3.4,416,2015-01-12
14673,007810,코리아써키트,12000,-650,-5.1,516771,6270461400,12600,12600,11800,283449012000,0.02,23620751,724395.0,3.07,436,2015-01-13
16684,007810,코리아써키트,12600,600,5.0,998516,12488978050,12000,13000,11700,297621462600,0.02,23620751,739757.0,3.13,415,2015-01-14
18707,007810,코리아써키트,12950,350,2.8,958050,12583686600,12550,13500,12550,305888725450,0.02,23620751,663080.0,2.81,406,2015-01-15
20733,007810,코리아써키트,13300,350,2.7,648497,8614031250,13000,13700,12650,314155988300,0.02,23620751,662616.0,2.81,399,2015-01-16
22773,007810,코리아써키트,12850,-450,-3.4,274042,3580598350,13400,13550,12850,303526650350,0.02,23620751,666057.0,2.82,409,2015-01-19
24807,007810,코리아써키트,12800,-50,-0.4,206776,2655395850,13050,13200,12650,302345612800,0.02,23620751,705970.0,2.99,413,2015-01-20
26846,007810,코리아써키트,12500,-300,-2.3,331856,4215528050,12900,13300,12400,295259387500,0.02,23620751,742909.0,3.15,424,2015-01-21
28866,007810,코리아써키트,12650,150,1.2,409605,5327564150,13200,13400,12550,298802500150,0.02,23620751,740185.0,3.13,417,2015-01-22
30886,007810,코리아써키트,13100,450,3.6,336852,4403767950,12850,13350,12650,309431838100,0.02,23620751,812451.0,3.44,410,2015-01-23
32913,007810,코리아써키트,12950,-150,-1.2,160026,2092034950,13250,13300,12950,305888725450,0.02,23620751,789868.0,3.34,410,2015-01-26
34930,007810,코리아써키트,13300,350,2.7,271156,3546225050,13000,13300,12800,314155988300,0.02,23620751,805523.0,3.41,399,2015-01-27
36977,007810,코리아써키트,12900,-400,-3.0,263121,3395339850,13200,13300,12700,304707687900,0.02,23620751,774727.0,3.28,419,2015-01-28
39005,007810,코리아써키트,12900,0,0.0,198142,2550814450,12800,13100,12700,304707687900,0.02,23620751,858671.0,3.64,420,2015-01-29
41036,007810,코리아써키트,12700,-200,-1.6,153927,1960984050,13000,13000,12550,299983537700,0.02,23620751,877006.0,3.71,424,2015-01-30
43068,007810,코리아써키트,12450,-250,-2.0,193755,2411437800,12700,12850,12250,294078349950,0.02,23620751,903868.0,3.83,429,2015-02-02
45077,007810,코리아써키트,13150,700,5.6,324371,4198186150,12500,13200,12400,310612875650,0.02,23620751,940812.0,3.98,411,2015-02-03
47082,007810,코리아써키트,14350,1200,9.1,1526092,21913431150,13500,14950,13450,338957776850,0.02,23620751,1061569.0,4.49,389,2015-02-04
49114,007810,코리아써키트,14050,-300,-2.1,481588,6781075550,14400,14400,13750,331871551550,0.02,23620751,1047951.0,4.44,394,2015-02-05
51139,007810,코리아써키트,14250,200,1.4,308082,4329665600,14100,14300,13800,336595701750,0.02,23620751,1073899.0,4.55,391,2015-02-06
53174,007810,코리아써키트,13800,-450,-3.2,227048,3144758100,14200,14200,13600,325966363800,0.02,23620751,1045134.0,4.42,397,2015-02-09
55215,007810,코리아써키트,13400,-400,-2.9,345898,4623260350,13700,13750,13200,316518063400,0.02,23620751,962839.0,4.08,409,2015-02-10
57240,007810,코리아써키트,13550,150,1.1,202649,2714937300,13450,13550,13250,320061176050,0.02,23620751,963333.0,4.08,406,2015-02-11
59274,007810,코리아써키트,13450,-100,-0.7,162487,2170745800,13500,13550,13250,317699100950,0.02,23620751,972692.0,4.12,411,2015-02-12
61303,007810,코리아써키트,13400,-50,-0.4,285821,3857549200,13550,13850,13200,316518063400,0.02,23620751,1003773.0,4.25,411,2015-02-13
63333,007810,코리아써키트,13350,-50,-0.4,221977,2931875000,13400,13450,13050,315337025850,0.02,23620751,1026587.0,4.35,412,2015-02-16
65395,007810,코리아써키트,12300,-1050,-7.9,384311,4877774950,13350,13350,12300,290535237300,0.02,23620751,1084871.0,4.59,445,2015-02-17
67414,007810,코리아써키트,12650,350,2.8,275609,3446577650,12300,12700,12250,298802500150,0.02,23620751,1169833.0,4.95,436,2015-02-23
69446,007810,코리아써키트,12650,0,0.0,346588,4384833900,12800,13050,12400,298802500150,0.02,23620751,1168890.0,4.95,440,2015-02-24
71471,007810,코리아써키트,12650,0,0.0,221862,2810196400,12850,12900,12500,298802500150,0.02,23620751,1141806.0,4.83,439,2015-02-25
73500,007810,코리아써키트,12700,50,0.4,93451,1179290800,12600,12750,12500,299983537700,0.02,23620751,1134340.0,4.8,442,2015-02-26
75538,007810,코리아써키트,12500,-200,-1.6,116209,1474572450,12900,12900,12500,295259387500,0.02,23620751,1135008.0,4.81,454,2015-02-27
