,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
565,008040,동아원,2970,15,0.5,20262,60002545,2960,2995,2950,193585636530,0.01,65180349,466223.0,0.72,566,2015-01-02
2607,008040,동아원,2960,-10,-0.3,19013,56073640,2985,2990,2915,192933833040,0.01,65180349,466590.0,0.72,573,2015-01-05
4646,008040,동아원,2910,-50,-1.7,20032,58195535,2950,2955,2900,189674815590,0.01,65180349,466504.0,0.72,577,2015-01-06
6673,008040,동아원,2975,65,2.2,47377,138666205,2950,2980,2870,193911538275,0.01,65180349,464113.0,0.71,569,2015-01-07
8704,008040,동아원,2975,0,0.0,14310,42333775,2955,2980,2905,193911538275,0.01,65180349,464155.0,0.71,566,2015-01-08
10738,008040,동아원,3005,30,1.0,46460,139187085,2950,3030,2950,195866948745,0.01,65180349,465897.0,0.71,567,2015-01-09
12773,008040,동아원,3000,-5,-0.2,27600,81929930,2970,3005,2945,195541047000,0.01,65180349,465751.0,0.71,569,2015-01-12
14801,008040,동아원,3035,35,1.2,20227,60846850,2960,3040,2960,197822359215,0.01,65180349,465990.0,0.71,564,2015-01-13
16831,008040,동아원,3055,20,0.7,24799,75540005,3010,3080,3000,199125966195,0.01,65180349,467833.0,0.72,562,2015-01-14
18865,008040,동아원,3040,-15,-0.5,17001,52147175,3000,3105,3000,198148260960,0.01,65180349,467744.0,0.72,564,2015-01-15
20902,008040,동아원,3045,5,0.2,8270,25242165,3020,3080,3020,198474162705,0.01,65180349,469845.0,0.72,568,2015-01-16
22929,008040,동아원,3070,25,0.8,30273,92242945,3045,3085,3030,200103671430,0.01,65180349,472287.0,0.72,565,2015-01-19
24960,008040,동아원,3075,5,0.2,42000,128986235,3090,3100,3040,200429573175,0.01,65180349,475455.0,0.73,566,2015-01-20
26991,008040,동아원,3050,-25,-0.8,157395,491343575,3075,3250,3045,198800064450,0.01,65180349,475875.0,0.73,569,2015-01-21
29007,008040,동아원,3090,40,1.3,38043,116354310,3050,3090,3030,201407278410,0.01,65180349,479708.0,0.74,558,2015-01-22
31035,008040,동아원,3115,25,0.8,33467,104150945,3060,3145,3060,203036787135,0.01,65180349,483821.0,0.74,559,2015-01-23
33061,008040,동아원,3140,25,0.8,60090,188368945,3115,3175,3090,204666295860,0.02,65180349,487667.0,0.75,558,2015-01-26
