,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
55,009150,삼성전기,60300,-2600,-4.1,463670,28502093900,62900,63300,60300,4504029868800,0.32,74693696,15556722.0,20.83,56,2016-01-04
2205,009150,삼성전기,61600,1300,2.2,463770,28441545022,59700,61900,59500,4601131673600,0.32,74693696,15592833.0,20.88,57,2016-01-05
4355,009150,삼성전기,61200,-400,-0.6,395896,24165823300,62000,62000,60400,4571254195200,0.32,74693696,15619350.0,20.91,58,2016-01-06
6503,009150,삼성전기,61600,400,0.6,341168,21037858500,60800,62700,60600,4601131673600,0.33,74693696,15635427.0,20.93,57,2016-01-07
8654,009150,삼성전기,61300,-300,-0.5,423373,25619372900,60200,61600,59500,4578723564800,0.32,74693696,15543768.0,20.81,59,2016-01-08
10803,009150,삼성전기,60100,-1200,-2.0,252564,15240764400,60500,61000,60000,4489091129600,0.32,74693696,15547589.0,20.82,59,2016-01-11
12957,009150,삼성전기,56600,-3500,-5.8,841704,48144400400,60400,60700,56200,4227663193600,0.3,74693696,15527521.0,20.79,64,2016-01-12
15106,009150,삼성전기,57000,400,0.7,556571,31707150000,56700,58000,56300,4257540672000,0.3,74693696,15505198.0,20.76,64,2016-01-13
17256,009150,삼성전기,55400,-1600,-2.8,596031,32951261300,56400,56400,54700,4138030758400,0.29,74693696,15588705.0,20.87,65,2016-01-14
19404,009150,삼성전기,56100,700,1.3,336116,18819013800,56200,56300,55600,4190316345600,0.3,74693696,15637260.0,20.94,64,2016-01-15
21554,009150,삼성전기,54300,-1800,-3.2,323162,17645347900,55500,55600,54100,4055867692800,0.29,74693696,15574854.0,20.85,65,2016-01-18
23702,009150,삼성전기,55600,1300,2.4,318396,17465146400,54400,55700,54000,4152969497600,0.3,74693696,15528704.0,20.79,64,2016-01-19
25851,009150,삼성전기,53000,-2600,-4.7,526588,28366450700,55700,55800,53000,3958765888000,0.29,74693696,15389304.0,20.6,64,2016-01-20
27999,009150,삼성전기,53400,400,0.8,358749,19143914500,52500,54400,52000,3988643366400,0.29,74693696,15401514.0,20.62,63,2016-01-21
30146,009150,삼성전기,54800,1400,2.6,374389,20363764500,54200,55100,53600,4093214540800,0.29,74693696,15324105.0,20.52,63,2016-01-22
32296,009150,삼성전기,54100,-700,-1.3,367273,19911049900,55100,55300,53700,4040928953600,0.29,74693696,15197560.0,20.35,65,2016-01-25
34443,009150,삼성전기,51800,-2300,-4.2,612248,31897339700,53900,53900,51500,3869133452800,0.28,74693696,15264807.0,20.44,65,2016-01-26
36590,009150,삼성전기,54300,2500,4.8,506643,27074368500,52000,54400,52000,4055867692800,0.29,74693696,15287432.0,20.47,64,2016-01-27
38738,009150,삼성전기,55100,800,1.5,381754,20834621300,53500,55300,52900,4115622649600,0.29,74693696,15186408.0,20.33,63,2016-01-28
40891,009150,삼성전기,55200,100,0.2,420592,23093716800,55800,55900,54200,4123092019200,0.29,74693696,15037912.0,20.13,66,2016-01-29
43039,009150,삼성전기,57800,2600,4.7,666711,37981640488,55300,57900,55000,4317295628800,0.3,74693696,15168798.0,20.31,64,2016-02-01
45189,009150,삼성전기,57100,-700,-1.2,301942,17281231900,57200,57700,56500,4265010041600,0.3,74693696,15135267.0,20.26,64,2016-02-02
47342,009150,삼성전기,54300,-2800,-4.9,457908,25071797100,56500,56700,54200,4055867692800,0.29,74693696,15072835.0,20.18,66,2016-02-03
49492,009150,삼성전기,56600,2300,4.2,477025,26807088700,54600,56800,54400,4227663193600,0.3,74693696,15200050.0,20.35,64,2016-02-04
51645,009150,삼성전기,56500,-100,-0.2,246903,13984577800,56500,57200,55600,4220193824000,0.3,74693696,15199354.0,20.35,64,2016-02-05
53799,009150,삼성전기,54100,-2400,-4.2,275476,15092481600,54500,55700,54100,4040928953600,0.29,74693696,15143582.0,20.27,64,2016-02-11
55948,009150,삼성전기,57600,3500,6.5,804636,45750746600,54000,58500,53800,4302356889600,0.32,74693696,15425217.0,20.65,59,2016-02-12
58103,009150,삼성전기,58300,700,1.2,367396,21262336800,58600,58600,56700,4354642476800,0.32,74693696,15379149.0,20.59,60,2016-02-15
60258,009150,삼성전기,59000,700,1.2,253952,14867344800,58000,59000,57600,4406928064000,0.32,74693696,15367197.0,20.57,60,2016-02-16
62411,009150,삼성전기,60300,1300,2.2,507022,30448266600,59100,60600,58600,4504029868800,0.33,74693696,15312678.0,20.5,58,2016-02-17
64567,009150,삼성전기,60500,200,0.3,374201,22578238700,60800,60900,59600,4518968608000,0.32,74693696,15226190.0,20.38,59,2016-02-18
66723,009150,삼성전기,59100,-1400,-2.3,455084,26845173500,60000,60500,58300,4414397433600,0.31,74693696,15132072.0,20.26,60,2016-02-19
68879,009150,삼성전기,58600,-500,-0.8,540387,31611735300,59200,60000,57900,4377050585600,0.31,74693696,15201450.0,20.35,61,2016-02-22
71036,009150,삼성전기,56300,-2300,-3.9,697486,39673099500,59200,59300,56100,4205255084800,0.3,74693696,15099886.0,20.22,63,2016-02-23
73188,009150,삼성전기,58400,2100,3.7,451482,26041828900,56100,58400,56100,4362111846400,0.31,74693696,15238807.0,20.4,61,2016-02-24
75344,009150,삼성전기,57000,-1400,-2.4,356386,20486201400,58600,58900,56700,4257540672000,0.3,74693696,15169148.0,20.31,62,2016-02-25
77501,009150,삼성전기,54700,-2300,-4.0,913071,50436379500,56600,57400,54600,4085745171200,0.29,74693696,15162318.0,20.3,64,2016-02-26
79655,009150,삼성전기,54200,-500,-0.9,627080,34142365600,55100,55400,53800,4048398323200,0.29,74693696,14983912.0,20.06,63,2016-02-29
81816,009150,삼성전기,54200,0,0.0,654991,35588176600,55200,55500,53900,4048398323200,0.28,74693696,14882302.0,19.92,67,2016-03-02
83972,009150,삼성전기,55800,1600,3.0,510412,28259360200,54700,55800,54400,4167908236800,0.29,74693696,14991991.0,20.07,65,2016-03-03
86129,009150,삼성전기,56100,300,0.5,640226,36144160300,56300,57200,55800,4190316345600,0.29,74693696,14994929.0,20.08,64,2016-03-04
88287,009150,삼성전기,56200,100,0.2,451763,25242853700,56400,56600,55400,4197785715200,0.29,74693696,14956144.0,20.02,62,2016-03-07
90447,009150,삼성전기,55700,-500,-0.9,292682,16369731800,56300,56600,55600,4160438867200,0.29,74693696,14923292.0,19.98,62,2016-03-08
92607,009150,삼성전기,56300,600,1.1,297172,16593816500,56100,56300,55400,4205255084800,0.29,74693696,14909746.0,19.96,62,2016-03-09
94767,009150,삼성전기,57400,1100,2.0,535643,30335615200,56400,57400,55800,4287418150400,0.29,74693696,15088511.0,20.2,62,2016-03-10
96927,009150,삼성전기,59100,1700,3.0,883032,51942806700,58100,59400,57500,4414397433600,0.3,74693696,15177398.0,20.32,61,2016-03-11
99090,009150,삼성전기,58000,-1100,-1.9,466569,27211641300,59700,59800,57900,4332234368000,0.3,74693696,15044195.0,20.14,62,2016-03-14
101254,009150,삼성전기,57700,-300,-0.5,306103,17694500400,58000,58500,57300,4309826259200,0.3,74693696,15049360.0,20.15,64,2016-03-15
103411,009150,삼성전기,57900,200,0.4,302491,17524277900,58200,58500,57500,4324764998400,0.3,74693696,15035545.0,20.13,60,2016-03-16
105572,009150,삼성전기,60100,2200,3.8,831928,49599567300,58300,60400,58100,4489091129600,0.31,74693696,15142916.0,20.27,59,2016-03-17
107734,009150,삼성전기,59700,-400,-0.7,519273,31136253100,60100,60900,59300,4459213651200,0.3,74693696,15158075.0,20.29,59,2016-03-18
