,account_nm,thstrm_amount
0,유동자산,2537906166030.0
1,현금및현금성자산,239497858947.0
2,매출채권 및 기타채권,316075461810.0
3,단기금융기관예치금,83332382623.0
4,단기투자자산,875934317000.0
5,파생상품금융자산,1390353846.0
6,기타유동자산,6463521525.0
7,재고자산,1015212270279.0
8,비유동자산,3370026840616.0
9,장기매출채권및기타채권,94724778211.0
10,장기금융기관예치금,416500000.0
11,장기투자자산,726275224519.0
12,유형자산,2428123829994.0
13,투자부동산,17668254843.0
14,무형자산,70800275225.0
15,관계기업 및 공동기업투자,21115488635.0
16,이연법인세자산,10233361862.0
17,기타비유동자산,669127327.0
18,자산총계,5907933006646.0
19,유동부채,390034947933.0
20,매입채무및기타채무,246973785254.0
21,단기차입금,20325673776.0
22,유동성장기차입금,9007513600.0
23,당기법인세부채,98900643834.0
24,파생상품금융부채,123465033.0
25,배출충당부채,9473478606.0
26,기타유동부채,5230387830.0
27,비유동부채,298529230389.0
28,장기매입채무 및 기타채무,3557010619.0
29,장기차입금,23558092600.0
30,순확정급여부채,1662893855.0
31,이연법인세부채,261202069456.0
32,충당부채,8549163859.0
33,부채총계,688564178322.0
34,지배기업의 소유주에게 귀속되는 자본,5077254705292.0
35,자본금,94350000000.0
36,자본잉여금,57314899185.0
37,자본조정,-53508694647.0
38,기타포괄손익누계액,114178501594.0
39,이익잉여금,4864919999160.0
40,비지배지분,142114123032.0
41,자본총계,5219368828324.0
42,자본과부채총계,5907933006646.0
43,매출액,4771442958357.0
44,매출원가,3929484147893.0
45,매출총이익,841958810464.0
46,판매비와관리비,169739877411.0
47,영업이익,672218933053.0
48,기타손익,3907390594.0
49,기타수익,57243509302.0
50,기타비용,-53336118708.0
51,금융손익,17435682384.0
52,금융수익,61156380079.0
53,금융비용,43720697695.0
54,지분법손익,-9042800671.0
55,지분법이익,391223583.0
56,지분법손실,-9434024254.0
57,법인세비용차감전순이익,684519205360.0
58,법인세비용,-170528881018.0
59,당기순이익,513990324342.0
60,지배주주순이익,509375330137.0
61,비지배주주순이익,4614994205.0
62,법인세차감후기타포괄손익,38698870279.0
63,후속적으로 당기손익으로 재분류되는 항목,42476085936.0
