,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
55,010140,삼성중공업,19650,-300,-1.5,1087163,21422260500,19900,20050,19600,4536701334900,0.34,230875386,45391540.0,19.66,56,2015-01-02
2091,010140,삼성중공업,19050,-600,-3.0,1584809,30375637450,19500,19650,19050,4398176103300,0.33,230875386,45783821.0,19.83,57,2015-01-05
4129,010140,삼성중공업,18200,-850,-4.5,2417888,44327060900,18450,18600,18200,4201932025200,0.32,230875386,45875508.0,19.87,60,2015-01-06
6162,010140,삼성중공업,18300,100,0.6,1250549,22892759600,18050,18550,17850,4225019563800,0.32,230875386,46050020.0,19.95,58,2015-01-07
8197,010140,삼성중공업,18300,0,0.0,1091091,20089066744,18500,18600,18250,4225019563800,0.32,230875386,46114388.0,19.97,59,2015-01-08
10228,010140,삼성중공업,19050,750,4.1,1617680,30578901650,18700,19250,18500,4398176103300,0.33,230875386,46188081.0,20.01,57,2015-01-09
12263,010140,삼성중공업,18800,-250,-1.3,848135,15960723450,18950,19000,18650,4340457256800,0.32,230875386,46147785.0,19.99,59,2015-01-12
14298,010140,삼성중공업,18350,-450,-2.4,1089363,20123450650,18750,18750,18300,4236563333100,0.31,230875386,46311249.0,20.06,61,2015-01-13
16327,010140,삼성중공업,18550,200,1.1,913401,16936757500,18350,18750,18300,4282738410300,0.32,230875386,46224774.0,20.02,58,2015-01-14
18362,010140,삼성중공업,18000,-550,-3.0,1543660,27947631700,18550,18650,17900,4155756948000,0.31,230875386,45712868.0,19.8,61,2015-01-15
20397,010140,삼성중공업,17250,-750,-4.2,2137409,37160996250,17900,18000,17200,3982600408500,0.3,230875386,45121791.0,19.54,63,2015-01-16
22423,010140,삼성중공업,18200,950,5.5,2398949,43359412450,17500,18400,17450,4201932025200,0.31,230875386,45048742.0,19.51,59,2015-01-19
24452,010140,삼성중공업,18350,150,0.8,1028488,18978445400,18150,18750,18100,4236563333100,0.31,230875386,45283011.0,19.61,58,2015-01-20
26482,010140,삼성중공업,17900,-450,-2.4,945065,16929551650,18250,18350,17750,4132669409400,0.31,230875386,45283350.0,19.61,60,2015-01-21
28507,010140,삼성중공업,18500,600,3.4,1507213,28017636500,18350,18800,18300,4271194641000,0.32,230875386,45436438.0,19.68,58,2015-01-22
30534,010140,삼성중공업,18250,-250,-1.4,1936867,36036462500,19150,19200,18050,4213475794500,0.31,230875386,45213905.0,19.58,58,2015-01-23
32563,010140,삼성중공업,18000,-250,-1.4,1503060,27166644100,18200,18450,17700,4155756948000,0.31,230875386,44864038.0,19.43,60,2015-01-26
34588,010140,삼성중공업,18550,550,3.1,1112362,20521638050,18200,18600,18200,4282738410300,0.31,230875386,44594890.0,19.32,57,2015-01-27
36615,010140,삼성중공업,19100,550,3.0,2706304,51150148900,18450,19350,18300,4409719872600,0.32,230875386,44087483.0,19.1,57,2015-01-28
38643,010140,삼성중공업,18800,-300,-1.6,1353740,25543298250,18800,19250,18550,4340457256800,0.32,230875386,43928405.0,19.03,58,2015-01-29
40675,010140,삼성중공업,17900,-900,-4.8,4355445,78819188850,18750,18900,17700,4132669409400,0.3,230875386,42777854.0,18.53,63,2015-01-30
42702,010140,삼성중공업,18300,400,2.2,2719245,49800871850,18250,18600,18050,4225019563800,0.31,230875386,42243454.0,18.3,63,2015-02-02
44727,010140,삼성중공업,18600,300,1.6,4177804,78883285150,18700,19200,18500,4294282179600,0.31,230875386,42248249.0,18.3,61,2015-02-03
46754,010140,삼성중공업,18800,200,1.1,2500215,47365419700,19150,19250,18700,4340457256800,0.31,230875386,42430059.0,18.38,61,2015-02-04
48781,010140,삼성중공업,18400,-400,-2.1,1878690,34756307550,18650,18800,18350,4248107102400,0.31,230875386,42346446.0,18.34,61,2015-02-05
50808,010140,삼성중공업,18600,200,1.1,1004876,18690337512,18600,18800,18500,4294282179600,0.31,230875386,42481073.0,18.4,60,2015-02-06
52836,010140,삼성중공업,18900,300,1.6,1523074,28796242600,18600,19100,18500,4363544795400,0.32,230875386,42477881.0,18.4,59,2015-02-09
