,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
607,010690,화신,6190,-130,-2.1,68406,424249350,6300,6320,6170,216157337900,0.02,34920410,1045075.0,2.99,608,2016-01-04
2757,010690,화신,6190,0,0.0,51451,318072890,6120,6280,6100,216157337900,0.02,34920410,1039762.0,2.98,609,2016-01-05
4911,010690,화신,6130,-60,-1.0,58743,361470260,6200,6250,6080,214062113300,0.02,34920410,1025930.0,2.94,614,2016-01-06
7057,010690,화신,5980,-150,-2.4,156863,929391130,6140,6140,5800,208824051800,0.01,34920410,1035964.0,2.97,611,2016-01-07
9211,010690,화신,5930,-50,-0.8,56150,331921600,5820,6040,5820,207078031300,0.01,34920410,1030876.0,2.95,616,2016-01-08
11349,010690,화신,6030,100,1.7,78749,472130070,5900,6080,5830,210570072300,0.01,34920410,1033765.0,2.96,605,2016-01-11
13504,010690,화신,5930,-100,-1.7,41779,249116650,5980,6090,5900,207078031300,0.01,34920410,1025983.0,2.94,611,2016-01-12
15663,010690,화신,5890,-40,-0.7,42057,250003910,5930,6030,5880,205681214900,0.01,34920410,1032424.0,2.96,621,2016-01-13
17821,010690,화신,5790,-100,-1.7,48157,279092340,5860,5860,5750,202189173900,0.01,34920410,1040910.0,2.98,630,2016-01-14
19979,010690,화신,5600,-190,-3.3,96814,551290630,5800,5850,5550,195554296000,0.01,34920410,1053166.0,3.02,639,2016-01-15
22129,010690,화신,5620,20,0.4,38279,214350800,5460,5780,5460,196252704200,0.01,34920410,1055670.0,3.02,640,2016-01-18
24290,010690,화신,5450,-170,-3.0,95396,523148850,5570,5730,5360,190316234500,0.01,34920410,1052128.0,3.01,652,2016-01-19
26429,010690,화신,5450,0,0.0,97454,525000860,5400,5540,5290,190316234500,0.01,34920410,1050315.0,3.01,642,2016-01-20
28578,010690,화신,5370,-80,-1.5,30407,164130410,5500,5500,5330,187522601700,0.01,34920410,1051707.0,3.01,642,2016-01-21
30726,010690,화신,5460,90,1.7,32815,178177430,5380,5470,5380,190665438600,0.01,34920410,1060483.0,3.04,643,2016-01-22
32877,010690,화신,5480,20,0.4,53388,290061640,5460,5510,5390,191363846800,0.01,34920410,1065605.0,3.05,646,2016-01-25
35039,010690,화신,5330,-150,-2.7,51925,278641720,5440,5440,5310,186125785300,0.01,34920410,1065488.0,3.05,661,2016-01-26
37176,010690,화신,5390,60,1.1,80781,435279090,5340,5490,5330,188221009900,0.01,34920410,1141220.0,3.27,650,2016-01-27
39331,010690,화신,5390,0,0.0,48507,261069940,5390,5430,5310,188221009900,0.01,34920410,1144712.0,3.28,656,2016-01-28
41468,010690,화신,5540,150,2.8,63747,347845600,5390,5630,5350,193459071400,0.01,34920410,1150546.0,3.29,643,2016-01-29
43630,010690,화신,5440,-100,-1.8,51367,278750700,5600,5600,5360,189967030400,0.01,34920410,1137483.0,3.26,655,2016-02-01
45787,010690,화신,5380,-60,-1.1,42890,231050300,5440,5480,5350,187871805800,0.01,34920410,1138038.0,3.26,662,2016-02-02
47937,010690,화신,5370,-10,-0.2,14443,77213520,5410,5410,5310,187522601700,0.01,34920410,1134716.0,3.25,661,2016-02-03
50084,010690,화신,5460,90,1.7,23253,127178850,5370,5510,5330,190665438600,0.01,34920410,1137727.0,3.26,656,2016-02-04
52239,010690,화신,5440,-20,-0.4,12615,68798830,5460,5500,5410,189967030400,0.01,34920410,1137066.0,3.26,658,2016-02-05
54372,010690,화신,5380,-60,-1.1,27645,147772730,5360,5400,5300,187871805800,0.01,34920410,1144444.0,3.28,637,2016-02-11
56513,010690,화신,5340,-40,-0.7,56399,297400880,5300,5370,5180,186474989400,0.01,34920410,1151634.0,3.3,624,2016-02-12
58665,010690,화신,5540,200,3.8,43538,239773280,5340,5610,5290,193459071400,0.01,34920410,1175684.0,3.37,622,2016-02-15
60822,010690,화신,5620,80,1.4,18036,100733610,5500,5630,5480,196252704200,0.01,34920410,1183172.0,3.39,624,2016-02-16
62978,010690,화신,5530,-90,-1.6,53497,297746210,5610,5690,5480,193109867300,0.01,34920410,1206019.0,3.45,625,2016-02-17
65133,010690,화신,5640,110,2.0,43249,243264600,5540,5680,5500,196951112400,0.01,34920410,1229279.0,3.52,625,2016-02-18
67284,010690,화신,5700,60,1.1,30799,176884550,5600,5810,5590,199046337000,0.01,34920410,1234931.0,3.54,621,2016-02-19
69436,010690,화신,5760,60,1.0,37418,215329560,5660,5800,5660,201141561600,0.01,34920410,1251102.0,3.58,618,2016-02-22
71592,010690,화신,5770,10,0.2,27667,159468950,5850,5850,5700,201490765700,0.01,34920410,1266078.0,3.63,619,2016-02-23
73750,010690,화신,5730,-40,-0.7,20738,119064960,5700,5780,5700,200093949300,0.01,34920410,1277968.0,3.66,623,2016-02-24
75902,010690,화신,5760,30,0.5,34655,199609120,5730,5800,5700,201141561600,0.01,34920410,1291574.0,3.7,620,2016-02-25
78061,010690,화신,5760,0,0.0,33933,196350060,5760,5830,5750,201141561600,0.01,34920410,1303093.0,3.73,624,2016-02-26
80223,010690,화신,5650,-110,-1.9,30495,172631730,5820,5820,5600,197300316500,0.01,34920410,1313254.0,3.76,631,2016-02-29
82385,010690,화신,5620,-30,-0.5,57520,321104270,5650,5700,5520,196252704200,0.01,34920410,1327219.0,3.8,636,2016-03-02
84547,010690,화신,5650,30,0.5,138787,779735480,5560,5740,5500,197300316500,0.01,34920410,1364192.0,3.91,640,2016-03-03
86726,010690,화신,5500,-150,-2.6,145771,809236320,5700,5710,5500,192062255000,0.01,34920410,1373621.0,3.93,661,2016-03-04
88852,010690,화신,5870,370,6.7,137292,790910230,5530,5870,5530,204982806700,0.01,34920410,1392026.0,3.99,627,2016-03-07
90996,010690,화신,6150,280,4.8,150877,911896450,5870,6170,5760,214760521500,0.01,34920410,1413971.0,4.05,611,2016-03-08
93149,010690,화신,6270,120,2.0,160874,1006623900,6190,6340,6050,218950970700,0.02,34920410,1437951.0,4.12,604,2016-03-09
95308,010690,화신,6330,60,1.0,137052,869884890,6280,6440,6250,221046195300,0.02,34920410,1469241.0,4.21,603,2016-03-10
97470,010690,화신,6320,-10,-0.2,70628,445412090,6280,6360,6160,220696991200,0.02,34920410,1474979.0,4.22,604,2016-03-11
99626,010690,화신,6380,60,1.0,50542,322332720,6340,6430,6280,222792215800,0.02,34920410,1480442.0,4.24,598,2016-03-14
101783,010690,화신,6430,50,0.8,52051,333535590,6430,6450,6340,224538236300,0.02,34920410,1495356.0,4.28,593,2016-03-15
103948,010690,화신,6410,-20,-0.3,41896,269059830,6450,6450,6390,223839828100,0.02,34920410,1500649.0,4.3,597,2016-03-16
106096,010690,화신,6600,190,3.0,101183,661985520,6360,6620,6360,230474706000,0.02,34920410,1520893.0,4.36,583,2016-03-17
108272,010690,화신,6420,-180,-2.7,60713,395650410,6650,6650,6400,224189032200,0.02,34920410,1523562.0,4.36,597,2016-03-18
110436,010690,화신,6390,-30,-0.5,50949,325005290,6420,6450,6250,223141419900,0.02,34920410,1537263.0,4.4,599,2016-03-21
112609,010690,화신,6310,-80,-1.2,49198,311594260,6430,6430,6300,220347787100,0.01,34920410,1549039.0,4.44,610,2016-03-22
114744,010690,화신,6730,420,6.7,277704,1854744320,6310,6810,6300,235014359300,0.02,34920410,1575165.0,4.51,583,2016-03-23
116908,010690,화신,6660,-70,-1.0,63122,422432530,6730,6860,6610,232569930600,0.02,34920410,1564012.0,4.48,585,2016-03-24
119067,010690,화신,6670,10,0.2,48654,326691890,6660,6780,6560,232919134700,0.02,34920410,1558757.0,4.46,582,2016-03-25
121212,010690,화신,6830,160,2.4,138073,943157800,6670,6890,6650,238506400300,0.02,34920410,1547293.0,4.43,565,2016-03-28
123373,010690,화신,6850,20,0.3,156380,1062503650,6830,6950,6690,239204808500,0.02,34920410,1545029.0,4.42,564,2016-03-29
125547,010690,화신,6780,-70,-1.0,53571,365066260,6850,6900,6700,236760379800,0.02,34920410,1543359.0,4.42,576,2016-03-30
127728,010690,화신,6560,-220,-3.2,72176,480876290,6800,6900,6560,229077889600,0.02,34920410,1545317.0,4.43,593,2016-03-31
129898,010690,화신,6550,-10,-0.2,56696,372594350,6570,6770,6500,228728685500,0.02,34920410,1550308.0,4.44,599,2016-04-01
132074,010690,화신,6440,-110,-1.7,109068,709382960,6510,6610,6410,224887440400,0.02,34920410,1548995.0,4.44,611,2016-04-04
134251,010690,화신,6250,-190,-3.0,115207,723765130,6440,6550,6190,218252562500,0.01,34920410,1555519.0,4.45,624,2016-04-05
136423,010690,화신,6140,-110,-1.8,74443,460312230,6200,6300,6120,214411317400,0.01,34920410,1511226.0,4.33,632,2016-04-06
138583,010690,화신,6210,70,1.1,62210,389405940,6200,6390,6150,216855746100,0.01,34920410,1511472.0,4.33,627,2016-04-07
