,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
79,011070,LG이노텍,111500,-1000,-0.9,151102,16956007500,111500,114000,110000,2638882430500,0.2,23667107,2314246.0,9.78,80,2015-01-02
2113,011070,LG이노텍,114000,2500,2.2,171664,19573103500,112000,116500,109500,2698050198000,0.2,23667107,2338258.0,9.88,79,2015-01-05
4149,011070,LG이노텍,109000,-5000,-4.4,223707,24810217500,112500,116000,108500,2579714663000,0.2,23667107,2346237.0,9.91,80,2015-01-06
6185,011070,LG이노텍,107000,-2000,-1.8,138571,15076200000,108500,111500,106500,2532380449000,0.19,23667107,2351243.0,9.93,81,2015-01-07
8215,011070,LG이노텍,113000,6000,5.6,151779,16948490500,108500,113500,108000,2674383091000,0.2,23667107,2394937.0,10.12,77,2015-01-08
10250,011070,LG이노텍,111000,-2000,-1.8,124355,14152297000,114000,115500,111000,2627048877000,0.19,23667107,2397033.0,10.13,79,2015-01-09
12281,011070,LG이노텍,117000,6000,5.4,214735,25019659500,110000,118500,110000,2769051519000,0.21,23667107,2450211.0,10.35,77,2015-01-12
14314,011070,LG이노텍,115000,-2000,-1.7,213305,25026252500,117500,119000,115000,2721717305000,0.2,23667107,2493691.0,10.54,77,2015-01-13
16349,011070,LG이노텍,112500,-2500,-2.2,150249,17329252500,117000,119500,112000,2662549537500,0.2,23667107,2472129.0,10.45,80,2015-01-14
18378,011070,LG이노텍,115000,2500,2.2,88068,9989871000,112500,115000,112000,2721717305000,0.2,23667107,2468716.0,10.43,77,2015-01-15
20416,011070,LG이노텍,108500,-6500,-5.6,225453,24657836500,114000,114500,107500,2567881109500,0.19,23667107,2459847.0,10.39,82,2015-01-16
22448,011070,LG이노텍,106500,-2000,-1.8,205148,22074024000,109500,112500,105000,2520546895500,0.19,23667107,2491326.0,10.53,84,2015-01-19
24478,011070,LG이노텍,109500,3000,2.8,116995,12650746000,107000,109500,106500,2591548216500,0.19,23667107,2510056.0,10.61,84,2015-01-20
26504,011070,LG이노텍,111500,2000,1.8,113903,12578337500,110500,111500,108500,2638882430500,0.2,23667107,2537722.0,10.72,82,2015-01-21
28534,011070,LG이노텍,107000,-4500,-4.0,134123,14675541000,113000,113000,107000,2532380449000,0.19,23667107,2539678.0,10.73,85,2015-01-22
30561,011070,LG이노텍,107000,0,0.0,124625,13401391500,110000,110000,105500,2532380449000,0.19,23667107,2573513.0,10.87,85,2015-01-23
32588,011070,LG이노텍,106000,-1000,-0.9,86159,9153591000,107500,108500,104500,2508713342000,0.18,23667107,2580284.0,10.9,85,2015-01-26
34616,011070,LG이노텍,107000,1000,0.9,303596,32515334500,105500,110000,102000,2532380449000,0.18,23667107,2589753.0,10.94,85,2015-01-27
36643,011070,LG이노텍,109500,2500,2.3,175786,19209571000,111000,111500,107500,2591548216500,0.19,23667107,2595790.0,10.97,85,2015-01-28
38674,011070,LG이노텍,104000,-5500,-5.0,324584,34044846000,109000,109500,103500,2461379128000,0.18,23667107,2557147.0,10.8,89,2015-01-29
40706,011070,LG이노텍,97900,-6100,-5.9,667335,66250121700,104500,104500,97200,2317009775300,0.17,23667107,2510870.0,10.61,94,2015-01-30
42730,011070,LG이노텍,98600,700,0.7,240184,23721317700,97500,101000,95300,2333576750200,0.17,23667107,2529031.0,10.69,91,2015-02-02
44757,011070,LG이노텍,100500,1900,1.9,157065,15690732500,99900,101000,98500,2378544253500,0.17,23667107,2562384.0,10.83,91,2015-02-03
46784,011070,LG이노텍,99400,-1100,-1.1,162972,16290208400,101000,101500,99300,2352510435800,0.17,23667107,2568359.0,10.85,91,2015-02-04
48815,011070,LG이노텍,98600,-800,-0.8,152233,15116057000,99900,101000,98400,2333576750200,0.17,23667107,2576800.0,10.89,95,2015-02-05
50843,011070,LG이노텍,97700,-900,-0.9,145494,14327608854,98900,100500,97700,2312276353900,0.17,23667107,2580952.0,10.91,95,2015-02-06
52872,011070,LG이노텍,96400,-1300,-1.3,169250,16427181100,97800,99100,95600,2281509114800,0.17,23667107,2624996.0,11.09,95,2015-02-09
54902,011070,LG이노텍,94300,-2100,-2.2,172880,16374465100,96500,97200,93700,2231808190100,0.16,23667107,2628000.0,11.1,96,2015-02-10
56927,011070,LG이노텍,98300,4000,4.2,178667,17406813700,95200,99300,94600,2326476618100,0.17,23667107,2649890.0,11.2,93,2015-02-11
58960,011070,LG이노텍,95500,-2800,-2.8,141268,13602419600,98600,99000,95500,2260208718500,0.16,23667107,2615230.0,11.05,97,2015-02-12
60981,011070,LG이노텍,103000,7500,7.8,444793,44773861140,96300,104000,96200,2437712021000,0.18,23667107,2600265.0,10.99,89,2015-02-13
63011,011070,LG이노텍,103000,0,0.0,162052,16596725500,102000,104000,100500,2437712021000,0.18,23667107,2577214.0,10.89,90,2015-02-16
65041,011070,LG이노텍,102500,-500,-0.5,146788,15221064000,104000,105000,102000,2425878467500,0.18,23667107,2555861.0,10.8,91,2015-02-17
67070,011070,LG이노텍,102500,0,0.0,115645,11894084000,104000,104500,101500,2425878467500,0.17,23667107,2537248.0,10.72,92,2015-02-23
69097,011070,LG이노텍,103500,1000,1.0,125306,12980994500,103000,104500,102500,2449545574500,0.18,23667107,2525057.0,10.67,91,2015-02-24
71122,011070,LG이노텍,105500,2000,1.9,220330,23368912000,105000,107500,104000,2496879788500,0.18,23667107,2536165.0,10.72,90,2015-02-25
73148,011070,LG이노텍,105500,0,0.0,141105,14751699000,106500,107000,102500,2496879788500,0.18,23667107,2533738.0,10.71,90,2015-02-26
75173,011070,LG이노텍,105000,-500,-0.5,138785,14572685552,105500,106500,103500,2485046235000,0.18,23667107,2531124.0,10.69,89,2015-02-27
77203,011070,LG이노텍,102500,-2500,-2.4,159896,16552895500,105000,105000,102000,2425878467500,0.17,23667107,2545642.0,10.76,93,2015-03-02
79226,011070,LG이노텍,104500,2000,2.0,160969,16584996500,103000,105000,101000,2473212681500,0.17,23667107,2525813.0,10.67,91,2015-03-03
81251,011070,LG이노텍,104000,-500,-0.5,126733,13287249000,104500,106500,103000,2461379128000,0.17,23667107,2507293.0,10.59,91,2015-03-04
83275,011070,LG이노텍,107000,3000,2.9,195051,20747778500,104000,108000,104000,2532380449000,0.18,23667107,2528624.0,10.68,90,2015-03-05
85296,011070,LG이노텍,112000,5000,4.7,322657,35758242000,108000,112000,107500,2650715984000,0.19,23667107,2584089.0,10.92,86,2015-03-06
87322,011070,LG이노텍,109500,-2500,-2.2,161846,17895217000,111500,112500,109000,2591548216500,0.18,23667107,2562172.0,10.83,87,2015-03-09
89344,011070,LG이노텍,112500,3000,2.7,308567,34553406000,111500,114500,109500,2662549537500,0.19,23667107,2583658.0,10.92,84,2015-03-10
91369,011070,LG이노텍,111500,-1000,-0.9,172227,19109997500,111000,112500,109500,2638882430500,0.19,23667107,2565211.0,10.84,84,2015-03-11
93397,011070,LG이노텍,107000,-4500,-4.0,242343,26313011500,112000,112000,107000,2532380449000,0.18,23667107,2552511.0,10.79,87,2015-03-12
95427,011070,LG이노텍,104000,-3000,-2.8,339665,35347840000,108000,109000,102500,2461379128000,0.17,23667107,2587223.0,10.93,92,2015-03-13
97446,011070,LG이노텍,104000,0,0.0,174482,18133312500,104000,106000,102500,2461379128000,0.17,23667107,2602021.0,10.99,89,2015-03-16
99465,011070,LG이노텍,111000,7000,6.7,279670,30558833000,106000,111500,105500,2627048877000,0.18,23667107,2652384.0,11.21,86,2015-03-17
101485,011070,LG이노텍,110500,-500,-0.4,186227,20878071500,112000,114000,110000,2615215323500,0.18,23667107,2684831.0,11.34,85,2015-03-18
103508,011070,LG이노텍,110000,-500,-0.4,120564,13241066000,112000,112000,109000,2603381770000,0.18,23667107,2691376.0,11.37,87,2015-03-19
105527,011070,LG이노텍,113500,3500,3.2,183928,20882160500,111000,115500,110500,2686216644500,0.19,23667107,2720923.0,11.5,84,2015-03-20
107549,011070,LG이노텍,113500,0,0.0,125666,14394197000,115500,116500,112500,2686216644500,0.19,23667107,2720348.0,11.49,84,2015-03-23
109572,011070,LG이노텍,115000,1500,1.3,149452,17149149500,114500,116000,113500,2721717305000,0.19,23667107,2751155.0,11.62,85,2015-03-24
111597,011070,LG이노텍,111000,-4000,-3.5,173745,19578833500,115000,116000,110500,2627048877000,0.18,23667107,2764140.0,11.68,88,2015-03-25
113618,011070,LG이노텍,111000,0,0.0,145274,15970503500,109000,112000,108500,2627048877000,0.18,23667107,2787567.0,11.78,86,2015-03-26
