,account_nm,thstrm_amount
0,유동자산,5405499989622.0
1,현금및현금성자산,1942218655868.0
2,단기금융상품,841697947914.0
3,매도가능금융자산,45639020000.0
4,매출채권 및 기타채권,1016335868734.0
5,재고자산,1162746555678.0
6,금융리스채권,138598084.0
7,당기법인세자산,18567576319.0
8,기타유동금융자산,16740348522.0
9,기타유동비금융자산,361415418503.0
10,비유동자산,6062308909152.0
11,장기금융상품,67509500000.0
12,매도가능금융자산,193646663061.0
13,금융리스채권,3139735572.0
14,관계기업투자,846144172015.0
15,공동기업투자,800374671919.0
16,유형자산,3964852431989.0
17,투자부동산,81298743603.0
18,영업권,3196151567.0
19,무형자산,34442559894.0
20,기타비유동금융자산,8277637186.0
21,기타비유동비금융자산,4655761108.0
22,이연법인세자산,54770881238.0
23,자산총계,11467808898774.0
24,유동부채,2146107848882.0
25,매입채무 및 기타유동채무,934257282162.0
26,당기손익인식금융부채,179284262.0
27,단기차입금,911337908046.0
28,당기법인세부채,157692458677.0
29,기타유동금융부채,57933582156.0
30,기타유동비금융부채,75530844307.0
31,유동충당부채,9176489272.0
32,비유동부채,1766114975036.0
33,장기차입금,1500781746218.0
34,순확정급여부채,30263275849.0
35,이연법인세부채,204218459079.0
36,기타비유동금융부채,17651966771.0
37,기타비유동비금융부채,3398126882.0
38,비유동충당부채,9801400237.0
39,부채총계,3912222823918.0
40,지배기업의 소유주에게 귀속되는 자본,7524751244619.0
41,자본금,171377095000.0
42,기타불입자본,476522242395.0
43,이익잉여금(결손금),6739344145893.0
44,기타자본구성요소,137507761331.0
45,비지배지분,30834830237.0
46,자본총계,7555586074856.0
47,자본과부채총계,11467808898774.0
48,매출,11713338201119.0
49,매출원가,9646291210590.0
50,매출총이익,2067046990529.0
51,판매비와관리비,455927525047.0
52,영업이익(손실),1611119465482.0
53,금융수익,145410485658.0
54,금융비용,204624157754.0
55,지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,-23405936491.0
56,기타영업외손익,-107131849529.0
57,법인세비용차감전순이익(손실),1421368007366.0
58,법인세비용,430712512057.0
59,당기순이익(손실),990655495309.0
60,기타포괄손익,129623841284.0
61,후속적으로 당기손익으로 재분류되지 않는 항목,-10256055223.0
62,"법인세비용차감전기타포괄손익, 확정급여제도의 재측정손익",-8064009146.0
63,지분법이익잉여금,-2192046077.0
64,후속적으로 당기손익으로 재분류될 수 있는 항목,139879896507.0
65,지분법이익잉여금,
66,매도가능금융자산의 세전기타포괄손익,20375203607.0
67,지분법자본변동,10651905170.0
68,현금흐름위험회피의 세전기타포괄손익,2946242373.0
69,해외사업장환산외환차이,105906545357.0
70,총포괄손익,1120279336593.0
71,지배기업의 소유주,992512355206.0
72,비지배지분,-1856859897.0
73,지배기업의 소유주,1121344570238.0
74,비지배지분,-1065233645.0
75,기본및희석주당순이익,29458.0
76,계속영업기본주당이익(손실),29458.0
77,영업활동현금흐름,2595626910168.0
78,당기순이익(손실),990655495309.0
79,당기순이익조정을 위한 가감,1835134969377.0
80,법인세비용,430712512057.0
81,이자수익,38468071085.0
82,이자비용,69947513679.0
83,배당금수익,-588387880.0
84,지분법투자손익,23405936491.0
85,당기손익인식금융자산 평가이익,-9039741773.0
86,당기손익인식금융자산 평가손실,173087329.0
87,당기손익인식금융자산처분이익,
88,당기손익인식금융자산처분손실,9985204973.0
89,매도가능금융자산처분이익,-360693229.0
90,매도가능금융자산손상차손,9853202916.0
91,외화환산손실,56483669492.0
92,외화환산이익,29986640126.0
93,파생상품평가이익,-13736004000.0
94,파생상품평가손실,245000000.0
95,파생상품거래이익,-12771440000.0
96,유형자산처분이익,3167754839.0
97,유형자산처분손실,15811558714.0
98,무형자산처분이익,-98090908.0
99,투자부동산처분이익,-300753696.0
100,매출채권처분손실,
101,재고자산평가손실(환입),-14544529075.0
102,대손상각비(환입),453126255.0
103,기타의대손상각비,674000000.0
104,감가상각비,484827471613.0
105,무형자산상각비,2838956910.0
106,지급임차료,
107,퇴직급여,26922842039.0
108,장기종업원급여,165220953.0
109,영업권손상차손,
110,유형자산감액,86558845118.0
111,무형자산손상차손(환입),36589800.0
112,잡이익,
113,잡손실,
114,매출채권의 감소(증가),271264766831.0
115,기타채권의 감소(증가),118266152803.0
116,재고자산의 감소(증가),411081114997.0
117,기타금융자산의 감소(증가),4160199170.0
118,기타자산의 감소(증가),3076801209.0
119,매입채무의 증가(감소),-23834004935.0
120,기타채무의 증가(감소),6081707207.0
121,기타금융부채의 증가(감소),6905957020.0
122,기타부채의 증가(감소),-37436956436.0
123,충당부채의 증가(감소),12952666463.0
124,퇴직급여채무의 증가(감소),-33416066680.0
125,법인세납부(환급),230163554518.0
126,투자활동현금흐름,-1273452580553.0
127,단기금융상품의 감소,25595244935.0
128,장기금융상품의 감소,2500000.0
129,매도가능금융자산의 처분,921714165.0
130,기타금융자산의 처분,5618174169.0
131,유형자산의 처분,53170182356.0
132,무형자산의 처분,130372726.0
133,투자부동산의 처분,3000000000.0
134,이자수취,38693620055.0
135,배당금수취,37588387880.0
136,단기금융상품의 증가,578598889042.0
137,장기금융상품의 증가,17000000000.0
138,매도가능금융자산의 취득,10034804400.0
139,관계기업투자의 취득,138265420000.0
140,공동기업투자의 취득,39000000000.0
141,기타금융자산의 증가,2280939818.0
142,기타자산의 증가,279150000000.0
143,파생상품의 정산,9985204973.0
144,유형자산의 취득,355355967948.0
145,무형자산의 취득,8501550658.0
146,투자부동산의 취득,
147,재무활동현금흐름,-333868224696.0
148,단기차입금의 증가,2558969903242.0
149,장기차입금의 증가,4788423000.0
150,사채의 증가,470262500000.0
151,자기주식의 처분,
152,단기차입금의 상환,2704289337216.0
153,장기차입금의 상환,192360437800.0
154,사채의 상환,367421174649.0
155,금융리스부채의 지급,
156,비지배지분의 취득,
157,기타 자본잉여금의 변동,
158,배당금지급,33692031000.0
159,이자지급,70126070273.0
160,환율변동효과 반영전 현금및현금성자산의 순증가(감소),988306104919.0
161,기초현금및현금성자산,949302735384.0
162,현금및현금성자산에 대한 환율변동효과,4609815565.0
163,기말현금및현금성자산,1942218655868.0
164,기초자본,6468998769263.0
165,기초자본,31900063882.0
166,기초자본,6437098705381.0
167,기초자본,476522242395.0
168,기초자본,-1577659834.0
169,기초자본,5790777027820.0
170,기초자본,171377095000.0
171,배당금지급,33692031000.0
172,배당금지급,33692031000.0
173,배당금지급,33692031000.0
174,비지배지분의 취득,
175,비지배지분의 취득,
176,비지배지분의 취득,
177,비지배지분의 취득,
