,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
46,011170,롯데케미칼,161000,1000,0.6,101444,16206610500,159000,162000,158000,5518342459000,0.41,34275419,9349841.0,27.28,47,2015-01-02
2082,011170,롯데케미칼,155500,-5500,-3.4,187535,29220656500,160500,160500,154500,5329827654500,0.4,34275419,9379041.0,27.36,48,2015-01-05
4118,011170,롯데케미칼,146000,-9500,-6.1,483546,70435630000,150000,151000,141500,5004211174000,0.38,34275419,9390437.0,27.4,49,2015-01-06
6153,011170,롯데케미칼,147500,1500,1.0,278830,41055378000,144000,149500,143500,5055624302500,0.38,34275419,9438477.0,27.54,49,2015-01-07
8190,011170,롯데케미칼,145000,-2500,-1.7,298017,43496894500,150000,151000,143500,4969935755000,0.37,34275419,9387397.0,27.39,52,2015-01-08
10222,011170,롯데케미칼,148500,3500,2.4,304688,45052746500,147500,150000,145000,5089899721500,0.38,34275419,9371789.0,27.34,51,2015-01-09
12255,011170,롯데케미칼,148000,-500,-0.3,206972,30620994500,148000,151000,145500,5072762012000,0.38,34275419,9368598.0,27.33,51,2015-01-12
14288,011170,롯데케미칼,144000,-4000,-2.7,193373,27897395500,146500,147000,143000,4935660336000,0.37,34275419,9386763.0,27.39,51,2015-01-13
16319,011170,롯데케미칼,144000,0,0.0,242214,34939246500,143000,146500,141000,4935660336000,0.37,34275419,9425390.0,27.5,50,2015-01-14
18350,011170,롯데케미칼,148000,4000,2.8,191296,28090640000,146000,149000,144500,5072762012000,0.38,34275419,9465279.0,27.62,49,2015-01-15
20385,011170,롯데케미칼,142000,-6000,-4.0,251821,35797950000,146000,146500,140500,4867109498000,0.37,34275419,9442169.0,27.55,51,2015-01-16
22413,011170,롯데케미칼,150500,8500,6.0,312069,46436413500,145500,151000,145000,5158450559500,0.39,34275419,9443713.0,27.55,49,2015-01-19
24443,011170,롯데케미칼,149500,-1000,-0.7,149567,22516720000,151500,152500,148500,5124175140500,0.38,34275419,9428201.0,27.51,49,2015-01-20
26471,011170,롯데케미칼,151500,2000,1.3,121196,18117773000,147500,151500,147500,5192725978500,0.38,34275419,9450342.0,27.57,49,2015-01-21
28497,011170,롯데케미칼,157500,6000,4.0,294999,46113059500,153000,158000,152000,5398378492500,0.4,34275419,9499491.0,27.72,48,2015-01-22
30525,011170,롯데케미칼,160000,2500,1.6,427129,69299705500,161000,167000,157000,5484067040000,0.4,34275419,9565527.0,27.91,49,2015-01-23
32552,011170,롯데케미칼,159000,-1000,-0.6,161860,25769684000,158000,161500,155500,5449791621000,0.4,34275419,9595469.0,28.0,49,2015-01-26
34578,011170,롯데케미칼,172000,13000,8.2,497167,83977434500,161000,174000,159000,5895372068000,0.43,34275419,9796679.0,28.58,47,2015-01-27
36604,011170,롯데케미칼,174000,2000,1.2,223264,38414156500,172000,174000,170500,5963922906000,0.43,34275419,9800651.0,28.59,46,2015-01-28
38632,011170,롯데케미칼,171000,-3000,-1.7,167243,28387130500,170000,171500,167000,5861096649000,0.43,34275419,9829063.0,28.68,47,2015-01-29
40657,011170,롯데케미칼,174500,3500,2.0,172222,29933338500,174000,175500,171000,5981060615500,0.44,34275419,9859937.0,28.77,45,2015-01-30
42685,011170,롯데케미칼,174000,-500,-0.3,199615,35391874500,179500,180500,174000,5963922906000,0.43,34275419,9869280.0,28.79,46,2015-02-02
44712,011170,롯데케미칼,178000,4000,2.3,215065,38154992500,177000,179000,174500,6101024582000,0.44,34275419,9938940.0,29.0,46,2015-02-03
46738,011170,롯데케미칼,179500,1500,0.8,296754,53668338000,183000,183000,176000,6152437710500,0.44,34275419,10070926.0,29.38,45,2015-02-04
48766,011170,롯데케미칼,173500,-6000,-3.3,150233,26163661500,176500,177000,172500,5946785196500,0.43,34275419,10079918.0,29.41,46,2015-02-05
50793,011170,롯데케미칼,178000,4500,2.6,143474,25250866000,175500,178500,172500,6101024582000,0.44,34275419,10150141.0,29.61,45,2015-02-06
52820,011170,롯데케미칼,182000,4000,2.2,278863,50879309000,178500,184000,178500,6238126258000,0.45,34275419,10206796.0,29.78,43,2015-02-09
54849,011170,롯데케미칼,182000,0,0.0,190017,34709472000,181500,186500,180000,6238126258000,0.46,34275419,10260770.0,29.94,43,2015-02-10
56879,011170,롯데케미칼,177000,-5000,-2.8,127712,22778937000,183000,183500,176500,6066749163000,0.44,34275419,10287770.0,30.02,45,2015-02-11
58909,011170,롯데케미칼,175000,-2000,-1.1,150226,26020731500,174500,175500,171000,5998198325000,0.44,34275419,10308857.0,30.08,46,2015-02-12
60938,011170,롯데케미칼,177000,2000,1.1,70332,12439194996,178000,179500,175000,6066749163000,0.44,34275419,10323786.0,30.12,46,2015-02-13
62969,011170,롯데케미칼,172500,-4500,-2.5,183637,31791338500,178000,180500,169500,5912509777500,0.43,34275419,10348177.0,30.19,48,2015-02-16
64997,011170,롯데케미칼,175500,3000,1.7,97431,17056586500,172000,178000,170500,6015336034500,0.43,34275419,10374139.0,30.27,47,2015-02-17
67026,011170,롯데케미칼,174500,-1000,-0.6,89407,15811845000,176500,178500,174000,5981060615500,0.43,34275419,10396072.0,30.33,48,2015-02-23
69052,011170,롯데케미칼,175500,1000,0.6,95897,16948970500,175500,179500,174000,6015336034500,0.43,34275419,10415759.0,30.39,46,2015-02-24
71077,011170,롯데케미칼,184000,8500,4.8,318935,58419653000,177000,185500,177000,6306677096000,0.45,34275419,10395453.0,30.33,45,2015-02-25
73102,011170,롯데케미칼,193500,9500,5.2,462075,88390091500,187500,194500,185500,6632293576500,0.47,34275419,10415276.0,30.39,44,2015-02-26
75128,011170,롯데케미칼,190500,-3000,-1.6,242330,46992169540,191500,197000,190500,6529467319500,0.47,34275419,10440640.0,30.46,44,2015-02-27
