,account_nm,thstrm_amount
0,비유동자산,3242979113038
1,유형자산,2505694027694
2,투자부동산,5601396833
3,무형자산,16150523923
4,관계기업 투자주식,395840538203
5,기타비유동금융자산,270660713664
6,매도가능금융자산,251298280863
7,장기대여금및기타채권,16945866321
8,파생상품자산,2416566480
9,이연법인세자산,30213021506
10,기타비유동자산,18818891215
11,유동자산,967576522903
12,재고자산,394695332877
13,기타유동금융자산,46778442634
14,유동매도가능금융자산,600000
15,파생상품자산,5924383203
16,단기대여금및수취채권,40853459431
17,매출채권,435348394174
18,현금및현금성자산,47292206726
19,기타유동자산,15337531608
20,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,28000000000
21,매각예정비유동자산,28000000000
22,당기법인세자산,124614884
23,자산총계,4210555635941
24,납입자본,435279740047
25,자본금,167455885000
26,자본잉여금,267823855047
27,기타자본구성요소,-24520516148
28,자본조정,40322792176
29,기타포괄손익누계액,15802276028
30,이익잉여금,1145722495381
31,지배기업의 소유주에게 귀속되는 자본,1556481719280
32,비지배지분,107267425360
33,자본총계,1663749144640
34,비유동부채,1005548523029
35,미지급금 및 기타채무,4445546047
36,장기미지급금,50000000
37,장기미지급비용,4395546047
38,차입금,882264646947
39,확정급여부채,64092751937
40,이연법인세부채,49318659312
41,장기금융보증부채,544808630
42,파생상품부채,1073188204
43,기타비유동부채,3808921952
44,유동부채,1541257968272
45,매입채무 및 기타유동채무,480628875997
46,단기매입채무,219196675578
47,단기미지급금,261432200419
48,차입금,1032326179387
49,파생상품부채,0
50,미지급법인세,13011270326
51,유동충당부채,7326028947
52,기타단기충당부채,7326028947
53,그 밖의 기타단기충당부채,7326028947
54,기타유동부채,7965613615
55,부채총계,2546806491301
56,자본과부채총계,4210555635941
57,매출액,3934509038268
58,매출원가,3600583120599
59,매출총이익,333925917669
60,판매비와관리비,169975890128
61,영업이익,163950027541
62,기타수익,78483007505
63,기타비용,48610752091
64,금융수익,42487884017
65,금융비용,109841535865
66,관계기업의 당기순손익에 대한 지분증가,43162605092
67,법인세비용차감전순이익(손실),169631236199
68,법인세비용(수익),47764892719
69,당기순이익(손실),121866343480
70,지배기업지분순이익(손실),118903528616
71,비지배지분순이익(손실),2962814864
72,보통주 기본및희석주당이익(손실),4257
73,당기순이익(손실),121866343480
74,기타포괄손익,-63588893662
75,당기손익으로 재분류되지 않는 세후기타포괄손익,-13903309126
76,보험수리적손익,-13903309126
77,당기손익으로 재분류되는 세후기타포괄손익,-49344630352
78,해외사업 환산손익,94341274
79,매도가능금융자산 평가손익,-48858025829
80,파생상품 평가손익,-580945797
81,당기손익으로 재분류되는 지분법 적용대상 관계기업과 공동기업의 세후기타포괄손익에 대한 지분,-340954184
82,지분법 자본변동,454858579
83,지분법 이익잉여금변동,-795812763
84,총포괄이익(손실),58277449818
85,지배기업지분총포괄이익(손실),56032918558
86,비지배지분총포괄이익(손실),2244531260
87,영업활동으로 인한 현금흐름,483191768284
88,영업에서 창출된 현금,568929313015
89,이자의수취,5775901861
90,이자의지급,68303533122
91,배당금수취,14275660921
92,법인세의납부,37485574391
93,투자활동으로 인한 현금흐름,-391346978971
94,단기금융상품의 처분,-2500000000
95,단기금융상품의 취득,5000000000
96,장기금융상품의 처분,1000000
97,단기대여금의 회수,6000000000
98,단기대여금의 대여,6000000000
99,장기대여금의 회수,9394540888
100,장기대여금의 대여,863605000
101,매도가능금융자산의 처분,4134535963
102,매도가능금융자산의 취득,1535000
103,만기보유금융자산의 처분,0
104,유형자산의 처분,841832057
105,유형자산의 취득,389766987360
106,보험금의 수령,0
107,무형자산의 처분,202272732
108,무형자산의 취득,1774235042
109,기타 자산의 증가,0
110,기타 자산의 감소,605022252
111,사업결합및연결범위변동으로 인한 현금증감,-400063056
112,관계기업투자지분취득,7020000000
113,관계기업에 대한 투자자산의 처분,116483
114,재무활동으로 인한 현금흐름,-258402443086
115,단기차입금의증감,0
116,단기차입금의상환,42130040137
117,장기차입금의차입,330191920000
118,유동성장기부채의상환,428609352352
119,장기차입금의상환,76101330000
120,사채의발행,0
121,사채의상환,0
122,배당금의지급,41998014670
123,비지배지분의 유상증자 참여,300000000
124,종속기업의신주발행비,55625927
125,현금및현금성자산에 대한 환율변동효과,206983760
126,현금및현금성자산의순증가(감소),-166350670013
127,기초의현금및현금성자산,213642876739
128,기말의현금및현금성자산,47292206726
129,기초자본,1641582072687
130,기초자본,82202263089
131,기초자본,1559379809598
132,기초자본,64444842537
133,기초자본,1102565063870
134,기초자본,167455885000
135,기초자본,265199404943
136,기초자본,-40285386752
137,당기순이익(손실),121866343480
138,당기순이익(손실),2962814864
139,당기순이익(손실),118903528616
140,당기순이익(손실),118903528616
141,매도가능금융자산의 평가에 따른 증가(감소),-48858025829
142,매도가능금융자산의 평가에 따른 증가(감소),-470735532
143,매도가능금융자산의 평가에 따른 증가(감소),-48387290297
144,매도가능금융자산의 평가에 따른 증가(감소),-48387290297
145,해외사업환산손익,94341274
146,해외사업환산손익,-202823042
147,해외사업환산손익,297164316
148,해외사업환산손익,297164316
149,파생상품평가손익,-580945797
150,파생상품평가손익,-580945797
151,파생상품평가손익,-580945797
152,지분법자본변동,454858579
153,지분법자본변동,44590568
154,지분법자본변동,410268011
155,지분법자본변동,410268011
156,지분법이익잉여금변동,-795812763
157,지분법이익잉여금변동,-795812763
158,지분법이익잉여금변동,-795812763
159,보험수리적손익,-13903309126
160,보험수리적손익,-89315598
161,보험수리적손익,-13813993528
162,보험수리적손익,-13813993528
163,비지배지분의 유상증자참여,294977322
164,비지배지분의 유상증자참여,309098952
165,비지배지분의 유상증자참여,-14121630
166,비지배지분의 유상증자참여,-14121630
167,기타 자본조정,2595471988
168,기타 자본조정,-5564229
169,기타 자본조정,2601036217
170,기타 자본조정,2638441641
171,기타 자본조정,-37405424
172,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),1195316
173,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),1065223
174,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),130093
175,지배력을 상실하지 않는 종속기업에 대한 소유지분의 변동에 따른 증가(감소),130093
176,종속회사 매각,2997125309
177,종속회사 매각,22516031065
178,종속회사 매각,-19518905756
179,종속회사 매각,-381762742
180,종속회사 매각,-19137143014
181,연차배당,41999147800
182,연차배당,41999147800
183,연차배당,41999147800
184,기말자본,1663749144640
185,기말자본,107267425360
186,기말자본,1556481719280
187,기말자본,15802276028
188,기말자본,1145722495381
189,기말자본,167455885000
190,기말자본,267823855047
191,기말자본,-40322792176
