,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
869,011810,STX,375,0,0.0,0,0,0,0,0,100727755500,0.01,268607348,118222.0,0.04,870,2015-01-02
2908,011810,STX,375,0,0.0,0,0,0,0,0,100727755500,0.01,268607348,118222.0,0.04,874,2015-01-05
4941,011810,STX,375,0,0.0,0,0,0,0,0,100727755500,0.01,268607348,118222.0,0.04,872,2015-01-06
6975,011810,STX,375,0,0.0,0,0,0,0,0,100727755500,0.01,268607348,118222.0,0.04,871,2015-01-07
9012,011810,STX,375,0,0.0,0,0,0,0,0,100727755500,0.01,268607348,118222.0,0.04,874,2015-01-08
11051,011810,STX,375,0,0.0,0,0,0,0,0,100727755500,0.01,268607348,0.0,0.0,880,2015-01-09
12908,011810,STX,4725,615,15.0,591941,2701808640,4110,4725,3950,141018853500,0.01,29845260,0.0,0.0,704,2015-01-12
14877,011810,STX,5430,705,14.9,162404,881853720,5430,5430,5430,162059761800,0.01,29845260,0.0,0.0,640,2015-01-13
16859,011810,STX,6240,810,14.9,4541712,27247140080,6240,6240,5470,186234422400,0.01,29845260,0.0,0.0,590,2015-01-14
18899,011810,STX,6100,-140,-2.2,3756388,24147644430,6100,6970,5810,182056086000,0.01,29845260,0.0,0.0,598,2015-01-15
20935,011810,STX,6030,-70,-1.2,1785245,11141728140,6080,6570,6000,179966917800,0.01,29845260,0.0,0.0,601,2015-01-16
23010,011810,STX,5340,-690,-11.4,2100352,11591813350,6050,6060,5260,159373688400,0.01,29845260,0.0,0.0,646,2015-01-19
25063,011810,STX,5150,-190,-3.6,1422481,7447237180,5250,5540,5010,153703089000,0.01,29845260,0.0,0.0,669,2015-01-20
27098,011810,STX,5110,-40,-0.8,1273987,6586237990,5200,5360,5010,152509278600,0.01,29845260,0.0,0.0,676,2015-01-21
29157,011810,STX,4715,-395,-7.7,1275915,6339076255,5070,5210,4700,140720400900,0.01,29845260,0.0,0.0,708,2015-01-22
31202,011810,STX,4610,-105,-2.2,710723,3352788010,4720,4865,4610,137586648600,0.01,29845260,0.0,0.0,726,2015-01-23
33241,011810,STX,4510,-100,-2.2,716529,3335972020,4610,4795,4510,134602122600,0.01,29845260,0.0,0.0,738,2015-01-26
35293,011810,STX,4365,-145,-3.2,911219,4114043095,4540,4655,4320,130274559900,0.01,29845260,0.0,0.0,762,2015-01-27
