,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
66,012750,에스원,100000,300,0.3,47480,4701927200,98100,100500,98000,3799917800000,0.27,37999178,18030804.0,47.45,67,2016-01-04
2215,012750,에스원,98700,-1300,-1.3,69639,6988305800,100500,103000,98500,3750518868600,0.26,37999178,18008687.0,47.39,67,2016-01-05
4364,012750,에스원,103500,4800,4.9,75086,7646319200,98900,104000,97900,3932914923000,0.28,37999178,18012760.0,47.4,67,2016-01-06
6513,012750,에스원,101500,-2000,-1.9,40926,4164147500,101500,103500,100500,3856916567000,0.27,37999178,18003975.0,47.38,67,2016-01-07
8662,012750,에스원,103000,1500,1.5,37303,3770335700,102500,103500,98700,3913915334000,0.28,37999178,17944509.0,47.22,67,2016-01-08
10811,012750,에스원,102000,-1000,-1.0,39261,4021988000,101000,103500,100500,3875916156000,0.28,37999178,17935843.0,47.2,67,2016-01-11
12960,012750,에스원,100500,-1500,-1.5,47453,4818469500,103000,106000,99800,3818917389000,0.27,37999178,17945547.0,47.23,67,2016-01-12
15109,012750,에스원,101000,500,0.5,42866,4299819100,100500,101500,99000,3837916978000,0.27,37999178,17967323.0,47.28,67,2016-01-13
17258,012750,에스원,102000,1000,1.0,58336,5950193300,99500,104000,99200,3875916156000,0.28,37999178,17975907.0,47.31,67,2016-01-14
19406,012750,에스원,103500,1500,1.5,86619,8818651000,101500,104500,100500,3932914923000,0.28,37999178,18015402.0,47.41,66,2016-01-15
21556,012750,에스원,93800,-9700,-9.4,197978,19005960100,105000,105000,92700,3564322896400,0.26,37999178,18013090.0,47.4,67,2016-01-18
23706,012750,에스원,93900,100,0.1,156041,14303826400,93200,94200,89200,3568122814200,0.25,37999178,18035991.0,47.46,68,2016-01-19
25855,012750,에스원,94800,900,1.0,58218,5459139900,94000,95200,92200,3602322074400,0.26,37999178,18010966.0,47.4,68,2016-01-20
28004,012750,에스원,93600,-1200,-1.3,60543,5664598200,95500,95500,91700,3556723060800,0.26,37999178,18007034.0,47.39,68,2016-01-21
30150,012750,에스원,97700,4100,4.4,48635,4671469200,93600,97700,93600,3712519690600,0.27,37999178,17997754.0,47.36,67,2016-01-22
32298,012750,에스원,98000,300,0.3,71925,7131107100,96600,101500,96600,3723919444000,0.27,37999178,18010821.0,47.4,67,2016-01-25
34445,012750,에스원,99300,1300,1.3,58447,5830081800,98400,102000,97200,3773318375400,0.27,37999178,18008594.0,47.39,67,2016-01-26
36592,012750,에스원,104500,5200,5.2,90677,9358761900,101500,105500,99800,3970914101000,0.28,37999178,18024952.0,47.44,66,2016-01-27
38745,012750,에스원,97800,-6700,-6.4,115611,11384468800,102500,103500,97200,3716319608400,0.26,37999178,18053029.0,47.51,70,2016-01-28
40893,012750,에스원,102000,4200,4.3,89291,8947025300,96000,102000,96000,3875916156000,0.27,37999178,18084666.0,47.59,68,2016-01-29
43043,012750,에스원,103500,1500,1.5,52690,5420715000,100000,104500,100000,3932914923000,0.28,37999178,18080480.0,47.58,68,2016-02-01
45193,012750,에스원,102500,-1000,-1.0,51003,5290577500,101500,105500,101500,3894915745000,0.28,37999178,18089006.0,47.6,68,2016-02-02
47345,012750,에스원,99600,-2900,-2.8,52304,5231090900,102500,103000,99000,3784718128800,0.27,37999178,18092367.0,47.61,69,2016-02-03
49497,012750,에스원,102500,2900,2.9,58474,6025122300,100500,105500,99900,3894915745000,0.27,37999178,18092068.0,47.61,69,2016-02-04
51650,012750,에스원,104000,1500,1.5,50967,5266652500,102500,105000,100500,3951914512000,0.28,37999178,18107540.0,47.65,69,2016-02-05
