,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
69,016360,삼성증권,44600,50,0.1,208846,9346207200,44600,45200,44400,3409008359000,0.25,76435165,16907347.0,22.12,70,2015-01-02
2104,016360,삼성증권,43750,-850,-1.9,275404,12060830450,44400,44950,43550,3344038468750,0.25,76435165,16866594.0,22.07,70,2015-01-05
4137,016360,삼성증권,43800,50,0.1,238744,10384709600,43300,44100,43000,3347860227000,0.25,76435165,16886898.0,22.09,68,2015-01-06
6172,016360,삼성증권,43800,0,0.0,194815,8585899150,44000,44300,43650,3347860227000,0.25,76435165,16873086.0,22.08,68,2015-01-07
8206,016360,삼성증권,44600,800,1.8,193172,8644787200,44300,45200,43850,3409008359000,0.26,76435165,16860557.0,22.06,68,2015-01-08
10239,016360,삼성증권,45250,650,1.5,239728,10882360650,45150,45650,45150,3458691216250,0.26,76435165,16823746.0,22.01,68,2015-01-09
12272,016360,삼성증권,44600,-650,-1.4,185604,8274144800,45050,45200,44300,3409008359000,0.25,76435165,16718677.0,21.87,68,2015-01-12
14306,016360,삼성증권,43400,-1200,-2.7,357981,15694480900,44800,45000,43350,3317286161000,0.25,76435165,16714059.0,21.87,69,2015-01-13
16337,016360,삼성증권,43900,500,1.2,209856,9208516300,43800,44100,43500,3355503743500,0.25,76435165,16740967.0,21.9,68,2015-01-14
18371,016360,삼성증권,43250,-650,-1.5,212388,9244030750,43850,44300,43200,3305820886250,0.25,76435165,16745125.0,21.91,70,2015-01-15
20404,016360,삼성증권,42350,-900,-2.1,250207,10659291400,43450,43450,42250,3237029237750,0.24,76435165,16766214.0,21.94,70,2015-01-16
22434,016360,삼성증권,43450,1100,2.6,184548,8046710950,43000,44000,43000,3321107919250,0.25,76435165,16803257.0,21.98,70,2015-01-19
24463,016360,삼성증권,43400,-50,-0.1,127799,5580054800,43700,44000,43350,3317286161000,0.25,76435165,16788720.0,21.96,69,2015-01-20
26491,016360,삼성증권,43450,50,0.1,185209,7970808800,43400,43700,42650,3321107919250,0.25,76435165,16792865.0,21.97,69,2015-01-21
28519,016360,삼성증권,45400,1950,4.5,512278,23103890000,43400,45700,43400,3470156491000,0.26,76435165,16803886.0,21.98,70,2015-01-22
30544,016360,삼성증권,46900,1500,3.3,397498,18542062500,46350,46950,46150,3584809238500,0.26,76435165,16761036.0,21.93,68,2015-01-23
32572,016360,삼성증권,46500,-400,-0.8,197559,9178168050,46450,47100,46000,3554235172500,0.26,76435165,16733011.0,21.89,69,2015-01-26
34600,016360,삼성증권,46850,350,0.8,164888,7689177800,46950,47200,46300,3580987480250,0.26,76435165,16670799.0,21.81,69,2015-01-27
36627,016360,삼성증권,47700,850,1.8,259704,12299616450,46700,47800,46300,3645957370500,0.26,76435165,16708852.0,21.86,69,2015-01-28
38654,016360,삼성증권,47000,-700,-1.5,165722,7829353400,47250,47700,46650,3592452755000,0.26,76435165,16672404.0,21.81,69,2015-01-29
40682,016360,삼성증권,47600,600,1.3,299218,14339679400,47400,48400,47300,3638313854000,0.27,76435165,16702298.0,21.85,70,2015-01-30
42708,016360,삼성증권,48200,600,1.3,213101,10239873850,47250,48300,47250,3684174953000,0.27,76435165,16775389.0,21.95,69,2015-02-02
44735,016360,삼성증권,48000,-200,-0.4,174183,8327283600,48200,48200,47400,3668887920000,0.27,76435165,16798904.0,21.98,69,2015-02-03
46762,016360,삼성증권,48600,600,1.2,277837,13538621450,48200,49000,48150,3714749019000,0.27,76435165,16947955.0,22.17,69,2015-02-04
48790,016360,삼성증권,48050,-550,-1.1,156767,7535749000,48600,48800,47650,3672709678250,0.27,76435165,16944383.0,22.17,70,2015-02-05
50818,016360,삼성증권,48200,150,0.3,95812,4604627792,48050,48300,47850,3684174953000,0.27,76435165,16984410.0,22.22,70,2015-02-06
52846,016360,삼성증권,47400,-800,-1.7,136766,6521426400,48000,48050,47300,3623026821000,0.26,76435165,16995415.0,22.24,69,2015-02-09
54876,016360,삼성증권,47050,-350,-0.7,112294,5295176500,47500,47850,46850,3596274513250,0.26,76435165,17025323.0,22.27,70,2015-02-10
56903,016360,삼성증권,46850,-200,-0.4,144461,6775195050,47050,47400,46500,3580987480250,0.26,76435165,17055443.0,22.31,69,2015-02-11
58932,016360,삼성증권,46850,0,0.0,185666,8616390350,46650,46850,46000,3580987480250,0.26,76435165,17058194.0,22.32,69,2015-02-12
60962,016360,삼성증권,47000,150,0.3,111361,5243181596,47100,47600,46850,3592452755000,0.26,76435165,17040744.0,22.29,70,2015-02-13
62991,016360,삼성증권,46700,-300,-0.6,99794,4679033400,47000,47150,46700,3569522205500,0.26,76435165,17037058.0,22.29,70,2015-02-16
65021,016360,삼성증권,45400,-1300,-2.8,313921,14405875350,46900,47050,45200,3470156491000,0.25,76435165,17057099.0,22.32,71,2015-02-17
67049,016360,삼성증권,46100,700,1.5,163130,7499604500,45600,46300,45600,3523661106500,0.25,76435165,17095195.0,22.37,71,2015-02-23
69078,016360,삼성증권,46100,0,0.0,190638,8752443850,45800,46100,45650,3523661106500,0.25,76435165,17083553.0,22.35,72,2015-02-24
71103,016360,삼성증권,47200,1100,2.4,279470,13056511600,46200,47200,46100,3607739788000,0.26,76435165,17082937.0,22.35,71,2015-02-25
73129,016360,삼성증권,46750,-450,-1.0,288783,13475653550,47200,47200,46400,3573343963750,0.25,76435165,17062093.0,22.32,71,2015-02-26
75155,016360,삼성증권,47700,950,2.0,355729,16962553172,46900,48150,46850,3645957370500,0.26,76435165,17092798.0,22.36,71,2015-02-27
77181,016360,삼성증권,47900,200,0.4,278880,13347228900,47900,48250,47500,3661244403500,0.26,76435165,17047437.0,22.3,71,2015-03-02
79206,016360,삼성증권,47350,-550,-1.2,274966,13098742250,48150,48200,47350,3619205062750,0.26,76435165,17006398.0,22.25,71,2015-03-03
81231,016360,삼성증권,47050,-300,-0.6,228387,10845172850,47400,47900,47050,3596274513250,0.25,76435165,17040093.0,22.29,71,2015-03-04
83256,016360,삼성증권,46600,-450,-1.0,160872,7508243650,47050,47100,46400,3561878689000,0.25,76435165,17038210.0,22.29,71,2015-03-05
85281,016360,삼성증권,48150,1550,3.3,424181,20332838100,46900,48500,46650,3680353194750,0.26,76435165,17040676.0,22.29,71,2015-03-06
87307,016360,삼성증권,46500,-1650,-3.4,316678,14900875700,47650,47850,46500,3554235172500,0.25,76435165,17027874.0,22.28,72,2015-03-09
89332,016360,삼성증권,46350,-150,-0.3,192382,8944937350,47000,47000,46200,3542769897750,0.25,76435165,17012178.0,22.26,72,2015-03-10
91357,016360,삼성증권,44500,-1850,-4.0,524521,23605265050,45900,45900,44450,3401364842500,0.24,76435165,16904567.0,22.12,72,2015-03-11
93381,016360,삼성증권,44450,-50,-0.1,479559,21532946300,44750,45600,44450,3397543084250,0.24,76435165,16879512.0,22.08,71,2015-03-12
95407,016360,삼성증권,44750,300,0.7,233508,10516939800,45200,45550,44750,3420473633750,0.24,76435165,16859536.0,22.06,72,2015-03-13
97430,016360,삼성증권,43850,-900,-2.0,377297,16599170950,44500,44650,43700,3351681985250,0.24,76435165,16855650.0,22.05,73,2015-03-16
99451,016360,삼성증권,45850,2000,4.6,604570,27626147350,44250,46400,44250,3504552315250,0.24,76435165,16924798.0,22.14,72,2015-03-17
101472,016360,삼성증권,46650,800,1.7,482929,22537961050,45900,47100,45850,3565700447250,0.25,76435165,16957294.0,22.19,72,2015-03-18
103493,016360,삼성증권,47250,600,1.3,448655,21305797800,47850,48000,47050,3611561546250,0.25,76435165,16983007.0,22.22,72,2015-03-19
105515,016360,삼성증권,47400,150,0.3,230199,10904623800,47150,47750,46800,3623026821000,0.25,76435165,16991772.0,22.23,72,2015-03-20
107536,016360,삼성증권,48950,1550,3.3,722032,35287052950,47700,49700,47700,3741501326750,0.26,76435165,17120655.0,22.4,71,2015-03-23
109558,016360,삼성증권,49250,300,0.6,373711,18390771000,48800,49450,48800,3764431876250,0.26,76435165,17145693.0,22.43,71,2015-03-24
111579,016360,삼성증권,49750,500,1.0,473164,23529487450,49200,50000,48750,3802649458750,0.26,76435165,17145654.0,22.43,70,2015-03-25
113601,016360,삼성증권,49600,-150,-0.3,362693,17995720850,49250,50200,49000,3791184184000,0.26,76435165,17206097.0,22.51,69,2015-03-26
115623,016360,삼성증권,50200,600,1.2,420125,21091673500,50100,50800,49750,3837045283000,0.27,76435165,17216730.0,22.52,68,2015-03-27
117645,016360,삼성증권,52300,2100,4.2,760978,39336384100,50600,52300,50500,3997559129500,0.28,76435165,17209533.0,22.52,66,2015-03-30
119672,016360,삼성증권,52000,-300,-0.6,833360,43999883300,52900,54200,51200,3974628580000,0.27,76435165,17167572.0,22.46,68,2015-03-31
121697,016360,삼성증권,52600,600,1.2,488461,25531597900,51400,52900,51200,4020489679000,0.28,76435165,17178661.0,22.47,67,2015-04-01
123724,016360,삼성증권,52000,-600,-1.1,278873,14618379000,52900,53400,52000,3974628580000,0.28,76435165,17180348.0,22.48,68,2015-04-02
125746,016360,삼성증권,55400,3400,6.5,777862,42149768500,52600,55500,52500,4234508141000,0.29,76435165,17222666.0,22.53,64,2015-04-03
127773,016360,삼성증권,55900,500,0.9,729459,40812481000,55500,56700,55400,4272725723500,0.29,76435165,17432730.0,22.81,62,2015-04-06
129803,016360,삼성증권,56100,200,0.4,529107,29600976500,56700,56800,55500,4288012756500,0.29,76435165,17498334.0,22.89,63,2015-04-07
131830,016360,삼성증권,57700,1600,2.8,648369,37235229900,56000,58200,55500,4410309020500,0.3,76435165,17447645.0,22.83,61,2015-04-08
133859,016360,삼성증권,57300,-400,-0.7,468179,26786825200,57600,58200,56400,4379734954500,0.3,76435165,17391592.0,22.75,61,2015-04-09
135885,016360,삼성증권,61500,4200,7.3,1246596,75185942400,57900,61500,57700,4700762647500,0.32,76435165,17567024.0,22.98,58,2015-04-10
137912,016360,삼성증권,65400,3900,6.3,1554156,101043960900,63000,67000,62300,4998859791000,0.33,76435165,17598816.0,23.02,56,2015-04-13
139940,016360,삼성증권,65000,-400,-0.6,1263788,82294840800,66200,67200,63000,4968285725000,0.33,76435165,17587673.0,23.01,56,2015-04-14
141968,016360,삼성증권,65700,700,1.1,791312,51705401800,66000,66400,64000,5021790340500,0.33,76435165,17605012.0,23.03,56,2015-04-15
143990,016360,삼성증권,66400,700,1.1,657140,43237256800,66700,67200,64800,5075294956000,0.33,76435165,17660555.0,23.11,56,2015-04-16
146012,016360,삼성증권,65900,-500,-0.8,729238,47847822900,65500,66700,64700,5037077373500,0.33,76435165,17584941.0,23.01,56,2015-04-17
148034,016360,삼성증권,65000,-900,-1.4,718084,46410740000,64200,65600,63600,4968285725000,0.32,76435165,17637404.0,23.07,56,2015-04-20
150058,016360,삼성증권,62700,-2300,-3.5,875827,56220307400,66400,66400,62700,4792484845500,0.31,76435165,17704577.0,23.16,57,2015-04-21
152080,016360,삼성증권,66000,3300,5.3,1713164,112489100800,62500,67700,61600,5044720890000,0.33,76435165,17912186.0,23.43,56,2015-04-22
154105,016360,삼성증권,66200,200,0.3,838117,55626332800,67300,67500,64900,5060007923000,0.33,76435165,17798791.0,23.29,57,2015-04-23
156129,016360,삼성증권,63600,-2600,-3.9,881646,56711109600,66200,66600,63000,4861276494000,0.32,76435165,17843479.0,23.34,58,2015-04-24
158150,016360,삼성증권,64900,1300,2.0,510163,33040416900,63700,65400,63600,4960642208500,0.32,76435165,18006345.0,23.56,56,2015-04-27
160172,016360,삼성증권,66000,1100,1.7,837651,55789656000,64900,67800,64000,5044720890000,0.33,76435165,18075544.0,23.65,55,2015-04-28
162198,016360,삼성증권,64700,-1300,-2.0,607356,39620182000,66600,67300,64100,4945355175500,0.32,76435165,17998135.0,23.55,56,2015-04-29
164225,016360,삼성증권,65500,800,1.2,646888,42378724300,64200,66900,63500,5006503307500,0.33,76435165,17967921.0,23.51,56,2015-04-30
166251,016360,삼성증권,63200,-2300,-3.5,559585,35944294300,66200,66400,63200,4830702428000,0.32,76435165,17951773.0,23.49,57,2015-05-04
168284,016360,삼성증권,57200,-6000,-9.5,1533532,89483350900,61900,61900,56700,4372091438000,0.29,76435165,17890907.0,23.41,65,2015-05-06
170307,016360,삼성증권,58700,1500,2.6,1108834,63795895500,57100,59000,55900,4486744185500,0.3,76435165,17819126.0,23.31,62,2015-05-07
172333,016360,삼성증권,59000,300,0.5,512919,30165021100,58700,59400,57900,4509674735000,0.3,76435165,17928780.0,23.46,62,2015-05-08
174355,016360,삼성증권,62800,3800,6.4,915897,57566656700,61700,63800,61300,4800128362000,0.32,76435165,17954608.0,23.49,57,2015-05-11
176384,016360,삼성증권,61200,-1600,-2.6,479523,29476582300,62100,62600,60800,4677832098000,0.31,76435165,18016722.0,23.57,59,2015-05-12
178411,016360,삼성증권,61800,600,1.0,596876,37066060200,60700,63400,60700,4723693197000,0.31,76435165,18003826.0,23.55,59,2015-05-13
180436,016360,삼성증권,63500,1700,2.8,433145,27136062600,61400,63500,61300,4853632977500,0.32,76435165,18037558.0,23.6,57,2015-05-14
182467,016360,삼성증권,60500,-3000,-4.7,726925,45072030200,64500,64800,60100,4624327482500,0.31,76435165,17882848.0,23.4,61,2015-05-15
184494,016360,삼성증권,60700,200,0.3,331725,20224311600,60700,61700,59500,4639614515500,0.31,76435165,17933931.0,23.46,61,2015-05-18
186522,016360,삼성증권,60400,-300,-0.5,537261,32691696900,60900,62100,59800,4616683966000,0.3,76435165,17944377.0,23.48,60,2015-05-19
188547,016360,삼성증권,64000,3600,6.0,819173,51542454200,60900,64100,60500,4891850560000,0.32,76435165,17993834.0,23.54,57,2015-05-20
190574,016360,삼성증권,62700,-1300,-2.0,596859,37852448300,64400,64500,62700,4792484845500,0.32,76435165,17905415.0,23.43,57,2015-05-21
192601,016360,삼성증권,64100,1400,2.2,702898,44929982900,63800,64500,62900,4899494076500,0.32,76435165,17868757.0,23.38,57,2015-05-22
194633,016360,삼성증권,61200,-2900,-4.5,632296,38908254400,63700,64000,60100,4677832098000,0.31,76435165,17808267.0,23.3,61,2015-05-26
196662,016360,삼성증권,59000,-2200,-3.6,656536,38979497700,60400,60500,58800,4509674735000,0.3,76435165,17818254.0,23.31,62,2015-05-27
198690,016360,삼성증권,58700,-300,-0.5,448305,26596999684,60400,60400,58700,4486744185500,0.3,76435165,17800431.0,23.29,62,2015-05-28
200720,016360,삼성증권,58400,-300,-0.5,647861,38003194600,58300,60000,58100,4463813636000,0.29,76435165,17800183.0,23.29,63,2015-05-29
202749,016360,삼성증권,58300,-100,-0.2,438548,25369650000,57800,59000,56700,4456170119500,0.3,76435165,17788973.0,23.27,62,2015-06-01
204780,016360,삼성증권,58300,0,0.0,367469,21648614000,58600,60000,58100,4456170119500,0.3,76435165,17782596.0,23.26,63,2015-06-02
206809,016360,삼성증권,58100,-200,-0.3,378895,22284524500,59300,59700,57700,4440883086500,0.3,76435165,17745447.0,23.22,62,2015-06-03
208836,016360,삼성증권,58500,400,0.7,436455,25674436700,58600,59500,57800,4471457152500,0.3,76435165,17671526.0,23.12,59,2015-06-04
210867,016360,삼성증권,57500,-1000,-1.7,404907,23150944700,57800,58200,56400,4395021987500,0.3,76435165,17664558.0,23.11,60,2015-06-05
212895,016360,삼성증권,61400,3900,6.8,897034,54372910400,57800,61900,57100,4693119131000,0.32,76435165,17849684.0,23.35,58,2015-06-08
214925,016360,삼성증권,61400,0,0.0,354950,21663119500,61200,61800,60600,4693119131000,0.32,76435165,17850264.0,23.35,58,2015-06-09
216957,016360,삼성증권,59700,-1700,-2.8,463280,28095943000,62000,62300,59200,4563179350500,0.31,76435165,17886321.0,23.4,60,2015-06-10
218990,016360,삼성증권,58300,-1400,-2.4,945392,56663422200,60700,61900,58300,4456170119500,0.3,76435165,17759300.0,23.23,62,2015-06-11
221022,016360,삼성증권,57100,-1200,-2.1,647221,37537921500,58800,60300,56900,4364447921500,0.3,76435165,17743405.0,23.21,63,2015-06-12
223055,016360,삼성증권,55700,-1400,-2.4,524608,28432686700,57100,57900,55300,4257438690500,0.29,76435165,17799758.0,23.29,63,2015-06-15
225089,016360,삼성증권,54600,-1100,-2.0,476937,26163145200,55400,56300,54100,4173360009000,0.29,76435165,17833638.0,23.33,64,2015-06-16
227123,016360,삼성증권,55700,1100,2.0,381625,20913942600,55200,55700,54100,4257438690500,0.29,76435165,17785342.0,23.27,64,2015-06-17
229159,016360,삼성증권,55100,-600,-1.1,334039,18526668200,56000,56600,54600,4211577591500,0.29,76435165,17755192.0,23.23,64,2015-06-18
231195,016360,삼성증권,56900,1800,3.3,807925,46301817000,56400,58400,56000,4349160888500,0.29,76435165,17780552.0,23.26,62,2015-06-19
233234,016360,삼성증권,57200,300,0.5,319837,18245493100,57200,57700,56500,4372091438000,0.29,76435165,17759013.0,23.23,63,2015-06-22
235274,016360,삼성증권,58500,1300,2.3,619220,36569326600,59200,59700,58200,4471457152500,0.3,76435165,17672425.0,23.12,63,2015-06-23
237315,016360,삼성증권,57800,-700,-1.2,318850,18484812400,59000,59100,57600,4417952537000,0.29,76435165,17676741.0,23.13,64,2015-06-24
239354,016360,삼성증권,59300,1500,2.6,472756,27915569600,57500,59700,57000,4532605284500,0.3,76435165,17657190.0,23.1,62,2015-06-25
241398,016360,삼성증권,58800,-500,-0.8,268185,15878165600,58900,60000,58700,4494387702000,0.3,76435165,17627132.0,23.06,64,2015-06-26
243446,016360,삼성증권,54400,-4400,-7.5,663904,36779074500,56900,57400,53900,4158072976000,0.28,76435165,17628310.0,23.06,67,2015-06-29
245495,016360,삼성증권,54600,200,0.4,493901,26967036700,54400,55600,53900,4173360009000,0.28,76435165,17625602.0,23.06,67,2015-06-30
