,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
970,016380,동부제철,1395,-10,-0.7,156013,214126750,1355,1415,1345,84605862780,0.01,60649364,1673878.0,2.76,971,2015-01-02
2959,016380,동부제철,1515,120,8.6,617557,904742520,1390,1540,1355,91883786460,0.01,60649364,1695235.0,2.8,925,2015-01-05
5021,016380,동부제철,1445,-70,-4.6,244439,355917295,1480,1510,1430,87638330980,0.01,60649364,1631765.0,2.69,952,2015-01-06
7081,016380,동부제철,1390,-55,-3.8,286700,405542560,1430,1455,1375,84302615960,0.01,60649364,1548387.0,2.55,977,2015-01-07
9116,016380,동부제철,1395,5,0.4,274835,391663050,1425,1465,1390,84605862780,0.01,60649364,1521682.0,2.51,978,2015-01-08
11150,016380,동부제철,1405,10,0.7,218365,307902015,1415,1430,1395,85212356420,0.01,60649364,1543961.0,2.55,979,2015-01-09
13190,016380,동부제철,1410,5,0.4,291534,417806045,1425,1475,1405,85515603240,0.01,60649364,1547443.0,2.55,986,2015-01-12
15207,016380,동부제철,1435,25,1.8,191124,272297440,1425,1440,1405,87031837340,0.01,60649364,1541261.0,2.54,970,2015-01-13
17191,016380,동부제철,1550,115,8.0,918507,1381513420,1455,1610,1450,94006514200,0.01,60649364,1433053.0,2.36,922,2015-01-14
19227,016380,동부제철,1550,0,0.0,382756,589504230,1540,1595,1500,94006514200,0.01,60649364,1406397.0,2.32,926,2015-01-15
21298,016380,동부제철,1450,-100,-6.4,462654,686874335,1530,1555,1445,87941577800,0.01,60649364,1368408.0,2.26,964,2015-01-16
23331,016380,동부제철,1445,-5,-0.3,242813,350098375,1440,1470,1420,87638330980,0.01,60649364,1416143.0,2.33,967,2015-01-19
25361,016380,동부제철,1455,10,0.7,364239,535241010,1485,1515,1425,88244824620,0.01,60649364,1346867.0,2.22,967,2015-01-20
27391,016380,동부제철,1460,5,0.3,293809,424836300,1440,1470,1430,88548071440,0.01,60649364,1311975.0,2.16,969,2015-01-21
29410,016380,동부제철,1490,30,2.0,323481,479900695,1470,1505,1450,90367552360,0.01,60649364,1273672.0,2.1,961,2015-01-22
31454,016380,동부제철,1455,-35,-2.4,235918,346107730,1490,1510,1445,88244824620,0.01,60649364,1288825.0,2.13,978,2015-01-23
33484,016380,동부제철,1450,-5,-0.3,148759,214612975,1435,1465,1430,87941577800,0.01,60649364,1284811.0,2.12,981,2015-01-26
35508,016380,동부제철,1450,0,0.0,178599,257083140,1455,1470,1420,87941577800,0.01,60649364,1286819.0,2.12,977,2015-01-27
37526,016380,동부제철,1480,30,2.1,178975,261783515,1430,1480,1430,89761058720,0.01,60649364,1309893.0,2.16,968,2015-01-28
39500,016380,동부제철,1610,130,8.8,1428747,2275860170,1490,1670,1470,97645476040,0.01,60649364,1326314.0,2.19,915,2015-01-29
41538,016380,동부제철,1580,-30,-1.9,460337,720694280,1605,1620,1520,95825995120,0.01,60649364,1370080.0,2.26,926,2015-01-30
43544,016380,동부제철,1640,60,3.8,847709,1381104160,1580,1700,1555,99464956960,0.01,60649364,1367941.0,2.26,905,2015-02-02
45548,016380,동부제철,1720,80,4.9,1474235,2550954865,1660,1825,1645,104316906080,0.01,60649364,1348172.0,2.22,882,2015-02-03
47598,016380,동부제철,1675,-45,-2.6,491640,834311710,1730,1750,1650,101587684700,0.01,60649364,1383890.0,2.28,905,2015-02-04
49624,016380,동부제철,1680,5,0.3,786625,1316059445,1655,1725,1640,101890931520,0.01,60649364,1356706.0,2.24,904,2015-02-05
51656,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,908,2015-02-06
53680,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,903,2015-02-09
55707,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,901,2015-02-10
57740,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,906,2015-02-11
59772,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,909,2015-02-12
61806,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,914,2015-02-13
63837,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,916,2015-02-16
65868,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,918,2015-02-17
67906,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,928,2015-02-23
69936,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,930,2015-02-24
71961,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,929,2015-02-25
73994,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,936,2015-02-26
76030,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,946,2015-02-27
78055,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1356706.0,2.24,945,2015-03-02
80086,016380,동부제철,1680,0,0.0,0,0,0,0,0,101890931520,0.01,60649364,1132174.0,1.87,951,2015-03-03
81949,016380,동부제철,6670,-640,-8.8,547540,3723931010,7310,7530,6500,133403254960,0.01,20000488,1129010.0,5.64,789,2015-03-04
83990,016380,동부제철,6510,-160,-2.4,258002,1668028270,6550,6620,6340,130203176880,0.01,20000488,1112776.0,5.56,805,2015-03-05
86000,016380,동부제철,6660,150,2.3,111499,735797290,6540,6700,6500,133203250080,0.01,20000488,1121227.0,5.61,790,2015-03-06
88048,016380,동부제철,6390,-270,-4.0,134491,863422270,6540,6550,6290,127803118320,0.01,20000488,1122456.0,5.61,813,2015-03-09
90060,016380,동부제철,6510,120,1.9,87937,564186170,6400,6530,6290,130203176880,0.01,20000488,1111284.0,5.56,800,2015-03-10
92095,016380,동부제철,6410,-100,-1.5,25040,160667460,6410,6520,6350,128203128080,0.01,20000488,1116441.0,5.58,810,2015-03-11
94129,016380,동부제철,6320,-90,-1.4,58115,371089370,6500,6530,6310,126403084160,0.01,20000488,1111028.0,5.56,819,2015-03-12
96164,016380,동부제철,6320,0,0.0,76138,484350120,6400,6460,6290,126403084160,0.01,20000488,1107949.0,5.54,829,2015-03-13
98180,016380,동부제철,6400,80,1.3,64044,405992170,6380,6410,6240,128003123200,0.01,20000488,1101141.0,5.51,823,2015-03-16
100216,016380,동부제철,6290,-110,-1.7,56676,359260620,6400,6400,6290,125803069520,0.01,20000488,1094383.0,5.47,837,2015-03-17
102189,016380,동부제철,6790,500,8.0,251452,1666642020,6310,6930,6270,135803313520,0.01,20000488,1096640.0,5.48,789,2015-03-18
104212,016380,동부제철,6810,20,0.3,118909,810359890,6800,6920,6700,136203323280,0.01,20000488,1095191.0,5.48,791,2015-03-19
106239,016380,동부제철,6810,0,0.0,0,0,0,0,0,136203323280,0.01,20000488,1095191.0,5.48,796,2015-03-20
108309,016380,동부제철,6310,-500,-7.3,478592,2986516800,6310,6450,5980,126203079280,0.01,20000488,1073644.0,5.37,844,2015-03-23
110338,016380,동부제철,6320,10,0.2,84951,536767900,6230,6390,6210,126403084160,0.01,20000488,1101984.0,5.51,851,2015-03-24
112361,016380,동부제철,6330,10,0.2,70599,452521040,6490,6590,6310,126603089040,0.01,20000488,1124011.0,5.62,852,2015-03-25
114385,016380,동부제철,6300,-30,-0.5,47332,297516140,6260,6380,6240,126003074400,0.01,20000488,1115129.0,5.58,853,2015-03-26
116421,016380,동부제철,6150,-150,-2.4,95601,589283830,6250,6300,6100,123003001200,0.01,20000488,1117459.0,5.59,866,2015-03-27
118455,016380,동부제철,6100,-50,-0.8,51377,311775480,6100,6190,6000,122002976800,0.01,20000488,1118959.0,5.59,876,2015-03-30
120507,016380,동부제철,5900,-200,-3.3,110597,658631670,6100,6100,5870,118002879200,0.01,20000488,1127699.0,5.64,903,2015-03-31
122543,016380,동부제철,5800,-100,-1.7,50574,293960680,5870,5900,5750,116002830400,0.01,20000488,1121782.0,5.61,913,2015-04-01
124569,016380,동부제철,5800,0,0.0,47721,276489500,5870,5870,5740,116002830400,0.01,20000488,1123800.0,5.62,913,2015-04-02
126581,016380,동부제철,5980,180,3.1,84238,505248520,5860,6250,5860,119602918240,0.01,20000488,1123689.0,5.62,899,2015-04-03
128601,016380,동부제철,6160,180,3.0,32153,197067870,6000,6170,6000,123203006080,0.01,20000488,1124301.0,5.62,890,2015-04-06
130640,016380,동부제철,6090,-70,-1.1,29925,182172340,6200,6220,6010,121802971920,0.01,20000488,1125656.0,5.63,900,2015-04-07
132682,016380,동부제철,5980,-110,-1.8,62553,373329160,6120,6120,5920,119602918240,0.01,20000488,1129062.0,5.65,913,2015-04-08
134723,016380,동부제철,5940,-40,-0.7,36503,216434550,5990,6070,5900,118802898720,0.01,20000488,1130288.0,5.65,925,2015-04-09
136762,016380,동부제철,5860,-80,-1.4,89539,524908470,6000,6000,5820,117202859680,0.01,20000488,1132918.0,5.66,935,2015-04-10
138793,016380,동부제철,5890,30,0.5,60268,350834550,5860,5940,5730,117802874320,0.01,20000488,1136769.0,5.68,937,2015-04-13
140821,016380,동부제철,5820,-70,-1.2,99550,576147360,5830,5920,5760,116402840160,0.01,20000488,1141755.0,5.71,937,2015-04-14
142864,016380,동부제철,5740,-80,-1.4,74653,429093340,5820,5820,5720,114802801120,0.01,20000488,1141707.0,5.71,952,2015-04-15
144902,016380,동부제철,5650,-90,-1.6,110751,623546040,5700,5700,5600,113002757200,0.01,20000488,1145572.0,5.73,968,2015-04-16
146936,016380,동부제철,5610,-40,-0.7,94929,528563230,5650,5660,5510,112202737680,0.01,20000488,1146419.0,5.73,980,2015-04-17
148967,016380,동부제철,5460,-150,-2.7,115920,634294390,5530,5570,5440,109202664480,0.01,20000488,1151693.0,5.76,989,2015-04-20
151024,016380,동부제철,5210,-250,-4.6,149349,787046390,5460,5480,5200,104202542480,0.01,20000488,1157258.0,5.79,1023,2015-04-21
153043,016380,동부제철,5150,-60,-1.2,123371,641056050,5210,5380,5020,103002513200,0.01,20000488,1160288.0,5.8,1019,2015-04-22
155059,016380,동부제철,5140,-10,-0.2,64191,332658290,5160,5270,5100,102802508320,0.01,20000488,1160916.0,5.8,1011,2015-04-23
157053,016380,동부제철,5390,250,4.9,93051,498434310,5160,5550,5160,107802630320,0.01,20000488,1159575.0,5.8,982,2015-04-24
159082,016380,동부제철,5390,0,0.0,63906,337489480,5430,5430,5210,107802630320,0.01,20000488,1158154.0,5.79,988,2015-04-27
161117,016380,동부제철,5240,-150,-2.8,65555,346577940,5380,5460,5240,104802557120,0.01,20000488,1157384.0,5.79,1000,2015-04-28
163138,016380,동부제철,5250,10,0.2,53190,276599230,5330,5330,5150,105002562000,0.01,20000488,1154571.0,5.77,996,2015-04-29
165134,016380,동부제철,5480,230,4.4,129429,695769790,5210,5480,5160,109602674240,0.01,20000488,1149901.0,5.75,965,2015-04-30
167151,016380,동부제철,5490,10,0.2,101538,568552850,5450,5730,5450,109802679120,0.01,20000488,1144100.0,5.72,957,2015-05-04
169175,016380,동부제철,5380,-110,-2.0,62218,331807090,5490,5490,5270,107602625440,0.01,20000488,1140543.0,5.7,956,2015-05-06
171205,016380,동부제철,5360,-20,-0.4,35365,188621170,5430,5430,5280,107202615680,0.01,20000488,1137290.0,5.69,960,2015-05-07
173248,016380,동부제철,5320,-40,-0.8,39472,208437860,5400,5400,5240,106402596160,0.01,20000488,1137253.0,5.69,977,2015-05-08
175289,016380,동부제철,5320,0,0.0,35450,189113650,5370,5390,5280,106402596160,0.01,20000488,1138206.0,5.69,991,2015-05-11
177320,016380,동부제철,5340,20,0.4,53821,287294440,5310,5450,5300,106802605920,0.01,20000488,1138682.0,5.69,995,2015-05-12
179350,016380,동부제철,5270,-70,-1.3,42159,223033130,5360,5360,5250,105402571760,0.01,20000488,1138182.0,5.69,998,2015-05-13
181399,016380,동부제철,5130,-140,-2.7,54540,286039190,5300,5330,5130,102602503440,0.01,20000488,1138939.0,5.69,1020,2015-05-14
183429,016380,동부제철,5150,20,0.4,33877,173702250,5190,5260,5080,103002513200,0.01,20000488,1137920.0,5.69,1023,2015-05-15
185538,016380,동부제철,4380,-770,-15.0,323227,1500057415,5170,5170,4380,87602137440,0.01,20000488,1129013.0,5.64,1105,2015-05-18
187626,016380,동부제철,3910,-470,-10.7,396348,1557975150,4280,4390,3805,78201908080,0.01,20000488,1123897.0,5.62,1164,2015-05-19
189672,016380,동부제철,3830,-80,-2.0,186944,708727765,3915,3950,3710,76601869040,0.01,20000488,1122411.0,5.61,1182,2015-05-20
191719,016380,동부제철,3675,-155,-4.0,178676,658695710,3830,3830,3620,73501793400,0.0,20000488,1124758.0,5.62,1202,2015-05-21
193754,016380,동부제철,3670,-5,-0.1,118717,439466285,3675,3795,3605,73401790960,0.0,20000488,1124186.0,5.62,1210,2015-05-22
195786,016380,동부제철,3670,0,0.0,36739,135065050,3655,3715,3645,73401790960,0.0,20000488,1119138.0,5.6,1214,2015-05-26
197824,016380,동부제철,3540,-130,-3.5,99709,351863125,3635,3700,3460,70801727520,0.0,20000488,1119857.0,5.6,1224,2015-05-27
199846,016380,동부제철,3615,75,2.1,91067,330403175,3540,3725,3500,72301764120,0.0,20000488,1120016.0,5.6,1218,2015-05-28
201883,016380,동부제철,3555,-60,-1.7,53823,193009335,3615,3640,3555,71101734840,0.0,20000488,1122908.0,5.61,1226,2015-05-29
203919,016380,동부제철,3520,-35,-1.0,50521,177985320,3500,3630,3490,70401717760,0.0,20000488,1130736.0,5.65,1232,2015-06-01
205982,016380,동부제철,3325,-195,-5.5,109848,371670055,3470,3550,3300,66501622600,0.0,20000488,1141856.0,5.71,1265,2015-06-02
208066,016380,동부제철,3050,-275,-8.3,172099,541853155,3340,3340,3025,61001488400,0.0,20000488,1152373.0,5.76,1319,2015-06-03
210026,016380,동부제철,3345,295,9.7,255335,861536765,3025,3505,3025,66901632360,0.0,20000488,1155514.0,5.78,1249,2015-06-04
212076,016380,동부제철,3250,-95,-2.8,60083,193932080,3350,3350,3160,65001586000,0.0,20000488,1156617.0,5.78,1269,2015-06-05
214114,016380,동부제철,3240,-10,-0.3,50527,162785970,3250,3330,3175,64801581120,0.0,20000488,1159203.0,5.8,1277,2015-06-08
216125,016380,동부제철,3370,130,4.0,65788,220608045,3205,3520,3205,67401644560,0.0,20000488,1152076.0,5.76,1258,2015-06-09
218164,016380,동부제철,3340,-30,-0.9,42265,142139155,3390,3400,3330,66801629920,0.0,20000488,1145800.0,5.73,1267,2015-06-10
220181,016380,동부제철,3390,50,1.5,49136,164778305,3400,3410,3310,67801654320,0.0,20000488,1153065.0,5.77,1253,2015-06-11
222210,016380,동부제철,3410,20,0.6,55571,187698790,3400,3420,3320,68201664080,0.0,20000488,1143833.0,5.72,1251,2015-06-12
224239,016380,동부제철,3360,-50,-1.5,49679,167902030,3365,3440,3315,67201639680,0.0,20000488,1141941.0,5.71,1247,2015-06-15
226286,016380,동부제철,3260,-100,-3.0,59735,196594500,3330,3390,3180,65201590880,0.0,20000488,1140454.0,5.7,1261,2015-06-16
228317,016380,동부제철,3325,65,2.0,27523,90079620,3255,3325,3210,66501622600,0.0,20000488,1149610.0,5.75,1258,2015-06-17
230347,016380,동부제철,3415,90,2.7,178300,616771545,3380,3610,3255,68301666520,0.0,20000488,1130500.0,5.65,1252,2015-06-18
232391,016380,동부제철,3435,20,0.6,55331,186073205,3420,3450,3305,68701676280,0.0,20000488,1132767.0,5.66,1258,2015-06-19
234424,016380,동부제철,3460,25,0.7,60340,209489540,3440,3535,3370,69201688480,0.0,20000488,1130842.0,5.65,1253,2015-06-22
236451,016380,동부제철,3600,140,4.0,74706,265220190,3500,3615,3435,72001756800,0.0,20000488,1131600.0,5.66,1240,2015-06-23
238351,016380,동부제철,4680,1080,30.0,273022,1240950780,3750,4680,3750,93602283840,0.01,20000488,1129179.0,5.65,1100,2015-06-24
240409,016380,동부제철,4530,-150,-3.2,1304942,6548876435,5090,5540,4300,90602210640,0.01,20000488,1105081.0,5.53,1117,2015-06-25
242463,016380,동부제철,4420,-110,-2.4,190693,869475825,4780,4785,4370,88402156960,0.01,20000488,1115112.0,5.58,1129,2015-06-26
