,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
201,020000,한섬,32000,-550,-1.7,79320,2527478150,32050,32500,31500,788160000000,0.06,24630000,3601820.0,14.62,202,2015-01-02
2238,020000,한섬,31650,-350,-1.1,77189,2444908500,31650,32500,31400,779539500000,0.06,24630000,3673870.0,14.92,204,2015-01-05
4277,020000,한섬,30750,-900,-2.8,97347,2995635500,31000,31550,30450,757372500000,0.06,24630000,3714440.0,15.08,208,2015-01-06
6311,020000,한섬,30450,-300,-1.0,76492,2311776650,30750,30950,29950,749983500000,0.06,24630000,3711076.0,15.07,207,2015-01-07
8355,020000,한섬,29150,-1300,-4.3,152316,4501297550,30150,30500,29150,717964500000,0.05,24630000,3713333.0,15.08,217,2015-01-08
10385,020000,한섬,29450,300,1.0,78543,2328171800,29550,29900,29300,725353500000,0.05,24630000,3731199.0,15.15,214,2015-01-09
12420,020000,한섬,29450,0,0.0,55908,1642818300,29150,29750,29100,725353500000,0.05,24630000,3750855.0,15.23,216,2015-01-12
14450,020000,한섬,29450,0,0.0,43594,1283524200,29450,29700,29200,725353500000,0.05,24630000,3753607.0,15.24,213,2015-01-13
16481,020000,한섬,29600,150,0.5,56543,1671185350,29450,29750,29300,729048000000,0.05,24630000,3741401.0,15.19,212,2015-01-14
18519,020000,한섬,29300,-300,-1.0,70745,2056250450,29500,29650,28700,721659000000,0.05,24630000,3739308.0,15.18,218,2015-01-15
20559,020000,한섬,27950,-1350,-4.6,193485,5397971950,29000,29200,27450,688408500000,0.05,24630000,3751427.0,15.23,225,2015-01-16
22592,020000,한섬,27650,-300,-1.1,69883,1939225850,28200,28200,27400,681019500000,0.05,24630000,3771963.0,15.31,228,2015-01-19
24621,020000,한섬,27900,250,0.9,48327,1340995600,27950,27950,27600,687177000000,0.05,24630000,3774622.0,15.33,227,2015-01-20
26647,020000,한섬,27950,50,0.2,48584,1366118550,27650,28350,27650,688408500000,0.05,24630000,3759413.0,15.26,225,2015-01-21
28667,020000,한섬,28900,950,3.4,159831,4627777350,28500,29400,28500,711807000000,0.05,24630000,3744610.0,15.2,218,2015-01-22
30695,020000,한섬,28850,-50,-0.2,91498,2671539150,29150,29750,28600,710575500000,0.05,24630000,3749973.0,15.23,219,2015-01-23
32716,020000,한섬,29850,1000,3.5,78509,2339400400,28600,30250,28600,735205500000,0.05,24630000,3732621.0,15.15,213,2015-01-26
34743,020000,한섬,30200,350,1.2,111210,3392951950,30150,31100,29600,743826000000,0.05,24630000,3724679.0,15.12,212,2015-01-27
36769,020000,한섬,30350,150,0.5,85383,2606365650,30200,31150,30100,747520500000,0.05,24630000,3726258.0,15.13,211,2015-01-28
38794,020000,한섬,30400,50,0.2,69888,2122983550,30150,30800,29800,748752000000,0.05,24630000,3717958.0,15.1,209,2015-01-29
40822,020000,한섬,30600,200,0.7,72516,2212327950,30450,30850,30200,753678000000,0.05,24630000,3732235.0,15.15,210,2015-01-30
42848,020000,한섬,30150,-450,-1.5,72511,2170335850,30300,30650,29650,742594500000,0.05,24630000,3735373.0,15.17,209,2015-02-02
44879,020000,한섬,29950,-200,-0.7,58520,1757935150,30000,30600,29550,737668500000,0.05,24630000,3747035.0,15.21,213,2015-02-03
46911,020000,한섬,29800,-150,-0.5,87401,2609216250,29950,30500,29350,733974000000,0.05,24630000,3789254.0,15.38,218,2015-02-04
48928,020000,한섬,31450,1650,5.5,130096,4017531400,29650,32200,29650,774613500000,0.06,24630000,3812609.0,15.48,208,2015-02-05
50959,020000,한섬,30450,-1000,-3.2,61589,1885031300,31100,31350,30300,749983500000,0.05,24630000,3811658.0,15.48,211,2015-02-06
52986,020000,한섬,30950,500,1.6,50151,1546647500,30900,31150,30500,762298500000,0.06,24630000,3817551.0,15.5,209,2015-02-09
55014,020000,한섬,31450,500,1.6,88911,2792344250,30950,31850,30700,774613500000,0.06,24630000,3809415.0,15.47,208,2015-02-10
57043,020000,한섬,31700,250,0.8,46337,1472367800,31800,32000,31250,780771000000,0.06,24630000,3804410.0,15.45,209,2015-02-11
59069,020000,한섬,32200,500,1.6,46985,1501927250,32000,32200,31600,793086000000,0.06,24630000,3801596.0,15.43,206,2015-02-12
61102,020000,한섬,31800,-400,-1.2,55956,1785677750,32100,32450,31550,783234000000,0.06,24630000,3810943.0,15.47,210,2015-02-13
63131,020000,한섬,31850,50,0.2,39500,1262695050,32000,32300,31400,784465500000,0.06,24630000,3824823.0,15.53,210,2015-02-16
65163,020000,한섬,31450,-400,-1.3,45135,1422228900,32000,32200,31200,774613500000,0.06,24630000,3837280.0,15.58,213,2015-02-17
67192,020000,한섬,31100,-350,-1.1,55894,1741016750,31800,31800,30950,765993000000,0.06,24630000,3856928.0,15.66,214,2015-02-23
69215,020000,한섬,32650,1550,5.0,60959,1965211250,30900,32900,30850,804169500000,0.06,24630000,3864210.0,15.69,209,2015-02-24
