,account_nm,thstrm_amount
0,비유동자산,1122079124795.0
1,금융리스채권(비유동),28144341859.0
2,기타장기금융자산,52068160276.0
3,기타 비유동자산,147080589614.0
4,매도가능금융자산,2430095830.0
5,유형자산,699511862474.0
6,무형자산,168786681111.0
7,투자부동산,23173559415.0
8,이연법인세자산,883834216.0
9,유동자산,653318017710.0
10,현금및현금성자산,116307900077.0
11,매출채권,256015919789.0
12,금융리스채권,8955735351.0
13,기타 단기금융자산,15398218520.0
14,기타 유동자산,185690969694.0
15,재고자산,69820809255.0
16,당기법인세자산,1128465024.0
17,자산총계,1775397142505.0
18,지배기업의 소유지분,1237363218374.0
19,납입자본,40662398000.0
20,주식발행초과금,97773449148.0
21,이익잉여금,1177049753285.0
22,기타자본항목,-78122382059.0
23,비지배지분,864612421.0
24,자본총계,1238227830795.0
25,비유동부채,64287230555.0
26,기타장기금융부채,2203221407.0
27,기타비유동부채,16477557461.0
28,장기차입금,7951000000.0
29,순확정급여부채,12373703182.0
30,충당부채,2135329680.0
31,이연법인세부채,23146418825.0
32,유동부채,472882081155.0
33,매입채무,59799440753.0
34,기타단기금융부채,183985891177.0
35,기타유동부채,77255325642.0
36,단기차입금,80040718867.0
37,당기법인세부채,70198265550.0
38,충당부채,1602439166.0
39,유동성장기부채,0.0
40,유동성사채,0.0
41,파생상품부채(유동),0.0
42,부채총계,537169311710.0
43,자본과부채총계,1775397142505.0
44,매출액,2315242282662.0
45,매출원가,728843092565.0
46,매출총이익,1586399190097.0
47,판매비와관리비,1123060003421.0
48,영업이익,463339186676.0
49,기타수익,24447251232.0
50,기타비용,30407140043.0
51,금융수익,1423176277.0
52,금융비용,4339055128.0
53,종속·관계기업투자손익,0.0
54,법인세비용차감전순이익,454463419014.0
55,법인세비용,111343034229.0
56,당기순이익,343120384785.0
57,지배기업의 소유주순이익,343148057698.0
58,비지배지분순이익,-27672913.0
59,기타포괄손익(세후),-8832592426.0
60,당기손익으로 재분류되지 않는 항목,-3625635938.0
61,순확정급여부채의 재측정요소,-3625635938.0
62,관계기업 기타포괄손익에 대한 지분,0.0
63,후속적으로 당기손익으로 재분류될 수 있는 항목,-5206956488.0
64,매도가능금융자산 평가손익,9878983.0
65,파생상품평가손익,0.0
66,해외사업환산손익,-5216835471.0
67,지분법자본변동,0.0
68,당기총포괄이익,334287792359.0
69,지배기업의 소유주포괄이익,334315465272.0
70,비지배지분 포괄이익,-27672913.0
71,기본주당이익,4621.0
72,희석주당이익,4597.0
73,영업활동 현금흐름,512842861971.0
74,영업활동에서 창출된 현금흐름,596257470041.0
75,당기순이익,343120384785.0
76,조정,448429227200.0
77,영업활동으로인한자산부채의변동,-195292141944.0
78,배당금수취,
79,법인세 납부,83414608070.0
80,투자활동으로 인한 현금흐름,-329499037937.0
81,기타단기금융자산의 증가,23383876.0
82,기타단기금융자산의 감소,39500000.0
83,기타장기금융자산의 증가,9459582799.0
84,기타장기금융자산의 감소,9574694004.0
85,매도가능금융자산의 처분,192854.0
86,종속기업투자의처분,100000000.0
87,유형자산의 취득,329278843190.0
88,유형자산의 처분,8890025828.0
89,무형자산의 취득,6147835375.0
90,무형자산의 처분,699999999.0
91,투자부동산의 처분,3131000000.0
92,이자수취,1625765877.0
93,연결범위의 변동,-8650571259.0
94,관계기업의 처분,0.0
95,재무활동 현금흐름,-213408380136.0
96,단기차입금의 감소,-84361389149.0
97,유동성장기부채의 감소,0.0
98,유동성사채의 감소,0.0
99,장기차입금의 증가,7019000000.0
100,정부보조금수령,11411910000.0
101,배당금의 지급,148347918000.0
102,자기주식의 취득,0.0
103,종속기업투자의 유상증자,0.0
104,주식매수선택권 행사,5238160000.0
105,이자지급,4368142987.0
106,파생상품거래로 인한 현금 유출,0.0
107,기타,0.0
108,현금및현금성자산의 감소,-30064556102.0
109,기초의 현금및현금성자산,147363023267.0
110,현금및현금성자산의 환율변동효과,-990567088.0
111,기말의 현금및현금성자산,116307900077.0
112,기초자본,1039435029255.0
113,기초자본,892285334.0
114,기초자본,1038542743921.0
115,기초자본,85768352752.0
116,기초자본,40662398000.0
117,기초자본,985875249525.0
118,기초자본,97773449148.0
119,당기순이익,343120384785.0
120,당기순손익,343120384785.0
121,당기순손익,-27672913.0
122,당기순손익,343148057698.0
123,당기순손익,343148057698.0
124,매도가능금융자산 평가손익,9878983.0
125,매도가능금융자산 평가손익,9878983.0
126,매도가능금융자산 평가손익,9878983.0
127,관계기업 기타포괄손익에 대한 지분,
128,관계기업 기타포괄손익에 대한 지분,
129,관계기업 기타포괄손익에 대한 지분,
130,관계기업 기타포괄손익에 대한 지분,
131,순확정급여부채의 재측정요소,-3625635938.0
132,순확정급여부채의 재측정요소,-3625635938.0
133,순확정급여부채의 재측정요소,-3625635938.0
134,해외사업환산손익,-5216835471.0
135,해외사업환산손익,-5216835471.0
136,해외사업환산손익,-5216835471.0
137,파생상품평가손익,
138,파생상품평가손익,
139,파생상품평가손익,
140,총포괄손익,334287792359.0
141,총포괄손익,-27672913.0
142,총포괄손익,334315465272.0
143,총포괄손익,-5206956488.0
144,총포괄손익,339522421760.0
145,연차배당,-148347918000.0
146,연차배당,-148347918000.0
147,연차배당,-148347918000.0
148,주식선택권 행사,6477818692.0
149,주식선택권 행사,6477818692.0
150,주식선택권 행사,6477818692.0
151,자기주식,6383759528.0
152,자기주식,6383759528.0
153,자기주식,6383759528.0
154,기타,-8651039.0
155,기타,
156,기타,-8651039.0
157,기타,-8651039.0
158,유상증자 등,
159,유상증자 등,
160,소유주와의 거래 총액,135494990819.0
161,소유주와의 거래 총액,
162,소유주와의 거래 총액,135494990819.0
163,소유주와의 거래 총액,-12852927181.0
164,소유주와의 거래 총액,148347918000.0
165,기말자본,1238227830795.0
166,기말자본,864612421.0
167,기말자본,1237363218374.0
168,기말자본,-78122382059.0
169,기말자본,40662398000.0
170,기말자본,1177049753285.0
171,기말자본,97773449148.0
