,account_nm,thstrm_amount
0,유동자산,3775012094293.0
1,현금및현금성자산,695733686359.0
2,단기금융상품,113629475999.0
3,매출채권,736242797999.0
4,미청구공사,1519621930836.0
5,미수금,118405880459.0
6,단기매매금융자산,0.0
7,유동성만기보유금융자산,4189970152.0
8,통화선도,2639430424.0
9,확정계약자산,53734327138.0
10,선급금,360971097573.0
11,선급비용,97258211044.0
12,선급공사비,24062865754.0
13,미수법인세환급액,4689295804.0
14,단기대여금,12180790276.0
15,기타유동자산,31652334476.0
16,비유동자산,1855746424315.0
17,매도가능금융자산,45737699114.0
18,만기보유금융자산,465830000.0
19,통화선도,7294091702.0
20,확정계약자산,15308935.0
21,관계기업투자 및 공동기업 투자,23027777823.0
22,유형자산,686541360254.0
23,무형자산,50260624515.0
24,보증금,261526162899.0
25,장기선급비용,3744126972.0
26,이연법인세자산,669999216631.0
27,기타비유동자산,107134225470.0
28,자산총계,5630758518608.0
29,유동부채,4783755868989.0
30,매입채무 및 기타부채,1462971661020.0
31,단기차입금 및 기타금융부채,1514078100837.0
32,유동성장기차입금,451225000000.0
33,초과청구공사,1170682014795.0
34,통화선도,24297390984.0
35,확정계약부채,24566940388.0
36,예수금,52505937553.0
37,미지급비용,54413114516.0
38,미지급법인세,14806328119.0
39,기타유동부채,14209380777.0
40,비유동부채,1159937642746.0
41,사채,10000000.0
42,장기차입금,856748750019.0
43,통화선도,3984060317.0
44,확정계약부채,
45,순확정급여부채,76036007156.0
46,충당부채,5165163876.0
47,이연법인세부채,14923186190.0
48,기타비유동부채,203070475188.0
49,부채총계,5943693511735.0
50,지배기업 소유지분,-314489118060.0
51,납입자본,200000000000.0
52,보통주납입자본,200000000000.0
53,주식발행초과금,56624298350.0
54,이익잉여금,-291937553964.0
55,기타자본항목,-279175862446.0
56,비지배지분,1554124933.0
57,자본총계,-312934993127.0
58,부채와 자본총계,5630758518608.0
59,매출액,6441250861164.0
60,매출원가,7530302890643.0
61,매출총이익,-1089052029479.0
62,판매비와관리비,365282462137.0
63,영업이익,-1454334491616.0
64,기타수익,272686854437.0
65,기타비용,248181450028.0
66,지분법이익,4671166890.0
67,지분법손실,763052086.0
68,금융수익,54962069772.0
69,이자수익,10836156430.0
70,외환차익,32775370525.0
71,외화환산이익,11350542817.0
72,금융비용,79135304321.0
73,이자비용,30311984126.0
74,외환차손,31612928550.0
75,외화환산손실,17210391645.0
76,법인세비용차감전순이익,-1450094206952.0
77,법인세비용,-145745512893.0
78,당기순이익,-1304348694059.0
79,지배기업 소유주,-1305280696790.0
80,비지배지분,932002731.0
81,기본주당순이익,-35301.0
82,희석주당순이익,-35301.0
83,당기순이익,-1304348694059.0
84,기타포괄이익(손실),38069615285.0
85,당기손익으로 재분류되지 않는 항목,79639321834.0
86,순확정급여부채 재측정요소,1673677415.0
87,재평가이익,103391390967.0
88,기타포괄손익관련 법인세효과,-25425746548.0
89,후속적으로 당기손익으로 재분류될 수 있는 항목,-41569706549.0
90,매도가능금융자산평가이익(손실),53240001.0
91,통화선도평가,-9655344346.0
92,해외사업환산손익,-37602075615.0
93,관계기업 지분법 평가,3288707309.0
94,기타포괄손익관련 법인세효과,2345766102.0
95,당기총포괄이익,-1266279078774.0
96,지배기업의 소유주지분,-1267186586245.0
97,비지배지분,907507471.0
98,영업활동현금흐름,-833499386418.0
99,영업에서 창출된 현금흐름,-667627477114.0
100,당기순이익,-1304348694059.0
101,조정,266899187792.0
102,순운전자본의 변동,369822029153.0
103,이자의 수취,9317942133.0
104,이자의 지급,44037843159.0
105,배당금수익,1180619000.0
106,법인세부담액,132332627278.0
107,투자활동현금흐름,20351631296.0
108,유형자산의 처분,38763634789.0
109,투자부동산의 처분,
110,무형자산의 처분,2789400036.0
111,단기금융상품의 순증감,62881408580.0
112,매도가능금융자산의 처분,
113,단기매매금융자산의 처분,20206967213.0
114,유동성만기보유금융자산의 회수,-262635000.0
115,단기대여금의 감소,2100000000.0
116,기타유동자산의 증감,
117,기타비유동자산의 감소,50594187659.0
118,매도가능금융자산의 취득,61989600.0
119,만기보유금융자산의 취득,90974042.0
120,단기매매금융자산의 취득,
121,관계기업주식의 취득,
122,유형자산의 취득,20235110009.0
123,무형자산의 취득,25170440344.0
124,단기대여금의 증가,1850000000.0
125,기타비유동자산의 증가,-109838087986.0
126,재무활동현금흐름,1072379405750.0
127,단기차입금의 순증감,133817218250.0
128,주식매수선택권의 행사,
129,장기차입금의 상환,
130,장기차입금의 증가,938562187500.0
131,종속기업의 추가취득,
132,사채의발행,
133,배당금의 지급,
134,외화환산으로 인한 현금의 변동,48459063128.0
135,현금의 증감,307690713756.0
136,기초현금및현금성자산,388042972603.0
137,기말의 현금및현금성자산,695733686359.0
138,기초자본,953344086767.0
139,기초자본,646617462.0
140,기초자본,952697469305.0
141,기초자본,-317271098686.0
142,기초자본,1013344269641.0
143,기초자본,200000000000.0
144,기초자본,56624298350.0
145,당기순이익,-1304348694059.0
146,당기순이익,932002731.0
147,당기순이익,-1305280696790.0
148,당기순이익,-1305280696790.0
149,재평가이익,78370674353.0
150,재평가이익,78370674353.0
151,재평가이익,78370674353.0
152,매도가능금융자산평가,40355921.0
153,매도가능금융자산평가,40355921.0
154,매도가능금융자산평가,40355921.0
155,파생상품거래평가이익,-7296694164.0
156,파생상품거래평가이익,-785.0
157,파생상품거래평가이익,-7296693379.0
158,파생상품거래평가이익,-7296693379.0
159,지분법평가,3288707309.0
160,지분법평가,3288707309.0
161,지분법평가,3288707309.0
162,해외사업환산손익,-37602075615.0
163,해외사업환산손익,-24494475.0
164,해외사업환산손익,-37577581140.0
165,해외사업환산손익,-37577581140.0
166,순확정급여부채 재측정요소,1268647481.0
167,순확정급여부채 재측정요소,1268647481.0
168,순확정급여부채 재측정요소,1268647481.0
169,연차배당,
170,연차배당,
171,연차배당,
172,종속기업 추가취득,-1120.0
173,종속기업 추가취득,
174,종속기업 추가취득,-1120.0
175,종속기업 추가취득,-1120.0
176,자기주식처분손실보전,1126815.0
177,자기주식처분손실보전,-1126815.0
178,자기주식,
179,자기주식,
180,자기주식,
181,주식선택권,
182,주식선택권,
183,주식선택권,
184,기말자본,-312934993127.0
185,기말자본,1554124933.0
186,기말자본,-314489118060.0
187,기말자본,-279175862446.0
188,기말자본,-291937553964.0
189,기말자본,200000000000.0
190,기말자본,56624298350.0
