,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
251,028670,팬오션,2630,25,1.0,1808622,4702958245,2610,2645,2570,564236255000,0.04,214538500,23196712.0,10.81,252,2015-01-02
2284,028670,팬오션,2680,50,1.9,1885008,4982923950,2660,2680,2605,574963180000,0.04,214538500,22917750.0,10.68,250,2015-01-05
4321,028670,팬오션,2650,-30,-1.1,2210459,5905987030,2680,2730,2630,568527025000,0.04,214538500,22833255.0,10.64,252,2015-01-06
6357,028670,팬오션,2645,-5,-0.2,2192618,5831029570,2685,2700,2635,567454332500,0.04,214538500,22576364.0,10.52,253,2015-01-07
8394,028670,팬오션,2610,-35,-1.3,1530708,4017720425,2645,2655,2600,559945485000,0.04,214538500,22614327.0,10.54,256,2015-01-08
10430,028670,팬오션,2645,35,1.3,3328796,8870219150,2640,2730,2610,567454332500,0.04,214538500,22317366.0,10.4,259,2015-01-09
12463,028670,팬오션,2630,-15,-0.6,1832371,4827305870,2660,2660,2615,564236255000,0.04,214538500,22248532.0,10.37,259,2015-01-12
14489,028670,팬오션,2725,95,3.6,8641143,23651700020,2630,2820,2615,584617412500,0.04,214538500,21440176.0,9.99,252,2015-01-13
16518,028670,팬오션,2740,15,0.6,2212661,6043962310,2740,2785,2680,587835490000,0.04,214538500,21305712.0,9.93,249,2015-01-14
18555,028670,팬오션,2705,-35,-1.3,1882621,5107427555,2760,2760,2695,580326642500,0.04,214538500,21196613.0,9.88,254,2015-01-15
20595,028670,팬오션,2610,-95,-3.5,3235715,8521624910,2695,2700,2600,559945485000,0.04,214538500,21102626.0,9.84,261,2015-01-16
22625,028670,팬오션,2610,0,0.0,1642945,4297460215,2635,2640,2605,559945485000,0.04,214538500,21087434.0,9.83,261,2015-01-19
24660,028670,팬오션,2535,-75,-2.9,3348073,8490212275,2605,2620,2455,543855097500,0.04,214538500,21045262.0,9.81,266,2015-01-20
26691,028670,팬오션,2520,-15,-0.6,1852794,4692828885,2530,2585,2505,540637020000,0.04,214538500,20911819.0,9.75,269,2015-01-21
28708,028670,팬오션,2600,80,3.2,4149324,10809767845,2515,2690,2500,557800100000,0.04,214538500,20801972.0,9.7,259,2015-01-22
30740,028670,팬오션,2550,-50,-1.9,1675488,4315650855,2570,2615,2545,547073175000,0.04,214538500,20764329.0,9.68,264,2015-01-23
32773,028670,팬오션,2505,-45,-1.8,1589250,4000378400,2530,2550,2500,537418942500,0.04,214538500,20631906.0,9.62,270,2015-01-26
34800,028670,팬오션,2515,10,0.4,1207986,3032915585,2505,2530,2495,539564327500,0.04,214538500,20602877.0,9.6,269,2015-01-27
36827,028670,팬오션,2540,25,1.0,1602954,4039728330,2515,2555,2500,544927790000,0.04,214538500,20640392.0,9.62,269,2015-01-28
38854,028670,팬오션,2555,15,0.6,1235192,3144775410,2540,2580,2515,548145867500,0.04,214538500,20670395.0,9.63,269,2015-01-29
40881,028670,팬오션,2580,25,1.0,1443394,3718219015,2575,2620,2540,553509330000,0.04,214538500,20632637.0,9.62,269,2015-01-30
42897,028670,팬오션,2640,60,2.3,3322363,8836559265,2595,2705,2565,566381640000,0.04,214538500,20671245.0,9.64,258,2015-02-02
44930,028670,팬오션,2630,-10,-0.4,1576008,4152443865,2685,2695,2610,564236255000,0.04,214538500,20522750.0,9.57,264,2015-02-03
46958,028670,팬오션,2610,-20,-0.8,2490055,6458087625,2610,2640,2570,559945485000,0.04,214538500,19972629.0,9.31,265,2015-02-04
48992,028670,팬오션,2545,-65,-2.5,2308670,5952963295,2625,2625,2535,546000482500,0.04,214538500,21878366.0,10.2,272,2015-02-05
51004,028670,팬오션,2610,65,2.6,6509341,16900130235,2510,2655,2510,594565937010,0.04,227803041,23746113.0,10.42,256,2015-02-06
53029,028670,팬오션,2620,10,0.4,3710874,9737905445,2640,2680,2595,596843967420,0.04,227803041,28523599.0,12.52,252,2015-02-09
55064,028670,팬오션,2560,-60,-2.3,2380941,6134901230,2635,2635,2545,583175784960,0.04,227803041,27789776.0,12.2,258,2015-02-10
57089,028670,팬오션,2600,40,1.6,1738188,4485914230,2570,2605,2540,592287906600,0.04,227803041,27321214.0,11.99,255,2015-02-11
59115,028670,팬오션,2650,50,1.9,7055899,18690015075,2635,2750,2585,603678058650,0.04,227803041,25429868.0,11.16,252,2015-02-12
61118,028670,팬오션,3045,395,14.9,20475390,60372076835,2715,3045,2665,693660259845,0.05,227803041,24121847.0,10.59,226,2015-02-13
63144,028670,팬오션,3100,55,1.8,17322572,54845185375,3230,3270,3055,706189427100,0.05,227803041,23383023.0,10.26,223,2015-02-16
65171,028670,팬오션,3150,50,1.6,7328669,22598346535,3155,3185,2990,717579579150,0.05,227803041,23117816.0,10.15,221,2015-02-17
67188,028670,팬오션,3500,350,11.1,16859226,57271274535,3150,3570,3110,797310643500,0.06,227803041,22871611.0,10.04,210,2015-02-23
69214,028670,팬오션,3540,40,1.1,8527144,29639866515,3500,3545,3355,806422765140,0.06,227803041,21866218.0,9.6,208,2015-02-24
71241,028670,팬오션,3475,-65,-1.8,3445012,12005793805,3500,3530,3450,791615567475,0.06,227803041,21907529.0,9.62,209,2015-02-25
73265,028670,팬오션,3625,150,4.3,7256082,26118686350,3500,3720,3480,825786023625,0.06,227803041,21651620.0,9.5,207,2015-02-26
75291,028670,팬오션,3630,5,0.1,3650792,13054783720,3625,3630,3540,826925038830,0.06,227803041,21207749.0,9.31,207,2015-02-27
77342,028670,팬오션,3090,-540,-14.9,16953641,54195419665,3400,3440,3090,703911396690,0.05,227803041,21070528.0,9.25,232,2015-03-02
79360,028670,팬오션,3150,60,1.9,9169769,28981083840,3090,3245,3080,717579579150,0.05,227803041,20989505.0,9.21,225,2015-03-03
81389,028670,팬오션,3110,-40,-1.3,10492020,31817335780,3150,3175,2840,708467457510,0.05,227803041,20766273.0,9.12,229,2015-03-04
83413,028670,팬오션,3160,50,1.6,11501846,36989572115,3155,3310,3040,719857609560,0.05,227803041,20719210.0,9.1,228,2015-03-05
85439,028670,팬오션,3150,-10,-0.3,2599992,8202168285,3155,3210,3115,717579579150,0.05,227803041,20672982.0,9.07,229,2015-03-06
87470,028670,팬오션,3060,-90,-2.9,2714107,8383002840,3145,3150,3035,697077305460,0.05,227803041,20652832.0,9.07,235,2015-03-09
89499,028670,팬오션,2955,-105,-3.4,3883447,11538762735,3070,3100,2915,673157986155,0.05,227803041,20627793.0,9.06,239,2015-03-10
91518,028670,팬오션,3020,65,2.2,3092443,9351596850,2955,3110,2880,687965183820,0.05,227803041,20565824.0,9.03,233,2015-03-11
93545,028670,팬오션,3030,10,0.3,1332558,4007920985,3030,3040,2985,690243214230,0.05,227803041,20461529.0,8.98,235,2015-03-12
95574,028670,팬오션,3010,-20,-0.7,1676971,5032629090,3040,3045,2980,685687153410,0.05,227803041,20368943.0,8.94,239,2015-03-13
97603,028670,팬오션,2900,-110,-3.6,2430091,7101609870,2990,2995,2890,660628818900,0.05,227803041,20359686.0,8.94,246,2015-03-16
99622,028670,팬오션,2995,95,3.3,4405909,13333972170,2910,3125,2890,682270107795,0.05,227803041,20407262.0,8.96,243,2015-03-17
101635,028670,팬오션,3070,75,2.5,4036561,12511297580,3050,3180,3030,699355335870,0.05,227803041,20394037.0,8.95,235,2015-03-18
103648,028670,팬오션,3235,165,5.4,7128263,22822092640,3110,3300,3055,736942837635,0.05,227803041,20372504.0,8.94,227,2015-03-19
105673,028670,팬오션,3225,-10,-0.3,3352358,10755541030,3235,3275,3150,734664807225,0.05,227803041,19661265.0,8.63,230,2015-03-20
107696,028670,팬오션,3195,-30,-0.9,2406704,7696892430,3245,3250,3160,727830715995,0.05,227803041,19437312.0,8.53,231,2015-03-23
109722,028670,팬오션,3125,-70,-2.2,1964771,6175918760,3195,3210,3090,711884503125,0.05,227803041,19424763.0,8.53,235,2015-03-24
111745,028670,팬오션,3145,20,0.6,2376424,7514888555,3105,3210,3070,716440563945,0.05,227803041,19378999.0,8.51,236,2015-03-25
113771,028670,팬오션,3095,-50,-1.6,1900285,5937984635,3090,3180,3080,705050411895,0.05,227803041,19360644.0,8.5,239,2015-03-26
115794,028670,팬오션,3065,-30,-1.0,3646953,11184463525,3140,3170,2990,698216320665,0.05,227803041,19353445.0,8.5,239,2015-03-27
117822,028670,팬오션,3065,0,0.0,1676626,5160703300,3095,3140,3045,698216320665,0.05,227803041,19346587.0,8.49,243,2015-03-30
119837,028670,팬오션,3290,225,7.3,4569350,14561543425,3060,3330,3030,749472004890,0.05,227803041,19441508.0,8.53,233,2015-03-31
121865,028670,팬오션,3205,-85,-2.6,2559907,8267900610,3290,3315,3185,730108746405,0.05,227803041,19204757.0,8.43,235,2015-04-01
123889,028670,팬오션,3250,45,1.4,3540072,11467967820,3205,3340,3145,740359883250,0.05,227803041,19161328.0,8.41,233,2015-04-02
