,account_nm,thstrm_amount
0,유동자산,717513876004.0
1,현금및현금성자산,66966888445.0
2,매출채권 및 기타유동채권,104756677337.0
3,기타유동금융자산,458823301285.0
4,재고자산,81614191737.0
5,당기법인세자산,102428419.0
6,기타유동비금융자산,5250388781.0
7,비유동자산,211768982011.0
8,기타비유동금융자산,6115339801.0
9,관계기업투자,
10,유형자산,187380946170.0
11,투자부동산,4354536743.0
12,무형자산,5463646441.0
13,이연법인세자산,265464626.0
14,기타비유동비금융자산,8189048230.0
15,자산총계,929282858015.0
16,유동부채,97266161531.0
17,매입채무 및 기타유동채무,48467040120.0
18,단기차입금,32564584008.0
19,유동충당부채,438933236.0
20,미지급법인세,4410899818.0
21,기타유동비금융부채,11384704349.0
22,비유동부채,11780890778.0
23,퇴직급여채무,3661738159.0
24,이연법인세부채,5870523028.0
25,기타비유동금융부채,2248629591.0
26,부채총계,109047052309.0
27,지배기업의 소유주에게 귀속되는 자본,820235805706.0
28,납입자본금,50400145000.0
29,자본금,50400145000.0
30,보통주자본금,50400145000.0
31,우선주자본금,0.0
32,기타불입자본,103455694069.0
33,기타자본구성요소,2453142942.0
34,이익잉여금(결손금),663926823695.0
35,비지배지분,0.0
36,자본총계,820235805706.0
37,자본과부채총계,929282858015.0
38,수익(매출액),500503730109.0
39,매출원가,409930446772.0
40,매출총이익,90573283337.0
41,판매비와관리비,84029925499.0
42,영업이익(손실),6543357838.0
43,금융수익,11218957999.0
44,기타이익,13929401779.0
45,기타손실,12087002009.0
46,법인세비용차감전순이익(손실),19604715607.0
47,법인세비용,10249869058.0
48,계속영업이익(손실),9354846549.0
49,중단영업이익(손실),0.0
50,당기순이익(손실),9354846549.0
51,기타포괄손익,5690654754.0
52,당기손익으로 재분류되지 않는 세후기타포괄손익,4377221742.0
53,당기손익으로 재분류되는 세후기타포괄손익,1313433012.0
54,총포괄손익,15045501303.0
55,지배기업의 소유주에게 귀속되는 당기순이익(손실),9354846549.0
56,비지배지분에 귀속되는 당기순이익(손실),0.0
57,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",15045501303.0
58,"포괄손익, 비지배지분",0.0
59,기본주당이익(손실),951.0
60,희석주당이익(손실),951.0
61,영업활동현금흐름,-5504637907.0
62,당기순이익(손실),9354846549.0
63,당기순이익조정을 위한 가감,26282788789.0
64,현금의기타유입(유출),-37382752242.0
65,배당금수취,120336567.0
66,이자수취,12605929523.0
67,이자지급,481080020.0
68,법인세납부(환급),16004707073.0
69,투자활동현금흐름,19560576292.0
70,단기금융상품의 취득,131548107285.0
71,단기금융상품의 처분,191475510984.0
72,장기금융상품의 취득,0.0
73,장기금융상품의 처분,1000000.0
74,만기보유금융자산의 취득,304761400000.0
75,유동만기보유금융자산의 처분,280908700000.0
76,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 처분",
77,유형자산의 취득,24217445573.0
78,유형자산의 처분,7750239105.0
79,비유동매도가능금융자산의 처분,
80,무형자산의 취득,48466939.0
81,무형자산의 처분,546000.0
82,재무활동현금흐름,1417671836.0
83,단기차입금의 상환,-96917197161.0
84,단기차입금의 증가,-80751211825.0
85,배당금지급,14748313500.0
86,환율변동효과 반영전 현금및현금성자산의 순증가(감소),15473610221.0
87,현금및현금성자산에 대한 환율변동효과,1117034903.0
88,현금및현금성자산의순증가(감소),16590645124.0
89,기초현금및현금성자산,50376243321.0
90,기말현금및현금성자산,66966888445.0
91,기초자본,819938617903.0
92,기초자본,0.0
93,기초자본,819938617903.0
94,기초자본,-3237511812.0
95,기초자본,17476227689.0
96,기초자본,669320290646.0
97,기초자본,-10953388620.0
98,기초자본,50400145000.0
99,기초자본,96932855000.0
100,회계정책변경에 따른 증가(감소),
101,회계정책변경에 따른 증가(감소),
102,배당금지급,-14748313500.0
103,배당금지급,
104,배당금지급,-14748313500.0
105,배당금지급,-14748313500.0
106,당기순이익(손실),9354846549.0
107,당기순이익(손실),
108,당기순이익(손실),9354846549.0
109,당기순이익(손실),9354846549.0
110,매도가능금융자산의 평가에 따른 증가(감소),-455308074.0
111,매도가능금융자산의 평가에 따른 증가(감소),-455308074.0
112,매도가능금융자산의 평가에 따른 증가(감소),-455308074.0
113,해외사업환산이익,1768741086.0
114,해외사업환산이익,1768741086.0
115,해외사업환산이익,1768741086.0
116,보험수리적손익,4377221742.0
117,보험수리적손익,4377221742.0
118,보험수리적손익,4377221742.0
119,기타조정,
120,기타조정,
121,기타조정,
122,기타조정,
123,기말자본,820235805706.0
124,기말자본,
125,기말자본,820235805706.0
126,기말자본,2453142942.0
127,기말자본,17476227689.0
128,기말자본,663926823695.0
129,기말자본,-10953388620.0
130,기말자본,50400145000.0
131,기말자본,96932855000.0
