,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
219,029530,신도리코,68000,200,0.3,5363,362695600,66500,68200,66400,685441972000,0.05,10080029,2529676.0,25.1,220,2015-01-02
2256,029530,신도리코,68500,500,0.7,8771,594348900,66600,68500,66600,690481986500,0.05,10080029,2534069.0,25.14,222,2015-01-05
4291,029530,신도리코,68100,-400,-0.6,6568,445159000,67500,68500,66900,686449974900,0.05,10080029,2532589.0,25.12,222,2015-01-06
6330,029530,신도리코,66500,-1600,-2.4,9389,622476600,67300,67600,65700,670321928500,0.05,10080029,2529310.0,25.09,226,2015-01-07
8361,029530,신도리코,66600,100,0.2,9683,648382000,65900,67600,65800,671329931400,0.05,10080029,2532604.0,25.12,223,2015-01-08
10395,029530,신도리코,67500,900,1.4,6476,437741500,67100,68200,66500,680401957500,0.05,10080029,2533791.0,25.14,224,2015-01-09
12427,029530,신도리코,69100,1600,2.4,5716,393844900,68700,70500,67500,696530003900,0.05,10080029,2532607.0,25.12,223,2015-01-12
14458,029530,신도리코,69600,500,0.7,7546,523197000,70500,70500,68800,701570018400,0.05,10080029,2527184.0,25.07,221,2015-01-13
16491,029530,신도리코,70100,500,0.7,8322,582753000,69000,70500,69000,706610032900,0.05,10080029,2528580.0,25.09,222,2015-01-14
18520,029530,신도리코,70900,800,1.1,11837,822705900,70000,70900,68200,714674056100,0.05,10080029,2528808.0,25.09,219,2015-01-15
20554,029530,신도리코,70400,-500,-0.7,9399,663606800,70100,71500,70100,709634041600,0.05,10080029,2530256.0,25.1,220,2015-01-16
22579,029530,신도리코,71800,1400,2.0,5827,415340200,70900,71800,70100,723746082200,0.05,10080029,2531905.0,25.12,215,2015-01-19
24609,029530,신도리코,72000,200,0.3,1897,135969400,71200,72200,70800,725762088000,0.05,10080029,2531857.0,25.12,215,2015-01-20
26639,029530,신도리코,70500,-1500,-2.1,2086,148112400,72000,72200,70400,710642044500,0.05,10080029,2532449.0,25.12,217,2015-01-21
28665,029530,신도리코,71100,600,0.8,2883,203660100,70900,71400,69800,716690061900,0.05,10080029,2533251.0,25.13,216,2015-01-22
30691,029530,신도리코,72000,900,1.3,7123,502492400,71000,72100,69700,725762088000,0.05,10080029,2533757.0,25.14,215,2015-01-23
32720,029530,신도리코,71600,-400,-0.6,2622,187398600,72000,72300,71000,721730076400,0.05,10080029,2533887.0,25.14,217,2015-01-26
34748,029530,신도리코,70800,-800,-1.1,11252,801668800,72000,72800,70700,713666053200,0.05,10080029,2546376.0,25.26,217,2015-01-27
36778,029530,신도리코,70400,-400,-0.6,3891,276080400,71500,71900,70400,709634041600,0.05,10080029,2548251.0,25.28,220,2015-01-28
38800,029530,신도리코,71700,1300,1.8,3283,233403700,70500,71700,70000,722738079300,0.05,10080029,2546974.0,25.27,215,2015-01-29
40829,029530,신도리코,71700,0,0.0,8150,586125626,71700,73000,70700,722738079300,0.05,10080029,2550471.0,25.3,217,2015-01-30
42854,029530,신도리코,72200,500,0.7,3398,243668300,70700,72600,70700,727778093800,0.05,10080029,2549700.0,25.29,215,2015-02-02
44884,029530,신도리코,72200,0,0.0,3377,242090500,71400,72200,71100,727778093800,0.05,10080029,2548207.0,25.28,218,2015-02-03
46915,029530,신도리코,71000,-1200,-1.7,2241,159814900,71300,72300,71000,715682059000,0.05,10080029,2540222.0,25.2,222,2015-02-04
48935,029530,신도리코,72700,1700,2.4,6628,478642100,70700,72900,70600,732818108300,0.05,10080029,2543621.0,25.23,215,2015-02-05
50964,029530,신도리코,72500,-200,-0.3,5346,387270400,71600,73000,71200,730802102500,0.05,10080029,2542196.0,25.22,216,2015-02-06
52992,029530,신도리코,72500,0,0.0,3891,282924800,72100,73100,71900,730802102500,0.05,10080029,2541450.0,25.21,215,2015-02-09
55020,029530,신도리코,72100,-400,-0.6,4067,292409900,72000,73000,71000,726770090900,0.05,10080029,2540873.0,25.21,214,2015-02-10
57049,029530,신도리코,71900,-200,-0.3,6761,486791800,72300,72900,71000,724754085100,0.05,10080029,2539828.0,25.2,215,2015-02-11
59079,029530,신도리코,72800,900,1.2,7075,512978400,72500,73300,71600,733826111200,0.05,10080029,2537256.0,25.17,216,2015-02-12
61111,029530,신도리코,72300,-500,-0.7,3610,261669000,72000,73200,72000,728786096700,0.05,10080029,2534817.0,25.15,219,2015-02-13
63138,029530,신도리코,73200,900,1.2,3041,221761600,72000,73300,72000,737858122800,0.05,10080029,2534631.0,25.15,217,2015-02-16
65165,029530,신도리코,73900,700,1.0,7138,520852100,73200,73900,72100,744914143100,0.05,10080029,2535126.0,25.15,215,2015-02-17
67194,029530,신도리코,74500,600,0.8,3528,259240800,73900,74500,72500,750962160500,0.05,10080029,2534737.0,25.15,216,2015-02-23
69225,029530,신도리코,74000,-500,-0.7,5494,407889500,74800,74800,73500,745922146000,0.05,10080029,2532777.0,25.13,219,2015-02-24
71251,029530,신도리코,73600,-400,-0.5,10685,787371500,74000,74500,73100,741890134400,0.05,10080029,2529643.0,25.1,219,2015-02-25
73279,029530,신도리코,72300,-1300,-1.8,4181,305924900,73600,73900,72300,728786096700,0.05,10080029,2529759.0,25.1,221,2015-02-26
75307,029530,신도리코,71500,-800,-1.1,12227,882416300,72000,73400,71500,720722073500,0.05,10080029,2527671.0,25.08,223,2015-02-27
77337,029530,신도리코,70500,-1000,-1.4,6678,475268100,71300,72000,70300,710642044500,0.05,10080029,2529133.0,25.09,227,2015-03-02
79368,029530,신도리코,69500,-1000,-1.4,16057,1114917500,70200,70400,68500,700562015500,0.05,10080029,2526072.0,25.06,233,2015-03-03
81395,029530,신도리코,68700,-800,-1.2,6500,448587100,68500,69700,68500,692497992300,0.05,10080029,2524803.0,25.05,235,2015-03-04
83422,029530,신도리코,68600,-100,-0.2,8515,580727600,68200,69000,67800,691489989400,0.05,10080029,2521738.0,25.02,237,2015-03-05
85448,029530,신도리코,68100,-500,-0.7,4592,312867300,68500,68700,67900,686449974900,0.05,10080029,2520078.0,25.0,238,2015-03-06
87472,029530,신도리코,68500,400,0.6,5450,371169600,67600,68700,67600,690481986500,0.05,10080029,2518172.0,24.98,237,2015-03-09
89496,029530,신도리코,67600,-900,-1.3,18136,1236711700,67900,68700,67300,681409960400,0.05,10080029,2511963.0,24.92,236,2015-03-10
91522,029530,신도리코,67200,-400,-0.6,36618,2451434640,67600,68000,66600,677377948800,0.05,10080029,2508783.0,24.89,237,2015-03-11
93550,029530,신도리코,66400,-800,-1.2,8853,590266900,66600,67500,66400,669313925600,0.05,10080029,2506427.0,24.87,240,2015-03-12
95572,029530,신도리코,68500,2100,3.2,9102,621750700,66800,68800,66800,690481986500,0.05,10080029,2511143.0,24.91,237,2015-03-13
97596,029530,신도리코,68000,-500,-0.7,3744,255728800,68700,68700,67800,685441972000,0.05,10080029,2510229.0,24.9,239,2015-03-16
99620,029530,신도리코,67800,-200,-0.3,11958,808895200,67900,68800,67100,683425966200,0.05,10080029,2509264.0,24.89,241,2015-03-17
101642,029530,신도리코,67700,-100,-0.2,7583,513883500,68800,68800,67400,682417963300,0.05,10080029,2511969.0,24.92,242,2015-03-18
103666,029530,신도리코,68100,400,0.6,8099,549013300,67500,68300,67300,686449974900,0.05,10080029,2513198.0,24.93,245,2015-03-19
105690,029530,신도리코,66800,-1300,-1.9,8439,565261100,68100,68100,66600,673345937200,0.05,10080029,2512188.0,24.92,247,2015-03-20
107711,029530,신도리코,67300,500,0.8,3909,262305600,67000,67400,66800,678385951700,0.05,10080029,2513101.0,24.93,246,2015-03-23
109731,029530,신도리코,68300,1000,1.5,3404,230666800,67300,68500,66700,688465980700,0.05,10080029,2512917.0,24.93,244,2015-03-24
111752,029530,신도리코,68900,600,0.9,6045,414388100,67500,69100,67500,694513998100,0.05,10080029,2514565.0,24.95,243,2015-03-25
113770,029530,신도리코,70100,1200,1.7,10785,750577200,69100,70200,68100,706610032900,0.05,10080029,2514525.0,24.95,238,2015-03-26
115789,029530,신도리코,71800,1700,2.4,7505,532318100,69000,72000,69000,723746082200,0.05,10080029,2512837.0,24.93,234,2015-03-27
117820,029530,신도리코,70000,-1800,-2.5,6932,491108300,72300,72300,69900,705602030000,0.05,10080029,2511952.0,24.92,241,2015-03-30
119847,029530,신도리코,69300,-700,-1.0,11572,809611153,69700,71000,69300,698546009700,0.05,10080029,2511813.0,24.92,243,2015-03-31
121875,029530,신도리코,69200,-100,-0.1,3744,259318600,69300,69900,68700,697538006800,0.05,10080029,2511465.0,24.92,245,2015-04-01
123899,029530,신도리코,70200,1000,1.4,3222,224589900,69000,70700,68700,707618035800,0.05,10080029,2511882.0,24.92,243,2015-04-02
125923,029530,신도리코,71200,1000,1.4,5225,368953600,70200,71300,70200,717698064800,0.05,10080029,2511954.0,24.92,241,2015-04-03
127954,029530,신도리코,69900,-1300,-1.8,4343,304289200,71200,71500,69600,704594027100,0.05,10080029,2511568.0,24.92,243,2015-04-06
129987,029530,신도리코,70100,200,0.3,4625,322130900,69300,70700,69100,706610032900,0.05,10080029,2512693.0,24.93,247,2015-04-07
132016,029530,신도리코,70000,-100,-0.1,4645,324436400,69400,70700,69200,705602030000,0.05,10080029,2511195.0,24.91,247,2015-04-08
134049,029530,신도리코,69000,-1000,-1.4,3974,274978100,69300,69600,69000,695522001000,0.05,10080029,2510990.0,24.91,251,2015-04-09
136081,029530,신도리코,69100,100,0.1,7019,484026000,68600,69600,68400,696530003900,0.05,10080029,2511855.0,24.92,254,2015-04-10
138114,029530,신도리코,68300,-800,-1.2,7737,530559400,68800,69100,68000,688465980700,0.05,10080029,2514188.0,24.94,258,2015-04-13
140139,029530,신도리코,68900,600,0.9,6505,447871400,67900,69300,67800,694513998100,0.05,10080029,2515822.0,24.96,255,2015-04-14
142172,029530,신도리코,68900,0,0.0,9058,621578200,68200,69300,67700,694513998100,0.05,10080029,2518711.0,24.99,260,2015-04-15
144191,029530,신도리코,70100,1200,1.7,14264,983663620,68400,70900,68000,706610032900,0.05,10080029,2519622.0,25.0,257,2015-04-16
146216,029530,신도리코,68600,-1500,-2.1,9011,620935700,69300,70000,68500,691489989400,0.05,10080029,2519797.0,25.0,260,2015-04-17
148241,029530,신도리코,68700,100,0.2,13241,908798000,69600,69600,68200,692497992300,0.05,10080029,2524687.0,25.05,263,2015-04-20
150264,029530,신도리코,68700,0,0.0,9659,661041400,68400,69000,68000,692497992300,0.05,10080029,2527299.0,25.07,263,2015-04-21
152288,029530,신도리코,68100,-600,-0.9,8348,571643200,68300,68800,68000,686449974900,0.04,10080029,2528846.0,25.09,264,2015-04-22
154313,029530,신도리코,68000,-100,-0.2,8409,569367400,68200,68400,67200,685441972000,0.04,10080029,2527597.0,25.08,265,2015-04-23
156329,029530,신도리코,68700,700,1.0,12886,879200300,68000,69100,67500,692497992300,0.05,10080029,2531795.0,25.12,258,2015-04-24
158354,029530,신도리코,68600,-100,-0.2,10205,697779800,68700,68800,67800,691489989400,0.05,10080029,2529995.0,25.1,260,2015-04-27
160376,029530,신도리코,68500,-100,-0.2,5384,367997100,68100,68700,68100,690481986500,0.05,10080029,2530255.0,25.1,259,2015-04-28
162394,029530,신도리코,70800,2300,3.4,24827,1733527100,68200,71000,68000,713666053200,0.05,10080029,2530108.0,25.1,252,2015-04-29
164422,029530,신도리코,69600,-1200,-1.7,22032,1545287912,69900,70800,69600,701570018400,0.05,10080029,2527588.0,25.08,253,2015-04-30
166446,029530,신도리코,69400,-200,-0.3,11917,821577000,70200,70200,68400,699554012600,0.05,10080029,2524726.0,25.05,252,2015-05-04
168473,029530,신도리코,67400,-2000,-2.9,9868,668176900,69400,69500,67400,679393954600,0.05,10080029,2520466.0,25.0,254,2015-05-06
170500,029530,신도리코,67400,0,0.0,4831,325243000,67100,67800,67000,679393954600,0.05,10080029,2520251.0,25.0,255,2015-05-07
172525,029530,신도리코,68100,700,1.0,4221,287012700,67000,68500,66900,686449974900,0.05,10080029,2520429.0,25.0,254,2015-05-08
174554,029530,신도리코,68800,700,1.0,9032,616960800,68100,69300,67500,693505995200,0.05,10080029,2523038.0,25.03,256,2015-05-11
176580,029530,신도리코,68300,-500,-0.7,8678,592431200,68100,68900,67900,688465980700,0.05,10080029,2521684.0,25.02,255,2015-05-12
178606,029530,신도리코,68700,400,0.6,2723,186705200,67800,69100,67700,692497992300,0.05,10080029,2522767.0,25.03,254,2015-05-13
180634,029530,신도리코,69300,600,0.9,6424,443889900,68200,69800,68100,698546009700,0.05,10080029,2523288.0,25.03,255,2015-05-14
182664,029530,신도리코,70200,900,1.3,13121,916309600,68600,70500,68400,707618035800,0.05,10080029,2524046.0,25.04,258,2015-05-15
184691,029530,신도리코,70300,100,0.1,7089,494111400,70200,70400,69200,708626038700,0.05,10080029,2526787.0,25.07,258,2015-05-18
186727,029530,신도리코,69500,-800,-1.1,17461,1225796716,69400,71300,69200,700562015500,0.05,10080029,2527219.0,25.07,265,2015-05-19
188753,029530,신도리코,70300,800,1.2,7647,538993500,69600,71100,69200,708626038700,0.05,10080029,2530813.0,25.11,263,2015-05-20
190784,029530,신도리코,70400,100,0.1,7485,527779100,70700,71200,70000,709634041600,0.05,10080029,2535984.0,25.16,267,2015-05-21
192807,029530,신도리코,70900,500,0.7,10209,724696500,70200,71500,70000,714674056100,0.05,10080029,2539099.0,25.19,263,2015-05-22
194833,029530,신도리코,71100,200,0.3,8510,607137900,70300,71900,70300,716690061900,0.05,10080029,2544715.0,25.25,261,2015-05-26
196865,029530,신도리코,68800,-2300,-3.2,14359,993908700,70800,71100,68800,693505995200,0.05,10080029,2548334.0,25.28,265,2015-05-27
198896,029530,신도리코,68600,-200,-0.3,5482,378798900,68800,69800,68500,691489989400,0.05,10080029,2548892.0,25.29,268,2015-05-28
200906,029530,신도리코,75600,7000,10.2,20772,1501445140,67800,75600,67600,762050192400,0.05,10080029,2553459.0,25.33,249,2015-05-29
202951,029530,신도리코,70200,-5400,-7.1,22799,1615465300,75700,75800,70000,707618035800,0.05,10080029,2550241.0,25.3,264,2015-06-01
204978,029530,신도리코,70000,-200,-0.3,9790,681877700,70000,70600,68900,705602030000,0.05,10080029,2551220.0,25.31,261,2015-06-02
207008,029530,신도리코,69400,-600,-0.9,13800,956866700,69200,70100,68600,699554012600,0.05,10080029,2549753.0,25.3,261,2015-06-03
209043,029530,신도리코,67900,-1500,-2.2,8969,614028000,68700,69700,67800,684433969100,0.05,10080029,2549588.0,25.29,266,2015-06-04
211075,029530,신도리코,67600,-300,-0.4,9457,641616500,67600,68600,67000,681409960400,0.05,10080029,2548304.0,25.28,268,2015-06-05
213103,029530,신도리코,68000,400,0.6,9701,654794000,67000,68300,66900,685441972000,0.05,10080029,2547839.0,25.28,266,2015-06-08
215138,029530,신도리코,66900,-1100,-1.6,8461,567442600,68000,68000,66600,674353940100,0.05,10080029,2544661.0,25.24,271,2015-06-09
