,account_nm,thstrm_amount
0,유동자산,8583176000000.0
1,현금및현금성자산,2559464000000.0
2,매출채권및기타채권,4878878000000.0
3,대출채권,
4,금융리스채권,5739000000.0
5,기타금융자산,292943000000.0
6,당기법인세자산,3881000000.0
7,재고자산,525366000000.0
8,기타유동자산,316905000000.0
9,비유동자산,20758009000000.0
10,매출채권및기타채권,679751000000.0
11,대출채권,15877000000.0
12,금융리스채권,8519000000.0
13,기타금융자산,658323000000.0
14,유형자산,14478914000000.0
15,투자부동산,1102070000000.0
16,무형자산,2599751000000.0
17,관계기업및공동기업투자,270029000000.0
18,이연법인세자산,842417000000.0
19,기타비유동자산,102358000000.0
20,자산총계,29341185000000.0
21,유동부채,8639906000000.0
22,매입채무및기타채무,6273852000000.0
23,금융리스부채,61175000000.0
24,차입금,1726098000000.0
25,기타금융부채,43645000000.0
26,당기법인세부채,81114000000.0
27,충당부채,103907000000.0
28,이연수익,98427000000.0
29,기타유동부채,251688000000.0
30,비유동부채,8535814000000.0
31,매입채무및기타채무,573951000000.0
32,금융리스부채,95022000000.0
33,차입금,6908799000000.0
34,기타금융부채,103683000000.0
35,순확정급여부채,524083000000.0
36,충당부채,91365000000.0
37,이연수익,95916000000.0
38,이연법인세부채,129650000000.0
39,기타비유동부채,13345000000.0
40,부채총계,17175720000000.0
41,지배기업의 소유주지분,10845069000000.0
42,자본금,1564499000000.0
43,주식발행초과금,1440258000000.0
44,이익잉여금,9059305000000.0
45,기타포괄손익누계액,13870000000.0
46,기타자본구성요소,-1232863000000.0
47,비지배지분,1320396000000.0
48,비지배지분,1320396000000.0
49,자본총계,12165465000000.0
50,부채와 자본총계,29341185000000.0
51,영업수익,22281221000000.0
52,영업비용,20988277000000.0
53,영업이익(손실),1292944000000.0
54,기타수익,488183000000.0
55,기타비용,695347000000.0
56,금융수익,272860000000.0
57,금융비용,645331000000.0
58,관계기업및공동기업 순손익지분,6143000000.0
59,법인세차감전순이익(손실),719452000000.0
60,법인세비용,-229239000000.0
61,계속 영업반기순이익(손실),490213000000.0
62,중단 영업이익(손실),141075000000.0
63,당기순이익(손실),631288000000.0
64,지배기업의 소유주지분,552964000000.0
65,계속영업이익,410648000000.0
66,중단영업이익,142316000000.0
67,비지배지분,78324000000.0
68,계속영업이익,79565000000.0
69,중단영업이익,-1241000000.0
70,기본주당손익(손실),2258.0
71,계속영업기본주당이익(손실),1677.0
72,중단영업기본주당이익(손실),581.0
73,희석주당손익(손실),2258.0
74,계속영업희석주당이익(손실),1677.0
75,중단영업희석주당이익(손실),581.0
76,당기순이익(손실),631288000000.0
77,기타포괄손익,-68835000000.0
78,당기손익으로 재분류되지 않는 항목,-40279000000.0
79,순확정급여부채 재측정요소,-37872000000.0
80,관계기업및공동기업순확정급여부채의 재측정요소에 대한 지분,-2407000000.0
81,후속적으로 당기손익으로 재분류될 수 있는 항목,-28556000000.0
82,매도가능금융자산의 평가,47381000000.0
83,매도가능금융자산의 기타포괄손익 중 당기손익에 포함된 재분류 조정,-83397000000.0
84,위험회피파생상품의평가,111914000000.0
85,위험회피파생상품의 기타포괄손익 중 당기손익에 포함된 재분류 조정,-97962000000.0
86,관계기업및공동기업의 기타포괄손익에 대한 지분,-1608000000.0
87,해외사업장환산외환차이,-4884000000.0
88,당기총포괄손익,562453000000.0
89,지배기업 소유주지분,501021000000.0
90,비지배지분,61432000000.0
91,영업활동으로 인한 현금흐름,4229965000000.0
92,영업으로부터 창출된 현금흐름,4579260000000.0
93,이자지급,436363000000.0
94,이자수취,128422000000.0
95,배당금의 수취,35768000000.0
96,법인세납부(환급),77122000000.0
97,투자활동으로 인한 현금흐름,-2401868000000.0
98,투자활동으로 인한 현금유입액,1801178000000.0
99,대여금의 회수,38856000000.0
100,파생상품의 처분,176681000000.0
101,매도가능금융자산의 처분,243125000000.0
