,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
6,035420,NAVER,731000,19000,2.7,64225,46719304000,713000,733000,712000,24095718349000,1.79,32962679,17500859.0,53.09,7,2015-01-02
2039,035420,NAVER,749000,18000,2.5,112572,83848802000,726000,750000,721000,24689046571000,1.84,32962679,17497879.0,53.08,5,2015-01-05
4074,035420,NAVER,743000,-6000,-0.8,92315,68713561000,741000,754000,735000,24491270497000,1.86,32962679,17464824.0,52.98,5,2015-01-06
6110,035420,NAVER,732000,-11000,-1.5,51987,38396533000,749000,749000,730000,24128681028000,1.83,32962679,17458774.0,52.97,6,2015-01-07
8144,035420,NAVER,744000,12000,1.6,56392,41561818000,729000,745000,729000,24524233176000,1.84,32962679,17463733.0,52.98,6,2015-01-08
10177,035420,NAVER,752000,8000,1.1,73987,55751190000,759000,759000,742000,24787934608000,1.84,32962679,17492436.0,53.07,6,2015-01-09
12210,035420,NAVER,750000,-2000,-0.3,36733,27747009000,746000,760000,746000,24722009250000,1.83,32962679,17496224.0,53.08,6,2015-01-12
14244,035420,NAVER,740000,-10000,-1.3,48928,36335700000,752000,755000,738000,24392382460000,1.81,32962679,17494309.0,53.07,7,2015-01-13
16276,035420,NAVER,739000,-1000,-0.1,63850,46948917000,735000,745000,732000,24359419781000,1.81,32962679,17482242.0,53.04,7,2015-01-14
18305,035420,NAVER,777000,38000,5.1,187236,143833024150,748000,778000,741000,25612001583000,1.9,32962679,17485513.0,53.05,4,2015-01-15
20338,035420,NAVER,777000,0,0.0,116659,90013658490,779000,780000,757000,25612001583000,1.93,32962679,17455336.0,52.95,4,2015-01-16
22368,035420,NAVER,776000,-1000,-0.1,91305,71063246000,780000,784000,773000,25579038904000,1.91,32962679,17434827.0,52.89,4,2015-01-19
24399,035420,NAVER,790000,14000,1.8,101343,80096809532,780000,797000,780000,26040516410000,1.93,32962679,17425027.0,52.86,5,2015-01-20
26427,035420,NAVER,780000,-10000,-1.3,71564,55716709000,782000,789000,768000,25710889620000,1.9,32962679,17401592.0,52.79,5,2015-01-21
28454,035420,NAVER,765000,-15000,-1.9,83439,64024720040,783000,789000,762000,25216449435000,1.87,32962679,17400317.0,52.79,5,2015-01-22
30481,035420,NAVER,780000,15000,2.0,99297,76413237982,775000,780000,760000,25710889620000,1.89,32962679,17407316.0,52.81,5,2015-01-23
32508,035420,NAVER,771000,-9000,-1.2,69003,53206969500,775000,779000,768000,25414225509000,1.87,32962679,17390130.0,52.76,5,2015-01-26
34536,035420,NAVER,764000,-7000,-0.9,84489,64645711000,774000,775000,761000,25183486756000,1.84,32962679,17379944.0,52.73,5,2015-01-27
36563,035420,NAVER,777000,13000,1.7,123220,94971372900,760000,780000,760000,25612001583000,1.86,32962679,17354821.0,52.65,5,2015-01-28
38592,035420,NAVER,736000,-41000,-5.3,278475,207006953000,760000,762000,731000,24260531744000,1.77,32962679,17276560.0,52.41,7,2015-01-29
40619,035420,NAVER,716000,-20000,-2.7,300061,215842077000,725000,730000,711000,23601278164000,1.72,32962679,17208998.0,52.21,7,2015-01-30
42646,035420,NAVER,711000,-5000,-0.7,112994,80505614000,716000,723000,707000,23436464769000,1.71,32962679,17181311.0,52.12,7,2015-02-02
44673,035420,NAVER,712000,1000,0.1,121641,86354914000,711000,717000,705000,23469427448000,1.71,32962679,17152409.0,52.04,7,2015-02-03
46700,035420,NAVER,725000,13000,1.8,131353,94881105000,716000,727000,715000,23897942275000,1.73,32962679,17152480.0,52.04,7,2015-02-04
48727,035420,NAVER,712000,-13000,-1.8,77889,55562968000,722000,725000,710000,23469427448000,1.7,32962679,17132564.0,51.98,7,2015-02-05
50755,035420,NAVER,715000,3000,0.4,76000,54400964765,711000,721000,708000,23568315485000,1.71,32962679,17128279.0,51.96,7,2015-02-06
52785,035420,NAVER,681000,-34000,-4.8,214231,147693496000,715000,715000,680000,22447584399000,1.64,32962679,17085112.0,51.83,8,2015-02-09
54816,035420,NAVER,648000,-33000,-4.8,370269,240869024000,670000,678000,639000,21359815992000,1.56,32962679,17055495.0,51.74,10,2015-02-10
56843,035420,NAVER,673000,25000,3.9,192828,128937232000,660000,677000,653000,22183882967000,1.62,32962679,17102594.0,51.88,9,2015-02-11
58872,035420,NAVER,680000,7000,1.0,114927,76849640760,680000,680000,656000,22414621720000,1.64,32962679,17132867.0,51.98,9,2015-02-12
60901,035420,NAVER,668000,-12000,-1.8,99818,67223202068,675000,692000,666000,22019069572000,1.59,32962679,17134727.0,51.98,9,2015-02-13
62930,035420,NAVER,669000,1000,0.2,55533,37176758000,666000,676000,665000,22052032251000,1.59,32962679,17125340.0,51.95,9,2015-02-16
64959,035420,NAVER,671000,2000,0.3,35224,23607643000,666000,675000,666000,22117957609000,1.6,32962679,17128510.0,51.96,9,2015-02-17
66987,035420,NAVER,639000,-32000,-4.8,291781,188567119309,668000,672000,632000,21063151881000,1.51,32962679,17071965.0,51.79,9,2015-02-23
69015,035420,NAVER,637000,-2000,-0.3,142951,91456216000,637000,647000,635000,20997226523000,1.5,32962679,17081099.0,51.82,9,2015-02-24
71042,035420,NAVER,641000,4000,0.6,146624,93806480000,639000,644000,633000,21129077239000,1.5,32962679,17085440.0,51.83,10,2015-02-25
73070,035420,NAVER,626000,-15000,-2.3,174743,110354165000,636000,641000,626000,20634637054000,1.47,32962679,17083444.0,51.83,12,2015-02-26
75095,035420,NAVER,661000,35000,5.6,266350,174852920976,623000,668000,623000,21788330819000,1.55,32962679,17065382.0,51.77,11,2015-02-27
77121,035420,NAVER,646000,-15000,-2.3,150448,97448867000,662000,667000,641000,21293890634000,1.51,32962679,17076053.0,51.8,11,2015-03-02
79145,035420,NAVER,650000,4000,0.6,104024,67833667000,653000,659000,646000,21425741350000,1.51,32962679,17108906.0,51.9,10,2015-03-03
81169,035420,NAVER,680000,30000,4.6,268490,176663176000,649000,682000,639000,22414621720000,1.59,32962679,17233023.0,52.28,9,2015-03-04
