,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
202,042670,두산인프라코어,4400,-295,-6.3,4560605,20439120950,4675,4690,4400,912803381600,0.06,207455314,32789508.0,15.81,203,2016-01-04
2352,042670,두산인프라코어,4445,45,1.0,3063164,13802197975,4355,4590,4355,922138870730,0.06,207455314,33648469.0,16.22,204,2016-01-05
4504,042670,두산인프라코어,4370,-75,-1.7,2382464,10572913810,4470,4560,4350,906579722180,0.06,207455314,33104040.0,15.96,207,2016-01-06
6654,042670,두산인프라코어,4305,-65,-1.5,3014443,13198525510,4370,4495,4300,893095126770,0.06,207455314,33007669.0,15.91,208,2016-01-07
8809,042670,두산인프라코어,4190,-115,-2.7,2826711,11791365385,4240,4270,4105,869237765660,0.06,207455314,33667673.0,16.23,214,2016-01-08
10959,042670,두산인프라코어,4095,-95,-2.3,2336976,9704547270,4165,4245,4085,849529510830,0.06,207455314,34070721.0,16.42,215,2016-01-11
13108,042670,두산인프라코어,4050,-45,-1.1,2448172,10005033170,4135,4160,4040,840194021700,0.06,207455314,34135436.0,16.45,215,2016-01-12
15256,042670,두산인프라코어,4130,80,2.0,1932342,7998329870,4115,4190,4085,856790446820,0.06,207455314,33951321.0,16.37,214,2016-01-13
17411,042670,두산인프라코어,3945,-185,-4.5,3283709,13012847720,4060,4075,3900,818411213730,0.06,207455314,33545515.0,16.17,220,2016-01-14
19570,042670,두산인프라코어,3550,-395,-10.0,10194125,37400666805,4050,4050,3515,736466364700,0.05,207455314,33933528.0,16.36,230,2016-01-15
21715,042670,두산인프라코어,3690,140,3.9,5815516,21370320855,3585,3760,3585,765510108660,0.05,207455314,33707189.0,16.25,226,2016-01-18
23867,042670,두산인프라코어,3600,-90,-2.4,2995000,10833859440,3690,3720,3545,746839130400,0.05,207455314,33074369.0,15.94,229,2016-01-19
26026,042670,두산인프라코어,3410,-190,-5.3,3149458,10930317435,3625,3635,3375,707422620740,0.05,207455314,33082905.0,15.95,239,2016-01-20
28156,042670,두산인프라코어,3800,390,11.4,31773809,129518784655,3410,4430,3410,788330193200,0.06,207455314,32463594.0,15.65,220,2016-01-21
30307,042670,두산인프라코어,3710,-90,-2.4,9095413,34613828455,3885,3990,3585,769659214940,0.06,207455314,31284719.0,15.08,224,2016-01-22
32453,042670,두산인프라코어,3780,70,1.9,3900312,14742221040,3775,3850,3685,784181086920,0.06,207455314,31538612.0,15.2,222,2016-01-25
34598,042670,두산인프라코어,3820,40,1.1,8480714,32825640650,3710,4070,3660,792479299480,0.06,207455314,30014708.0,14.47,220,2016-01-26
36743,042670,두산인프라코어,3905,85,2.2,7962243,31698115050,3910,4140,3835,810113001170,0.06,207455314,29310644.0,14.13,217,2016-01-27
38885,042670,두산인프라코어,4205,300,7.7,10560857,43263991020,3910,4240,3895,872349595370,0.06,207455314,30428209.0,14.67,210,2016-01-28
41035,042670,두산인프라코어,4200,-5,-0.1,7178494,30296022005,4285,4350,4120,871312318800,0.06,207455314,29908453.0,14.42,210,2016-01-29
43191,042670,두산인프라코어,4045,-155,-3.7,5077932,20556199770,4040,4125,3990,839156745130,0.06,207455314,29724370.0,14.33,216,2016-02-01
45343,042670,두산인프라코어,3930,-115,-2.8,3257230,12887862530,4060,4065,3885,815299384020,0.06,207455314,29855466.0,14.39,218,2016-02-02
47503,042670,두산인프라코어,3705,-225,-5.7,4214668,15748360235,3870,3880,3665,768621938370,0.05,207455314,29999973.0,14.46,227,2016-02-03
