,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
54,078930,GS,49100,-1600,-3.2,205319,10157880150,50300,50700,49100,4562145059800,0.32,92915378,17838235.0,19.2,55,2016-01-04
2204,078930,GS,49600,500,1.0,212885,10524879300,48950,49900,48800,4608602748800,0.32,92915378,17905780.0,19.27,56,2016-01-05
4358,078930,GS,47600,-2000,-4.0,407639,19480741700,49200,49500,47250,4422771992800,0.31,92915378,17936523.0,19.3,61,2016-01-06
6508,078930,GS,46950,-650,-1.4,258662,12177817100,47100,47800,46800,4362376997100,0.31,92915378,18009006.0,19.38,62,2016-01-07
8653,078930,GS,49400,2450,5.2,337279,16326687050,46700,49650,46350,4590019673200,0.32,92915378,18032993.0,19.41,58,2016-01-08
10804,078930,GS,48300,-1100,-2.2,178228,8637128550,48850,49200,48050,4487812757400,0.32,92915378,17977019.0,19.35,60,2016-01-11
12950,078930,GS,49300,1000,2.1,224491,10992396950,48700,49400,48250,4580728135400,0.33,92915378,18006576.0,19.38,57,2016-01-12
15100,078930,GS,49450,150,0.3,162518,8020405350,49300,49850,48900,4594665442100,0.32,92915378,17974345.0,19.34,58,2016-01-13
17250,078930,GS,48950,-500,-1.0,232964,11263196300,49050,49300,47750,4548207753100,0.32,92915378,17998092.0,19.37,59,2016-01-14
19399,078930,GS,48000,-950,-1.9,176140,8508071100,49500,49500,47750,4459938144000,0.32,92915378,18025586.0,19.4,59,2016-01-15
21550,078930,GS,47550,-450,-0.9,178244,8481249500,48300,48300,47050,4418126223900,0.32,92915378,18061647.0,19.44,61,2016-01-18
23699,078930,GS,47450,-100,-0.2,158696,7446790500,47400,47850,46450,4408834686100,0.31,92915378,18064417.0,19.44,61,2016-01-19
25847,078930,GS,47200,-250,-0.5,238603,11218978200,47450,47650,46150,4385605841600,0.32,92915378,18034623.0,19.41,60,2016-01-20
27996,078930,GS,47850,650,1.4,246115,11804124850,47200,48500,47150,4446000837300,0.33,92915378,17984188.0,19.36,60,2016-01-21
30143,078930,GS,48800,950,2.0,142810,6905468900,48600,48800,47750,4534270446400,0.33,92915378,17950495.0,19.32,60,2016-01-22
32291,078930,GS,49050,250,0.5,105824,5208018700,49300,49700,48850,4557499290900,0.32,92915378,17938836.0,19.31,60,2016-01-25
34438,078930,GS,48950,-100,-0.2,200805,9785772300,48950,49250,48000,4548207753100,0.33,92915378,17971755.0,19.34,60,2016-01-26
36586,078930,GS,48350,-600,-1.2,290629,14318589494,49100,50400,48300,4492458526300,0.32,92915378,18011610.0,19.38,60,2016-01-27
38735,078930,GS,49300,950,2.0,174115,8537154560,48350,49300,48350,4580728135400,0.32,92915378,18022793.0,19.4,60,2016-01-28
40884,078930,GS,50400,1100,2.2,294143,14684297400,49900,50700,49400,4682935051200,0.33,92915378,18109684.0,19.49,59,2016-01-29
43034,078930,GS,51200,800,1.6,148961,7571310500,50500,51200,50100,4757267353600,0.33,92915378,18107700.0,19.49,59,2016-02-01
45184,078930,GS,49850,-1350,-2.6,167375,8432567100,50600,51200,49800,4631831593300,0.33,92915378,18128623.0,19.51,59,2016-02-02
47334,078930,GS,49700,-150,-0.3,122939,6096149050,49450,50200,49000,4617894286600,0.33,92915378,18109221.0,19.49,58,2016-02-03
49482,078930,GS,53000,3300,6.6,528897,27752861600,51400,53200,50800,4924515034000,0.35,92915378,18158371.0,19.54,54,2016-02-04
51635,078930,GS,52100,-900,-1.7,326200,16915495100,52800,53400,50600,4840891193800,0.34,92915378,18073533.0,19.45,54,2016-02-05
53789,078930,GS,50600,-1500,-2.9,169026,8558054300,50400,51400,50100,4701518126800,0.34,92915378,18094929.0,19.47,54,2016-02-11
55944,078930,GS,49500,-1100,-2.2,197814,9794969900,50400,50500,48900,4599311211000,0.34,92915378,18074296.0,19.45,55,2016-02-12
58099,078930,GS,49950,450,0.9,107779,5393401400,50600,50700,49700,4641123131100,0.34,92915378,18084259.0,19.46,56,2016-02-15
60253,078930,GS,50500,550,1.1,176495,8897325700,50100,51000,49700,4692226589000,0.34,92915378,18090078.0,19.47,55,2016-02-16
62407,078930,GS,50600,100,0.2,167015,8442832550,50000,51200,49850,4701518126800,0.34,92915378,18131179.0,19.51,54,2016-02-17
64562,078930,GS,50900,300,0.6,239352,12105087150,51400,51600,49850,4729392740200,0.34,92915378,18161462.0,19.55,54,2016-02-18
66718,078930,GS,50600,-300,-0.6,301800,15246136850,50300,51100,49950,4701518126800,0.33,92915378,18174326.0,19.56,55,2016-02-19
68873,078930,GS,50400,-200,-0.4,153961,7724512950,50300,50800,49850,4682935051200,0.33,92915378,18185025.0,19.57,55,2016-02-22
71025,078930,GS,52800,2400,4.8,431934,22685763600,50800,53000,50800,4905931958400,0.35,92915378,18313158.0,19.71,52,2016-02-23
73179,078930,GS,53500,700,1.3,259616,13761548450,52000,53500,51900,4970972723000,0.35,92915378,18270774.0,19.66,52,2016-02-24
75333,078930,GS,53900,400,0.8,170839,9151328400,53900,54700,52700,5008138874200,0.36,92915378,18275769.0,19.67,51,2016-02-25
77490,078930,GS,53300,-600,-1.1,159453,8593258200,54300,54500,53200,4952389647400,0.35,92915378,18252152.0,19.64,53,2016-02-26
79645,078930,GS,53000,-300,-0.6,154692,8235266300,53000,53900,52800,4924515034000,0.35,92915378,18281141.0,19.68,53,2016-02-29
81802,078930,GS,55100,2100,4.0,229999,12587998000,53900,55200,53500,5119637327800,0.36,92915378,18307547.0,19.7,53,2016-03-02
83959,078930,GS,55000,-100,-0.2,217063,11932762600,55300,55800,54300,5110345790000,0.35,92915378,18323094.0,19.72,52,2016-03-03
86119,078930,GS,54200,-800,-1.4,237934,12821931700,54700,54800,53200,5036013487600,0.35,92915378,18241946.0,19.63,54,2016-03-04
88277,078930,GS,54600,400,0.7,160449,8747881400,54800,55000,54100,5073179638800,0.35,92915378,18213235.0,19.6,52,2016-03-07
90439,078930,GS,53900,-700,-1.3,172490,9287712400,54700,55300,53200,5008138874200,0.35,92915378,18195904.0,19.58,54,2016-03-08
92600,078930,GS,53000,-900,-1.7,148126,7886006700,53100,53900,52900,4924515034000,0.34,92915378,18207325.0,19.6,55,2016-03-09
94760,078930,GS,53700,700,1.3,284071,15322998800,53700,54700,53400,4989555798600,0.34,92915378,18323426.0,19.72,55,2016-03-10
96923,078930,GS,53100,-600,-1.1,127332,6819614800,53700,54200,53100,4933806571800,0.34,92915378,18323371.0,19.72,57,2016-03-11
99083,078930,GS,53300,200,0.4,119739,6381931900,53600,53800,52900,4952389647400,0.34,92915378,18336333.0,19.73,55,2016-03-14
101247,078930,GS,53100,-200,-0.4,84146,4467940700,53100,53700,52500,4933806571800,0.34,92915378,18356654.0,19.76,57,2016-03-15
103408,078930,GS,52200,-900,-1.7,190507,9948075100,53500,53500,51600,4850182731600,0.33,92915378,18353443.0,19.75,57,2016-03-16
105568,078930,GS,53800,1600,3.1,260951,14115186400,52800,54900,52700,4998847336400,0.34,92915378,18438722.0,19.84,55,2016-03-17
107732,078930,GS,53400,-400,-0.7,213195,11430804900,55000,55000,53000,4961681185200,0.34,92915378,18406225.0,19.81,57,2016-03-18
109891,078930,GS,54000,600,1.1,178340,9611477200,53900,54500,53300,5017430412000,0.34,92915378,18444922.0,19.85,54,2016-03-21
112054,078930,GS,53200,-800,-1.5,152934,8133302500,54200,54400,52700,4943098109600,0.33,92915378,18430313.0,19.84,55,2016-03-22
114214,078930,GS,55000,1800,3.4,232547,12686615600,53500,55000,53300,5110345790000,0.35,92915378,18511630.0,19.92,53,2016-03-23
116376,078930,GS,54800,-200,-0.4,152781,8327006800,54200,54900,54100,5091762714400,0.35,92915378,18528298.0,19.94,53,2016-03-24
118538,078930,GS,55200,400,0.7,153500,8420712900,55000,55500,54100,5128928865600,0.35,92915378,18555702.0,19.97,53,2016-03-25
120700,078930,GS,55400,200,0.4,158623,8781086500,55300,55800,54300,5147511941200,0.35,92915378,18525946.0,19.94,53,2016-03-28
122860,078930,GS,57400,2000,3.6,301638,17120918400,55500,57400,55400,5333342697200,0.36,92915378,18464423.0,19.87,51,2016-03-29
125022,078930,GS,58400,1000,1.7,337153,19697911900,57900,59300,57400,5426258075200,0.37,92915378,18504659.0,19.92,51,2016-03-30
127185,078930,GS,59000,600,1.0,336300,19711006900,58700,59200,58000,5482007302000,0.37,92915378,18501730.0,19.91,50,2016-03-31
129352,078930,GS,57700,-1300,-2.2,281289,16279019362,58800,58900,57000,5361217310600,0.37,92915378,18509650.0,19.92,53,2016-04-01
131515,078930,GS,57800,100,0.2,171022,9835924400,57200,58200,56700,5370508848400,0.37,92915378,18530163.0,19.94,52,2016-04-04
133679,078930,GS,57100,-700,-1.2,114883,6566969200,57000,57700,56800,5305468083800,0.36,92915378,18549881.0,19.96,52,2016-04-05
135843,078930,GS,58400,1300,2.3,187807,10813994600,57000,58400,56300,5426258075200,0.37,92915378,18566885.0,19.98,52,2016-04-06
138007,078930,GS,58800,400,0.7,173230,10172362800,59000,59700,58100,5463424226400,0.37,92915378,18580690.0,20.0,51,2016-04-07
140172,078930,GS,58400,-400,-0.7,164582,9547724900,58000,58700,57100,5426258075200,0.37,92915378,18559308.0,19.97,50,2016-04-08
142337,078930,GS,58800,400,0.7,94888,5561191300,58800,58900,57800,5463424226400,0.37,92915378,18567899.0,19.98,49,2016-04-11
144503,078930,GS,59100,300,0.5,154079,8990967600,58500,59200,57500,5491298839800,0.37,92915378,18586389.0,20.0,48,2016-04-12
146669,078930,GS,59900,800,1.4,194471,11557317000,60000,60000,58700,5565631142200,0.37,92915378,18493578.0,19.9,49,2016-04-14
148835,078930,GS,57800,-2100,-3.5,304645,17751690000,59300,59800,57000,5370508848400,0.36,92915378,18574949.0,19.99,50,2016-04-15
150999,078930,GS,58000,200,0.4,208456,11904199000,57000,58200,56300,5389091924000,0.36,92915378,18645552.0,20.07,50,2016-04-18
153163,078930,GS,57600,-400,-0.7,130602,7519991100,58500,58500,57300,5351925772800,0.36,92915378,18624584.0,20.04,50,2016-04-19
155328,078930,GS,55900,-1700,-3.0,193455,11004636800,57700,58500,55800,5193969630200,0.35,92915378,18685202.0,20.11,51,2016-04-20
157492,078930,GS,57600,1700,3.0,168427,9587545800,56300,57700,56200,5351925772800,0.36,92915378,18717114.0,20.14,50,2016-04-21
159657,078930,GS,56500,-1100,-1.9,155946,8823152400,56900,57200,56000,5249718857000,0.35,92915378,18686421.0,20.11,50,2016-04-22
161823,078930,GS,56900,400,0.7,134265,7653494800,56400,57500,55900,5286885008200,0.35,92915378,18689666.0,20.11,51,2016-04-25
163988,078930,GS,55800,-1100,-1.9,167247,9337874500,56600,56800,55400,5184678092400,0.35,92915378,18688012.0,20.11,51,2016-04-26
166154,078930,GS,56200,400,0.7,122668,6858817400,55700,56200,55500,5221844243600,0.35,92915378,18698005.0,20.12,51,2016-04-27
168320,078930,GS,56100,-100,-0.2,196438,10958291360,56300,56700,55300,5212552705800,0.35,92915378,18684547.0,20.11,51,2016-04-28
170486,078930,GS,55300,-800,-1.4,136938,7566696595,56100,56200,54700,5138220403400,0.35,92915378,18674116.0,20.1,51,2016-04-29
172653,078930,GS,55000,-300,-0.5,70424,3893161400,55200,55800,54900,5110345790000,0.35,92915378,18664120.0,20.09,52,2016-05-02
174820,078930,GS,55300,300,0.6,125228,6909589900,55000,55700,54600,5138220403400,0.35,92915378,18648704.0,20.07,52,2016-05-03
176989,078930,GS,52800,-2500,-4.5,326297,17331491400,54400,54700,52500,4905931958400,0.34,92915378,18647521.0,20.07,54,2016-05-04
179157,078930,GS,52900,100,0.2,215465,11224855500,52500,52900,51200,4915223496200,0.34,92915378,18672435.0,20.1,54,2016-05-09
181324,078930,GS,53400,500,1.0,147223,7820847900,52900,53700,52200,4961681185200,0.34,92915378,18645845.0,20.07,55,2016-05-10
183491,078930,GS,53500,100,0.2,259851,13793233800,53700,53900,52500,4970972723000,0.34,92915378,18550583.0,19.97,56,2016-05-11
185659,078930,GS,53000,-500,-0.9,157029,8318096700,52900,53300,52500,4924515034000,0.34,92915378,18511314.0,19.92,57,2016-05-12
187826,078930,GS,51600,-1400,-2.6,270578,14077007400,53000,53400,51500,4794433504800,0.33,92915378,18419003.0,19.82,57,2016-05-13
189994,078930,GS,51600,0,0.0,208531,10707192600,51200,51900,50800,4794433504800,0.33,92915378,18346703.0,19.75,58,2016-05-16
192161,078930,GS,51800,200,0.4,293418,15351787300,52100,52900,51300,4813016580400,0.33,92915378,18238232.0,19.63,57,2016-05-17
194329,078930,GS,51200,-600,-1.2,236415,12103285300,51800,51900,50200,4757267353600,0.33,92915378,18187397.0,19.57,58,2016-05-18
196496,078930,GS,50800,-400,-0.8,212614,10835603500,50900,51500,50500,4720101202400,0.33,92915378,18128436.0,19.51,58,2016-05-19
198662,078930,GS,50500,-300,-0.6,256066,12986452100,50500,51100,50500,4692226589000,0.32,92915378,18009593.0,19.38,58,2016-05-20
