,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
15,090430,아모레퍼시픽,2330000,110000,5.0,12060,27424557000,2211000,2330000,2211000,13620828170000,1.01,5845849,1689205.0,28.9,16,2015-01-02
2051,090430,아모레퍼시픽,2307000,-23000,-1.0,11547,26636122000,2300000,2331000,2276000,13486373643000,1.01,5845849,1688148.0,28.88,17,2015-01-05
4086,090430,아모레퍼시픽,2239000,-68000,-3.0,16052,35887211000,2279000,2303000,2219000,13088855911000,0.99,5845849,1682351.0,28.78,17,2015-01-06
6121,090430,아모레퍼시픽,2144000,-95000,-4.2,24564,53058344000,2245000,2246000,2125000,12533500256000,0.95,5845849,1676127.0,28.67,17,2015-01-07
8156,090430,아모레퍼시픽,2160000,16000,0.8,37942,79983521000,2128000,2160000,2069000,12627033840000,0.95,5845849,1677580.0,28.7,18,2015-01-08
10188,090430,아모레퍼시픽,2166000,6000,0.3,25083,54604071000,2161000,2215000,2145000,12662108934000,0.94,5845849,1678126.0,28.71,17,2015-01-09
12221,090430,아모레퍼시픽,2223000,57000,2.6,15277,33777523000,2152000,2225000,2151000,12995322327000,0.96,5845849,1679700.0,28.73,17,2015-01-12
14254,090430,아모레퍼시픽,2335000,112000,5.0,29205,67486035000,2245000,2341000,2234000,13650057415000,1.01,5845849,1686839.0,28.86,17,2015-01-13
16286,090430,아모레퍼시픽,2314000,-21000,-0.9,15744,36684056000,2350000,2384000,2294000,13527294586000,1.01,5845849,1683298.0,28.79,17,2015-01-14
18318,090430,아모레퍼시픽,2372000,58000,2.5,10720,25369379000,2301000,2393000,2301000,13866353828000,1.03,5845849,1685099.0,28.83,17,2015-01-15
20350,090430,아모레퍼시픽,2363000,-9000,-0.4,15512,36582016976,2351000,2431000,2337000,13813741187000,1.04,5845849,1680708.0,28.75,16,2015-01-16
22380,090430,아모레퍼시픽,2365000,2000,0.1,8797,20872624000,2341000,2395000,2340000,13825432885000,1.03,5845849,1679563.0,28.73,16,2015-01-19
24409,090430,아모레퍼시픽,2450000,85000,3.6,21934,53607334515,2385000,2494000,2382000,14322330050000,1.06,5845849,1677191.0,28.69,15,2015-01-20
26438,090430,아모레퍼시픽,2453000,3000,0.1,13448,33007591000,2451000,2498000,2420000,14339867597000,1.06,5845849,1674613.0,28.65,16,2015-01-21
28464,090430,아모레퍼시픽,2495000,42000,1.7,12721,31797140000,2493000,2520000,2464000,14585393255000,1.08,5845849,1675734.0,28.67,15,2015-01-22
30491,090430,아모레퍼시픽,2600000,105000,4.2,22194,56642154000,2501000,2600000,2501000,15199207400000,1.12,5845849,1674825.0,28.65,15,2015-01-23
32518,090430,아모레퍼시픽,2679000,79000,3.0,14947,39676136000,2611000,2682000,2603000,15661029471000,1.15,5845849,1674675.0,28.65,15,2015-01-26
34546,090430,아모레퍼시픽,2677000,-2000,-0.1,16122,43162021000,2709000,2761000,2634000,15649337773000,1.14,5845849,1673658.0,28.63,15,2015-01-27
36573,090430,아모레퍼시픽,2655000,-22000,-0.8,15466,40808307000,2678000,2690000,2600000,15520729095000,1.13,5845849,1671227.0,28.59,15,2015-01-28
38600,090430,아모레퍼시픽,2680000,25000,0.9,18772,50353916000,2660000,2710000,2620000,15666875320000,1.14,5845849,1669766.0,28.56,15,2015-01-29
40627,090430,아모레퍼시픽,2651000,-29000,-1.1,14512,38922977000,2710000,2750000,2651000,15497345699000,1.13,5845849,1674549.0,28.65,15,2015-01-30
42654,090430,아모레퍼시픽,2670000,19000,0.7,8830,23461250000,2625000,2685000,2608000,15608416830000,1.14,5845849,1682036.0,28.77,15,2015-02-02
44681,090430,아모레퍼시픽,2696000,26000,1.0,13121,35064130000,2672000,2696000,2646000,15760408904000,1.15,5845849,1678375.0,28.71,15,2015-02-03
46708,090430,아모레퍼시픽,2730000,34000,1.3,24918,68162699000,2737000,2777000,2699000,15959167770000,1.15,5845849,1682031.0,28.77,15,2015-02-04
48735,090430,아모레퍼시픽,2835000,105000,3.8,19222,54030682000,2749000,2849000,2743000,16572981915000,1.2,5845849,1685120.0,28.83,15,2015-02-05
50763,090430,아모레퍼시픽,2840000,5000,0.2,14803,42279536907,2866000,2930000,2835000,16602211160000,1.2,5845849,1685062.0,28.82,15,2015-02-06
52792,090430,아모레퍼시픽,2850000,10000,0.4,13790,39388701000,2864000,2889000,2790000,16660669650000,1.21,5845849,1687544.0,28.87,15,2015-02-09
54821,090430,아모레퍼시픽,2800000,-50000,-1.8,20389,56808223000,2857000,2858000,2744000,16368377200000,1.2,5845849,1686694.0,28.85,15,2015-02-10
56849,090430,아모레퍼시픽,2822000,22000,0.8,14008,39739546648,2803000,2858000,2801000,16496985878000,1.2,5845849,1689908.0,28.91,15,2015-02-11
58878,090430,아모레퍼시픽,2772000,-50000,-1.8,14394,40044845000,2803000,2845000,2752000,16204693428000,1.18,5845849,1687074.0,28.86,15,2015-02-12
60907,090430,아모레퍼시픽,2880000,108000,3.9,14055,39835601062,2760000,2880000,2760000,16836045120000,1.22,5845849,1689320.0,28.9,15,2015-02-13
62936,090430,아모레퍼시픽,2804000,-76000,-2.6,9155,25871661000,2865000,2898000,2801000,16391760596000,1.19,5845849,1686370.0,28.85,15,2015-02-16
64965,090430,아모레퍼시픽,2783000,-21000,-0.8,6600,18371339000,2805000,2805000,2761000,16268997767000,1.17,5845849,1685326.0,28.83,15,2015-02-17
66993,090430,아모레퍼시픽,2874000,91000,3.3,15062,43084456000,2823000,2879000,2791000,16800970026000,1.21,5845849,1686709.0,28.85,15,2015-02-23
69021,090430,아모레퍼시픽,2973000,99000,3.4,19257,56976807000,2853000,3000000,2853000,17379709077000,1.24,5845849,1688264.0,28.88,15,2015-02-24
71047,090430,아모레퍼시픽,2935000,-38000,-1.3,17881,52645944000,3025000,3040000,2902000,17157566815000,1.22,5845849,1690959.0,28.93,15,2015-02-25
73073,090430,아모레퍼시픽,2855000,-80000,-2.7,15258,43725457000,2900000,2933000,2838000,16689898895000,1.19,5845849,1688861.0,28.89,15,2015-02-26
75099,090430,아모레퍼시픽,2855000,0,0.0,14858,42334274000,2855000,2879000,2820000,16689898895000,1.19,5845849,1692918.0,28.96,15,2015-02-27
77125,090430,아모레퍼시픽,2849000,-6000,-0.2,11452,32602082500,2858000,2879000,2822000,16654823801000,1.18,5845849,1696342.0,29.02,15,2015-03-02
79150,090430,아모레퍼시픽,2860000,11000,0.4,41363,121116662000,2808000,3266000,2775000,16719128140000,1.18,5845849,1692238.0,28.95,15,2015-03-03
81175,090430,아모레퍼시픽,2780000,-80000,-2.8,31811,88161111000,2861000,2890000,2737000,16251460220000,1.15,5845849,1690878.0,28.92,15,2015-03-04
83200,090430,아모레퍼시픽,2741000,-39000,-1.4,21690,59708655000,2720000,2797000,2712000,16023472109000,1.13,5845849,1690203.0,28.91,15,2015-03-05
85225,090430,아모레퍼시픽,2825000,84000,3.1,16139,45414300000,2738000,2839000,2738000,16514523425000,1.16,5845849,1700498.0,29.09,15,2015-03-06
87250,090430,아모레퍼시픽,2808000,-17000,-0.6,11918,33506657000,2801000,2869000,2776000,16415143992000,1.16,5845849,1701935.0,29.11,15,2015-03-09
89275,090430,아모레퍼시픽,2762000,-46000,-1.6,10739,29829702000,2834000,2834000,2761000,16146234938000,1.15,5845849,1701498.0,29.11,15,2015-03-10
91300,090430,아모레퍼시픽,2862000,100000,3.6,23696,67373721000,2787000,2900000,2765000,16730819838000,1.19,5845849,1704209.0,29.15,15,2015-03-11
93325,090430,아모레퍼시픽,2890000,28000,1.0,14694,42576192000,2832000,2929000,2832000,16894503610000,1.21,5845849,1708427.0,29.22,15,2015-03-12
95350,090430,아모레퍼시픽,2900000,10000,0.4,10028,29068968000,2910000,2940000,2880000,16952962100000,1.2,5845849,1710863.0,29.27,15,2015-03-13
97372,090430,아모레퍼시픽,3039000,139000,4.8,19649,59077625000,2906000,3050000,2882000,17765535111000,1.26,5845849,1715207.0,29.34,15,2015-03-16
99394,090430,아모레퍼시픽,3123000,84000,2.8,18983,58473489000,3078000,3123000,3046000,18256586427000,1.27,5845849,1722333.0,29.46,15,2015-03-17
101415,090430,아모레퍼시픽,3084000,-39000,-1.2,15370,47570924000,3070000,3153000,3047000,18028598316000,1.26,5845849,1720736.0,29.44,15,2015-03-18
103436,090430,아모레퍼시픽,3190000,106000,3.4,18365,58358957900,3138000,3238000,3055000,18648258310000,1.3,5845849,1722703.0,29.47,15,2015-03-19
105458,090430,아모레퍼시픽,3221000,31000,1.0,18551,59563307000,3171000,3260000,3171000,18829479629000,1.31,5845849,1724672.0,29.5,15,2015-03-20
107480,090430,아모레퍼시픽,3151000,-70000,-2.2,14256,45155050000,3231000,3244000,3134000,18420270199000,1.28,5845849,1724563.0,29.5,15,2015-03-23
109501,090430,아모레퍼시픽,3279000,128000,4.1,16836,54518354000,3162000,3289000,3130000,19168538871000,1.33,5845849,1724037.0,29.49,14,2015-03-24
111521,090430,아모레퍼시픽,3374000,95000,2.9,19371,65142673000,3280000,3390000,3280000,19723894526000,1.36,5845849,1723526.0,29.48,12,2015-03-25
113546,090430,아모레퍼시픽,3268000,-106000,-3.1,26338,86709916000,3420000,3449000,3203000,19104234532000,1.33,5845849,1715229.0,29.34,14,2015-03-26
115569,090430,아모레퍼시픽,3260000,-8000,-0.2,18743,60821394000,3274000,3329000,3198000,19057467740000,1.33,5845849,1711110.0,29.27,14,2015-03-27
117593,090430,아모레퍼시픽,3241000,-19000,-0.6,14332,46632111000,3229000,3333000,3221000,18946396609000,1.32,5845849,1713013.0,29.3,14,2015-03-30
119617,090430,아모레퍼시픽,3355000,114000,3.5,20968,69479441000,3282000,3363000,3257000,19612823395000,1.35,5845849,1720479.0,29.43,13,2015-03-31
121643,090430,아모레퍼시픽,3337000,-18000,-0.5,16123,53948354000,3338000,3410000,3305000,19507598113000,1.35,5845849,1720365.0,29.43,13,2015-04-01
123669,090430,아모레퍼시픽,3252000,-85000,-2.6,21471,70281476000,3320000,3358000,3221000,19010700948000,1.32,5845849,1721266.0,29.44,13,2015-04-02
125696,090430,아모레퍼시픽,3248000,-4000,-0.1,13643,44168598000,3253000,3288000,3212000,18987317552000,1.31,5845849,1723889.0,29.49,14,2015-04-03
127724,090430,아모레퍼시픽,3254000,6000,0.2,14786,47605133000,3249000,3275000,3180000,19022392646000,1.31,5845849,1724539.0,29.5,13,2015-04-06
