,account_nm,thstrm_amount
0,비유동자산,528902008742.0
1,유형자산,330111769991.0
2,무형자산,124635138544.0
3,투자부동산,5926257447.0
4,매도가능금융자산,50000000.0
5,관계기업및공동기업투자,16004573151.0
6,장기금융기관예치금,59367751.0
7,장기기타채권,44094355477.0
8,기타비유동자산,6424872589.0
9,이연법인세자산,1595673792.0
10,유동자산,945950955104.0
11,재고자산,357452332455.0
12,매출채권,114636071805.0
13,기타채권,53203260043.0
14,기타유동자산,26706625683.0
15,기타금융자산,8519925.0
16,단기금융상품,224561533148.0
17,현금및현금성자산,168896754075.0
18,당기법인세자산,485857970.0
19,자산총계,1474852963846.0
20,지배주주지분,1017261588648.0
21,자본금,146200000000.0
22,자본잉여금,213111805266.0
23,기타자본항목,-11437788405.0
24,이익잉여금,673754930645.0
25,기타포괄손익누계액,-4367358858.0
26,비지배주주지분,293891275.0
27,자본총계,1017555479923.0
28,비유동부채,181584446407.0
29,순확정급여부채,16024492506.0
30,장기예수보증금,6990780876.0
31,장기기타금융부채,149677251593.0
32,기타비유동부채,149417661.0
33,이연법인세부채,8742503771.0
34,유동부채,275713037516.0
35,매입채무,69397849885.0
36,기타채무,92423920057.0
37,기타금융부채,80975977089.0
38,기타유동부채,8415171463.0
39,유동성충당부채,9341545699.0
40,당기법인세부채,15158573323.0
41,부채총계,457297483923.0
42,자본과 부채총계,1474852963846.0
43,매출액,1571047846008.0
44,매출원가,628955168233.0
45,매출총이익,942092677775.0
46,판매비와 관리비,868003457398.0
47,영업이익,74089220377.0
48,순금융수익,2586613775.0
49,금융수익,11085789803.0
50,금융비용,-8499176028.0
51,기타영업외손익,-5512179621.0
52,기타영업외수익,15631368071.0
53,기타영업외비용,-21143547692.0
54,지분법투자이익,2190202317.0
55,법인세비용차감전순이익(손실),73353856848.0
56,법인세비용,22742841044.0
57,당기순이익(손실),50611015804.0
58,법인세효과차감후기타포괄손익,-1413573405.0
59,후속적으로 당기손익으로 재분류되는 항목,-940996064.0
60,해외사업환산손익,-639347991.0
61,지분법자본변동,-301648073.0
62,후속적으로 당기손익으로 재분류되지 않는 항목,-472577341.0
63,순확정급여제도의 재측정요소,-472577341.0
64,총포괄이익,49197442399.0
65,지배기업소유주지분,50925339633.0
66,비지배주주지분,-314323829.0
67,지배기업소유주지분,49522415519.0
68,비지배주주지분,-324973120.0
69,기본주당이익(손실),1742.0
70,영업활동현금흐름,51651981112.0
71,당기순이익,50611015804.0
72,조정,27552447683.0
73,법인세비용,22742841044.0
74,금융비용,8499176028.0
75,금융수익,-11085789803.0
76,대손상각비,1946536022.0
77,감가상각비,32605391516.0
78,무형자산상각비,8429051282.0
79,퇴직급여,8027861886.0
80,외화환산손실,3192322755.0
81,재고자산평가손실(환입),6061151206.0
82,유형자산처분손실,6388832293.0
83,무형자산처분손실,27749356.0
84,기타비용,114740650.0
85,외화환산이익,2755082647.0
86,유형자산처분이익,1015498089.0
87,무형자산처분이익,
88,지분법투자이익,-2190202317.0
89,종속기업투자처분손실(이익),313204.0
90,매출채권의 감소(증가),21871872521.0
91,기타채권의 감소(증가),546027658.0
92,기타유동자산의 증가,-690771816.0
93,재고자산의 감소(증가),-46358664643.0
94,기타비유동자산의 감소(증가),3073336871.0
95,매입채무의 증가(감소),-10571074138.0
96,미지급금의 증가(감소),-14782737475.0
97,기타유동부채의 증가(감소),1280257267.0
98,기타비유동부채의 증가(감소),-46473513.0
99,충당부채의 감소,-402183451.0
100,퇴직급여의 지급,7356535984.0
101,영업활동으로 인한 현금수취(지급)액,-26511482375.0
102,이자의 수취,6706710806.0
103,이자의 지급,-7752111978.0
104,배당금의 수취,1483627572.0
105,법인세의 납부,-26949708775.0
106,투자활동현금흐름,-157293691931.0
107,유형자산의 처분,15721218874.0
108,투자부동산의 처분,345919122.0
109,무형자산의 처분,780963361.0
110,관계기업투자의 처분,4500000.0
111,장기기타채권의 감소,24210912405.0
112,기타채권의 감소,1427280028.0
113,장기금융기관예치금의 감소,479400048.0
114,금융기관예치금의 감소,113760000000.0
115,장기예수보증금의 증가,-1361434176.0
116,기타채권의 증가,-1177655805.0
117,장기금융기관예치금의 증가,-67611148.0
118,유형자산의 취득,33672010166.0
119,무형자산의 취득,21377545252.0
120,관계기업투자의 취득,2609500000.0
121,종속기업취득순현금유출,30485865044.0
122,장기기타채권의 증가,-14862580145.0
123,단기금융상품의 감소(증가),-210306990370.0
124,파생상품거래의 정산,122756575.0
125,장기예수보증금의 감소,-948318590.0
126,사업결합으로인한순현금유출,
127,비지배지분의취득,
128,재무활동현금흐름,-1608085511.0
129,장기기타금융부채의 증가,
130,기타금융부채의 증가,40728898695.0
131,장기기타금융부채의 감소,-2906685414.0
132,기타금융부채의 감소,-24810298792.0
133,비지배주주의 주금납입액,
134,배당금의 지급,14620000000.0
135,현금및현금성자산의 순증가(감소),-107249796330.0
136,기초 현금및현금성자산,275385688802.0
137,현금및현금성자산의 환산으로 인한 증감,760861603.0
138,기말 현금및현금성자산,168896754075.0
139,기초자본,982963474293.0
140,기초자본,-11443950561.0
141,기초자본,533179430.0
142,기초자본,-3437176722.0
143,기초자본,637922332990.0
144,기초자본,213189089156.0
145,기초자본,146200000000.0
146,기초자본,982430294863.0
147,당기순이익,50611015804.0
148,당기순이익,-314323829.0
149,당기순이익,50925339633.0
150,당기순이익,50925339633.0
151,확정급여제도의 재측정요소,-472577341.0
152,확정급여제도의 재측정요소,164637.0
153,확정급여제도의 재측정요소,-472741978.0
154,확정급여제도의 재측정요소,-472741978.0
155,지분법자본변동,-301648073.0
156,지분법자본변동,-301648073.0
157,지분법자본변동,-301648073.0
158,해외사업환산손익,-639347991.0
159,해외사업환산손익,-10813928.0
160,해외사업환산손익,-628534063.0
161,해외사업환산손익,-628534063.0
162,기타포괄손익 소계,-1413573405.0
163,기타포괄손익 소계,-10649291.0
164,기타포괄손익 소계,-930182136.0
165,기타포괄손익 소계,-472741978.0
166,기타포괄손익 소계,-1402924114.0
167,총포괄손익,49197442399.0
168,총포괄손익,-324973120.0
169,총포괄손익,-930182136.0
170,총포괄손익,50452597655.0
171,총포괄손익,49522415519.0
172,연차배당,-14620000000.0
173,연차배당,-14620000000.0
174,연차배당,-14620000000.0
175,연결실체의 변동,14206318.0
176,연결실체의 변동,
177,연결실체의 변동,14206318.0
178,연결실체의 변동,
179,연결실체내 자본거래등,356913.0
180,연결실체내 자본거래등,6162156.0
181,연결실체내 자본거래등,71478647.0
182,연결실체내 자본거래등,-77283890.0
183,연결실체내 자본거래등,-71121734.0
184,비지배지분의 유상증자,
185,비지배지분의 유상증자,
186,기말자본,1017555479923.0
187,기말자본,-11437788405.0
