,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
321,093370,후성,5500,140,2.6,2628627,14699398950,5380,5750,5310,508198641500,0.04,92399753,3465080.0,3.75,322,2016-01-04
2473,093370,후성,5440,-60,-1.1,1747699,9515500100,5480,5630,5300,502654656320,0.04,92399753,3235484.0,3.5,325,2016-01-05
4634,093370,후성,5220,-220,-4.0,2389793,12495071150,5450,5500,5070,482326710660,0.03,92399753,3435338.0,3.72,337,2016-01-06
6781,093370,후성,5280,60,1.2,1689877,8932799330,5180,5420,5170,487870695840,0.03,92399753,3550217.0,3.84,335,2016-01-07
8930,093370,후성,5250,-30,-0.6,1434897,7408321080,5170,5270,5000,485098703250,0.03,92399753,3567679.0,3.86,335,2016-01-08
11085,093370,후성,5080,-170,-3.2,924994,4717440700,5200,5200,5050,469390745240,0.03,92399753,3489219.0,3.78,341,2016-01-11
13232,093370,후성,5110,30,0.6,812260,4153076270,5100,5170,5040,472162737830,0.03,92399753,3448351.0,3.73,339,2016-01-12
15381,093370,후성,5170,60,1.2,964218,4946105340,5200,5220,5080,477706723010,0.03,92399753,3294249.0,3.57,339,2016-01-13
17541,093370,후성,4840,-330,-6.4,1809624,8876222655,5030,5050,4825,447214804520,0.03,92399753,3125990.0,3.38,350,2016-01-14
19670,093370,후성,5270,430,8.9,4498838,23512283720,4915,5400,4865,486946698310,0.03,92399753,3601285.0,3.9,330,2016-01-15
21824,093370,후성,5140,-130,-2.5,2057803,10652358800,5180,5310,5050,474934730420,0.03,92399753,3184925.0,3.45,335,2016-01-18
23980,093370,후성,4915,-225,-4.4,2239332,11042645060,5140,5170,4790,454144785995,0.03,92399753,3029115.0,3.28,342,2016-01-19
26132,093370,후성,4705,-210,-4.3,1900769,8969964770,4915,4920,4585,434740837865,0.03,92399753,3167032.0,3.43,345,2016-01-20
28281,093370,후성,4660,-45,-1.0,1035206,4878049000,4680,4795,4600,430582848980,0.03,92399753,3183505.0,3.45,345,2016-01-21
30433,093370,후성,4710,50,1.1,768852,3607639365,4710,4780,4605,435202836630,0.03,92399753,3077168.0,3.33,350,2016-01-22
32581,093370,후성,4715,5,0.1,729843,3449790360,4810,4815,4670,435664835395,0.03,92399753,3140792.0,3.4,350,2016-01-25
34758,093370,후성,4230,-485,-10.3,3263941,14302258850,4700,4700,4200,390850955190,0.03,92399753,3208510.0,3.47,380,2016-01-26
36903,093370,후성,4255,25,0.6,1299570,5599662670,4300,4395,4235,393160949015,0.03,92399753,3390953.0,3.67,377,2016-01-27
39047,093370,후성,4370,115,2.7,1005387,4307912255,4285,4400,4185,403786920610,0.03,92399753,3374633.0,3.65,372,2016-01-28
41203,093370,후성,4235,-135,-3.1,827027,3517662785,4310,4335,4220,391312953955,0.03,92399753,3163059.0,3.42,378,2016-01-29
43360,093370,후성,4155,-80,-1.9,1153828,4885985140,4250,4390,4155,383920973715,0.03,92399753,2985282.0,3.23,385,2016-02-01
45522,093370,후성,4035,-120,-2.9,1277405,5176834215,4160,4160,4000,372833003355,0.03,92399753,2911058.0,3.15,397,2016-02-02
47664,093370,후성,4120,85,2.1,753950,3078767840,3985,4125,3980,380686982360,0.03,92399753,2881471.0,3.12,388,2016-02-03
49813,093370,후성,4170,50,1.2,760678,3147474765,4125,4205,4045,385306970010,0.03,92399753,2709462.0,2.93,385,2016-02-04
51950,093370,후성,4410,240,5.8,1966061,8465715865,4170,4420,4130,407482910730,0.03,92399753,2445039.0,2.65,369,2016-02-05
54111,093370,후성,4100,-310,-7.0,1194098,5022054070,4210,4320,4065,378838987300,0.03,92399753,2241564.0,2.43,376,2016-02-11
56259,093370,후성,3985,-115,-2.8,1604219,6395531155,4020,4170,3810,368213015705,0.03,92399753,2251207.0,2.44,370,2016-02-12
58414,093370,후성,4040,55,1.4,559189,2264389950,4025,4105,4015,373295002120,0.03,92399753,2215161.0,2.4,371,2016-02-15
60568,093370,후성,4150,110,2.7,450476,1876157055,4065,4230,4065,383458974950,0.03,92399753,2146909.0,2.32,370,2016-02-16
62727,093370,후성,4050,-100,-2.4,567414,2334640160,4145,4230,4030,374218999650,0.03,92399753,2098335.0,2.27,374,2016-02-17
64886,093370,후성,4105,55,1.4,710530,2945383995,4105,4230,4070,379300986065,0.03,92399753,2109360.0,2.28,378,2016-02-18
67037,093370,후성,4170,65,1.6,1210292,5145466015,4300,4395,4160,385306970010,0.03,92399753,1998415.0,2.16,374,2016-02-19
69181,093370,후성,4320,150,3.6,940673,4050392195,4195,4385,4130,399166932960,0.03,92399753,2141287.0,2.32,363,2016-02-22
71340,093370,후성,4220,-100,-2.3,551240,2352735615,4380,4380,4205,389926957660,0.03,92399753,2102615.0,2.28,367,2016-02-23
73495,093370,후성,4250,30,0.7,424677,1806591145,4200,4325,4165,392698950250,0.03,92399753,2120783.0,2.3,368,2016-02-24
75657,093370,후성,4180,-70,-1.6,586333,2478181045,4300,4315,4170,386230967540,0.03,92399753,2056724.0,2.23,375,2016-02-25
77806,093370,후성,4330,150,3.6,1227048,5333785580,4240,4415,4195,400090930490,0.03,92399753,2235437.0,2.42,369,2016-02-26
79953,093370,후성,4410,80,1.8,1320121,5890721085,4530,4585,4385,407482910730,0.03,92399753,2140473.0,2.32,361,2016-02-29
82114,093370,후성,4410,0,0.0,645927,2850082335,4400,4475,4370,407482910730,0.03,92399753,2146199.0,2.32,365,2016-03-02
84272,093370,후성,4430,20,0.4,646528,2829091455,4410,4440,4330,409330905790,0.03,92399753,2241416.0,2.43,365,2016-03-03
86440,093370,후성,4295,-135,-3.0,1147907,4963879955,4415,4420,4280,396856939135,0.03,92399753,1957674.0,2.12,375,2016-03-04
88593,093370,후성,4400,105,2.4,624940,2716783380,4300,4410,4270,406558913200,0.03,92399753,2050684.0,2.22,368,2016-03-07
90762,093370,후성,4355,-45,-1.0,462806,2009789965,4405,4435,4295,402400924315,0.03,92399753,1947477.0,2.11,377,2016-03-08
92928,093370,후성,4345,-10,-0.2,392255,1707438430,4335,4405,4300,401476926785,0.03,92399753,1926279.0,2.08,383,2016-03-09
95085,093370,후성,4405,60,1.4,919043,4086491795,4500,4520,4395,407020911965,0.03,92399753,2030925.0,2.2,380,2016-03-10
97230,093370,후성,4510,105,2.4,1164388,5240534930,4430,4550,4405,416722886030,0.03,92399753,2171074.0,2.35,364,2016-03-11
99393,093370,후성,4500,-10,-0.2,826517,3745673830,4580,4580,4480,415798888500,0.03,92399753,2158869.0,2.34,365,2016-03-14
101563,093370,후성,4405,-95,-2.1,605361,2683341965,4505,4540,4395,407020911965,0.03,92399753,2101105.0,2.27,373,2016-03-15
103729,093370,후성,4365,-40,-0.9,406057,1778285535,4410,4440,4355,403324921845,0.03,92399753,2117374.0,2.29,378,2016-03-16
105883,093370,후성,4440,75,1.7,568831,2540694105,4450,4520,4405,410254903320,0.03,92399753,2091052.0,2.26,370,2016-03-17
108055,093370,후성,4375,-65,-1.5,540746,2375809490,4445,4530,4360,404248919375,0.03,92399753,1967023.0,2.13,380,2016-03-18
110216,093370,후성,4375,0,0.0,319066,1400472905,4395,4440,4365,404248919375,0.03,92399753,1990618.0,2.15,379,2016-03-21
112374,093370,후성,4430,55,1.3,522178,2306794700,4400,4465,4365,409330905790,0.03,92399753,2078427.0,2.25,375,2016-03-22
114535,093370,후성,4465,35,0.8,722153,3219779495,4440,4550,4385,412564897145,0.03,92399753,2047420.0,2.22,374,2016-03-23
116697,093370,후성,4445,-20,-0.4,512844,2282205285,4445,4520,4410,410716902085,0.03,92399753,2039642.0,2.21,374,2016-03-24
118861,093370,후성,4430,-15,-0.3,337546,1502266920,4450,4495,4415,409330905790,0.03,92399753,2037239.0,2.2,376,2016-03-25
121022,093370,후성,4370,-60,-1.4,525499,2292536385,4450,4455,4310,403786920610,0.03,92399753,2018702.0,2.18,375,2016-03-28
123185,093370,후성,4465,95,2.2,769028,3426142415,4400,4500,4380,412564897145,0.03,92399753,2177427.0,2.36,376,2016-03-29
125347,093370,후성,4440,-25,-0.6,386925,1722202790,4510,4515,4425,410254903320,0.03,92399753,2153861.0,2.33,376,2016-03-30
127516,093370,후성,4375,-65,-1.5,385202,1694752125,4470,4470,4365,404248919375,0.03,92399753,2074566.0,2.25,381,2016-03-31
129683,093370,후성,4365,-10,-0.2,436091,1894721965,4375,4395,4310,403324921845,0.03,92399753,2047067.0,2.22,384,2016-04-01
131841,093370,후성,4465,100,2.3,643419,2849024590,4400,4485,4365,412564897145,0.03,92399753,2071924.0,2.24,378,2016-04-04
134003,093370,후성,4465,0,0.0,811868,3629779265,4495,4530,4415,412564897145,0.03,92399753,1967449.0,2.13,376,2016-04-05
136145,093370,후성,4885,420,9.4,4379794,20732392305,4455,4885,4455,451372793405,0.03,92399753,2283385.0,2.47,354,2016-04-06
138310,093370,후성,4925,40,0.8,2481357,12090831360,4930,4955,4785,455068783525,0.03,92399753,2133814.0,2.31,354,2016-04-07
140469,093370,후성,5000,75,1.5,2166237,10853718820,4875,5120,4855,461998765000,0.03,92399753,2094475.0,2.27,347,2016-04-08
142640,093370,후성,4950,-50,-1.0,966883,4802896010,5040,5050,4900,457378777350,0.03,92399753,2087713.0,2.26,352,2016-04-11
144806,093370,후성,4910,-40,-0.8,1523622,7362526585,4950,4960,4715,453682787230,0.03,92399753,2100071.0,2.27,351,2016-04-12
146968,093370,후성,4945,35,0.7,724191,3563822630,4910,4990,4850,456916778585,0.03,92399753,2140319.0,2.32,348,2016-04-14
149138,093370,후성,4920,-25,-0.5,2966321,15072582985,4980,5230,4920,454606784760,0.03,92399753,1841509.0,1.99,353,2016-04-15
151306,093370,후성,4825,-95,-1.9,830001,4041667450,4900,4980,4800,445828808225,0.03,92399753,1808595.0,1.96,357,2016-04-18
153475,093370,후성,4795,-30,-0.6,872080,4210739550,4820,4920,4760,443056815635,0.03,92399753,1827151.0,1.98,362,2016-04-19
155640,093370,후성,4795,0,0.0,908793,4410095645,4835,4960,4785,443056815635,0.03,92399753,1853211.0,2.01,363,2016-04-20
157784,093370,후성,5130,335,7.0,2944494,14721969255,4830,5130,4785,474010732890,0.03,92399753,1939501.0,2.1,342,2016-04-21
159942,093370,후성,5270,140,2.7,3937482,20818631890,5190,5380,5150,486946698310,0.03,92399753,1761955.0,1.91,335,2016-04-22
162098,093370,후성,5410,140,2.7,2467039,13259321850,5290,5450,5260,499882663730,0.03,92399753,1650868.0,1.79,326,2016-04-25
164265,093370,후성,5380,-30,-0.6,1416557,7542960830,5400,5400,5200,497110671140,0.03,92399753,1656099.0,1.79,328,2016-04-26
166407,093370,후성,5850,470,8.7,7621022,43814649300,5380,5910,5330,540538555050,0.04,92399753,2118483.0,2.29,304,2016-04-27
168573,093370,후성,5860,10,0.2,3783558,22258274370,5900,6010,5760,541462552580,0.04,92399753,2065113.0,2.23,304,2016-04-28
170738,093370,후성,5870,10,0.2,1751836,10200372190,5860,5940,5720,542386550110,0.04,92399753,2041996.0,2.21,303,2016-04-29
172903,093370,후성,5800,-70,-1.2,2028851,11974683790,5880,6050,5800,535918567400,0.04,92399753,1978616.0,2.14,302,2016-05-02
175076,093370,후성,5730,-70,-1.2,2322984,13302744200,5830,5920,5620,529450584690,0.04,92399753,2271726.0,2.46,308,2016-05-03
177244,093370,후성,5720,-10,-0.2,2450032,14122025630,5660,5890,5610,528526587160,0.04,92399753,2408475.0,2.61,309,2016-05-04
179416,093370,후성,5600,-120,-2.1,1577858,8836457180,5740,5780,5500,517438616800,0.04,92399753,2354127.0,2.55,313,2016-05-09
181574,093370,후성,5830,230,4.1,1847254,10578910010,5600,5850,5530,538690559990,0.04,92399753,2411969.0,2.61,305,2016-05-10
183727,093370,후성,6300,470,8.1,6940002,42238944350,5870,6370,5760,582118443900,0.04,92399753,2283928.0,2.47,292,2016-05-11
185892,093370,후성,6320,20,0.3,3316829,20931467990,6240,6470,6140,583966438960,0.04,92399753,2024279.0,2.19,290,2016-05-12
188063,093370,후성,6200,-120,-1.9,1533334,9555308540,6380,6380,6150,572878468600,0.04,92399753,1931735.0,2.09,294,2016-05-13
