,account_nm,thstrm_amount
0,유동자산,225993622152.0
1,현금및현금성자산,19003821009.0
2,매출채권 및 기타유동채권,116509723801.0
3,단기매출채권,110903575970.0
4,기타채권,5606147831.0
5,파생상품자산,339829455.0
6,확정계약자산,4800104481.0
7,재고자산,76395864414.0
8,당기법인세자산,
9,기타유동금융자산,1449164195.0
10,기타유동비금융자산,7495114797.0
11,매각예정비유동자산,
12,비유동자산,509440457319.0
13,투자부동산,108220613574.0
14,유형자산,378634934560.0
15,무형자산,11477214660.0
16,장기매출채권,7058530973.0
17,기타비유동채권,1313134723.0
18,기타비유동비금융자산,2736028829.0
19,자산총계,735434079471.0
20,유동부채,324115107717.0
21,매입채무 및 기타유동채무,66203029541.0
22,단기차입금,195759749160.0
23,파생상품부채,4007539534.0
24,확정계약부채,140385488.0
25,기타유동금융부채,
26,기타유동비금융부채,57003942628.0
27,당기법인세부채,1000461366.0
28,비유동부채,90050223923.0
29,비유동차입금,30000000000.0
30,확정급여부채,23688638157.0
31,장기미지급비용,1071941740.0
32,이연법인세부채,35230708026.0
33,기타비유동비금융부채,58936000.0
34,부채총계,414165331640.0
35,납입자본,37080390000.0
36,자본잉여금,137163598110.0
37,자본조정,-693126888.0
38,기타포괄손익누계액,-39509332.0
39,이익잉여금(결손금),147757395941.0
40,자본총계,321268747831.0
41,자본과부채총계,735434079471.0
42,수익(매출액),714649868649.0
43,매출원가,635297729893.0
44,매출총이익,79352138756.0
45,판매비와관리비,65196592902.0
46,영업이익(손실),14155545854.0
47,기타수익,25761186364.0
48,기타비용,20257237810.0
49,금융수익,4196236142.0
50,금융원가,14281044628.0
51,법인세비용차감전순이익(손실),9574685922.0
52,법인세비용,164718249.0
53,계속영업이익(손실),9409967673.0
54,중단영업이익(손실),-1075559553.0
55,당기순이익(손실),8334408120.0
56,법인세비용차감후기타포괄이익,2402809886.0
57,보험수리적손익,915115968.0
58,해외사업환산이익(손실),1487693918.0
59,총포괄이익(손실),10737218006.0
60,지배기업의 소유주에게 귀속되는 당기순이익(손실),8334408120.0
61,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",10737218006.0
62,기본주당순이익(손실),225.0
63,희석주당순이익(손실),225.0
64,기본주당순이익(손실),254.0
65,희석주당순이익(손실),254.0
66,영업활동으로 인한 현금흐름,26722775155.0
67,영업에서 창출된 현금,47003408250.0
68,당기순이익(손실),9409967673.0
69,비용(수익) 등의 조정사항,18956640394.0
70,대손상각비,1040174859.0
71,기타의대손상각비,29378458.0
72,외화환산손실,1125291179.0
73,재고자산평가손실,
74,재고자산감모손실,455743208.0
75,투자부동산감가상각비,855614984.0
76,감가상각비,13179362649.0
77,무형자산상각비,412058422.0
78,유형자산처분손실,1328186254.0
79,무형자산처분손실,
80,투자부동산처분손실,
