,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
668,103590,일진전기,5030,-110,-2.1,44052,223827570,5170,5180,5010,186514361700,0.01,37080390,753970.0,2.03,669,2016-01-04
2822,103590,일진전기,5030,0,0.0,57965,292800375,4910,5150,4910,186514361700,0.01,37080390,748468.0,2.02,674,2016-01-05
4972,103590,일진전기,5030,0,0.0,46298,234661860,5030,5130,5030,186514361700,0.01,37080390,758133.0,2.04,675,2016-01-06
7118,103590,일진전기,5020,-10,-0.2,63732,318681995,4960,5110,4955,186143557800,0.01,37080390,753278.0,2.03,672,2016-01-07
9270,103590,일진전기,5000,-20,-0.4,69175,342553870,4945,5010,4885,185401950000,0.01,37080390,744292.0,2.01,675,2016-01-08
11425,103590,일진전기,4935,-65,-1.3,73656,363918530,5060,5060,4920,182991724650,0.01,37080390,735356.0,1.98,681,2016-01-11
13574,103590,일진전기,4925,-10,-0.2,40064,197730390,4885,4980,4885,182620920750,0.01,37080390,731403.0,1.97,681,2016-01-12
15715,103590,일진전기,5030,105,2.1,33314,168003655,4930,5110,4930,186514361700,0.01,37080390,731809.0,1.97,673,2016-01-13
17875,103590,일진전기,4960,-70,-1.4,59743,293642260,4990,4990,4895,183918734400,0.01,37080390,709159.0,1.91,684,2016-01-14
20017,103590,일진전기,4940,-20,-0.4,49528,243619885,4935,4995,4885,183177126600,0.01,37080390,709015.0,1.91,677,2016-01-15
22172,103590,일진전기,4900,-40,-0.8,37786,184235465,4870,4905,4860,181693911000,0.01,37080390,704003.0,1.9,683,2016-01-18
24320,103590,일진전기,4885,-15,-0.3,51241,249373400,4860,4950,4800,181137705150,0.01,37080390,700740.0,1.89,682,2016-01-19
26494,103590,일진전기,4520,-365,-7.5,243100,1107613960,4855,4875,4380,167603362800,0.01,37080390,698088.0,1.88,707,2016-01-20
28652,103590,일진전기,4415,-105,-2.3,97004,434124120,4510,4570,4415,163709921850,0.01,37080390,695296.0,1.88,716,2016-01-21
30801,103590,일진전기,4480,65,1.5,151500,668492275,4430,4520,4340,166120147200,0.01,37080390,699547.0,1.89,718,2016-01-22
32952,103590,일진전기,4500,20,0.4,79780,359567475,4515,4550,4475,166861755000,0.01,37080390,705407.0,1.9,721,2016-01-25
35101,103590,일진전기,4460,-40,-0.9,37826,168464505,4435,4495,4435,165378539400,0.01,37080390,703303.0,1.9,723,2016-01-26
37257,103590,일진전기,4465,5,0.1,74653,334246275,4535,4560,4420,165563941350,0.01,37080390,703152.0,1.9,731,2016-01-27
39401,103590,일진전기,4500,35,0.8,36626,164184055,4475,4525,4455,166861755000,0.01,37080390,704057.0,1.9,726,2016-01-28
41546,103590,일진전기,4565,65,1.4,43140,194841740,4470,4565,4470,169271980350,0.01,37080390,707964.0,1.91,721,2016-01-29
