,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
156,120110,코오롱인더,47400,-950,-2.0,60417,2850004100,47900,48250,46700,1189927277400,0.09,25103951,4482924.0,17.86,157,2015-01-02
2192,120110,코오롱인더,48100,700,1.5,55999,2659460150,46650,48200,46300,1207500043100,0.09,25103951,4475228.0,17.83,158,2015-01-05
4226,120110,코오롱인더,47800,-300,-0.6,78377,3748088400,47450,48200,46800,1199968857800,0.09,25103951,4466375.0,17.79,157,2015-01-06
6261,120110,코오롱인더,47650,-150,-0.3,46285,2207022450,47800,48250,47150,1196203265150,0.09,25103951,4455597.0,17.75,157,2015-01-07
8289,120110,코오롱인더,49900,2250,4.7,127645,6294937050,47650,50500,47050,1252687154900,0.09,25103951,4484275.0,17.86,151,2015-01-08
10322,120110,코오롱인더,50400,500,1.0,375017,18911705150,50400,51500,49900,1265239130400,0.09,25103951,4449521.0,17.72,151,2015-01-09
12353,120110,코오롱인더,50900,500,1.0,238957,12167648550,49800,52200,49700,1277791105900,0.09,25103951,4462545.0,17.78,149,2015-01-12
14383,120110,코오롱인더,51800,900,1.8,136771,7044486300,51000,52400,50400,1300384661800,0.1,25103951,4465684.0,17.79,146,2015-01-13
16413,120110,코오롱인더,52500,700,1.4,105161,5469705900,51400,52600,51000,1317957427500,0.1,25103951,4468680.0,17.8,144,2015-01-14
18446,120110,코오롱인더,51500,-1000,-1.9,156771,8007124800,51800,52500,50200,1292853476500,0.1,25103951,4487676.0,17.88,145,2015-01-15
20479,120110,코오롱인더,50900,-600,-1.2,146515,7339688150,50700,51500,49250,1277791105900,0.1,25103951,4470292.0,17.81,145,2015-01-16
22510,120110,코오롱인더,50800,-100,-0.2,68739,3512003900,51000,51600,50400,1275280710800,0.1,25103951,4473909.0,17.82,146,2015-01-19
24543,120110,코오롱인더,50500,-300,-0.6,97724,4914147500,51400,51400,49850,1267749525500,0.09,25103951,4464998.0,17.79,149,2015-01-20
26574,120110,코오롱인더,49400,-1100,-2.2,131990,6512866550,49900,50200,48850,1240135179400,0.09,25103951,4455749.0,17.75,152,2015-01-21
28609,120110,코오롱인더,48000,-1400,-2.8,142203,6853703800,49550,50200,47050,1204989648000,0.09,25103951,4509654.0,17.96,160,2015-01-22
30639,120110,코오롱인더,48100,100,0.2,122609,5918208850,48000,49300,47800,1207500043100,0.09,25103951,4520822.0,18.01,163,2015-01-23
32668,120110,코오롱인더,47800,-300,-0.6,80085,3776841950,47750,48200,46000,1199968857800,0.09,25103951,4506334.0,17.95,165,2015-01-26
34690,120110,코오롱인더,48700,900,1.9,87482,4224995800,48000,49150,47400,1222562413700,0.09,25103951,4482153.0,17.85,159,2015-01-27
36724,120110,코오롱인더,48300,-400,-0.8,163727,7794578050,48500,48500,46750,1212520833300,0.09,25103951,4426980.0,17.63,166,2015-01-28
38752,120110,코오롱인더,47150,-1150,-2.4,87519,4134758850,48400,48400,46900,1183651289650,0.09,25103951,4400356.0,17.53,167,2015-01-29
40781,120110,코오롱인더,46450,-700,-1.5,209582,9612974850,47600,47600,45250,1166078523950,0.09,25103951,4413347.0,17.58,169,2015-01-30
42809,120110,코오롱인더,45450,-1000,-2.2,64251,2940103250,46250,46900,45250,1140974572950,0.08,25103951,4419932.0,17.61,170,2015-02-02
44834,120110,코오롱인더,46200,750,1.6,166538,7656366850,45900,46750,45350,1159802536200,0.08,25103951,4452838.0,17.74,168,2015-02-03
46859,120110,코오롱인더,46950,750,1.6,80322,3775549600,46850,47650,46500,1178630499450,0.09,25103951,4440739.0,17.69,166,2015-02-04
48886,120110,코오롱인더,47550,600,1.3,99822,4721689550,47100,47800,46450,1193692870050,0.09,25103951,4414462.0,17.58,166,2015-02-05
50913,120110,코오롱인더,47650,100,0.2,75414,3589254850,47700,48100,46900,1196203265150,0.09,25103951,4403286.0,17.54,165,2015-02-06
52945,120110,코오롱인더,46600,-1050,-2.2,78195,3638414800,47300,47650,46000,1169844116600,0.09,25103951,4399309.0,17.52,168,2015-02-09
54974,120110,코오롱인더,46300,-300,-0.6,80073,3706315650,46250,47000,45750,1162313764700,0.09,25103969,4400538.0,17.53,168,2015-02-10
57002,120110,코오롱인더,46750,450,1.0,40494,1882442850,46350,46900,46000,1173610550750,0.09,25103969,4400461.0,17.53,168,2015-02-11
