,account_nm,thstrm_amount
0,유동자산,1145121146310
1,현금및현금성자산,138329143213
2,매출채권 및 기타채권,784572688731
3,재고자산,158143405464
4,당기법인세자산,354252365
5,기타금융자산,44197420929
6,기타자산,19524235608
7,비유동자산,577471606508
8,매도가능금융자산,42281218857
9,유형자산,415734360750
10,투자부동산,1414995854
11,무형자산,67151021367
12,이연법인세자산,35796256953
13,기타금융자산,11783621244
14,기타자산,3310131483
15,자산총계,1722592752818
16,유동부채,673621349463
17,매입채무 및 기타채무,238148589084
18,단기차입금,37484480000
19,단기사채,0
20,유동성장기차입금,45648455086
21,유동성장기사채,19979573073
22,당기법인세부채,6428011657
23,금융리스부채,82862894
24,기타금융부채,10000000
25,기타부채,325839377669
26,비유동부채,304163469584
27,장기차입금,103100000000
28,장기사채,159549674006
29,순확정급여부채,25485685365
30,반품충당부채,10988486000
31,이연법인세부채,2909333234
32,금융리스부채,1581292883
33,기타금융부채,216113566
34,기타부채,332884530
35,부채총계,977784819047
36,지배기업의 소유주에게 귀속되는 자본,674945182304
37,자본금,25577272500
38,기타불입자본,415639828305
39,이익잉여금,228142893564
40,기타자본구성요소,5585187935
41,비지배지분,69862751467
42,자본총계,744807933771
43,부채및자본총계,1722592752818
44,매출액,1317534519130
45,제품매출,649510757767
46,상품매출,134299904602
47,임가공매출,15948648844
48,기술수출수익,512500523250
49,기타매출,5274684667
50,매출원가,398250965720
51,제품매출원가,259021946011
52,상품매출원가,123550802668
53,임가공매출원가,15201710370
54,기타매출원가,476506671
55,매출총이익,919283553410
56,판매비와관리비,539496426229
57,경상개발비,167987151543
58,영업이익,211799975638
59,금융수익,1015014061
60,금융비용,12346498545
61,기타영업외수익,33404001520
62,기타영업외비용,24287979302
63,법인세비용차감전순이익,209584513372
64,법인세비용(수익),47524066039
65,당기순이익,162060447333
66,기타포괄손익,-6090114379
67,후속적으로 당기손익으로 재분류되지 않는 항목,-6168670713
68,확정급여제도의 재측정요소,-7908552196
69,법인세 효과,1739881483
70,후속적으로 당기손익으로 재분류될 수 있는 항목,78556334
71,매도가능금융자산평가손익,-2845162159
72,현금흐름위험회피파생상품평가손익,-216113565
73,해외사업장외화환산외환차이,2466351399
74,법인세 효과,673480659
75,당기총포괄손익,155970332954
76,지배기업의 소유주,154443350262
77,비지배지분,7617097071
78,지배기업의 소유주,147890888783
79,비지배지분,8079444171
80,기본및희석주당이익,14830
81,영업활동현금흐름,101712291082
82,당기순이익(손실),162060447333
83,당기순이익조정을 위한 가감,2378543809
84,퇴직급여,11471432498
85,재고자산평가손실,0
86,감가상각비,26789818247
87,무형자산상각비,23341282564
88,대손상각비(환입),2107923551
89,무형자산손상차손,13405994076
90,외화환산손실,230343528
91,유형자산처분손실,181825086
92,무형자산처분손실,123377781
93,지급수수료,0
94,이자비용,13802367611
95,파생상품거래손실,0
96,매도가능금융자산처분손실,0
97,법인세비용,47524066039
98,외화환산이익,-5233093788
99,유형자산처분이익,-241920996
100,무형자산처분이익,-56211522
101,재고자산평가손실환입,0
102,배당금수익,-347609250
103,이자수익,-1008235576
104,파생상품평가이익,0
105,매도가능금융자산처분이익,-13006240077
106,기타금융수익,0
107,법인세수익,0
108,매출채권의감소(증가),-492037555218
109,기타채권의감소(증가),-2820771439
110,재고자산의감소(증가),-24783108399
111,기타금융자산의감소(증가),-2413726423
112,기타자산의감소(증가),-15586939974
113,매입채무의증가(감소),3237482087
114,기타채무의증가(감소),129466563537
115,순확정급여부채의증가(감소),-18548362537
116,판매적립충당부채의증가(감소),0
117,반품충당부채의증가(감소),2103799690
118,기타금융부채의 증가(감소),-34213923
119,기타부채의 증가(감소),304710256636
120,이자수익의 수취,1062553725
121,배당금수취,347609250
122,이자비용의지급,13943447572
123,법인세지급,50193415463
124,투자활동현금흐름,-114374770540
125,매도가능금융자산의 처분,17057943353
126,단기금융상품의 처분,18165971410
127,장기금융상품의 처분,500000
128,정부보조금의 수령,300000000
129,유형자산의 처분,1674599079
130,투자부동산의 처분,0
131,무형자산의 처분,1892433070
132,매도가능금융자산의 취득,0
133,종속기업투자주식의 취득,0
134,단기금융상품의 증가,16205400000
135,장기금융상품의 취득,230000000
136,유형자산의 취득,121065025471
137,무형자산의 취득,15965791981
138,재무활동현금흐름,94544873998
139,단기차입금의 차입,26500000000
140,장기차입금의 차입,54600000000
141,유상증자,0
142,금융부채리스의 증가,0
143,사채의 발행,49769600000
144,단기사채의 발행,0
145,단기차입금의 상환,24615870970
146,유동성장기차입금의 상환,-11227702316
147,장기차입금의 상환,0
148,파생상품의 정산,0
149,단기사채의 상환,0
150,유동성사채의 상환,0
151,배당금지급,0
152,금융리스부채의 감소,72587716
153,자기주식의 취득,408565000
154,현금및현금성자산의증가,81882394540
155,기초의현금및현금성자산,52470956537
156,외화표시 현금및현금성자산의 환율변동 효과,3975792136
157,기말의현금및현금성자산,138329143213
158,기초자본,589246165817
159,기초자본,417264360805
160,기초자본,17405283671
161,기초자본,-1744569450
162,기초자본,401603646584
163,기초자본,6154246286
164,기초자본,61783307296
165,기초자본,79682946430
166,기초자본,24361305000
167,연차배당,0
168,연차배당,0
169,연차배당,0
170,연차배당,0
171,연차배당,0
172,연차배당,0
173,연차배당,0
174,연차배당,0
175,연차배당,0
176,유상증자,0
177,유상증자,0
178,유상증자,0
179,유상증자,0
180,유상증자,0
181,유상증자,0
182,유상증자,0
183,유상증자,0
184,유상증자,0
185,무상증자,0
186,무상증자,-1215967500
187,무상증자,0
188,무상증자,0
189,무상증자,-1215967500
190,무상증자,0
191,무상증자,0
192,무상증자,0
193,무상증자,1215967500
194,비지배지분감소,0
195,비지배지분감소,0
196,비지배지분감소,0
197,비지배지분감소,0
198,비지배지분감소,0
