,account_nm,thstrm_amount
0,유동자산,456439246435
1,현금및현금성자산,58234305189
2,금융기관예치금,10603000000
3,매출채권,256724209453
4,기타수취채권,26226917049
5,재고자산,99611204911
6,만기보유금융자산,12740000
7,기타유동자산,5026869833
8,매각예정비유동자산,17300000000
9,비유동자산,814624725575
10,금융기관예치금,2419477980
11,매도가능금융자산,29471392074
12,만기보유금융자산,219435000
13,관계기업투자주식,19722151376
14,기타수취채권,6473273356
15,유형자산,741898010327
16,무형자산,11348061447
17,이연법인세자산,1336829408
18,기타비유동자산,1736094607
19,자산총계,1288363972010
20,유동부채,586351352411
21,매입채무,174451254044
22,유동차입금,317880000277
23,미지급법인세,5543236713
24,미지급배당금,4932670
25,기타지급채무,69861391871
26,기타유동부채,18610536836
27,비유동부채,147841223699
28,장기차입금,63926791967
29,순확정급여부채,25464258345
30,비유동충당부채,9849010902
31,이연법인세부채,39257830134
32,기타장기지급채무,5678671779
33,기타비유동부채,3664660572
34,부채총계,734192576110
35,지배주주지분,449055524706
36,자본금,31000000000
37,자본잉여금,17426962934
38,기타자본구성요소,-2233101101
39,기타포괄손익누계액,1706414089
40,이익잉여금(결손금),401155248784
41,비지배주주지분,105115871194
42,자본총계,554171395900
43,자본과부채총계,1288363972010
44,매출액,1076116262240
45,매출원가,940424111910
46,매출총이익,135692150330
47,판매비와관리비,76004256883
48,영업이익(손실),59687893447
49,영업외손익,-2467816761
50,기타수익,26231387033
51,기타비용,19557650853
52,금융수익,2302407757
53,금융비용,15477112778
54,관계기업투자손익,4033152080
55,법인세비용차감전순이익(손실),57220076686
56,법인세비용,11078953092
57,당기순이익(손실),46141123594
58,지배기업의 소유주에게 귀속되는 당기순이익(손실),38373668071
59,비지배지분에 귀속되는 당기순이익(손실),7767455523
60,기본주당순이익(손실),619
61,당기순이익(손실),46141123594
62,기타포괄손익,1095487731
63,당기손익으로 재분류되지 않는 세후기타포괄손익,-2241752210
64,순확정급여부채의 재측정요소,-2241752210
65,당기손익으로 재분류되는 세후기타포괄손익,3337239941
66,매도가능금융자산평가손익,4872999100
67,지분법 자본변동,-1054974438
68,해외사업환산손익,-480784721
69,총포괄손익,47236611325
70,지배기업의 소유주지분,39027678420
71,비지배지분,8208932905
72,영업활동현금흐름,90552534886
73,영업활동에서 창출된 현금흐름,116957633877
74,당기순이익,46141123594
75,조정,83982141498
76,영업활동으로 인한 자산부채의 변동,-13165631215
77,이자수취,816001022
78,이자지급,12780003146
79,배당금수취,1405256951
80,법인세납부(환급),15846353818
81,투자활동현금흐름,-87461744272
82,투자활동으로 인한 현금 유입액,31610856603
83,유형자산의 처분,2065966270
84,무형자산의 처분,90909091
85,매도가능금융자산의 처분,500000
86,만기보유금융자산의 처분,2770000
87,금융기관예치금의 감소,6124450000
88,매각예정비유동자산의 처분,0
89,당기손익인식금융자산의 처분,18136261242
90,매각예정비유동자산 선수금 증가,5190000000
91,투자활동으로 인한 현금 유출액,119072600875
92,유형자산의 취득,88383724893
93,무형자산의 취득,481989284
94,매도가능금융자산의 취득,439300000
95,만기보유금융자산의 취득,3450000
96,금융기관예치금의 증가,10661662563
97,관계회사주식의 취득,247500000
98,당기손익인식금융자산의 취득,18000000000
99,종속기업의 취득(보유현금 차감),854974135
100,파생상품의 취득,0
101,청산으로 인한 유출,0
102,재무활동현금흐름,20008220496
103,재무활동으로인한 현금 유입액,203627330734
104,유동차입금의 증가,164701180734
105,비유동차입금의 증가,38926150000
106,종속기업의 처분,0
107,판매후리스로 인한 증가,0
108,재무활동으로인한 현금 유출액,183619110238
109,유동차입금의 감소,141726408852
110,비유동차입금의 감소,31066634411
111,배당금의 지급,10249382595
112,종속기업 지분의 취득,0
113,자기주식의 취득,576684380
114,현금및현금성자산의 환율변동효과,949454276
115,현금및현금성자산의순증가(감소),24048465386
116,기초현금및현금성자산,34185839803
117,기말현금및현금성자산,58234305189
118,기초자본,510373778961
119,기초자본,90986878760
120,기초자본,419386900201
121,기초자본,0
122,기초자본,1247068210
123,기초자본,369712869057
124,기초자본,31000000000
125,기초자본,17426962934
126,당기순이익(손실),46141123594
127,당기순이익(손실),7767455523
128,당기순이익(손실),38373668071
129,당기순이익(손실),0
130,당기순이익(손실),0
131,당기순이익(손실),38373668071
132,당기순이익(손실),0
133,당기순이익(손실),0
134,매도가능자산평가손익,4872999100
135,매도가능자산평가손익,-2697020
