,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
129,001440,대한전선,1870,15,0.8,322694,601200330,1840,1885,1835,1601604526830,0.11,856473009,6004349.0,0.7,130,2017-01-02
2376,001440,대한전선,1885,15,0.8,174614,327079270,1880,1885,1855,1614451621965,0.11,856473009,6044446.0,0.71,130,2017-01-03
4624,001440,대한전선,1870,-15,-0.8,333723,624747660,1885,1890,1865,1601604526830,0.1,856473009,6007029.0,0.7,131,2017-01-04
6871,001440,대한전선,1905,35,1.9,851124,1624249455,1875,1950,1860,1631581082145,0.11,856473009,6154902.0,0.72,131,2017-01-05
9116,001440,대한전선,1920,15,0.8,331336,632521095,1905,1930,1885,1644428177280,0.11,856473009,6228315.0,0.73,129,2017-01-06
11362,001440,대한전선,1940,20,1.0,595303,1152030945,1920,1950,1905,1661557637460,0.11,856473009,6262935.0,0.73,128,2017-01-09
13610,001440,대한전선,1925,-15,-0.8,336782,645953355,1940,1945,1905,1648710542325,0.11,856473009,6239940.0,0.73,129,2017-01-10
15859,001440,대한전선,1860,-65,-3.4,864206,1626008585,1930,1935,1850,1593039796740,0.1,856473009,6106079.0,0.71,131,2017-01-11
18104,001440,대한전선,1905,45,2.4,568443,1073494600,1865,1910,1855,1631581082145,0.1,856473009,6209877.0,0.73,130,2017-01-12
20348,001440,대한전선,1950,45,2.4,1553487,3039183120,1900,1995,1900,1670122367550,0.11,856473009,6349319.0,0.74,128,2017-01-13
22595,001440,대한전선,1930,-20,-1.0,340172,655051145,1950,1965,1910,1652992907370,0.11,856473009,6227005.0,0.73,128,2017-01-16
24847,001440,대한전선,1915,-15,-0.8,246094,471040440,1935,1940,1900,1640145812235,0.11,856473009,6379127.0,0.74,132,2017-01-17
27094,001440,대한전선,1930,15,0.8,180913,346877510,1915,1935,1900,1652992907370,0.11,856473009,6384957.0,0.75,133,2017-01-18
29332,001440,대한전선,2010,80,4.2,4320585,8944693465,1990,2185,1985,1721510748090,0.11,856473009,6311080.0,0.74,125,2017-01-19
31581,001440,대한전선,1965,-45,-2.2,996551,1972558955,2010,2030,1960,1682969462685,0.11,856473009,6431310.0,0.75,128,2017-01-20
33826,001440,대한전선,1930,-35,-1.8,667175,1287511025,1960,1980,1910,1652992907370,0.11,856473009,6397359.0,0.75,129,2017-01-23
36064,001440,대한전선,1995,65,3.4,1411757,2787569365,1930,2020,1910,1708663652955,0.11,856473009,6605015.0,0.77,123,2017-01-24
38309,001440,대한전선,1985,-10,-0.5,497158,986361000,2000,2010,1965,1700098922865,0.11,856473009,6696869.0,0.78,123,2017-01-25
40556,001440,대한전선,1970,-15,-0.8,445017,880081055,1995,2010,1960,1687251827730,0.11,856473009,6641625.0,0.78,124,2017-01-26
42805,001440,대한전선,1920,-50,-2.5,465194,897446690,1960,1960,1915,1644428177280,0.11,856473009,6565231.0,0.77,127,2017-01-31
45050,001440,대한전선,1960,40,2.1,335411,652542250,1930,1965,1915,1678687097640,0.11,856473009,6628530.0,0.77,126,2017-02-01
47295,001440,대한전선,1965,5,0.3,387787,758322140,1955,1975,1935,1682969462685,0.11,856473009,6643347.0,0.78,125,2017-02-02
49546,001440,대한전선,1935,-30,-1.5,587625,1151327455,1960,2000,1920,1657275272415,0.11,856473009,6551815.0,0.76,129,2017-02-03
