,account_nm,thstrm_amount
0,유동자산,947854660088.0
1,현금및현금성자산,347632238991.0
2,단기금융자산,120112723877.0
3,매출채권,326231494677.0
4,기타수취채권,22030132323.0
5,기타유동자산,12611620911.0
6,재고자산,109719698773.0
7,당기법인세자산,22635536.0
8,매각예정비유동자산,9494115000.0
9,비유동자산,1210612528719.0
10,장기금융자산,1287540000.0
11,매도가능금융자산,138399991381.0
12,관계기업투자,21056211886.0
13,유형자산,891784174327.0
14,무형자산,93679562211.0
15,투자부동산,31239429869.0
16,장기매출채권 및 기타수취채권,3497357377.0
17,기타금융자산,25746107983.0
18,이연법인세자산,1909476985.0
19,기타비유동자산,2012676700.0
20,자산총계,2158467188807.0
21,유동부채,378114138222.0
22,매입채무,166708705320.0
23,기타채무,87717645675.0
24,기타금융부채,
25,기타유동부채,12785255010.0
26,단기차입금,36854002400.0
27,유동성장기차입금,17451230000.0
28,미지급법인세,56597299817.0
29,비유동부채,252324754631.0
30,기타채무,1330814523.0
31,장기차입금,147204085141.0
32,기타금융부채,7780788977.0
33,비유동충당부채,13051364249.0
34,확정급여부채,37861619535.0
35,이연법인세부채,45096082206.0
36,부채총계,630438892853.0
37,지배회사의 소유지분,1484534158930.0
38,납입자본,65326028609.0
39,자본금,37726565000.0
40,자본잉여금,27599463609.0
41,기타자본구성요소,556934358.0
42,기타포괄손익누계액,39243591498.0
43,기타자본항목,-38686657140.0
44,이익잉여금(결손금),1418651195963.0
45,비지배주주지분,43494137024.0
46,자본총계,1528028295954.0
47,부채및자본총계,2158467188807.0
48,매출,1441199875268.0
49,매출원가,1199198096813.0
50,매출총이익,242001778455.0
51,판매비와관리비,140409138875.0
52,영업이익(손실),101592639580.0
53,기타수익,84235816610.0
54,기타비용,57217269809.0
55,금융수익,8014803955.0
56,금융비용,7044020199.0
57,관계기업에대한 지분법손익,546893540.0
58,법인세비용차감전순이익(손실),130128863677.0
59,법인세비용,46361955040.0
60,당기순이익(손실),83766908637.0
61,지배주주지분순이익,80835633992.0
62,비지배주주지분순이익,2931274645.0
63,기본주당순이익,11653.0
64,희석주당순이익,11653.0
65,당기순이익(손실),83766908637.0
66,세후기타포괄손익,-20107022726.0
67,순확정급여부채의 재측정요소,2848105211.0
68,해외사업환산손익,1091947112.0
69,매도가능금융자산평가손익,-24105200443.0
