,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
113,003490,대한항공,27000,-700,-2.5,303531,8309969300,27800,27800,27000,1966673088000,0.14,72839744,11142920.0,15.3,114,2016-01-04
2264,003490,대한항공,26550,-450,-1.7,484290,12960738750,26800,27350,26400,1933895203200,0.14,72839744,11111607.0,15.25,116,2016-01-05
4413,003490,대한항공,26350,-200,-0.8,383877,10152560250,26700,26800,26250,1919327254400,0.13,72839744,11167166.0,15.33,116,2016-01-06
6563,003490,대한항공,26250,-100,-0.4,206265,5441861000,26250,26600,26150,1912043280000,0.14,72839744,11143875.0,15.3,117,2016-01-07
8713,003490,대한항공,25650,-600,-2.3,599126,15336022550,26000,26150,25300,1868339433600,0.13,72839744,11076958.0,15.21,118,2016-01-08
10861,003490,대한항공,25950,300,1.2,267792,6949710850,25450,26250,25450,1890191356800,0.13,72839744,11065597.0,15.19,117,2016-01-11
13010,003490,대한항공,25500,-450,-1.7,240069,6188622900,26200,26400,25450,1857413472000,0.13,72839744,11015600.0,15.12,117,2016-01-12
15159,003490,대한항공,25900,400,1.6,206992,5377853350,25700,26200,25600,1886549369600,0.13,72839744,11008447.0,15.11,117,2016-01-13
17308,003490,대한항공,25350,-550,-2.1,391605,9879306050,25500,25750,25000,1846487510400,0.13,72839744,10921649.0,14.99,117,2016-01-14
19457,003490,대한항공,25000,-350,-1.4,291430,7334846050,25600,25650,25000,1820993600000,0.13,72839744,10883152.0,14.94,117,2016-01-15
21604,003490,대한항공,24900,-100,-0.4,255323,6378446100,25000,25250,24850,1813709625600,0.13,72839744,10858648.0,14.91,115,2016-01-18
23756,003490,대한항공,24150,-750,-3.0,528855,12813345450,24750,24900,24000,1759079817600,0.13,72839744,10860934.0,14.91,118,2016-01-19
25906,003490,대한항공,23200,-950,-3.9,584612,13675975750,24000,24100,23150,1689882060800,0.12,72839744,10865947.0,14.92,119,2016-01-20
28056,003490,대한항공,23200,0,0.0,619296,14480008200,23300,23900,22850,1689882060800,0.12,72839744,10772761.0,14.79,120,2016-01-21
30201,003490,대한항공,23850,650,2.8,383593,9155195750,23400,24250,23350,1737227894400,0.12,72839744,10756198.0,14.77,118,2016-01-22
32349,003490,대한항공,24300,450,1.9,248439,6012378500,24100,24450,23850,1770005779200,0.13,72839744,10747360.0,14.75,118,2016-01-25
34496,003490,대한항공,24000,-300,-1.2,199329,4784402600,24000,24400,23750,1748153856000,0.13,72839744,10704241.0,14.7,118,2016-01-26
36644,003490,대한항공,24250,250,1.0,298975,7285045600,24300,24700,24050,1766363792000,0.13,72839744,10669938.0,14.65,118,2016-01-27
38793,003490,대한항공,24900,650,2.7,265381,6536136200,24250,24900,24100,1813709625600,0.13,72839744,10688397.0,14.67,118,2016-01-28
40943,003490,대한항공,24750,-150,-0.6,219467,5409323350,25000,25000,24450,1802783664000,0.13,72839744,10667500.0,14.65,118,2016-01-29
43092,003490,대한항공,25650,900,3.6,467648,11942216050,25500,25800,25200,1868339433600,0.13,72839744,10633193.0,14.6,117,2016-02-01
45241,003490,대한항공,25750,100,0.4,353392,9058763800,25500,25850,25250,1875623408000,0.13,72839744,10604920.0,14.56,116,2016-02-02
47392,003490,대한항공,25950,200,0.8,435621,11236601600,25650,26200,25350,1890191356800,0.14,72839744,10652274.0,14.62,116,2016-02-03
49545,003490,대한항공,25950,0,0.0,268055,6963829750,25950,26200,25750,1890191356800,0.13,72839744,10670615.0,14.65,117,2016-02-04
51700,003490,대한항공,25500,-450,-1.7,245081,6270127800,25700,25950,25450,1857413472000,0.13,72839744,10673789.0,14.65,119,2016-02-05
53854,003490,대한항공,24700,-800,-3.1,286589,7067122200,24300,25100,24250,1799141676800,0.13,72839744,10678336.0,14.66,119,2016-02-11
56007,003490,대한항공,24350,-350,-1.4,339441,8247566900,24600,24900,23900,1773647766400,0.13,72839744,10716291.0,14.71,118,2016-02-12
58159,003490,대한항공,25300,950,3.9,213133,5292917600,24550,25300,24350,1842845523200,0.13,72839744,10742569.0,14.75,116,2016-02-15
60316,003490,대한항공,25200,-100,-0.4,177412,4460214700,25300,25400,24800,1835561548800,0.13,72839744,10721340.0,14.72,118,2016-02-16
62468,003490,대한항공,25300,100,0.4,225118,5733610200,25000,25900,25000,1842845523200,0.13,72839744,10711939.0,14.71,115,2016-02-17
64625,003490,대한항공,25450,150,0.6,169726,4335070900,25750,25750,25400,1853771484800,0.13,72839744,10711521.0,14.71,117,2016-02-18
66780,003490,대한항공,25600,150,0.6,182344,4636672750,25150,25600,25050,1864697446400,0.13,72839744,10730071.0,14.73,117,2016-02-19
68936,003490,대한항공,26100,500,2.0,252709,6535050200,25350,26100,25300,1901117318400,0.13,72839744,10731887.0,14.73,118,2016-02-22
71088,003490,대한항공,26650,550,2.1,422016,11230713800,26200,26950,26150,1941179177600,0.14,72839744,10771464.0,14.79,115,2016-02-23
73242,003490,대한항공,26400,-250,-0.9,205677,5440567300,26750,26800,26200,1922969241600,0.14,72839744,10747442.0,14.75,115,2016-02-24
75401,003490,대한항공,25750,-650,-2.5,374435,9670730950,26350,26500,25550,1875623408000,0.13,72839744,10701423.0,14.69,119,2016-02-25
77558,003490,대한항공,25550,-200,-0.8,196512,5030836450,25800,25900,25500,1861055459200,0.13,72839744,10721731.0,14.72,121,2016-02-26
79712,003490,대한항공,25700,150,0.6,196640,5078794700,25650,26200,25600,1871981420800,0.13,72839744,10710219.0,14.7,120,2016-02-29
81869,003490,대한항공,26200,500,2.0,211736,5527235650,26200,26300,25900,1908401292800,0.13,72839744,10730932.0,14.73,120,2016-03-02
84024,003490,대한항공,27450,1250,4.8,877323,23831709900,26400,27450,26250,1999450972800,0.14,72839744,10834451.0,14.87,117,2016-03-03
86179,003490,대한항공,28050,600,2.2,836977,23370929500,27850,28200,27500,2043154819200,0.14,72839744,10846404.0,14.89,114,2016-03-04
88336,003490,대한항공,29300,1250,4.5,978932,28335275750,28400,29400,28200,2134204499200,0.15,72839744,10882974.0,14.94,111,2016-03-07
90497,003490,대한항공,29150,-150,-0.5,560822,16263360500,29400,29650,28600,2123278537600,0.15,72839744,10941969.0,15.02,112,2016-03-08
92653,003490,대한항공,30200,1050,3.6,1144784,34014680900,29150,30200,29100,2199760268800,0.15,72839744,10943697.0,15.02,108,2016-03-09
94815,003490,대한항공,30600,400,1.3,673459,20385959850,30400,30600,29750,2228896166400,0.15,72839744,10998851.0,15.1,110,2016-03-10
96971,003490,대한항공,30900,300,1.0,739451,22752575250,30450,31000,30350,2250748089600,0.15,72839744,10990941.0,15.09,105,2016-03-11
99135,003490,대한항공,30250,-650,-2.1,645817,19585993150,31250,31300,29450,2203402256000,0.15,72839744,10949568.0,15.03,107,2016-03-14
101298,003490,대한항공,29750,-500,-1.6,483362,14432347900,30000,30500,29600,2166982384000,0.15,72839744,11103594.0,15.24,108,2016-03-15
103456,003490,대한항공,30400,650,2.2,524730,15791110200,29500,30500,29450,2214328217600,0.15,72839744,11139473.0,15.29,105,2016-03-16
105619,003490,대한항공,30300,-100,-0.3,358850,10934743850,30450,30650,30200,2207044243200,0.15,72839744,11212876.0,15.39,106,2016-03-17
107781,003490,대한항공,30750,450,1.5,432877,13210140750,30250,30750,29800,2239822128000,0.15,72839744,11268189.0,15.47,106,2016-03-18
109941,003490,대한항공,30500,-250,-0.8,347395,10624605300,31050,31250,30250,2221612192000,0.15,72839744,11224092.0,15.41,104,2016-03-21
112106,003490,대한항공,30400,-100,-0.3,371411,11190974700,30200,30450,29650,2214328217600,0.15,72839744,11284380.0,15.49,107,2016-03-22
114269,003490,대한항공,29950,-450,-1.5,392211,11734032500,29850,30200,29650,2181550332800,0.15,72839744,11328302.0,15.55,108,2016-03-23
116428,003490,대한항공,29900,-50,-0.2,270150,8030484600,30100,30200,29450,2177908345600,0.15,72839744,11344359.0,15.57,105,2016-03-24
118593,003490,대한항공,29400,-500,-1.7,346308,10165016350,29450,29650,29100,2141488473600,0.15,72839744,11389475.0,15.64,108,2016-03-25
120754,003490,대한항공,29550,150,0.5,164906,4866274150,29500,29700,29350,2152414435200,0.15,72839744,11430814.0,15.69,107,2016-03-28
122914,003490,대한항공,30500,950,3.2,579556,17642789600,29650,30700,29650,2221612192000,0.15,72839744,11500844.0,15.79,105,2016-03-29
125075,003490,대한항공,30700,200,0.7,357862,10958679850,30750,30850,30450,2236180140800,0.15,72839744,11504748.0,15.79,104,2016-03-30
127238,003490,대한항공,31000,300,1.0,449911,13923957650,30900,31300,30700,2258032064000,0.15,72839744,11549440.0,15.86,103,2016-03-31
129400,003490,대한항공,31100,100,0.3,574847,17841913750,31000,31400,30650,2265316038400,0.15,72839744,11493374.0,15.78,101,2016-04-01
131566,003490,대한항공,30700,-400,-1.3,276429,8481740150,30900,30950,30450,2236180140800,0.15,72839744,11446709.0,15.71,103,2016-04-04
133732,003490,대한항공,29600,-1100,-3.6,721808,21355109200,30200,30600,28850,2156056422400,0.15,72839744,11444940.0,15.71,105,2016-04-05
135895,003490,대한항공,29900,300,1.0,283535,8484112600,29550,30250,29450,2177908345600,0.15,72839744,11469553.0,15.75,104,2016-04-06
138058,003490,대한항공,30900,1000,3.3,450186,13641946550,29900,31150,29450,2250748089600,0.15,72839744,11433168.0,15.7,102,2016-04-07
140224,003490,대한항공,31100,200,0.6,480427,14817136750,30600,31350,30200,2265316038400,0.15,72839744,11389704.0,15.64,102,2016-04-08
142388,003490,대한항공,32000,900,2.9,855236,27326953750,31100,32150,31050,2330871808000,0.16,72839744,11417172.0,15.67,100,2016-04-11
144557,003490,대한항공,32150,150,0.5,336051,10772659800,32200,32250,31900,2341797769600,0.16,72839744,11484353.0,15.77,102,2016-04-12
146718,003490,대한항공,32900,750,2.3,806458,26269353800,31800,32950,31800,2396427577600,0.16,72839744,11668923.0,16.02,98,2016-04-14
148885,003490,대한항공,32150,-750,-2.3,520434,16923301350,32900,33300,32150,2341797769600,0.16,72839744,11757066.0,16.14,100,2016-04-15
151051,003490,대한항공,31500,-650,-2.0,558111,17547588400,31650,32000,31300,2294451936000,0.15,72839744,11917529.0,16.36,102,2016-04-18
153215,003490,대한항공,32100,600,1.9,535639,17121179800,31450,32400,31450,2338155782400,0.16,72839744,12091697.0,16.6,102,2016-04-19
155381,003490,대한항공,31350,-750,-2.3,472502,14944471050,32100,32300,31350,2283525974400,0.15,72839744,12172631.0,16.71,104,2016-04-20
157550,003490,대한항공,31050,-300,-1.0,778489,23952817850,31300,31650,30400,2261674051200,0.15,72839744,12351083.0,16.96,108,2016-04-21
