,account_nm,thstrm_amount
0,유동자산,569184594937.0
1,현금및현금성자산,210110683312.0
2,단기금융자산,30000000000.0
3,만기보유금융자산,109435000.0
4,파생금융자산,0.0
5,매출채권,162886903441.0
6,기타유동금융자산,20696248769.0
7,기타유동자산,8569978640.0
8,재고자산,136811345775.0
9,매각예정비유동자산,0.0
10,비유동자산,961753903265.0
11,장기금융자산,31608168.0
12,만기보유금융자산,112015000.0
13,기타비유동금융자산,3189136300.0
14,매도가능금융자산,26180403724.0
15,공동기업투자,168660331506.0
16,유형자산,717133273523.0
17,무형자산,24129765068.0
18,기타비유동자산,895827884.0
19,이연법인세자산,21421542092.0
20,자산총계,1530938498202.0
21,유동부채,202786441899.0
22,매입채무,49852074860.0
23,기타유동금융부채,43891928414.0
24,단기차입금,1663673480.0
25,유동성사채,99938402417.0
26,유동성장기차입금,0.0
27,파생금융부채,0.0
28,기타유동부채,2397645321.0
29,미지급법인세,5042717407.0
30,비유동부채,216487906338.0
31,기타비유동금융부채,14965691.0
32,기타장기종업원급여부채,5954554222.0
33,장기차입금,0.0
34,사채,199786968849.0
35,퇴직급여부채,10731417576.0
36,이연법인세부채,0.0
37,부채총계,419274348237.0
38,지배기업 소유지분,1111664149965.0
39,자본금,129000000000.0
40,주식발행초과금,302905129440.0
41,기타자본항목,18801886687.0
42,기타포괄손익누계액,-133642779.0
43,이익잉여금,661090776617.0
44,비지배지분,0.0
45,자본총계,1111664149965.0
46,부채와 자본총계,1530938498202.0
47,매출액,1110703817498.0
48,매출원가,947934125347.0
49,매출총이익,162769692151.0
50,판매비와관리비,101327712379.0
51,물류비,31692319495.0
52,영업이익(손실),29749660277.0
53,기타수익,24684662410.0
54,기타비용,112317790349.0
55,금융수익,2962390110.0
56,금융비용,10503423253.0
57,공동기업이익,15031483170.0
58,법인세비용차감전순이익(손실),-50393017635.0
59,법인세비용,-6845551028.0
60,당기순이익(손실),-43547466607.0
61,세후기타포괄손익,4366513028.0
62,순확정급여부채의 재측정요소,4089610602.0
63,공동기업 순확정급여부채의 재측정요소,480403956.0
64,공동기업 이익잉여금 변동에 대한 지분,-228688321.0
65,매도가능금융자산평가손익,84547583.0
66,공동기업 기타포괄손익에 대한 지분,3669120.0
67,해외사업환산손익,-63029912.0
68,당기총포괄이익(손실),-39180953579.0
69,지배기업의 소유주지분,-43547466607.0
70,비재배지분,0.0
71,지배기업의 소유주지분,-39180953579.0
72,비지배지분,0.0
73,기본주당순이익(손실),-1710.0
74,희석주당순이익(손실),-1710.0
75,영업활동으로 인한 현금흐름,65462525082.0
76,영업으로부터 창출된 현금,74644613665.0
77,이자수취,2977116819.0
78,이자지급,9941666134.0
79,배당금수령,22027942433.0
80,법인세의 납부,24245481701.0
81,투자활동으로 인한 현금흐름,-45915467433.0
82,단기금융자산의 회수,1000000000.0
83,장기금융자산의 회수,0.0
84,만기보유금융자산의 회수,21870000.0
85,매도가능금융자산의 회수,0.0
86,공동기업투자의 처분,0.0
87,유형자산의 처분,1020025812.0
88,무형자산의 처분,378667568.0
89,정부보조금의 수령,0.0
90,기타비유동금융자산의 회수,793873038.0
91,매각예정비유동자산(처분자산집단) 처분,16513475329.0
92,단기금융상품의 취득,30000000000.0
93,만기보유금융자산의 취득,0.0
94,장기금융상품의 취득,0.0
95,매도가능금융자산의 취득,4320000000.0
96,공동기업투자의 취득,0.0
97,유형자산의 취득,31196096006.0
98,무형자산의 취득,0.0
99,기타비유동금융자산의 취득,127283174.0
100,연결범위의 변동,0.0
101,청산배당금의 지급,0.0
102,재무활동으로 인한 현금흐름,-28672058174.0
103,단기차입금의 순증감,-11200358174.0
104,장기차입금의 증가,0.0
105,주식의 발행,0.0
106,주식매입선택권의 행사,0.0
107,유동성장기차입금의 상환,-1052600000.0
108,장기차입금의 상환,3684100000.0
109,배당금지급,12735000000.0
110,환율변동효과 반영전 현금및현금성자산의 순증가(감소),-9125000525.0
111,기초의 현금및현금성자산,219295321377.0
112,현금및현금성자산에 대한 환율변동효과,-59637540.0
113,기말의 현금및현금성자산,210110683312.0
114,기초자본,1163580103544.0
115,기초자본,0.0
116,기초자본,1163580103544.0
117,기초자본,18801886687.0
118,기초자본,-158829570.0
119,기초자본,713031916987.0
120,기초자본,129000000000.0
121,기초자본,302905129440.0
122,당기순이익(손실),-43547466607.0
123,당기순이익(손실),0.0
124,당기순이익(손실),-43547466607.0
125,당기순이익(손실),-43547466607.0
126,순확정급여부채의 재측정요소,4089610602.0
127,순확정급여부채의 재측정요소,
128,순확정급여부채의 재측정요소,4089610602.0
129,순확정급여부채의 재측정요소,4089610602.0
130,공동기업 순확정급여부채의 재측정요소,480403956.0
131,공동기업 순확정급여부채의 재측정요소,480403956.0
132,공동기업 순확정급여부채의 재측정요소,480403956.0
133,공동기업의 기타포괄손익에 대한 지분,3669120.0
134,공동기업의 기타포괄손익에 대한 지분,3669120.0
135,공동기업의 기타포괄손익에 대한 지분,3669120.0
136,매도가능금융자산평가손익,84547583.0
137,매도가능금융자산평가손익,84547583.0
138,매도가능금융자산평가손익,84547583.0
139,공동기업 이익잉여금 변동에 대한 지분,-228688321.0
140,공동기업 이익잉여금 변동에 대한 지분,-228688321.0
141,공동기업 이익잉여금 변동에 대한 지분,-228688321.0
142,해외사업환산손익(손실),-63029912.0
143,해외사업환산손익(손실),-63029912.0
144,해외사업환산손익(손실),-63029912.0
145,총포괄손익 합계,-39180953579.0
146,총포괄손익 합계,0.0
147,총포괄손익 합계,-39180953579.0
148,총포괄손익 합계,0.0
149,총포괄손익 합계,25186791.0
150,총포괄손익 합계,-39206140370.0
151,총포괄손익 합계,0.0
152,총포괄손익 합계,0.0
153,현금배당,-12735000000.0
154,현금배당,-12735000000.0
155,현금배당,-12735000000.0
156,주식매입선택권의 행사,
157,주식매입선택권의 행사,
158,주식매입선택권의 행사,
159,종속기업에 대한 소유지분 변동,
160,종속기업에 대한 소유지분 변동,
161,종속기업에 대한 소유지분 변동,
162,종속기업에 대한 소유지분 변동,
163,연결범위의 변동,
164,연결범위의 변동,
165,소유주와의 거래 총액,-12735000000.0
166,소유주와의 거래 총액,0.0
167,소유주와의 거래 총액,-12735000000.0
168,소유주와의 거래 총액,0.0
169,소유주와의 거래 총액,0.0
170,소유주와의 거래 총액,-12735000000.0
171,소유주와의 거래 총액,0.0
172,소유주와의 거래 총액,0.0
173,기말자본,1111664149965.0
174,기말자본,0.0
175,기말자본,1111664149965.0
176,기말자본,18801886687.0
177,기말자본,-133642779.0
178,기말자본,661090776617.0
179,기말자본,129000000000.0
180,기말자본,302905129440.0
