,Code,Name,Close,Changes,ChagesRatio,Volume,Amount,Open,High,Low,Marcap,MarcapRatio,Stocks,ForeignShares,ForeignRatio,Rank,Date
86,004370,농심,441000,1500,0.3,13174,5840898000,441500,454000,432500,2682445122000,0.19,6082642,1474821.0,24.25,87,2016-01-04
2234,004370,농심,453000,12000,2.7,24683,11087955000,444500,454000,436500,2755436826000,0.19,6082642,1473325.0,24.22,86,2016-01-05
4382,004370,농심,458000,5000,1.1,21611,9831883000,455000,460000,448500,2785850036000,0.2,6082642,1472709.0,24.21,85,2016-01-06
6530,004370,농심,457500,-500,-0.1,22945,10494511000,460000,468000,450500,2782808715000,0.2,6082642,1468758.0,24.15,84,2016-01-07
8681,004370,농심,457000,-500,-0.1,16532,7571132000,459500,466000,450000,2779767394000,0.2,6082642,1471235.0,24.19,86,2016-01-08
10827,004370,농심,455500,-1500,-0.3,12740,5803820500,452500,461500,452500,2770643431000,0.2,6082642,1477227.0,24.29,83,2016-01-11
12975,004370,농심,466500,11000,2.4,23346,10915105500,458000,480000,453000,2837552493000,0.2,6082642,1483187.0,24.38,82,2016-01-12
15125,004370,농심,466500,0,0.0,32520,14942826000,472000,472000,453500,2837552493000,0.2,6082642,1488611.0,24.47,83,2016-01-13
17275,004370,농심,461000,-5500,-1.2,21362,9865165500,466500,467500,457000,2804097962000,0.2,6082642,1490684.0,24.51,84,2016-01-14
19422,004370,농심,463000,2000,0.4,13689,6333805000,466000,467000,457000,2816263246000,0.2,6082642,1492810.0,24.54,82,2016-01-15
21570,004370,농심,473500,10500,2.3,16915,7968262000,457000,475000,457000,2880130987000,0.21,6082642,1495695.0,24.59,81,2016-01-18
23716,004370,농심,488000,14500,3.1,27528,13427586000,478000,499000,474500,2968329296000,0.21,6082642,1491225.0,24.52,78,2016-01-19
25862,004370,농심,500000,12000,2.5,44968,22487093500,495000,518000,486000,3041321000000,0.22,6082642,1489868.0,24.49,75,2016-01-20
28009,004370,농심,534000,34000,6.8,37349,19245016000,509000,534000,500000,3248130828000,0.24,6082642,1485704.0,24.43,73,2016-01-21
30160,004370,농심,490500,-43500,-8.2,66941,33722451000,540000,540000,490000,2983535901000,0.21,6082642,1475544.0,24.26,77,2016-01-22
32314,004370,농심,459000,-31500,-6.4,99790,46376182000,481500,483500,454000,2791932678000,0.2,6082642,1456956.0,23.95,83,2016-01-25
34461,004370,농심,462000,3000,0.6,45338,21054399270,465000,469000,458000,2810180604000,0.2,6082642,1455600.0,23.93,83,2016-01-26
36613,004370,농심,443500,-18500,-4.0,70399,31645017500,466500,467000,442000,2697651727000,0.19,6082642,1448635.0,23.82,87,2016-01-27
38762,004370,농심,454500,11000,2.5,44391,20101318000,443500,456500,443500,2764560789000,0.2,6082642,1451593.0,23.86,87,2016-01-28
40907,004370,농심,468500,14000,3.1,46758,21700165552,456000,468500,452000,2849717777000,0.2,6082642,1462122.0,24.04,82,2016-01-29
43057,004370,농심,469000,500,0.1,32642,15431681500,470500,477500,461500,2852759098000,0.2,6082642,1457861.0,23.97,82,2016-02-01
45204,004370,농심,472500,3500,0.8,32797,15500447500,469000,476500,469000,2874048345000,0.2,6082642,1489823.0,24.49,79,2016-02-02
47356,004370,농심,470000,-2500,-0.5,23002,10836953500,474500,477500,463500,2858841740000,0.2,6082642,1485885.0,24.43,80,2016-02-03
49508,004370,농심,471500,1500,0.3,33116,15444216500,471000,472000,458000,2867965703000,0.2,6082642,1488834.0,24.48,80,2016-02-04
51666,004370,농심,455500,-16000,-3.4,32760,14900690500,469500,469500,447000,2770643431000,0.2,6082642,1488003.0,24.46,85,2016-02-05
53814,004370,농심,458500,3000,0.7,26212,11893375500,433000,463500,433000,2788891357000,0.2,6082642,1488621.0,24.47,79,2016-02-11
55975,004370,농심,419000,-39500,-8.6,65902,27605391000,453500,454000,412000,2548626998000,0.19,6082642,1472694.0,24.21,86,2016-02-12
58128,004370,농심,436500,17500,4.2,39760,17388217500,423500,444500,422500,2655073233000,0.19,6082642,1470515.0,24.18,85,2016-02-15
60286,004370,농심,426000,-10500,-2.4,42675,18244104000,436500,437500,422500,2591205492000,0.19,6082642,1463274.0,24.06,88,2016-02-16
62441,004370,농심,423000,-3000,-0.7,30386,12828858500,428000,431000,416500,2572957566000,0.19,6082642,1467658.0,24.13,88,2016-02-17
64599,004370,농심,412500,-10500,-2.5,46974,19466438500,422500,424000,410000,2509089825000,0.18,6082642,1450003.0,23.84,91,2016-02-18
66752,004370,농심,420500,8000,1.9,41411,17341190500,412500,426500,406000,2557750961000,0.18,6082642,1453555.0,23.9,89,2016-02-19
68906,004370,농심,418500,-2000,-0.5,21582,9058944500,419500,425000,417000,2545585677000,0.18,6082642,1454285.0,23.91,88,2016-02-22
71063,004370,농심,411000,-7500,-1.8,40228,16455518500,418000,420000,405000,2499965862000,0.18,6082642,1439753.0,23.67,90,2016-02-23
73214,004370,농심,416500,5500,1.3,23050,9548018000,412500,416500,405500,2533420393000,0.18,6082642,1439693.0,23.67,87,2016-02-24
75373,004370,농심,415000,-1500,-0.4,20062,8278315500,411500,416500,410500,2524296430000,0.18,6082642,1434604.0,23.59,91,2016-02-25
77528,004370,농심,413000,-2000,-0.5,37350,15593573500,413000,424500,411000,2512131146000,0.18,6082642,1422001.0,23.38,91,2016-02-26
79684,004370,농심,406000,-7000,-1.7,43050,17429477500,413500,416000,401000,2469552652000,0.17,6082642,1413373.0,23.24,92,2016-02-29
81841,004370,농심,410000,4000,1.0,31736,12962893500,406000,412000,406000,2493883220000,0.17,6082642,1412775.0,23.23,92,2016-03-02
84003,004370,농심,403500,-6500,-1.6,37304,15141620500,410000,410500,403500,2454346047000,0.17,6082642,1401069.0,23.03,96,2016-03-03
86163,004370,농심,390000,-13500,-3.4,57085,22505571500,401500,404000,389000,2372230380000,0.16,6082642,1388416.0,22.83,98,2016-03-04
88323,004370,농심,388500,-1500,-0.4,31970,12480075000,388500,395000,388000,2363106417000,0.16,6082642,1388226.0,22.82,98,2016-03-07
90487,004370,농심,379000,-9500,-2.4,48464,18445779500,388500,392000,377500,2305321318000,0.16,6082642,1373427.0,22.58,102,2016-03-08
92641,004370,농심,400000,21000,5.5,71314,27973035500,381500,400000,377000,2433056800000,0.17,6082642,1363810.0,22.42,96,2016-03-09
94802,004370,농심,401500,1500,0.4,38783,15487026500,401500,403500,394000,2442180763000,0.17,6082642,1363950.0,22.42,97,2016-03-10
96962,004370,농심,399000,-2500,-0.6,27583,10990835000,403000,403000,395500,2426974158000,0.17,6082642,1361841.0,22.39,96,2016-03-11
