,account_nm,thstrm_amount
0,유동자산,709733715734.0
1,현금및현금성자산,68904936885.0
2,기타유동금융자산,281780397096.0
3,단기금융상품,215032146050.0
4,유동매도가능금융자산,3004135555.0
5,유동당기손익인식금융자산,63744115491.0
6,매출채권 및 기타유동채권,217109817678.0
7,재고자산,123788199554.0
8,기타유동자산,18150364521.0
9,비유동자산,376746718496.0
10,기타비유동금융자산,45029205048.0
11,비유동매도가능금융자산,24889071048.0
12,비유동당기손익인식금융자산,10136634000.0
13,장기금융상품,10003500000.0
14,유형자산,301436135391.0
15,무형자산,6398068900.0
16,투자부동산,15856599222.0
17,기타비유동자산,8026709935.0
18,자산총계,1086480434230.0
19,유동부채,247652570548.0
20,매입채무 및 기타유동채무,95032481826.0
21,단기차입금,131132700916.0
22,유동성장기차입금,3344635200.0
23,당기법인세부채,11027447475.0
24,유동충당부채,1258196251.0
25,기타유동부채,5857108880.0
26,비유동부채,12318112809.0
27,장기매입채무 및 기타비유동채무,3652480870.0
28,장기차입금,2513100000.0
29,퇴직급여부채,0.0
30,이연법인세부채,6032485628.0
31,기타비유동부채,120046311.0
32,부채총계,259970683357.0
33,지배기업 소유주지분,826121974551.0
34,자본금,7000000000.0
35,자본잉여금,57934797561.0
36,자본조정,-10951887000.0
37,기타포괄손익누계액,2874847149.0
38,이익잉여금(결손금),769264216841.0
39,비지배지분,387776322.0
40,자본총계,826509750873.0
41,자본과부채총계,1086480434230.0
42,수익(매출액),959775756592.0
43,상품매출액,14285425785.0
44,제품매출액,945490330807.0
45,매출원가,795231064760.0
46,상품매출원가,12642922112.0
47,제품매출원가,782588142648.0
48,매출총이익,164544691832.0
49,판매비와관리비,90194718680.0
50,영업이익,74349973152.0
51,기타이익,25584964997.0
52,기타손실,22993191615.0
53,금융수익,7376351063.0
54,금융원가,1854918137.0
55,법인세비용차감전순이익,82463179460.0
56,법인세비용,19687229224.0
57,계속영업이익,62775950236.0
58,중단영업이익(손실),0.0
59,당기순이익,62775950236.0
60,기타포괄손익,2434949690.0
61,당기손익으로 재분류되지 않는 세후기타포괄손익,1468157031.0
62,"법인세비용차감후기타포괄손익, 확정급여제도의 재측정손익",1468157031.0
63,당기손익으로 재분류되는 세후기타포괄손익,966792659.0
64,매도가능금융자산,968995041.0
65,해외사업환산손익,-2202382.0
66,총포괄손익,65210899926.0
67,지배기업의 소유주에게 귀속되는 당기순이익(손실),62772169443.0
68,비지배지분에 귀속되는 당기순이익(손실),3780793.0
69,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",65217735488.0
70,"포괄손익, 비지배지분",-6835562.0
71,계속영업기본주당이익(손실),4568.0
72,계속영업희석주당이익(손실),4568.0
73,영업활동현금흐름,79426030085.0
74,영업활동에서 창출된 현금,98844706229.0
75,이자수취,6907731416.0
76,배당금수취,74580000.0
77,이자지급,1840531112.0
78,법인세납부,24560456448.0
79,투자활동현금흐름,-169098812519.0
80,단기금융상품의 처분,268500000000.0
81,유동당기손익인식금융자산의 처분,42000000000.0
82,유동매도가능금융자산의 처분,2360000.0
83,유동만기보유금융자산의 처분,0.0
84,구축물의 처분,3450150.0
85,기계장치의 처분,16097054.0
86,차량운반구의 처분,9772727.0
87,공구기구의 처분,11854400.0
88,집기비품의 처분,42000.0
89,가입권의 처분,372909090.0
90,투자부동산의 처분,0.0
91,보증금의 감소,860142260.0
92,비유동매도가능금융자산의 처분,5817814819.0
93,비유동만기보유금융자산의 처분,0.0
94,장기대여금의 처분,82500000.0
95,장기금융상품의 처분,1000000.0
96,매각예정 비유동자산의 처분,0.0
97,단기금융상품의 취득,290000000000.0
98,유동매도가능금융자산의 취득,3000000000.0
99,단기대여금의 취득,140103800.0
100,비유동매도가능금융자산의 취득,15006182390.0
101,비유동당기손익인식금융자산의 취득,71000000000.0
102,장기금융상품의 취득,30000000000.0
103,종속기업과 기타 사업의 지배력 획득에 따른 현금흐름,2264694930.0
104,토지의 취득,43993945630.0
105,건물의 취득,39527169.0
106,구축물의 취득,802022400.0
107,기계장치의 취득,7436065271.0
108,차량운반구의 취득,80050280.0
109,공구기구의 취득,4599512700.0
110,집기비품의 취득,1891580444.0
111,건설중인자산의 취득,12384209690.0
112,가입권의 취득,719906840.0
113,지적재산권 취득,0.0
114,장기대여금의 증가,0.0
115,보증금의 증가,3418953475.0
116,재무활동현금흐름,13558547567.0
117,단기차입금의 증가,430044489847.0
118,장기차입금의 증가,1013788200.0
119,종속기업에 대한 소유지분의 변동,0.0
120,임대보증금의 증가,107000000.0
121,배당금지급,4809539310.0
122,단기차입금의 상환,411743143470.0
123,유동성장기차입금의 상환,484700000.0
124,자기주식의 취득,0.0
125,임대보증금의 감소,569347700.0
126,환율변동효과 반영전 현금및현금성자산의 순증가(감소),-76114234867.0
127,현금및현금성자산에 대한 환율변동효과,-142467782.0
128,현금및현금성자산의순증가(감소),-76256702649.0
129,기초현금및현금성자산,145161639534.0
130,기말현금및현금성자산,68904936885.0
131,기초자본,768069527897.0
132,기초자본,1987992795.0
133,기초자본,766081535102.0
134,기초자본,1908054490.0
135,기초자본,709823385962.0
136,기초자본,7000000000.0
137,기초자본,58301981650.0
138,기초자본,-10951887000.0
139,당기순이익,62775950236.0
140,당기순이익,3780793.0
141,당기순이익,62772169443.0
142,당기순이익,62772169443.0
143,매도가능증권평가손익,968995041.0
144,매도가능증권평가손익,0.0
145,매도가능증권평가손익,968995041.0
146,매도가능증권평가손익,968995041.0
147,보험수리적손익,1468157031.0
148,보험수리적손익,-10616355.0
149,보험수리적손익,1478773386.0
150,보험수리적손익,1478773386.0
151,해외사업환산손익,-2202382.0
152,해외사업환산손익,0.0
