,account_nm,thstrm_amount
0,유동자산,29303834311809.0
1,현금및현금성자산,2447618520581.0
2,매출채권,9786926894081.0
3,기타채권,1539741890458.0
4,기타금융자산,5224911111003.0
5,재고자산,9051721165544.0
6,당기법인세자산,46472551542.0
7,매각예정자산,311958185304.0
8,기타유동자산,894483993296.0
9,비유동자산,50459160207805.0
10,장기매출채권,51123840705.0
11,기타채권,762912418850.0
12,기타금융자산,2657691743915.0
13,지분법적용 투자지분,3882388558156.0
14,투자부동산,1117720389187.0
15,유형자산,33770338870920.0
16,영업권 및 기타무형자산,6088728964307.0
17,순확정급여자산,83701679125.0
18,이연법인세자산,1476872719536.0
19,기타비유동자산,567681023104.0
20,자산총계,79762994519614.0
21,유동부채,18915396087487.0
22,매입채무,4073285613037.0
23,단기차입금,10194806562002.0
24,기타채무,1851658999699.0
25,기타금융부채,149748127342.0
26,당기법인세부채,446071002208.0
27,매각예정으로 분류된 처분자산집단에 포함된 부채,
28,유동충당부채,114864671131.0
29,기타유동부채,2084961112068.0
30,비유동부채,15009204126531.0
31,장기매입채무,44512306252.0
32,장기차입금,12510191004891.0
33,기타채무,208559329979.0
34,기타금융부채,81308708367.0
35,순확정급여부채,123603959834.0
36,이연법인세부채,1642938880864.0
37,비유동충당부채,337738637753.0
38,기타비유동부채,60351298591.0
39,부채총계,33924600214018.0
40,지배기업소유주지분,42373438325962.0
41,자본금,482403125000.0
42,자본잉여금,1397790600328.0
43,신종자본증권,996919000000.0
44,적립금,-143984525960.0
45,자기주식,-1533468003532.0
46,이익잉여금,41173778130126.0
47,비지배지분,3464955979634.0
48,자본총계,45838394305596.0
49,부채와자본총계,79762994519614.0
50,매출액,53083512926398.0
51,매출원가,46393962164138.0
52,매출총이익,6689550762260.0
53,판매비와관리비,3845226182991.0
54,일반관리비,2291540367473.0
55,판매및물류비,1553685815518.0
56,영업이익,2844324579269.0
57,지분법 적용대상인 관계기업과 조인트벤처의 당기순손익에 대한 지분,-88676613431.0
