,account_nm,thstrm_amount
0,유동자산,9736512654771.0
1,현금및현금성자산,2356328903075.0
2,매출채권 및 기타채권,4996915667256.0
3,재고자산,825250796366.0
4,단기금융자산,353076458144.0
5,기타유동자산,1204940829930.0
6,비유동자산,3640076655520.0
7,유형자산,978072066783.0
8,무형자산,193648379731.0
9,투자부동산,498208075590.0
10,관계회사지분증권,57583540419.0
11,장기매출채권 및 기타채권,897494583452.0
12,장기금융자산,413557493773.0
13,이연법인세자산,601512515772.0
14,자산총계,13376589310291.0
15,유동부채,7224983499459.0
16,매입채무 및 기타채무,2387755424912.0
17,단기금융부채,1823609101727.0
18,법인세부채,7706450482.0
19,기타유동부채,3005912522338.0
20,비유동부채,2798440875158.0
21,장기매입채무 및 기타채무,34486819493.0
22,장기금융부채,1819551295573.0
23,순확정급여부채,84295110108.0
24,비유동충당부채,464295445491.0
25,이연법인세부채,50519321671.0
26,기타비유동부채,345292882822.0
27,부채총계,10023424374617.0
28,지배기업의 소유주에게 귀속되는 지분,3278791531781.0
29,자본금,355000000000.0
30,자본잉여금,610856422454.0
31,기타자본,-87207586208.0
32,기타포괄손익누계액,-104053373216.0
33,이익잉여금,2504196068751.0
34,비지배지분,74373403893.0
35,기말,3353164935674.0
36,부채와자본총계,13376589310291.0
37,매출액,11035596402664.0
38,공사매출,10124343050566.0
39,분양매출,667037041863.0
40,기타매출,244216310235.0
41,매출원가,10547356619018.0
42,공사매출원가,9745796394281.0
43,분양매출원가,531772671115.0
44,기타매출원가,269787553622.0
45,매출총이익,488239783646.0
46,판매비와관리비,345262011697.0
47,영업이익,142977771949.0
48,기타수익,471922177602.0
49,기타비용,500401701518.0
50,관계회사지분증권손익,3018438376.0
51,지분법이익,6484595747.0
52,지분법손실,-3466157371.0
53,금융수익,291906406549.0
54,금융원가,388077581581.0
55,법인세비용차감전순이익(손실),21345511377.0
56,법인세비용(수익),41776975794.0
57,당기순이익(손실),-20431464417.0
58,지배기업의 소유주에게 귀속되는 당기순이익(손실),-25781355990.0
59,비지배지분에 귀속되는 당기순이익,5349891573.0
60,기본주당이익(손실),-394.0
61,희석주당이익(손실),-394.0
62,당기순이익(손실),-20431464417.0
63,기타포괄손익,28628313933.0
64,매도가능금융자산평가이익,-72499895.0
65,매도가능금융자산평가손실,1577302795.0
66,지분법자본변동,76601421.0
67,부의지분법자본변동,
68,해외사업환산이익,5138322787.0
69,해외사업환산손실,1466673252.0
70,파생상품평가이익,-1464982912.0
71,파생상품평가손실,26387512636.0
72,확정급여제도의 재측정손익,-4480616151.0
73,당기총포괄이익(손실),8196849516.0
74,지배기업의 소유주에게 귀속되는 지분,-2855715953.0
75,비지배지분,11052565469.0
76,영업활동으로 인한 현금흐름,81209580341.0
77,영업으로부터 창출된 현금흐름,174237172336.0
78,이자의 수취,52156372967.0
79,이자의 지급,134019520672.0
80,배당금의 수취,4596234042.0
81,법인세납부,15760678332.0
82,투자활동으로 인한 현금흐름,-248719141717.0
83,투자활동으로 인한 현금유입액,797963831481.0
84,기타채권의 감소,392772146408.0
